frame time,Number of lights
7.0136,0
6.353,0
7.178,0
6.806,0
6.089,0
7.0758,0
6.3537,0
6.8719,0
6.0097,0
6.9862,0
7.1465,0
6.4263,0
6.2841,0
6.7727,0
6.8723,0
6.4869,0
6.5353,0
6.6799,0
6.6032,0
6.0785,0
6.8348,0
6.6666,0
5.9665,0
6.5747,0
6.0087,0
6.1503,0
6.5365,0
6.0032,0
6.2312,0
6.1356,0
6.0754,0
6.6809,0
6.6397,0
6.541,0
6.0489,0
6.7754,0
6.102,0
6.5127,0
6.5986,0
6.4198,0
6.5981,0
6.3961,0
6.8125,0
6.2148,0
6.8042,0
6.0155,0
7.0791,0
5.9957,0
6.7463,0
6.3406,0
6.7064,0
5.9263,0
7.1875,0
6.0538,0
6.5945,0
6.5444,0
6.2618,0
6.4033,0
6.3367,0
8.3268,0
4.5946,0
6.5271,0
8.1817,0
4.5487,0
6.4522,0
5.8725,0
6.2586,0
6.1846,0
6.3348,0
6.0359,0
6.4318,0
5.8019,0
6.5707,0
5.8602,0
6.3831,0
6.3949,0
6.2585,0
6.8947,0
6.5936,0
5.848,0
7.0356,0
6.2592,0
6.8589,0
6.6365,0
7.6336,0
6.9216,0
6.0926,0
6.7295,0
6.6302,0
6.2446,0
6.5962,0
6.9533,0
6.1674,0
6.6313,0
6.4806,0
6.8951,0
6.3188,0
5.7747,0
7.0285,0
6.2746,0
6.8079,0
6.5246,0
6.5924,0
6.1781,0
5.9169,0
6.7246,0
6.2816,0
6.8193,0
6.8781,0
5.7933,0
6.5603,0
6.7932,0
6.3464,0
5.9829,0
7.3771,0
5.4254,0
6.6846,0
6.8896,0
6.2637,0
6.1178,0
6.2401,0
6.8237,0
6.223,0
6.5793,0
6.783,0
6.5971,0
8.1968,0
4.4083,0
6.5845,0
6.5983,0
6.6413,0
6.35,0
6.9783,0
6.714,0
6.7001,0
6.9612,0
6.7741,0
5.9363,0
6.5235,0
6.2331,0
6.5334,0
6.483,0
6.1916,0
6.5901,0
7.0866,0
5.6028,0
6.3244,0
6.5145,0
6.6623,0
6.5326,0
6.5284,0
6.4376,0
6.7413,0
6.2982,0
6.5674,0
6.5479,0
6.5181,0
6.2661,0
6.6247,0
6.6916,0
6.4012,0
6.7685,0
6.736,0
5.9294,0
6.7595,0
6.5592,0
6.148,0
7.2384,0
5.6451,0
6.981,0
6.0089,0
6.1206,0
6.8932,0
7.1454,0
6.9494,0
5.9006,0
5.9354,0
7.2979,0
6.1958,0
6.3027,0
7.1376,0
6.3812,0
6.0786,0
6.6597,0
6.4832,0
6.9624,0
6.2147,0
6.2726,0
6.9311,0
6.2101,0
6.3504,0
7.0143,0
6.0328,0
7.0153,0
6.5162,0
6.572,0
6.4185,0
6.362,0
7.0806,0
6.4849,0
6.2747,0
6.5113,0
6.42,0
7.0948,0
5.8442,0
6.6335,0
6.3321,0
6.36,0
7.0707,0
5.9852,0
6.6793,0
7.3959,0
5.3881,0
6.3387,0
6.3414,0
6.9435,0
6.1838,0
6.8369,0
6.0584,0
6.8815,0
5.8698,0
6.945,0
6.3821,0
6.8789,0
6.124,0
7.2551,0
5.8611,0
6.9358,0
6.7574,0
6.6499,0
5.855,0
6.964,0
5.8098,0
6.8085,0
6.8603,0
6.156,0
6.4039,0
6.8053,0
6.2127,0
6.8222,0
6.2237,0
6.7166,0
