frame time,Number of lights
5.5505,0
5.495,0
5.6628,0
4.9467,0
6.0958,0
5.5451,0
5.3094,0
5.1367,0
5.2617,0
4.636,0
5.4399,0
5.1005,0
5.8908,0
4.5866,0
5.4937,0
5.6414,0
5.3673,0
4.8062,0
5.2306,0
4.6486,0
5.3657,0
5.8165,0
4.7241,0
4.96,0
5.4716,0
5.3462,0
4.8216,0
4.99,0
5.0166,0
5.4881,0
5.7419,0
5.3565,0
4.9834,0
5.9282,0
4.831,0
5.2735,0
5.1869,0
5.5494,0
4.7368,0
4.7575,0
5.0432,0
5.7651,0
5.0409,0
5.7112,0
5.3718,0
4.7209,0
5.3349,0
4.8841,0
6.1276,0
4.9004,0
5.2091,0
4.8412,0
5.9682,0
5.2809,0
5.0432,0
5.7043,0
8.7658,0
1.4804,0
5.0103,0
5.2407,0
5.625,0
5.8862,0
5.5149,0
5.0677,0
5.5188,0
5.2488,0
5.9625,0
5.0851,0
5.2147,0
5.2314,0
5.2462,0
5.3799,0
5.5001,0
5.2131,0
5.3602,0
5.3586,0
5.1157,0
5.9329,0
4.1657,0
5.637,0
5.4013,0
5.2635,0
5.1186,0
5.9598,0
4.688,0
5.4495,0
5.973,0
5.147,0
5.2191,0
5.2558,0
5.1521,0
5.5465,0
4.937,0
5.6418,0
4.5897,0
5.1552,0
5.1493,0
4.6934,0
5.4662,0
4.9055,0
6.0605,0
5.2124,0
5.5409,0
4.4046,0
5.4112,0
4.9654,0
5.2575,0
5.1432,0
4.8032,0
5.078,0
5.7969,0
3.9221,0
4.9634,0
4.9004,0
5.2441,0
4.3837,0
5.1168,0
5.0959,0
5.0418,0
4.6017,0
4.5438,0
5.0414,0
5.0016,0
5.2439,0
5.3027,0
4.5271,0
5.053,0
5.02,0
4.9054,0
4.8989,0
5.2971,0
5.3329,0
5.0851,0
4.9541,0
4.8835,0
5.0928,0
5.7198,0
4.9243,0
4.6555,0
5.1262,0
4.9265,0
4.9753,0
5.1828,0
4.8288,0
5.192,0
4.9295,0
5.0808,0
5.5581,0
4.5374,0
4.9235,0
5.3114,0
4.6543,0
4.7896,0
5.1476,0
5.724,0
5.0174,0
5.3929,0
4.8135,0
5.0214,0
5.1456,0
5.1677,0
4.9167,0
5.1739,0
5.424,0
4.5465,0
4.5212,0
4.159,0
5.2927,0
4.5885,0
5.3603,0
4.7863,0
5.0416,0
5.3102,0
4.7412,0
5.06,0
5.1598,0
5.0886,0
5.3265,0
4.8379,0
4.9015,0
5.0876,0
4.9572,0
5.0406,0
5.0926,0
5.5246,0
4.8402,0
5.41,0
4.9941,0
4.835,0
5.0792,0
4.8576,0
5.0347,0
5.1902,0
5.1086,0
5.1175,0
5.1428,0
4.8845,0
5.067,0
5.471,0
4.4189,0
5.1117,0
4.9475,0
5.2983,0
5.4986,0
4.7731,0
4.549,0
5.8852,0
4.7211,0
4.4089,0
4.5754,0
5.2592,0
4.8263,0
5.1505,0
4.583,0
5.4075,0
3.9192,0
5.3171,0
5.547,0
5.0928,0
4.7311,0
4.6834,0
4.8614,0
5.3378,0
5.0094,0
4.8015,0
5.1152,0
4.8128,0
5.0734,0
4.9236,0
5.8674,0
5.9777,0
4.9416,0
6.1432,0
5.9056,0
4.956,0
5.2732,0
5.7689,0
5.2511,0
5.5453,0
5.4622,0
5.2129,0
5.2571,0
5.0682,0
5.403,0
5.3063,0
5.1623,0
5.4777,0
5.4326,0
5.0967,0
5.1932,0
5.0764,0
5.1476,0
5.2181,0
5.8269,0
5.2062,0
5.9274,0
4.9789,0
5.8393,0
5.2277,0
5.3174,0
5.61,0
5.3573,0
5.3078,0
5.4522,0
5.3019,0
5.161,0
5.5293,0
5.0617,0
5.253,0
5.8217,0
4.8249,0
5.144,0
5.4443,0
5.4734,0
4.9236,0
5.2895,0
4.9481,0
5.2191,0
5.675,0
5.2306,0
4.9156,0
5.0372,0
5.0476,0
5.6878,0
5.1715,0
5.1342,0
5.1624,0
5.1371,0
4.8447,0
5.2521,0
5.1659,0
5.613,0
4.6916,0
4.5506,0
5.1055,0
5.1765,0
5.5296,0
4.9987,0
5.7102,0
5.2381,0
5.2417,0
5.6018,0
5.0946,0
5.195,0
5.1646,0
5.8459,0
4.6189,0
5.305,0
5.4409,0
5.424,0
5.8168,0
5.2149,0
5.3656,0
4.8707,0
5.7907,0
5.629,0
5.3465,0
6.0375,0
5.5996,0
5.5051,0
5.3933,0
5.6429,0
4.5422,0
4.9787,0
5.277,0
5.512,0
5.0642,0
5.1521,0
5.5047,0
4.8325,0
5.2906,0
5.5578,0
5.2252,0
5.0465,0
5.483,0
5.4943,0
4.9679,0
5.2973,0
5.5118,0
5.6994,0
5.3328,0
5.2666,0
5.3384,0
5.1429,0
5.2635,0
5.397,0
4.9596,0
4.8938,0
5.3149,0
5.1043,0
5.6442,0
5.3471,0
5.5504,0
5.1432,0
5.0879,0
5.9927,0
5.2173,0
5.4404,0
5.4991,0
4.96,0
5.1357,0
5.8078,0
5.3028,0
5.7568,0
5.3323,0
5.811,0
5.2089,0
5.4147,0
5.1368,0
5.5432,0
4.9906,0
5.4173,0
5.0029,0
5.2038,0
5.5039,0
5.233,0
5.4093,0
5.3604,0
5.2023,0
5.4545,0
5.1883,0
4.808,0
5.1643,0
5.2285,0
5.6313,0
5.0336,0
5.1427,0
5.2575,0
5.5018,0
5.922,0
5.0534,0
5.5326,0
5.3418,0
5.2122,0
5.2325,0
5.0037,0
4.3505,0
5.3849,0
5.5703,0
5.0552,0
5.5067,0
5.2063,0
5.1762,0
5.3801,0
4.9133,0
5.2412,0
5.3747,0
5.4582,0
4.9648,0
5.5259,0
4.967,0
5.2059,0
5.4786,0
4.8777,0
5.5175,0
5.18,0
5.1021,0
5.274,0
5.4743,0
4.8533,0
5.101,0
5.9817,0
5.0288,0
5.8806,0
5.4324,0
5.6312,0
5.2289,0
4.7451,0
5.1714,0
4.7703,0
5.3665,0
5.3904,0
4.178,0
5.4133,0
5.8843,0
5.5066,0
5.2457,0
5.5115,0
5.3192,0
5.2795,0
5.185,0
4.8357,0
5.201,0
5.8639,0
5.0731,0
5.296,0
5.6064,0
4.9234,0
4.9831,0
5.3987,0
5.8462,0
4.3146,0
5.6346,0
5.1503,0
5.1793,0
5.4485,0
5.4517,0
5.0763,0
5.1047,0
5.5976,0
5.2065,0
5.6132,0
5.2442,0
5.5051,0
5.5863,0
5.2003,0
5.3693,0
5.323,0
4.9652,0
5.839,0
4.5517,0
4.806,0
4.7827,0
5.2264,0
4.7237,0
5.325,0
5.4885,0
4.9853,0
5.6449,0
5.6133,0
5.4956,0
5.277,0
5.6953,0
5.3134,0
5.3472,0
4.6247,0
5.8041,0
5.6354,0
4.5921,0
5.0291,0
5.8507,0
5.3907,0
5.2418,0
4.7993,0
5.8562,0
5.0981,0
4.5561,0
6.006,0
5.3193,0
4.7563,0
5.5744,1
5.3749,1
4.5972,1
5.4143,1
4.6817,1
5.3547,1
5.5456,1
5.4314,1
5.2405,1
5.4065,1
5.4386,1
5.5671,1
5.3751,1
5.4287,1
5.2684,1
5.7884,1
5.2876,1
5.2838,1
5.393,1
4.9095,1
5.3401,1
5.129,1
4.8354,1
5.0661,1
4.9974,1
5.5078,1
5.6494,1
5.4064,1
4.8602,1
5.3511,1
5.383,1
4.9535,1
5.5534,1
5.4165,1
5.5071,1
4.9424,1
4.9751,1
5.7815,1
4.431,1
5.5314,1
5.5853,1
4.684,1
5.7509,1
5.4582,1
5.1708,1
5.4094,1
5.4149,1
5.4992,1
5.942,1
5.0899,1
5.3451,1
5.3096,1
5.3812,1
5.3341,1
5.4674,1
4.5888,1
5.5357,1
5.3135,1
5.6554,1
5.4961,1
5.6186,1
5.1547,1
4.9723,1
5.1975,1
4.8381,1
5.4279,1
5.5773,1
5.2168,1
4.9481,1
5.9206,1
5.3418,1
5.6698,1
5.2418,1
5.7648,1
5.1032,1
5.1751,1
5.8078,1
4.9264,1
5.3393,1
5.3972,1
4.478,1
5.9008,1
5.4934,1
5.1614,1
5.3555,1
4.4542,1
5.5274,1
5.9918,1
5.0117,1
6.044,1
4.9962,1
6.016,1
4.757,1
5.159,1
5.9923,1
5.1871,1
4.7335,1
5.2824,1
5.5018,1
4.7018,1
5.4957,1
5.4967,1
5.2758,1
5.5395,1
4.9744,1
5.2841,1
5.7512,1
5.8629,1
5.0412,1
5.4016,1
5.9515,1
4.3657,1
5.7817,1
5.0891,1
5.5254,1
5.2184,1
6.2588,1
4.3032,1
4.6386,1
5.7211,1
5.2654,1
5.1543,1
5.0425,1
5.254,1
5.2191,1
5.4684,1
5.1526,1
4.9924,1
5.8034,1
5.0261,1
4.7744,1
5.0775,1
6.2207,1
4.5681,1
5.9675,1
5.5909,1
4.9982,1
5.4755,1
5.4766,1
5.0983,1
5.4776,1
5.5166,1
5.1001,1
5.0491,1
5.185,1
5.2887,1
5.2022,1
5.4067,1
5.519,1
4.713,1
5.3344,1
5.0746,1
4.983,1
4.9437,1
6.0627,1
4.7497,1
5.3631,1
5.8221,1
5.4377,1
4.751,1
5.8363,1
5.3906,1
5.0377,1
44.3183,1
1.2143,1
1.6197,1
2.8534,1
5.2092,1
5.2003,1
5.5074,1
5.0107,1
5.0653,1
4.6287,1
5.1915,1
5.6714,1
4.9779,1
4.7042,1
5.4938,1
5.5557,1
5.1057,1
4.9464,1
5.5994,1
5.0517,1
5.2682,1
5.1135,1
5.5276,1
5.3952,1
5.2127,1
5.5851,1
6.0133,1
4.8284,1
4.8066,1
4.9558,1
4.7107,1
5.6892,1
5.2655,1
5.5578,1
5.4987,1
4.8277,1
5.08,1
5.2212,1
5.2744,1
5.4961,1
4.8782,1
4.8178,1
5.3592,1
5.3692,1
4.7175,1
5.663,1
5.1185,1
4.9873,1
5.1154,1
5.0976,1
4.8623,1
5.2943,1
5.7326,1
4.695,1
4.3904,1
5.4524,1
5.1297,1
5.3923,1
5.3052,1
5.555,1
5.4124,1
5.3195,1
5.5502,1
4.8003,1
5.3013,1
5.7603,1
5.1311,1
5.0092,1
5.1293,1
5.029,1
5.1285,1
5.243,1
5.798,1
4.5275,1
5.7185,1
5.9822,1
5.2339,1
5.2448,1
5.484,1
5.3969,1
5.2006,1
5.4403,1
5.3149,1
5.1221,1
5.4425,1
5.419,1
4.6888,1
5.494,1
4.9501,1
4.8041,1
5.1026,1
5.905,1
4.997,1
5.347,1
6.1939,1
5.4909,1
5.2951,1
5.85,1
4.9664,1
5.3269,1
4.6744,1
5.1489,1
5.2508,1
5.5975,1
5.0177,1
5.9796,1
5.0082,1
5.2624,1
5.8661,1
5.2849,1
5.6472,1
5.4367,1
4.6431,1
5.3318,1
5.6847,1
5.4359,1
4.3976,1
5.4283,1
4.9923,1
6.1908,1
4.6495,1
5.094,1
6.0791,1
5.0772,1
4.9535,1
5.2234,1
4.7056,1
5.3074,1
5.1471,1
