frame time,Number of lights
4.9566,0
5.1404,0
5.0199,0
5.2906,0
5.5948,0
5.7549,0
5.5973,0
5.8474,0
5.6923,0
6.0052,0
6.1421,0
5.8729,0
6.4423,0
4.708,0
5.8719,0
5.7504,0
5.7774,0
5.7066,0
6.0984,0
4.9191,0
5.961,0
4.8679,0
5.6638,0
5.5979,0
6.0801,0
5.0291,0
5.5452,0
5.531,0
5.9129,0
5.4087,0
5.0411,0
5.797,0
5.0943,0
5.8135,0
5.872,0
5.5722,0
4.8115,0
5.6207,0
6.2722,0
4.7796,0
5.7711,0
5.5879,0
5.121,0
5.2894,0
5.6105,0
5.5665,0
5.2893,0
5.6994,0
5.6626,0
5.4886,0
5.9889,0
5.5958,0
5.6396,0
5.1633,0
5.6953,0
5.0285,0
8.6068,0
2.3811,0
6.1313,0
5.8607,0
5.7856,0
5.1612,0
5.305,0
4.7144,0
5.3097,0
5.3759,0
4.7261,0
4.9335,0
4.9058,0
6.0673,0
4.9302,0
5.3959,0
5.1594,0
4.6358,0
4.68,0
5.1636,0
4.5209,0
5.2775,0
4.5567,0
5.0382,0
4.5688,0
5.0937,0
4.4056,0
5.6777,0
5.1745,0
4.662,0
4.9998,0
5.1482,0
4.955,0
4.7495,0
5.2384,0
5.3416,0
5.0548,0
5.0893,0
5.1041,0
5.3278,0
4.4943,0
4.8703,0
5.0498,0
5.6641,0
4.6447,0
5.4219,0
5.0298,0
5.0583,0
5.2055,0
4.6009,0
5.5554,0
4.7894,0
4.8099,0
5.2716,0
4.9022,0
5.3897,0
4.9001,0
5.0002,0
5.2049,0
4.9575,0
5.6031,0
4.8171,0
5.0711,0
4.4356,0
4.8699,0
4.9843,0
5.15,0
4.9162,0
5.1379,0
5.0143,0
5.5167,0
5.4342,0
6.1061,0
3.8959,0
4.1594,0
5.3838,0
5.342,0
4.8693,0
5.0476,0
5.5071,0
5.1165,0
5.4417,0
5.1947,0
5.481,0
5.281,0
5.1879,0
5.8295,0
5.2927,0
5.5684,0
5.3083,0
5.7836,0
5.1166,0
5.1623,0
5.191,0
5.0521,0
5.2705,0
4.9517,0
5.2612,0
5.5091,0
4.6492,0
5.1137,0
5.2236,0
5.793,0
5.0112,0
5.9695,0
4.9352,0
5.1156,0
4.8322,0
5.283,0
5.2379,0
6.784,0
4.2245,0
4.6979,0
5.0657,0
5.8854,0
4.8693,0
5.3981,0
5.358,0
5.4245,0
5.3203,0
4.682,0
5.1876,0
5.7638,0
5.2115,0
5.7862,0
4.6487,0
5.4135,0
5.7471,0
5.2209,0
5.2339,0
5.4125,0
5.4402,0
5.4864,0
5.2552,0
5.2783,0
5.0887,0
4.9654,0
4.9456,0
5.3216,0
4.9597,0
5.7696,0
5.4023,0
5.3811,0
5.1366,0
6.1735,0
5.96,0
5.3033,0
5.9313,0
5.2659,0
5.5651,0
5.838,0
4.8131,0
5.6903,0
5.2672,0
5.5759,0
5.2501,0
5.8528,0
5.3948,0
5.8347,0
5.5308,0
6.1959,0
5.1351,0
5.7539,0
5.2494,0
5.6611,0
5.4945,0
5.7464,0
5.9063,0
5.9295,0
5.7294,0
4.7928,0
5.609,0
6.823,0
4.225,0
5.9593,0
5.5018,0
5.5781,0
5.9564,0
5.7317,0
5.3272,0
5.0637,0
5.5056,0
4.8967,0
4.8504,0
5.7602,0
4.9857,0
4.9078,0
4.6222,0
5.6213,0
5.3431,0
5.6698,0
5.182,0
5.7521,0
5.0694,0
5.1215,0
4.8615,0
5.0978,0
4.9278,0
5.1864,0
5.1595,0
5.9146,0
5.0441,0
4.7021,0
5.4218,0
5.1565,0
4.6158,0
4.9233,0
5.6256,0
4.625,0
5.3405,0
5.2327,0
5.1174,0
5.0931,0
5.0791,0
4.9836,0
4.8236,0
5.2402,0
4.7997,0
5.3193,0
5.7665,0
4.9703,0
4.893,0
5.3546,0
5.0453,0
5.9248,0
5.5705,0
5.3693,0
5.2663,0
5.8971,0
4.959,0
4.6703,0
5.5022,0
5.195,0
5.4986,0
4.9908,0
5.1531,0
6.0043,0
4.8814,0
5.0254,0
5.1552,0
4.8031,0
5.1484,0
5.1976,0
5.0761,0
5.5539,0
4.4645,0
4.6241,0
4.9704,0
5.0782,0
5.3164,0
4.9664,0
4.8405,0
5.6517,0
5.0505,0
5.2004,0
5.983,0
5.0233,0
5.8502,0
5.3041,0
4.8929,0
5.8149,0
5.3329,0
5.314,0
4.8666,0
4.9129,0
4.6326,0
4.9557,0
5.1064,0
4.95,0
5.2596,0
5.5412,0
5.3546,0
5.3412,0
4.719,0
5.1147,0
5.8908,0
5.8837,0
5.2596,0
5.8956,0
5.3873,0
5.2419,0
5.4486,0
5.3361,0
5.4685,0
5.1146,0
5.3329,0
5.4199,0
4.6726,0
5.1551,0
5.2989,0
5.8119,0
4.3843,0
4.9414,0
5.5157,0
5.9789,0
4.9303,0
4.7314,0
5.3173,0
5.6142,0
5.4558,0
5.5507,0
5.3144,0
5.9244,0
4.9182,0
5.2338,0
4.9791,0
5.6345,0
5.1513,0
5.4193,0
5.2996,0
5.1851,0
5.4037,0
5.8631,0
5.178,0
5.7235,0
