frame time,Number of lights
6.2968,0
6.6406,0
6.4385,0
6.9392,0
7.9886,0
6.4667,0
7.4585,0
5.9326,0
7.0647,0
6.9378,0
6.3978,0
7.1476,0
6.64,0
6.2501,0
6.5489,0
7.1994,0
6.4314,0
7.2252,0
6.4383,0
6.6535,0
7.177,0
5.5214,0
6.7624,0
6.638,0
6.5469,0
7.2729,0
6.7621,0
6.701,0
5.8046,0
6.3832,0
7.8056,0
5.8868,0
6.7807,0
6.6604,0
7.0278,0
6.5892,0
6.9676,0
7.1388,0
6.3282,0
6.8401,0
6.3816,0
7.2762,0
6.3487,0
6.9881,0
6.825,0
7.1662,0
6.8456,0
6.6456,0
7.0528,0
6.9083,0
7.055,0
6.8251,0
7.088,0
6.6369,0
6.6904,0
6.0914,0
6.9767,0
6.9982,0
6.6953,0
6.6438,0
5.7289,0
7.3288,0
5.903,0
6.3824,0
6.3278,0
6.5737,0
6.5117,0
6.4588,0
6.3242,0
6.2179,0
6.4866,0
6.5865,0
6.4052,0
6.2969,0
6.8095,0
6.829,0
6.3341,0
6.3913,0
6.7566,0
6.8985,0
6.5792,0
7.1063,0
7.4875,0
6.5537,0
7.6022,0
7.8252,0
6.7697,0
7.0685,0
6.2952,0
6.7483,0
7.1987,0
7.0198,0
7.0126,0
7.1766,0
7.9179,0
7.5872,0
7.3067,0
6.6641,0
6.8234,0
6.5967,0
6.4439,0
6.5248,0
6.6211,0
6.3526,0
6.6585,0
6.5493,0
6.568,0
6.4807,0
6.231,0
6.5213,0
6.732,0
6.1184,0
6.691,0
6.6585,0
7.3571,0
6.4737,0
6.6512,0
7.0879,0
6.6027,0
7.5368,0
6.4642,0
7.0448,0
6.654,0
6.5191,0
6.5916,0
6.2189,0
6.8159,0
6.0782,0
6.9243,0
6.3399,0
6.7838,0
6.8504,0
6.3792,0
7.1415,0
6.5108,0
6.3837,0
7.0155,0
6.7706,0
6.874,0
6.2532,0
7.0247,0
6.7385,0
6.3599,0
7.4147,0
6.4059,0
7.0365,0
6.2298,0
6.9722,0
7.0404,0
6.904,0
7.1311,0
6.6815,0
6.8189,0
6.7532,0
6.8207,0
6.9097,0
7.0395,0
6.3183,0
7.0017,0
6.7552,0
6.9638,0
6.9637,0
6.6441,0
6.844,0
6.7392,0
6.9241,0
6.8221,0
6.7768,0
6.8961,0
6.4921,0
7.4751,0
6.8085,0
7.2633,0
6.5097,0
7.0694,0
7.3308,0
6.6731,0
7.7031,0
6.3398,0
7.6976,0
6.4035,0
6.7519,0
