frame time,Number of lights
6.3999,0
6.7497,0
6.554,0
6.4722,0
7.1084,0
6.389,0
6.8943,0
6.6486,0
6.6967,0
6.6678,0
6.8656,0
5.7786,0
6.4951,0
6.9876,0
6.0525,0
6.3941,0
6.3257,0
6.1406,0
7.1921,0
5.9011,0
6.3318,0
6.8773,0
7.1895,0
5.5992,0
6.8537,0
6.765,0
7.0042,0
6.5481,0
6.3758,0
5.7711,0
7.0703,0
6.1806,0
6.3588,0
7.1378,0
6.7825,0
7.2571,0
6.45,0
6.6357,0
6.4548,0
6.2911,0
7.5027,0
6.6324,0
7.497,0
5.7256,0
6.8405,0
6.8915,0
6.3148,0
7.6582,0
5.57,0
6.7469,0
7.1336,0
6.8021,0
7.0735,0
7.3918,0
5.9991,0
6.5497,0
6.1827,0
6.6873,0
6.9975,0
6.3641,0
6.6133,0
6.8171,0
6.4293,0
6.8555,0
6.1971,0
6.6658,0
6.4283,0
6.76,0
6.7989,0
6.4557,0
7.0266,0
6.408,0
7.0002,0
6.7272,0
6.1649,0
7.058,0
6.2515,0
6.4714,0
6.8674,0
6.4973,0
7.0006,0
6.1401,0
6.4829,0
6.779,0
6.4724,0
7.1292,0
5.5985,0
6.9155,0
6.0287,0
6.8563,0
6.6824,0
6.6638,0
6.6646,0
6.4912,0
6.3997,0
6.5459,0
6.3274,0
6.5541,0
7.0938,0
6.5247,0
6.694,0
6.9761,0
6.79,0
6.7026,0
6.4038,0
7.3187,0
6.5302,0
7.0325,0
6.9503,0
6.2778,0
6.823,0
6.1093,0
7.64,0
6.0616,0
6.3169,0
6.9309,0
5.9457,0
6.7957,0
6.0661,0
6.7,0
6.5633,0
6.4143,0
7.2423,0
5.9692,0
6.8562,0
6.7932,0
7.0068,0
6.9033,0
5.8453,0
7.2049,0
5.8477,0
6.71,0
6.848,0
6.7479,0
6.1397,0
6.8721,0
6.5772,0
6.4948,0
7.1515,0
6.1287,0
6.5775,0
6.592,0
6.6912,0
7.2008,0
5.9823,0
6.7286,0
7.2296,0
6.5046,0
7.2954,0
6.8263,0
8.4222,0
5.527,0
7.0763,0
7.2715,0
7.1712,0
6.8575,0
6.3487,0
6.994,0
6.5913,0
7.4149,0
6.6041,0
6.7973,0
6.4635,0
6.9868,0
6.9194,0
6.7723,0
7.2689,0
6.9642,0
7.3845,0
6.5516,0
7.2864,0
7.1616,0
6.6245,0
7.0515,0
7.0057,0
7.059,0
7.078,0
7.0359,0
7.0622,0
6.7451,0
7.4676,0
5.9774,0
6.9639,0
7.0294,0
6.8308,0
6.9396,0
7.409,0
6.6726,0
6.9037,0
7.1583,0
6.1374,0
7.6129,0
6.8144,0
6.2835,0
6.3113,0
6.7695,0
6.9632,0
7.1152,0
