frame time,Number of lights
6.9246,0
6.7693,0
6.6928,0
7.0415,0
6.693,0
6.707,0
7.1535,0
6.7311,0
6.6789,0
6.5457,0
7.1746,0
6.8074,0
6.8165,0
6.7998,0
6.3555,0
6.8378,0
6.6384,0
6.6957,0
7.0144,0
6.8049,0
7.4695,0
5.9113,0
6.9447,0
7.2296,0
6.8203,0
6.8087,0
6.5635,0
6.7639,0
6.6013,0
7.1819,0
6.9744,0
6.6555,0
6.692,0
6.8952,0
7.2363,0
6.0445,0
6.6211,0
7.0528,0
6.891,0
7.0325,0
6.9009,0
6.9816,0
6.3216,0
6.7801,0
7.47,0
6.3349,0
6.5381,0
7.1364,0
6.5723,0
6.9791,0
6.8274,0
6.8331,0
7.2781,0
6.4497,0
6.7583,0
6.7134,0
6.3362,0
6.9109,0
6.1683,0
8.1004,0
5.6177,0
6.9126,0
7.015,0
6.7361,0
7.3439,0
6.5346,0
6.9008,0
6.525,0
7.0009,0
6.8657,0
6.8604,0
6.3306,0
6.7526,0
6.7191,0
7.1667,0
6.9705,0
6.9179,0
6.7336,0
7.0477,0
6.3938,0
7.0451,0
7.0524,0
6.5122,0
6.9681,0
6.7718,0
6.823,0
7.462,0
6.6024,0
6.9145,0
6.3621,0
6.5949,0
7.102,0
6.2365,0
6.6731,0
7.1174,0
7.2128,0
6.0506,0
7.0438,0
6.8323,0
6.3564,0
6.6169,0
7.0439,0
6.783,0
7.4065,0
6.3778,0
6.4596,0
6.5032,0
7.0021,0
6.4813,0
6.9616,0
6.4051,0
6.9329,0
6.7174,0
7.0065,0
6.8202,0
7.0724,0
7.0314,0
6.4164,0
6.7857,0
6.8198,0
7.207,0
6.9685,0
7.1446,0
6.7885,0
6.4175,0
6.6599,0
6.5454,0
6.7679,0
6.8585,0
7.1401,0
5.7586,0
7.4176,0
6.643,0
6.6569,0
6.4789,0
7.0381,0
7.1463,0
6.8465,0
6.829,0
6.5764,0
6.5365,0
7.037,0
6.8216,0
7.3214,0
6.6909,0
7.4764,0
5.8265,0
7.0177,0
6.9489,0
6.8983,0
6.9047,0
7.1424,0
6.9409,0
7.047,0
7.3869,0
5.9473,0
6.4026,0
7.4507,0
6.848,0
7.2276,0
7.1211,0
6.687,0
6.9983,0
6.6018,0
6.4348,0
6.4334,0
6.7993,0
7.1113,0
6.895,0
6.9032,0
6.8693,0
7.1093,0
6.9173,0
7.2602,0
6.6046,0
6.4563,0
6.8745,0
7.1688,0
6.8202,0
7.1177,0
5.904,0
6.578,0
6.4084,0
7.4377,0
6.294,0
6.4689,0
7.0711,0
6.4579,0
6.7661,0
7.1399,0
6.5484,0
7.0113,0
6.9985,0
6.6122,0
6.4999,0
6.5203,0
6.9086,0
6.5764,0
7.2554,0
6.3623,0
8.7929,0
5.3106,0
6.3729,0
6.7427,0
7.6892,0
6.0385,0
7.0868,0
6.9586,0
6.2657,0
6.6759,0
6.8463,0
7.1668,0
6.4801,0
7.0718,0
7.276,0
6.1718,0
6.7814,0
6.8248,0
7.0065,0
6.3588,0
6.7814,0
6.1016,0
6.8019,0
7.1161,0
6.9961,0
6.6312,0
6.9676,0
6.1676,0
6.8577,0
6.5128,0
6.8685,0
6.807,0
6.4818,0
6.6544,0
7.014,0
6.7726,0
6.642,0
6.4938,0
6.6846,0
6.7272,0
6.9022,0
6.4926,0
6.8278,0
6.7246,0
6.9225,0
6.8298,0
7.1127,0
6.2696,0
6.8774,0
6.5728,0
6.4653,0
7.4965,0
6.2786,0
6.7807,0
6.4806,0
6.7495,0
6.7828,0
6.3982,0
7.3966,0
6.4717,0
7.202,0
6.5574,0
7.2977,0
6.259,0
6.8561,0
6.8786,0
6.8356,0
7.4391,0
6.3327,0
7.0154,0
6.1284,0
6.5072,0
7.646,0
6.0729,0
6.4223,0
6.9914,0
6.7575,0
6.6566,0
6.9293,0
7.0512,0
6.8769,0
6.5989,0
6.8215,0
6.632,0
6.3475,0
7.0567,0
6.8408,0
6.2284,0
6.8069,0
6.7406,0
6.9663,0
6.2807,0
6.8906,0
6.7158,0
6.9093,0
6.5413,0
6.7198,0
6.7325,0
6.2911,0
7.0399,0
5.5997,0
6.6391,0
6.6975,0
7.1153,0
6.5616,0
6.3677,0
6.3458,0
6.7214,0
6.7055,0
7.193,0
6.8969,0
6.3757,0
6.73,0
6.9456,0
6.5286,0
7.1722,0
6.4856,0
6.8522,0
7.0404,0
6.3826,0
7.3039,0
6.6796,0
6.266,0
7.0366,0
6.6862,0
6.6796,0
6.4664,0
6.5636,0
6.783,0
6.6104,0
7.0143,0
6.5558,0
