frame time,Number of lights
6.4857,0
7.2233,0
5.8177,0
6.7727,0
6.5927,0
6.672,0
6.6347,0
6.1253,0
6.5848,0
6.3973,0
6.528,0
6.5896,0
7.3308,0
6.0707,0
6.7572,0
6.7683,0
6.4675,0
7.0441,0
5.904,0
7.0059,0
6.5139,0
6.8947,0
6.3993,0
6.6767,0
6.8186,0
6.1581,0
6.4814,0
6.3089,0
6.4798,0
7.0367,0
6.3688,0
6.4823,0
6.5764,0
6.6969,0
7.06,0
6.5716,0
6.3085,0
6.4302,0
6.3856,0
6.84,0
6.2983,0
6.8099,0
6.3393,0
7.0245,0
6.7117,0
5.6693,0
7.0049,0
6.4031,0
6.1847,0
9.2235,0
3.1324,0
6.9664,0
6.8164,0
5.8052,0
6.994,0
6.5876,0
6.0722,0
6.8433,0
5.786,0
7.0493,0
6.0037,0
6.1975,0
7.5975,0
6.1556,0
5.9174,0
6.8337,0
6.045,0
6.4715,0
6.1803,0
6.3553,0
7.0248,0
6.46,0
6.7805,0
5.8054,0
6.5753,0
6.6765,0
6.7115,0
6.5462,0
6.6652,0
6.4658,0
6.7214,0
5.4908,0
6.8531,0
6.0654,0
7.0367,0
5.9148,0
7.0479,0
6.0266,0
6.7571,0
6.3217,0
5.9278,0
6.9249,0
6.9388,0
6.4919,0
5.7851,0
6.8198,0
6.4129,0
6.5956,0
6.2871,0
7.0132,0
5.4619,0
7.037,0
6.1272,0
6.7153,0
6.5469,0
7.0394,0
6.3037,0
6.7674,0
6.1548,0
6.4477,0
6.4424,0
6.4759,0
6.1384,0
7.1445,0
5.8112,0
6.4511,0
6.8739,0
6.2617,0
6.0853,0
6.8345,0
6.1357,0
6.8074,0
6.3071,0
6.0317,0
6.128,0
6.6503,0
6.6647,0
6.1687,0
6.5126,0
6.3378,0
6.5151,0
6.855,0
5.8746,0
6.5162,0
6.7198,0
6.9207,0
6.0401,0
6.9188,0
5.9307,0
6.2959,0
6.7837,0
6.998,0
6.2883,0
6.812,0
6.0977,0
6.4182,0
6.6657,0
6.1179,0
6.1936,0
6.3682,0
6.372,0
6.2109,0
6.6326,0
6.1412,0
6.4298,0
6.9015,0
6.0151,0
6.6945,0
6.1379,0
6.6212,0
6.2687,0
6.2884,0
6.9311,0
6.2658,0
6.8482,0
6.6515,0
5.8749,0
6.8747,0
6.5113,0
6.5079,0
6.7901,0
6.7773,0
6.4405,0
6.1403,0
6.1117,0
6.1435,0
7.1096,0
6.3756,0
6.4275,0
6.1641,0
6.9783,0
6.4409,0
6.4013,0
6.5945,0
6.323,0
7.0712,0
6.5288,0
6.4353,0
6.7891,0
6.6294,0
6.4171,0
6.6682,0
6.0079,0
6.7826,0
6.3206,0
6.3634,0
6.4321,0
6.9368,0
6.9612,0
6.2857,0
6.7607,0
6.479,0
6.0632,0
6.2287,0
6.5041,0
6.9009,0
6.7941,0
6.5552,0
6.6429,0
6.0123,0
6.412,0
6.2271,0
6.4961,0
6.4205,0
6.7016,0
6.3107,0
6.5025,0
