frame time,Number of lights
6.7293,0
6.5906,0
6.5123,0
6.2713,0
6.6942,0
6.2422,0
5.6699,0
6.7646,0
6.4317,0
6.5246,0
6.8596,0
6.65,0
6.6959,0
5.9814,0
6.6895,0
6.6154,0
6.5618,0
6.5676,0
6.176,0
6.8248,0
6.6668,0
6.6004,0
6.8447,0
6.3187,0
6.7399,0
7.267,0
6.5864,0
6.3186,0
6.3167,0
6.2433,0
6.2586,0
7.2587,0
7.0205,0
6.1849,0
6.2277,0
7.0139,0
6.6588,0
6.9051,0
5.7564,0
7.2803,0
6.0961,0
6.7602,0
5.9368,0
7.1537,0
6.5657,0
6.1153,0
6.3804,0
6.9314,0
5.8448,0
6.9857,0
6.4946,0
6.8228,0
6.9761,0
6.1805,0
6.9211,0
6.1702,0
6.7996,0
6.4233,0
6.807,0
6.8176,0
6.3443,0
6.654,0
6.6912,0
6.4752,0
6.7841,0
6.267,0
6.3926,0
6.5476,0
6.7893,0
7.0516,0
6.9926,0
6.0655,0
6.9166,0
6.3513,0
6.4851,0
6.4484,0
6.5533,0
6.4549,0
7.0936,0
6.2852,0
6.4467,0
6.8857,0
6.331,0
6.8887,0
6.4901,0
6.5644,0
6.5576,0
6.5585,0
6.7901,0
6.3847,0
6.9357,0
6.2335,0
6.6033,0
6.8332,0
6.2972,0
7.9049,0
5.1705,0
6.6598,0
7.2063,0
6.7531,0
6.8836,0
6.745,0
6.3229,0
6.6595,0
6.5526,0
6.3232,0
6.1359,0
6.7287,0
6.5179,0
6.3764,0
6.934,0
6.3074,0
6.9849,0
6.6014,0
6.3575,0
6.9592,0
6.2724,0
6.9025,0
5.9336,0
6.9221,0
6.5474,0
6.7788,0
6.5984,0
6.9725,0
6.3243,0
6.8473,0
7.2399,0
6.5851,0
7.2216,0
6.0107,0
6.5985,0
6.6929,0
6.7606,0
7.0067,0
6.3607,0
6.736,0
6.1349,0
6.643,0
6.3738,0
6.6899,0
7.6534,0
6.2707,0
7.1384,0
6.8856,0
6.7336,0
7.2303,0
6.4013,0
7.4175,0
6.4871,0
6.8864,0
6.9212,0
6.6314,0
7.0465,0
6.6308,0
7.0039,0
6.4174,0
6.8421,0
7.0849,0
6.5989,0
6.6999,0
7.0925,0
6.5076,0
7.0131,0
6.1516,0
6.7915,0
7.1121,0
6.7524,0
6.6928,0
6.9668,0
6.7535,0
6.946,0
7.2039,0
6.7479,0
6.6647,0
7.0555,0
7.0949,0
6.8727,0
7.5019,0
6.8786,0
7.0668,0
6.2194,0
6.8058,0
7.0222,0
6.7043,0
7.498,0
6.5422,0
6.7972,0
6.7948,0
7.3115,0
6.7799,0
6.3057,0
7.0824,0
6.8747,0
6.8892,0
6.8038,0
6.7832,0
6.9867,0
6.8522,0
6.8955,0
7.0636,0
6.97,0
7.3139,0
6.7012,0
6.6629,0
6.8767,0
6.7044,0
6.7475,0
7.1025,0
7.1047,0
6.6621,0
6.7784,0
7.1403,0
6.6541,0
6.9882,0
6.8409,0
6.8837,0
6.9338,0
6.4145,0
7.303,0
6.3646,0
7.1214,0
6.6828,0
6.586,0
6.6096,0
7.0372,0
7.222,0
6.655,0
6.892,0
6.9596,0
6.5914,0
6.8585,0
6.6544,0
6.5926,0
6.8402,0
6.3858,0
6.831,0
7.4369,0
6.3682,0
6.9386,0
6.9283,0
6.9587,0
6.7718,0
6.4792,0
6.9335,0
6.6533,0
6.88,0
6.6484,0
6.8284,0
6.9796,0
6.4535,0
7.4833,0
6.16,0
7.2301,0
7.1131,0
6.734,0
6.9374,0
6.3326,0
6.9919,0
6.861,0
7.1466,0
6.9477,0
6.8891,0
6.937,0
6.609,0
6.9551,0
6.901,0
6.7131,0
7.1098,0
6.6016,0
7.0591,0
6.6129,0
6.802,0
7.1216,0
6.8652,0
6.5268,0
6.8534,0
7.1787,0
6.4274,0
6.9631,0
7.3147,0
6.7796,0
6.8566,0
6.9358,0
6.387,0
6.9873,0
6.7476,0
6.9958,0
7.3784,0
6.3213,0
7.1546,0
6.608,0
7.2187,0
6.5514,0
6.9885,0
7.0115,0
6.6286,0
7.2991,0
6.2974,0
6.987,0
6.899,0
6.9622,0
7.261,0
6.4146,0
6.864,0
6.7216,0
6.9553,0
7.3042,0
6.6756,0
7.014,0
6.9502,0
7.515,0
6.7556,0
6.9839,0
6.2592,0
6.7819,0
6.8613,0
7.0741,0
6.7243,0
7.3632,0
6.7326,0
6.967,0
7.5185,0
6.4989,0
6.4751,0
6.2691,0
7.3527,0
6.2639,0
6.9892,0
6.8277,0
6.854,0
7.7678,0
5.8277,0
7.0269,0
6.6811,0
6.9658,0
7.4079,0
6.5204,0
7.1184,0
6.9037,0
6.9608,0
7.2084,0
6.8201,0
6.9867,0
6.4858,0
6.8473,0
7.0148,0
6.977,0
6.3168,0
6.6992,0
7.3407,0
6.9251,0
6.5241,0
7.6876,0
6.8899,0
6.6487,0
7.249,0
6.7462,0
7.0924,0
7.2181,0
6.0531,0
6.8834,0
6.971,0
6.8842,0
7.0357,0
7.1503,0
6.9022,0
7.2674,0
6.9584,0
5.9773,0
7.1407,0
6.653,0
7.3894,0
6.6974,0
7.4044,0
6.8111,0
6.7033,0
7.0524,0
6.7016,0
6.33,0
6.7307,0
7.1446,0
6.8956,0
6.8496,0
6.8385,0
7.2399,0
6.5,0
6.8499,0
6.964,0
6.979,0
6.7004,0
6.7373,0
7.3344,0
6.3247,0
7.0642,0
6.4512,0
6.4395,0
7.3866,0
6.7482,0
7.3809,0
5.8989,0
7.2691,0
6.7154,0
6.5869,0
7.1167,0
6.6584,0
7.0676,0
6.5768,0
6.9687,0
6.5991,0
6.878,0
7.0637,0
6.6461,0
7.0431,0
6.8594,0
7.4459,0
6.975,0
6.7139,0
6.6788,0
7.6344,0
7.0346,0
6.5446,0
7.0465,0
6.876,0
6.5945,0
6.7455,0
7.017,0
6.7265,0
7.7427,0
6.2477,0
6.7323,0
6.8433,0
6.7118,0
6.8652,0
7.1565,0
7.0578,0
7.2209,0
6.9809,0
40.4203,0
1.5805,0
3.6328,0
4.2731,0
4.2212,0
3.7008,0
4.0557,0
4.1796,0
4.3546,0
3.677,0
4.1081,0
4.0038,0
4.4146,0
3.6882,0
4.2398,0
4.1548,0
4.2227,0
3.7459,0
4.2258,0
4.1747,0
4.1703,0
4.4928,0
6.8085,0
7.1223,0
6.6498,0
6.6146,0
6.8046,0
6.8487,0
7.4159,0
6.5285,0
7.1767,0
6.9162,0
6.6276,0
7.0276,0
6.4145,0
7.2027,0
6.4002,0
6.9143,0
7.2038,0
6.3915,0
7.2242,0
6.5174,0
7.025,0
6.8914,0
6.4164,0
6.9721,0
6.6855,0
7.1155,0
6.6148,0
6.9901,0
6.911,0
6.8491,0
7.2069,0
6.4568,0
7.0454,0
6.8397,0
6.6335,0
6.6948,0
6.7464,0
6.7697,0
7.1011,0
6.7895,0
6.4728,0
7.2303,1
6.8151,1
6.8921,1
7.1762,1
7.0007,1
6.5138,1
6.9375,1
6.7589,1
6.9159,1
7.1476,1
6.835,1
6.409,1
6.8752,1
6.3342,1
6.6562,1
7.0385,1
6.7061,1
6.3821,1
6.9612,1
6.9689,1
6.8168,1
7.1212,1
7.5361,1
6.3355,1
7.0302,1
7.2317,1
6.8003,1
7.2806,1
6.9896,1
6.0331,1
6.8662,1
7.268,1
6.5828,1
6.4882,1
6.7552,1
6.7203,1
7.0509,1
6.7678,1
7.0782,1
6.5872,1
6.7353,1
7.4692,1
6.5033,1
7.3324,1
6.5222,1
6.3712,1
6.7901,1
7.4507,1
6.782,1
6.8386,1
6.702,1
6.9388,1
6.564,1
7.1128,1
7.0041,1
6.2031,1
6.9967,1
6.7923,1
7.0263,1
6.5599,1
6.8925,1
6.7159,1
6.8208,1
6.8707,1
7.0443,1
6.9407,1
7.2268,1
6.5217,1
6.3791,1
7.0891,1
7.0565,1
6.6094,1
7.1882,1
7.2399,1
6.2808,1
7.1262,1
6.9254,1
6.5493,1
7.3857,1
6.6248,1
7.0621,1
7.1672,1
6.8231,1
6.0575,1
7.0159,1
7.115,1
6.8122,1
6.4592,1
6.8478,1
7.0436,1
6.898,1
6.4901,1
6.2379,1
7.1081,1
6.6342,1
7.111,1
6.814,1
6.7119,1
6.9871,1
6.667,1
7.1837,1
6.2944,1
6.8393,1
6.9512,1
6.4556,1
7.045,1
6.5813,1
6.9371,1
6.9733,1
6.7174,1
7.6346,1
6.5563,1
6.7767,1
6.6486,1
6.9394,1
7.0799,1
6.3445,1
7.0655,1
7.139,1
6.4234,1
7.0245,1
6.922,1
6.8276,1
6.6034,1
7.0883,1
6.5558,1
6.2053,1
6.6697,1
7.2412,1
7.0186,1
7.1523,1
6.8593,1
7.0588,1
7.0083,1
7.2332,1
6.6381,1
6.7593,1
6.5485,1
6.0127,1
6.9737,1
6.7996,1
7.0115,1
7.1113,1
6.4482,1
6.9005,1
6.9254,1
6.4243,1
6.3786,1
6.7013,1
6.5208,1
6.6293,1
6.8236,1
6.2988,1
6.7514,1
7.2541,1
7.169,1
6.0082,1
7.0956,1
7.2176,1
6.5089,1
6.7574,1
6.7131,1
6.6701,1
6.7601,1
6.4011,1
7.0752,1
6.2295,1
7.9088,1
6.6978,1
6.8009,1
6.7639,1
7.2404,1
6.7029,1
7.1528,1
6.8225,1
6.756,1
6.7983,1
6.7896,1
6.6556,1
6.7102,1
7.2172,1
7.0512,1
6.9068,1
7.0542,1
7.0277,1
6.8785,1
6.9477,1
6.6752,1
7.1463,1
6.3982,1
5.9294,1
6.6815,1
6.2646,1
6.7639,1
