frame time,Number of lights
7.3664,0
7.3455,0
7.3431,0
7.4148,0
7.0504,0
7.3547,0
7.1886,0
7.3218,0
13.926,0
4.7702,0
5.0351,0
3.424,0
3.9358,0
6.6905,0
6.0324,0
6.6513,0
6.4971,0
6.3234,0
7.2877,0
5.759,0
6.1989,0
6.6758,0
6.2214,0
6.1052,0
7.0347,0
6.6478,0
6.7116,0
6.9815,0
6.8581,0
6.5327,0
6.4468,0
7.3598,0
6.522,0
6.1861,0
7.0902,0
6.3144,0
6.9882,0
6.6005,0
6.7211,0
6.3811,0
6.3697,0
6.7935,0
6.8693,0
7.0577,0
7.1065,0
6.8813,0
7.2861,0
6.7408,0
6.7925,0
7.4127,0
6.9421,0
6.1469,0
6.0583,0
7.8666,0
7.075,0
6.4912,0
6.2844,0
7.0696,0
6.5711,0
6.2994,0
6.4978,0
6.6086,0
7.1577,0
6.6696,0
6.4128,0
6.575,0
6.4486,0
6.3715,0
6.4901,0
6.9673,0
7.576,0
6.5841,0
7.0113,0
6.7655,0
6.3904,0
6.91,0
6.9361,0
6.4446,0
6.8722,0
6.4447,0
6.3942,0
6.5079,0
6.0643,0
6.9246,0
6.299,0
6.4084,0
6.414,0
6.1889,0
6.4657,0
6.6142,0
6.2561,0
6.8666,0
6.1868,0
6.3665,0
6.3964,0
6.5566,0
6.6506,0
6.4316,0
6.5944,0
7.0793,0
6.4693,0
7.8836,0
6.2509,0
6.4256,0
7.5774,0
6.1651,0
6.6088,0
6.1881,0
6.552,0
7.0234,0
6.6444,0
6.6721,0
6.6933,0
7.3721,0
6.624,0
7.381,0
6.4748,0
7.2787,0
7.0139,0
6.5343,0
6.6122,0
6.6657,0
6.5897,0
6.7699,0
6.4505,0
7.3493,0
6.8887,0
7.1688,0
7.0927,0
7.0971,0
6.4866,0
6.7215,0
7.35,0
6.1937,0
7.2568,0
6.6973,0
6.5664,0
6.5934,0
7.1859,0
7.1954,0
6.6793,0
6.8717,0
6.9015,0
7.1615,0
6.4573,0
8.3634,0
7.2215,0
7.3492,0
7.2193,0
7.702,0
8.0501,0
7.2274,0
6.7138,0
7.2902,0
6.7486,0
6.2757,0
6.4614,0
6.2744,0
7.4497,0
6.612,0
6.05,0
7.0568,0
6.3773,0
6.5615,0
7.3811,0
6.5738,0
6.3791,0
6.454,0
6.2439,0
6.2582,0
6.783,0
6.0786,0
6.7098,0
6.9375,0
6.5507,0
6.4647,0
6.8037,0
7.1621,0
6.1487,0
6.4935,0
6.5822,0
6.1806,0
6.6883,0
5.8671,0
6.853,0
6.2385,0
7.5725,0
6.4261,0
6.1232,0
6.7576,0
6.5958,0
7.2243,0
6.4884,0
6.2496,0
6.5099,0
6.7175,0
7.7603,0
5.9016,0
6.472,0
7.2564,0
6.4768,0
6.9623,0
6.7706,0
7.0394,0
5.8749,0
6.4102,0
6.7052,0
7.243,0
6.2814,0
6.5771,0
7.0061,0
6.7741,0
7.0134,0
6.5847,0
6.8646,0
6.8861,0
6.827,0
7.1318,0
6.5076,0
6.7491,0
7.0091,0
6.8979,0
7.239,0
6.6493,0
7.2263,0
7.0726,0
7.0625,0
7.2419,0
7.2629,0
7.2203,0
6.8182,0
7.3853,0
7.1668,0
7.0077,0
6.6812,0
6.9961,0
7.0672,0
6.9256,0
6.4441,0
6.807,0
7.2498,0
6.9785,0
6.8499,0
6.9195,0
6.9472,0
6.9598,0
7.1975,0
7.4214,0
7.2194,0
7.2189,0
7.2504,0
7.6328,0
6.8763,0
7.3182,0
6.9614,0
7.4851,0
7.2777,0
7.3954,0
7.2809,0
7.286,0
6.7168,0
6.7873,0
7.5084,0
7.2041,0
7.6108,0
7.0324,0
7.72,0
6.6109,0
7.713,0
7.1072,0
7.1737,0
7.3083,0
7.37,0
7.2087,0
6.6564,0
7.1055,0
6.8257,0
7.6647,0
7.3182,0
7.0175,0
7.1119,0
7.3216,0
6.5154,0
7.1036,0
7.1521,0
7.1937,0
7.0805,0
7.2571,0
6.8774,0
7.0607,0
7.0987,0
6.6671,0
7.2372,0
6.8941,0
7.1883,0
6.7466,0
7.0858,0
7.4849,0
6.3341,0
7.0339,0
6.6381,0
6.2871,0
6.8552,0
6.1572,0
6.0802,0
6.6025,0
6.7967,0
6.5506,0
6.1313,0
6.4956,0
6.3547,0
6.3729,0
6.4029,0
6.333,0
6.3311,0
7.0603,0
6.6578,0
6.3229,0
7.0489,0
6.7603,0
6.4823,0
6.8642,0
6.7269,0
6.5833,0
6.5005,0
6.6705,0
6.2844,0
6.5915,0
6.3125,0
6.6085,0
6.9988,0
6.6101,0
6.4368,0
6.1705,0
6.392,0
6.8102,0
6.3478,0
7.0034,0
6.7157,0
6.5644,0
6.7673,0
6.581,0
6.9157,0
6.5869,0
7.1579,0
6.6333,0
6.2756,0
6.7524,0
6.6661,0
7.0331,0
6.1609,0
6.3402,0
6.3739,0
6.4205,0
6.8182,0
6.1474,0
6.7154,0
6.5923,0
6.3533,0
6.9171,0
6.5291,0
6.8899,0
6.2727,0
6.7654,0
6.0883,0
6.8047,0
6.5533,0
6.7644,0
6.75,0
6.4397,0
7.0687,0
6.0277,0
6.8289,0
6.729,0
6.065,0
6.7862,0
6.2529,0
6.3836,0
6.5634,0
6.5146,0
6.7015,0
6.5484,0
6.3856,0
6.2764,0
6.4898,0
6.4615,0
6.4992,0
6.3966,0
6.9929,0
6.2102,0
5.9291,0
6.2932,0
6.4579,0
6.1744,0
6.3758,0
6.8801,0
6.9582,0
6.699,0
6.4329,0
7.2129,0
7.3288,0
6.6182,0
6.6238,0
7.863,0
6.464,0
7.0286,0
6.8812,0
7.1601,0
6.8146,0
6.3032,0
6.3628,0
6.3334,0
6.1248,0
6.8861,0
6.3001,0
6.5197,0
6.9359,0
6.9364,0
7.6877,0
8.1886,0
7.7024,0
8.0453,0
8.0031,0
8.0217,0
8.4464,0
7.4303,0
8.1594,0
7.9707,0
8.1902,0
7.4304,0
7.8381,0
7.4841,0
7.4067,0
7.8003,0
7.5456,0
7.4443,0
44.2815,0
1.6556,0
3.3267,0
5.2262,0
4.5564,0
5.074,0
4.0491,0
4.0895,0
4.2718,0
4.0346,0
4.086,0
3.9575,0
4.0484,0
4.0371,0
4.2675,0
4.0624,0
4.2119,0
4.1796,0
4.2162,0
6.8007,0
7.2349,0
6.3025,0
6.9523,0
6.3905,0
7.0475,0
7.4215,0
6.6598,0
6.5323,0
6.8608,0
6.8445,0
6.7397,0
6.1387,0
6.3707,0
6.3482,0
6.0861,0
6.4137,0
6.4569,0
6.1593,0
6.5494,0
6.6674,0
6.4353,0
6.6971,0
6.7321,0
6.2754,0
6.7562,0
7.0578,0
6.9129,0
6.2266,0
6.8507,0
6.0718,0
6.7628,0
7.2333,0
6.9344,0
6.4863,0
6.6349,0
6.7952,0
6.3306,0
6.8888,0
7.0136,0
6.4498,0
6.5468,0
6.8529,0
6.4788,0
6.3824,0
7.5073,1
6.8665,1
7.3523,1
7.0695,1
7.2701,1
7.0212,1
7.2547,1
7.1479,1
6.6805,1
6.9244,1
6.7549,1
6.6738,1
6.8984,1
6.7966,1
6.8097,1
6.7857,1
6.8062,1
6.8927,1
7.2855,1
7.212,1
7.0363,1
7.0529,1
7.1633,1
6.89,1
7.4685,1
7.0845,1
7.178,1
7.4641,1
7.5226,1
7.2316,1
7.2346,1
7.0934,1
6.8603,1
7.4074,1
6.4824,1
6.8945,1
6.8674,1
7.063,1
7.0117,1
7.5409,1
7.0079,1
6.1176,1
6.4275,1
6.6158,1
6.8005,1
6.3228,1
6.4561,1
6.3478,1
6.3548,1
6.5324,1
6.6027,1
6.6124,1
6.7468,1
6.5231,1
6.142,1
7.0662,1
6.6218,1
6.6858,1
6.6761,1
6.601,1
6.5767,1
6.4282,1
6.4981,1
6.6042,1
6.7592,1
6.6005,1
6.6364,1
6.3002,1
6.7742,1
6.0358,1
6.2504,1
6.6575,1
6.4176,1
6.8017,1
6.5668,1
6.6166,1
6.46,1
6.3135,1
6.547,1
6.3587,1
6.519,1
6.7206,1
6.2615,1
6.3641,1
6.3237,1
6.2058,1
6.5657,1
5.9831,1
6.5151,1
6.9905,1
6.1178,1
6.9812,1
7.2611,1
6.7507,1
6.5264,1
6.5397,1
6.8726,1
7.1735,1
6.8116,1
6.8205,1
5.974,1
6.4175,1
6.7314,1
6.4452,1
6.8011,1
6.2919,1
6.8407,1
7.1999,1
6.073,1
6.5296,1
5.9143,1
6.5679,1
6.105,1
6.2224,1
6.5052,1
6.1452,1
6.4489,1
6.2732,1
6.082,1
6.5473,1
6.6696,1
6.8328,1
6.1418,1
6.3785,1
6.4851,1
6.4166,1
6.2608,1
6.2579,1
6.4688,1
6.4416,1
6.2485,1
6.9742,1
6.3712,1
7.05,1
5.7006,1
6.6869,1
5.9503,1
6.011,1
6.3493,1
6.1104,1
6.4833,1
6.2435,1
6.6198,1
6.382,1
5.9367,1
6.2302,1
6.6113,1
6.2112,1
6.4575,1
6.6935,1
6.4511,1
7.0527,1
6.3734,1
6.9508,1
6.447,1
7.441,1
6.6194,1
6.6738,1
7.1594,1
6.584,1
7.0925,1
6.7024,1
6.7486,1
6.3416,1
6.5835,1
6.6285,1
6.2645,1
6.6468,1
6.3161,1
6.2918,1
6.7013,1
6.6999,1
6.8296,1
6.2869,1
6.2099,1
7.0432,1
6.4824,1
7.0142,1
7.7247,1
5.9292,1
6.5152,1
6.8483,1
6.7527,1
7.3321,1
5.7424,1
6.2506,1
6.4373,1
6.4565,1
7.199,1
6.9151,1
7.1931,1
5.9065,1
6.9424,1
7.2279,1
6.7069,1
7.0658,1
6.2902,1
6.3697,1
6.17,1
6.2069,1
6.3967,1
6.5256,1
6.3017,1
6.0945,1
6.809,1
8.0236,1
7.4729,1
6.7376,1
6.5235,1
6.3751,1
7.0072,1
6.4625,1
6.4856,1
6.2006,1
6.4569,1
6.3113,1
7.0147,1
5.9228,1
7.1648,1
6.9953,1
6.2643,1
6.5228,1
6.2146,1
7.0786,1
6.3109,1
6.4916,1
6.7136,1
6.4907,1
7.0189,1
6.2328,1
6.9006,1
6.8129,1
6.0845,1
6.6233,1
6.5064,1
6.9692,1
6.4403,1
6.6075,1
6.6133,1
6.5201,1
6.9325,1
7.0469,1
6.8936,1
6.5282,1
6.4448,1
6.7991,1
6.3558,1
7.2476,1
6.5553,1
6.2682,1
6.2154,1
6.8425,1
6.2254,1
6.1911,1
6.206,1
6.6174,1
6.3301,1
6.6398,1
6.0685,1
6.4696,1
5.9571,1
6.2349,1
6.8476,1
6.5787,1
6.5679,1
7.0756,1
7.0468,1
6.591,1
6.3968,1
6.8517,1
6.0819,1
7.2767,1
6.5336,1
6.4407,1
6.4938,1
6.4547,1
7.0845,1
6.963,1
7.0301,1
6.9905,1
6.0951,1
6.8201,1
6.6814,1
6.6475,1
6.4833,1
6.2474,1
6.489,1
6.2545,1
6.1708,1
6.2779,1
6.5002,1
6.0947,1
6.4139,1
6.3007,1
5.8776,1
6.7701,1
6.1949,1
6.3993,1
6.5865,1
6.6256,1
6.3169,1
6.4707,1
6.3457,1
6.0529,1
6.8538,1
6.6774,1
6.4928,1
6.2224,1
6.4887,1
6.5031,1
6.6081,1
5.937,1
6.0275,1
6.6338,1
6.2092,1
6.1448,1
6.1731,1
6.2487,1
6.4958,1
6.1248,1
6.6357,1
6.9321,1
7.0318,1
7.1422,1
6.9304,1
6.6246,1
6.4972,1
6.569,1
6.5803,1
6.8238,1
6.2891,1
6.5277,1
6.1368,1
6.3582,1
6.2667,1
6.4444,1
6.8798,1
6.7819,1
6.8848,1
6.5789,1
7.0721,1
6.376,1
6.0563,1
6.48,1
6.1093,1
6.2532,1
7.3157,1
6.5835,1
7.5604,1
6.0178,1
6.8183,1
7.182,1
6.48,1
7.1859,1
6.3859,1
6.4867,1
6.3028,1
6.273,1
6.1387,1
7.9422,1
6.8467,1
6.4866,1
6.5701,1
6.4002,1
6.3482,1
7.4496,1
6.5429,1
6.7456,1
6.8779,1
6.241,1
6.2326,1
6.4714,1
6.1942,1
6.887,1
6.5543,1
6.661,1
7.0101,1
6.6853,1
6.4087,1
6.3384,1
6.1864,1
