frame time,Number of lights
6.4502,0
6.6633,0
6.476,0
6.366,0
6.5148,0
6.116,0
6.2878,0
6.4565,0
6.2152,0
6.7633,0
6.0916,0
6.9009,0
6.6576,0
6.5616,0
6.5313,0
6.3006,0
7.1648,0
7.0202,0
7.0341,0
6.9401,0
7.5986,0
7.0165,0
6.8075,0
7.8496,0
7.6235,0
7.2284,0
8.1203,0
7.8626,0
7.6856,0
7.2008,0
7.546,0
7.3068,0
7.2452,0
7.8772,0
7.3976,0
7.641,0
7.6651,0
7.4372,0
7.2265,0
7.7102,0
7.3624,0
8.0088,0
7.3103,0
7.5724,0
7.2289,0
7.444,0
7.4147,0
8.051,0
7.9404,0
7.4704,0
7.4531,0
7.3535,0
7.4148,0
7.613,0
7.5937,0
7.3577,0
9.6094,0
4.9511,0
7.4367,0
8.0907,0
6.9204,0
7.5464,0
7.2192,0
7.7119,0
7.3951,0
7.4975,0
7.7445,0
7.3809,0
7.4579,0
7.2748,0
7.4807,0
7.3336,0
7.4559,0
7.3444,0
7.3479,0
7.6013,0
7.2294,0
7.0845,0
7.2604,0
7.172,0
7.3287,0
7.3299,0
7.4866,0
7.467,0
7.628,0
7.3051,0
7.9914,0
7.1356,0
7.876,0
7.4629,0
7.2464,0
7.7622,0
7.5002,0
7.3819,0
8.3588,0
7.1304,0
7.4159,0
7.9624,0
7.753,0
7.4074,0
7.7976,0
7.714,0
7.5212,0
7.4875,0
7.1416,0
6.5171,0
7.9203,0
6.9611,0
7.0249,0
7.0799,0
7.1207,0
6.4013,0
6.7517,0
7.0727,0
6.7502,0
7.0261,0
7.0652,0
6.8379,0
6.8612,0
7.1559,0
7.2044,0
6.9579,0
7.3103,0
7.0813,0
6.7847,0
6.8689,0
6.7651,0
7.1295,0
7.0315,0
6.7362,0
7.5476,0
6.8026,0
6.9022,0
7.2126,0
6.6949,0
6.7921,0
7.1108,0
7.402,0
7.1935,0
7.0515,0
6.908,0
7.0388,0
7.0953,0
6.9622,0
7.2307,0
6.7613,0
7.4982,0
6.7698,0
6.8681,0
6.8462,0
7.0347,0
6.9244,0
6.9665,0
7.0648,0
7.3151,0
7.2565,0
6.2695,0
6.769,0
7.0274,0
7.5218,0
7.8617,0
7.1417,0
7.2235,0
7.3999,0
7.5553,0
