frame time,Number of lights
4.0382,0
5.0052,0
4.9962,0
4.0997,0
4.7422,0
4.3904,0
4.8522,0
5.3073,0
3.8754,0
4.6892,0
5.1271,0
4.9907,0
5.0471,0
4.032,0
4.6745,0
4.664,0
4.5838,0
5.2235,0
4.2833,0
4.588,0
4.9463,0
4.1148,0
4.8349,0
5.1231,0
5.024,0
4.8389,0
4.6579,0
4.4991,0
4.4579,0
4.732,0
5.0658,0
4.2038,0
4.6749,0
4.8979,0
3.9709,0
5.1868,0
4.4073,0
5.2713,0
4.1252,0
4.7403,0
4.5533,0
4.8447,0
5.0221,0
4.082,0
4.8419,0
4.7747,0
4.2345,0
5.0407,0
4.6352,0
4.6257,0
4.8193,0
4.7997,0
4.7272,0
4.4075,0
4.4354,0
4.4652,0
5.0956,0
4.6867,0
4.3858,0
5.2881,0
4.4985,0
4.3719,0
4.6325,0
5.3508,0
6.0257,0
4.6176,0
5.7334,0
4.5381,0
5.0077,0
4.9817,0
4.3286,0
4.5919,0
5.1877,0
5.415,0
4.2774,0
4.6582,0
4.5283,0
5.4949,0
4.2159,0
4.69,0
4.1664,0
4.7581,0
4.836,0
4.9154,0
4.5934,0
4.7535,0
4.7904,0
5.0982,0
4.6088,0
4.7101,0
4.6895,0
4.6966,0
4.9501,0
4.2891,0
4.7868,0
4.6644,0
4.6032,0
5.1014,0
4.5481,0
5.0957,0
4.3686,0
4.6629,0
4.6765,0
4.6888,0
4.8267,0
4.7516,0
4.6875,0
4.8258,0
5.0038,0
4.2493,0
4.5709,0
5.1776,0
4.1098,0
4.8031,0
4.6505,0
4.8798,0
4.4876,0
4.3403,0
4.8058,0
4.7628,0
4.6028,0
4.7069,0
5.0272,0
4.1758,0
4.6249,0
5.0973,0
4.3396,0
5.2505,0
4.3462,0
5.0207,0
4.9803,0
4.4073,0
5.0812,0
4.2244,0
5.0609,0
4.427,0
4.8978,0
4.8275,0
4.3042,0
4.7594,0
5.2817,0
4.0949,0
4.9023,0
4.5955,0
4.5884,0
4.73,0
5.2158,0
4.0668,0
4.6172,0
5.1128,0
4.5071,0
4.8421,0
4.2761,0
4.5499,0
4.8354,0
4.7129,0
4.79,0
5.0186,0
4.5549,0
4.6344,0
4.8025,0
4.726,0
4.6642,0
4.7415,0
4.4219,0
4.9449,0
4.5266,0
4.7024,0
4.6061,0
4.8767,0
4.2943,0
4.9069,0
4.5425,0
5.1317,0
4.7164,0
4.9571,0
5.1903,0
4.3457,0
4.5881,0
4.5224,0
4.4766,0
4.7311,0
4.6794,0
4.4353,0
4.6749,0
4.7066,0
4.2311,0
4.5609,0
5.0078,0
4.2997,0
4.963,0
4.4452,0
4.4566,0
4.7498,0
4.3673,0
4.8941,0
4.7699,0
4.5122,0
4.7846,0
4.8212,0
4.3794,0
4.6721,0
5.1055,0
4.2557,0
4.986,0
4.5399,0
4.2989,0
5.1358,0
4.6463,0
4.6758,0
4.873,0
4.3146,0
4.8259,0
4.6045,0
4.8865,0
4.6506,0
4.6566,0
4.5621,0
4.5811,0
5.0878,0
4.4302,0
4.5723,0
4.5583,0
5.0233,0
4.3196,0
4.7256,0
4.775,0
4.7775,0
4.687,0
4.6892,0
4.6251,0
4.5706,0
4.7105,0
5.064,0
5.1824,0
4.907,0
4.6102,0
4.2174,0
4.8661,0
4.7622,0
4.4079,0
4.4819,0
4.6077,0
5.042,0
4.5934,0
4.8164,0
4.4653,0
4.5579,0
4.7542,0
4.5447,0
4.5642,0
4.7345,0
5.0658,0
5.0492,0
5.0362,0
4.6953,0
4.5553,0
4.7763,0
4.9376,0
4.9633,0
4.4362,0
4.7771,0
4.7422,0
4.9046,0
4.427,0
4.728,0
5.1221,0
5.0066,0
4.2056,0
4.8123,0
4.3241,0
4.7466,0
5.0856,0
4.4438,0
4.5588,0
5.0986,0
4.4344,0
4.5597,0
4.7757,0
5.1987,0
4.0178,0
4.6627,0
5.1766,0
5.1839,0
3.8795,0
4.9958,0
5.229,0
4.2046,0
4.2308,0
4.5416,0
4.6959,0
4.5703,0
4.4072,0
4.8104,0
4.5044,0
4.8055,0
4.3156,0
4.7423,0
4.8452,0
5.4319,0
4.8367,0
5.3923,0
4.4737,0
4.5857,0
5.2297,0
4.5002,0
5.073,0
4.7814,0
5.2799,0
4.7552,0
4.9906,0
5.5499,0
5.1779,0
5.0438,0
4.8034,0
4.4922,0
5.2238,0
4.6605,0
