frame time,Number of lights
4.4314,0
5.1725,0
5.0599,0
5.0103,0
4.8579,0
4.5203,0
5.6652,0
4.8233,0
4.8842,0
4.7361,0
5.1378,0
5.2846,0
4.3734,0
4.4835,0
4.9612,0
4.3427,0
5.116,0
5.109,0
4.3471,0
5.4342,0
5.1447,0
4.6623,0
4.8785,0
4.048,0
4.2184,0
5.2769,0
4.5264,0
5.0163,0
5.5284,0
4.287,0
4.7271,0
4.4655,0
4.4725,0
4.9856,0
4.7692,0
4.7379,0
4.487,0
4.9492,0
5.4269,0
4.5751,0
5.1197,0
4.5172,0
5.474,0
4.6193,0
5.3077,0
4.0924,0
5.2214,0
4.3438,0
4.7616,0
4.541,0
5.2345,0
4.0056,0
4.9206,0
5.0385,0
4.5538,0
4.7632,0
4.7165,0
4.7358,0
4.2365,0
4.4296,0
4.789,0
4.173,0
4.6655,0
5.0633,0
4.1846,0
4.7378,0
4.8074,0
4.3473,0
4.6974,0
4.5055,0
5.0729,0
4.7284,0
5.052,0
3.7629,0
5.1638,0
4.9843,0
4.5116,0
3.9572,0
4.3064,0
4.2081,0
4.2445,0
4.572,0
4.2104,0
4.667,0
4.1401,0
4.4413,0
4.8765,0
4.9549,0
5.3773,0
4.6531,0
4.6552,0
4.3995,0
5.1486,0
4.7542,0
3.9233,0
4.9901,0
5.0838,0
5.2568,0
4.2467,0
4.256,0
4.402,0
5.0543,0
5.001,0
4.7772,0
4.16,0
5.0744,0
5.017,0
5.0224,0
4.7499,0
4.5414,0
4.8544,0
4.7965,0
4.192,0
4.8859,0
4.1895,0
4.5048,0
4.4372,0
4.9482,0
4.434,0
4.2379,0
4.5617,0
4.3954,0
4.7805,0
4.5442,0
4.7416,0
4.3126,0
4.9399,0
4.52,0
4.4094,0
4.8759,0
4.1541,0
4.843,0
4.4938,0
4.6215,0
4.9455,0
4.3456,0
5.5238,0
3.8772,0
4.6257,0
4.884,0
4.5293,0
4.4965,0
5.0774,0
5.245,0
4.2548,0
4.3937,0
4.9583,0
4.2009,0
4.9378,0
4.8104,0
4.3513,0
4.7971,0
4.6666,0
4.5478,0
5.0814,0
4.2935,0
4.803,0
4.7242,0
4.5283,0
4.4914,0
5.1,0
4.4946,0
4.7922,0
4.9232,0
4.8417,0
4.6298,0
4.4823,0
4.7647,0
4.6234,0
4.7414,0
4.8626,0
4.8801,0
4.5054,0
