frame time,Number of lights
6.3157,0
6.202,0
6.606,0
5.6377,0
6.4043,0
6.6978,0
6.8543,0
6.926,0
6.4615,0
6.3096,0
6.1478,0
6.1994,0
6.6627,0
6.3758,0
6.5801,0
5.9292,0
6.2145,0
6.6213,0
6.0312,0
6.3565,0
7.2638,0
6.4347,0
6.5449,0
5.9515,0
7.0959,0
7.0179,0
5.9422,0
6.753,0
6.4981,0
7.2092,0
6.5317,0
6.2604,0
6.4854,0
7.188,0
5.8341,0
7.069,0
6.7868,0
6.5114,0
6.2517,0
5.9263,0
7.0771,0
6.0775,0
6.6551,0
6.4424,0
6.406,0
6.6939,0
6.388,0
6.604,0
6.0138,0
6.4781,0
6.7374,0
6.885,0
6.1973,0
6.3851,0
9.1758,0
3.546,0
7.41,0
6.5938,0
6.4155,0
6.647,0
6.4797,0
7.0933,0
6.4759,0
6.4006,0
6.6105,0
6.3715,0
6.5566,0
6.9833,0
6.957,0
6.9211,0
6.5551,0
7.0222,0
6.6687,0
6.6538,0
6.4164,0
6.8182,0
7.2882,0
6.0444,0
6.9177,0
6.4225,0
6.4162,0
7.2209,0
6.4022,0
6.9019,0
7.0365,0
6.3545,0
6.8335,0
7.3492,0
6.2914,0
6.7015,0
7.1388,0
6.618,0
6.5883,0
7.0704,0
6.8371,0
7.0129,0
6.4426,0
6.9991,0
6.3481,0
6.601,0
6.9183,0
6.4984,0
6.574,0
6.8581,0
6.0239,0
6.0475,0
6.7998,0
6.7618,0
6.5914,0
6.7325,0
6.2893,0
6.6042,0
6.6539,0
6.7409,0
6.552,0
6.9708,0
6.1758,0
6.83,0
6.5066,0
6.5693,0
6.8199,0
6.663,0
6.6725,0
7.2769,0
6.7528,0
7.0713,0
6.5761,0
6.8877,0
6.3583,0
6.3035,0
6.956,0
7.3291,0
6.6294,0
7.7095,0
5.4764,0
7.5938,0
6.2957,0
5.9495,0
7.1388,0
6.2739,0
6.8999,0
6.4641,0
6.6331,0
7.0164,0
6.6175,0
7.1147,0
6.7551,0
6.4421,0
6.6596,0
6.9128,0
6.446,0
6.8986,0
6.8448,0
6.7802,0
6.4693,0
7.17,0
6.3463,0
6.498,0
7.1254,0
7.4278,0
6.3786,0
7.1023,0
6.7866,0
7.3553,0
6.2245,0
7.7609,0
5.8954,0
6.5834,0
6.8581,0
6.1921,0
7.21,0
6.5438,0
6.7662,0
5.7577,0
6.6251,0
6.5897,0
6.3548,0
6.4778,0
6.6159,0
5.9139,0
7.1497,0
6.1233,0
6.732,0
6.5628,0
6.6115,0
6.6832,0
6.4926,0
6.8119,0
6.6769,0
6.5981,0
6.6182,0
6.5448,0
6.3897,0
6.5781,0
6.4328,0
6.7392,0
6.2292,0
6.7943,0
6.4418,0
6.1747,0
6.7269,0
6.4715,0
6.5805,0
6.8637,0
6.687,0
6.8901,0
5.822,0
6.9045,0
6.1326,0
6.8793,0
6.5108,0
6.4829,0
6.5957,0
6.5506,0
6.3568,0
6.7356,0
6.0506,0
6.3959,0
6.8546,0
6.6534,0
6.2744,0
6.8915,0
5.9507,0
6.9768,0
5.976,0
6.928,0
6.1958,0
6.2992,0
6.5747,0
7.2962,0
6.41,0
6.7374,0
6.4723,0
7.0036,0
6.3377,0
6.4965,0
6.4489,0
6.6409,0
6.7031,0
6.9063,0
6.3566,0
6.7003,0
6.4296,0
6.8296,0
6.5943,0
6.8145,0
6.4311,0
6.3681,0
6.9888,0
6.9471,0
6.1819,0
6.8649,0
6.6522,0
6.3716,0
6.93,0
6.1145,0
6.2865,0
6.4393,0
6.5471,0
7.1103,0
6.1594,0
6.5098,0
6.9044,0
6.1634,0
7.2056,0
6.1894,0
6.5156,0
6.6077,0
6.4281,0
6.7624,0
6.0581,0
6.8532,0
6.8697,0
6.4281,0
6.1472,0
6.4267,0
6.4753,0
6.4582,0
6.6155,0
6.4018,0
6.8565,0
6.9709,0
6.2992,0
6.111,0
6.8484,0
6.1332,0
6.8034,0
6.303,0
5.9169,0
6.595,0
6.9657,0
6.3602,0
6.6338,0
6.7265,0
6.2438,0
6.7217,0
6.1686,0
6.4652,0
7.0022,0
6.0642,0
6.7917,0
6.1089,0
6.4553,0
6.8336,0
5.9308,0
6.939,0
6.2361,0
6.7028,0
6.9249,0
5.9659,0
6.5957,0
6.5522,0
6.5872,0
7.1575,0
7.012,0
6.1275,0
6.6979,0
6.86,0
6.6243,0
6.4156,0
6.6533,0
6.3533,0
7.3887,0
6.1361,0
6.9258,0
6.0856,0
6.6714,0
6.4552,0
7.2391,0
7.1652,0
6.3355,0
6.4551,0
6.6855,0
7.1927,0
6.2885,0
6.9937,0
6.4999,0
6.41,0
6.97,0
6.6244,0
6.9562,0
6.3348,0
6.8544,0
6.8521,0
6.0077,0
6.6409,0
6.3694,0
6.7438,0
6.8038,0
5.8599,0
6.7574,0
6.4102,0
6.8688,0
7.0088,0
6.0726,0
7.1824,0
6.2796,0
6.7591,0
6.7903,0
6.0568,0
6.8092,0
6.5137,0
6.7519,0
6.3719,0
6.502,0
6.5793,0
7.9477,0
5.4467,0
7.0941,0
6.3164,0
6.5664,0
6.0075,0
6.5279,0
7.4814,0
6.5273,0
6.8347,0
7.2248,0
6.1192,0
6.2167,0
6.6503,0
6.9405,0
6.4796,0
6.3914,0
7.1058,0
5.83,0
6.9534,0
6.2628,0
6.4308,0
6.8076,0
6.1926,0
6.914,0
6.8055,0
5.9433,0
7.0709,0
6.6384,0
6.4129,0
6.3335,0
5.8184,0
6.6349,0
6.6185,0
6.4295,0
7.0089,0
6.0022,0
6.9302,0
6.6201,0
6.3658,0
7.838,0
5.6924,0
6.7275,0
6.9958,0
7.1634,0
6.2182,0
6.8326,0
5.8786,0
7.4467,0
7.1158,0
6.1929,0
7.1102,0
7.2464,0
7.2018,0
6.1605,0
6.8295,0
6.6735,0
6.4009,0
6.6339,0
7.2856,0
6.8243,0
7.2188,0
6.3897,0
6.912,0
7.1706,0
6.4645,0
7.1493,0
6.9209,0
6.0565,0
6.6658,0
6.7576,0
6.9141,0
6.7208,0
6.8653,0
6.7735,0
7.0257,0
6.4011,0
6.7874,0
6.806,0
5.8721,0
6.5697,0
7.0844,0
7.3607,0
5.9115,0
6.5208,0
6.7715,0
6.2876,0
6.9031,0
6.4837,0
6.4642,0
56.4247,0
1.6441,0
3.4001,0
4.1768,0
6.7424,0
6.5655,0
6.8225,0
5.6958,0
6.8489,0
6.7645,0
6.2183,0
6.8193,0
6.3965,0
6.8808,0
6.7854,0
6.24,0
5.7009,0
7.056,0
6.1551,0
6.3534,0
6.8229,0
6.4802,0
6.7103,0
6.3325,0
6.7598,0
6.7456,0
6.0704,0
6.9857,0
6.1912,0
6.0472,0
6.7159,0
6.6405,0
7.1497,0
6.2332,0
7.4862,0
5.9771,0
6.4774,0
6.8479,0
6.2056,0
6.7272,0
6.4233,0
6.1224,0
6.8655,0
5.8289,0
5.9233,1
6.6651,1
6.7917,1
6.4857,1
6.9662,1
6.1733,1
7.0148,1
6.8651,1
6.0953,1
7.0295,1
6.7163,1
6.5939,1
6.5636,1
6.8385,1
6.8694,1
6.3645,1
7.3737,1
5.7826,1
6.4341,1
6.7411,1
6.4699,1
6.8407,1
6.4327,1
7.026,1
6.4728,1
6.2819,1
6.8789,1
6.4762,1
6.696,1
6.1546,1
6.3448,1
6.6141,1
6.8913,1
6.276,1
6.4153,1
6.8802,1
6.1396,1
6.5455,1
7.0044,1
7.2581,1
6.8144,1
6.5054,1
6.8475,1
6.6461,1
6.7773,1
7.0498,1
7.0653,1
7.2147,1
6.5104,1
7.3328,1
6.4702,1
7.3328,1
6.3623,1
7.1581,1
6.649,1
6.5859,1
7.4215,1
6.0966,1
6.9275,1
6.6953,1
7.0507,1
6.4697,1
7.0332,1
7.0001,1
7.2137,1
6.9717,1
6.838,1
6.7446,1
6.9341,1
6.6728,1
6.8647,1
6.9508,1
7.5592,1
6.7987,1
6.1454,1
6.3194,1
7.2462,1
6.2773,1
7.0471,1
6.6588,1
6.7932,1
7.3931,1
6.7757,1
7.3747,1
6.6857,1
7.2561,1
6.7032,1
6.9973,1
6.9164,1
6.5279,1
7.5655,1
6.1917,1
7.3184,1
6.4971,1
6.4378,1
7.093,1
6.4475,1
6.8465,1
6.3309,1
7.0534,1
6.4329,1
6.6558,1
6.8668,1
6.8891,1
6.2838,1
6.4599,1
6.5633,1
7.1234,1
6.2822,1
6.9298,1
6.3329,1
6.4517,1
6.3895,1
7.018,1
6.4915,1
6.8184,1
6.656,1
