frame time,Number of lights
6.5659,0
7.1258,0
6.9567,0
6.5149,0
7.1235,0
6.5153,0
6.7407,0
6.7505,0
6.1201,0
6.1563,0
6.577,0
6.2164,0
7.1845,0
6.2431,0
6.1086,0
6.6211,0
7.2653,0
7.5606,0
6.5832,0
8.1726,0
7.752,0
7.0074,0
6.431,0
6.5611,0
6.835,0
6.4635,0
5.6235,0
6.6758,0
6.1122,0
7.0655,0
6.3411,0
6.5003,0
6.6548,0
6.5341,0
7.2547,0
6.1453,0
6.633,0
6.744,0
6.3978,0
6.2382,0
7.2806,0
6.0601,0
6.2626,0
7.8365,0
6.4807,0
6.0494,0
6.6636,0
6.4308,0
6.8712,0
7.0451,0
6.9755,0
6.5147,0
6.6954,0
7.0326,0
6.9604,0
6.3915,0
9.1796,0
3.242,0
6.7992,0
6.3501,0
6.1879,0
6.4008,0
7.1612,0
6.566,0
6.9559,0
7.0498,0
6.8227,0
6.3783,0
6.7011,0
7.0393,0
6.7144,0
7.033,0
6.1087,0
6.383,0
6.5864,0
6.2609,0
7.1805,0
6.8538,0
5.9469,0
6.8026,0
7.056,0
6.7871,0
6.1705,0
6.7822,0
6.0406,0
6.966,0
6.1178,0
6.2529,0
6.2361,0
6.7949,0
6.8347,0
5.9572,0
7.1175,0
5.9496,0
6.1775,0
6.9472,0
5.8794,0
6.9028,0
5.5172,0
6.7874,0
6.9296,0
5.9695,0
6.2703,0
6.6355,0
6.1602,0
6.2741,0
6.5323,0
6.3677,0
6.0939,0
6.6539,0
6.4917,0
6.5353,0
6.8805,0
6.4633,0
6.7773,0
6.0183,0
6.3872,0
6.8302,0
6.783,0
6.9643,0
7.1392,0
7.0206,0
7.1118,0
7.1484,0
7.4744,0
7.2401,0
7.4745,0
7.4671,0
7.228,0
7.2156,0
7.1215,0
6.8607,0
7.3042,0
6.7008,0
7.0169,0
7.0231,0
6.8799,0
7.1331,0
6.6832,0
6.9072,0
7.3004,0
7.3764,0
6.8716,0
7.1564,0
7.46,0
6.3751,0
6.8622,0
6.9995,0
6.723,0
7.0275,0
6.6098,0
6.9228,0
6.8602,0
7.1991,0
6.8297,0
6.8539,0
7.0657,0
6.6845,0
7.1238,0
6.5085,0
6.9332,0
7.1357,0
6.8656,0
7.0967,0
7.1117,0
6.9742,0
6.8696,0
6.9737,0
6.913,0
6.9739,0
7.275,0
6.6841,0
6.4526,0
7.0003,0
6.632,0
6.2434,0
6.728,0
6.1241,0
6.3575,0
6.9345,0
6.128,0
6.6008,0
6.2641,0
6.9112,0
6.5372,0
6.6214,0
6.7073,0
6.1541,0
6.3245,0
6.5304,0
6.2156,0
6.4064,0
6.3122,0
6.252,0
6.7121,0
6.5102,0
6.4251,0
6.4512,0
6.1662,0
6.6594,0
6.6571,0
6.4341,0
6.7635,0
6.5734,0
6.7586,0
6.2241,0
6.5646,0
6.3889,0
6.1933,0
6.8368,0
6.0442,0
6.9965,0
6.6601,0
6.444,0
6.6828,0
6.2561,0
6.6827,0
6.1342,0
6.6756,0
6.802,0
7.2431,0
6.2734,0
6.2048,0
6.6849,0
6.5655,0
6.5752,0
6.3041,0
6.706,0
7.2468,0
6.1694,0
6.6671,0
6.2743,0
6.4822,0
6.3823,0
6.3463,0
6.797,0
6.6647,0
