frame time,Number of lights
18.383,0
1.551,0
3.0077,0
3.4773,0
5.5954,0
8.1995,0
8.3159,0
5.5391,0
7.8806,0
5.764,0
7.6745,0
8.5611,0
6.5312,0
8.7495,0
7.2681,0
6.362,0
7.7537,0
6.2939,0
9.0409,0
5.619,0
8.1638,0
5.7669,0
5.4655,0
8.1684,0
5.7197,0
5.5018,0
7.7589,0
5.2034,0
7.8487,0
5.5708,0
6.3513,0
8.2099,0
5.7516,0
6.509,0
7.7366,0
5.7976,0
8.5687,0
5.6765,0
5.6626,0
8.0373,0
6.1876,0
7.8355,0
8.4588,0
5.535,0
7.6255,0
7.1769,0
7.5397,0
5.07,0
6.7346,0
7.3903,0
5.6791,0
7.1411,0
8.5632,0
4.8769,0
8.6252,0
5.2689,0
5.2023,0
8.1151,0
5.7501,0
8.7362,0
8.4287,0
5.1426,0
8.0212,0
5.1528,0
9.1026,0
4.8128,0
5.1228,0
7.6107,0
4.9485,0
5.5641,0
7.6645,0
4.9914,0
5.0283,0
7.8123,0
5.0653,0
4.8667,0
7.926,0
4.9232,0
5.5632,0
8.1,0
5.943,0
8.4954,0
8.0076,0
5.7148,0
8.2593,0
5.1842,0
8.4442,0
6.0474,0
6.0601,0
8.0843,0
5.8822,0
7.9191,0
8.1193,0
4.6638,0
6.4816,0
4.9504,0
4.568,0
6.985,0
5.4499,0
5.1719,0
5.8911,0
5.959,0
4.5934,0
7.6927,0
5.2001,0
5.4587,0
5.9771,0
5.1944,0
5.2768,0
4.7492,0
5.5625,0
4.6226,0
4.5432,0
6.2056,0
5.4497,0
5.607,0
6.2945,0
5.5071,0
7.317,0
6.3305,0
5.8665,0
4.977,0
7.4807,0
6.2776,0
5.0744,0
6.2353,0
6.7189,0
7.8351,0
8.875,0
6.4656,0
6.8118,0
7.6101,0
6.3829,0
6.2817,0
6.9603,0
5.1754,0
7.3561,0
5.1842,0
6.7026,0
6.1794,0
7.0826,0
6.9186,0
6.7486,0
6.7166,0
6.2302,0
5.6377,0
6.0146,0
5.7536,0
6.1092,0
7.1314,0
5.5661,0
7.7934,0
7.2643,0
6.388,0
7.1597,0
8.1515,0
7.359,0
7.8675,0
7.3105,0
8.5805,0
6.2559,0
8.0322,0
6.5169,0
6.2265,0
7.2765,0
6.5881,0
7.476,0
6.5389,0
6.7886,0
6.3191,0
6.1168,0
6.444,0
6.0534,0
6.345,0
6.6314,0
5.3558,0
5.3456,0
6.4554,0
6.2332,0
5.5068,0
6.5679,0
6.0672,0
6.4718,0
6.2524,0
6.5757,0
7.0932,0
6.4422,0
6.4905,0
7.7119,0
6.8389,0
5.3815,0
6.8842,0
7.3682,0
6.6,0
6.4289,0
5.7475,0
6.6996,0
5.5726,0
6.6042,0
7.2054,0
6.1256,0
6.7743,0
7.1177,0
7.4393,0
7.3971,0
6.5628,0
6.5021,0
6.0991,0
7.0314,0
5.6066,0
6.3929,0
6.3461,0
6.1009,0
6.8666,0
7.1542,0
7.2763,0
8.2245,0
6.2093,0
5.1381,0
5.8738,0
5.716,0
6.1015,0
7.0913,0
5.9403,0
6.386,0
5.6702,0
5.269,0
6.1684,0
6.4929,0
6.0718,0
6.7828,0
6.399,0
7.0556,0
6.3884,0
6.3401,0
6.2163,0
7.7297,0
5.4909,0
5.8571,0
5.9708,0
5.1094,0
6.8203,0
6.3366,0
6.0103,0
5.4036,0
7.3362,0
5.9499,0
6.7434,0
5.7798,0
5.6014,0
6.9852,0
6.9716,0
5.6587,0
5.3629,0
6.0242,0
5.5784,0
6.5167,0
4.9406,0
5.4225,0
5.8785,0
6.0915,0
5.8613,0
5.9769,0
6.3945,0
5.5319,0
5.8559,0
5.6721,0
6.1433,0
5.9951,0
5.4366,0
5.5955,0
6.007,0
5.7356,0
5.8376,0
5.1395,0
5.7953,0
5.8674,0
5.7919,0
5.6624,0
5.2896,0
5.696,0
5.9311,0
6.4849,0
5.3191,0
5.931,0
5.1395,0
5.8089,0
6.0715,0
6.0062,0
5.301,0
5.8505,0
5.5704,0
6.0613,0
5.6775,0
5.8024,0
5.9293,0
6.2738,0
5.6601,0
6.3087,0
5.0757,0
5.8442,0
6.0289,0
6.7013,0
5.6591,0
5.9019,0
6.5663,0
4.6135,0
6.0346,0
5.7135,0
5.5755,0
4.8684,0
5.821,0
5.7708,0
5.7552,0
5.8714,0
6.2308,0
5.9606,0
6.2038,0
5.8123,0
5.8636,0
7.0473,0
5.3062,0
5.1978,0
5.4806,0
5.9484,0
6.2132,0
5.9401,0
6.2174,0
7.2062,0
6.4146,0
5.6154,0
5.592,0
5.9275,0
5.0298,0
5.6302,0
6.2534,0
6.4648,0
5.7361,0
5.4264,0
5.7835,0
6.0386,0
5.5464,0
6.3094,0
5.8428,0
5.7642,0
5.9301,0
5.9306,0
5.4938,0
5.7394,0
6.6213,0
5.6116,0
5.9905,0
5.9167,0
5.6427,0
5.6392,0
5.9733,0
5.2608,0
6.1018,0
5.8164,0
5.9801,0
5.8107,0
6.0359,0
6.1909,0
5.6531,0
5.6612,0
5.8058,0
5.9499,0
6.2158,0
5.44,0
5.8509,0
5.7359,0
5.7201,0
5.4082,0
5.6585,0
5.6864,0
5.8658,0
5.1713,0
5.527,0
6.1013,0
5.5364,0
5.7739,0
5.7991,0
5.7152,0
5.611,0
6.2447,0
5.5998,0
5.7479,0
6.1736,0
5.884,0
6.0693,0
5.5925,0
6.0847,0
5.5972,0
5.3223,0
6.2531,0
5.9731,0
5.2815,0
5.7209,0
5.9682,0
5.8062,0
6.0836,0
5.3795,0
5.5124,0
5.4129,0
5.7414,0
6.0312,0
5.2715,0
5.4505,0
5.3453,0
6.0599,0
6.2128,0
5.2485,0
