frame time,Number of lights
6.7312,0
6.6188,0
6.9164,0
6.372,0
6.4334,0
6.1431,0
6.3341,0
5.7128,0
6.1527,0
7.461,0
5.5853,0
6.0678,0
6.3431,0
7.5435,0
6.4678,0
7.6345,0
7.5759,0
7.4527,0
7.3885,0
6.8381,0
7.1165,0
8.7188,0
6.7961,0
7.5446,0
6.459,0
8.439,0
6.0676,0
6.3619,0
6.9586,0
7.6529,0
8.2952,0
8.1436,0
5.6724,0
8.17,0
6.6021,0
7.9071,0
6.7332,0
5.8662,0
7.1786,0
6.564,0
7.8427,0
7.7585,0
8.3768,0
7.5942,0
7.9661,0
7.6703,0
7.6384,0
7.6148,0
7.6343,0
7.4226,0
7.4502,0
7.8574,0
8.2276,0
7.5908,0
7.9728,0
8.5245,0
7.9939,0
8.1393,0
7.4382,0
7.599,0
7.3579,0
7.8671,0
8.0586,0
8.0293,0
8.1087,0
8.6489,0
7.3996,0
8.9395,0
9.2722,0
8.7577,0
7.0808,0
8.324,0
7.5889,0
8.8693,0
8.0186,0
8.2511,0
8.098,0
9.731,0
7.7012,0
9.2407,0
5.9684,0
8.9799,0
7.9967,0
8.3021,0
7.5739,0
8.3689,0
8.4921,0
9.244,0
9.4535,0
9.0276,0
7.978,0
8.0607,0
8.116,0
7.6118,0
9.0122,0
8.297,0
7.3476,0
7.8444,0
7.8299,0
7.9402,0
8.559,0
8.4892,0
8.6629,0
7.9952,0
7.8735,0
9.0647,0
8.3309,0
7.8914,0
6.6879,0
7.2729,0
7.9467,0
7.9375,0
7.7306,0
7.9841,0
8.7708,0
7.5127,0
7.8206,0
7.9014,0
8.4914,0
8.5141,0
8.3695,0
8.895,0
8.4053,0
8.3836,0
8.9573,0
8.6585,0
7.9927,0
8.9537,0
9.1918,0
9.2833,0
8.7112,0
8.2597,0
8.8894,0
9.1889,0
8.6735,0
8.8172,0
8.3284,0
8.8015,0
9.0464,0
9.1544,0
8.7495,0
9.1279,0
9.0392,0
9.0795,0
9.6814,0
8.7496,0
8.9809,0
8.1745,0
9.0452,0
8.4387,0
8.8052,0
8.6931,0
8.0039,0
9.1242,0
8.4521,0
8.1587,0
9.8743,0
8.4178,0
10.3624,0
9.4341,0
9.4726,0
8.2267,0
8.2247,0
8.0316,0
8.9655,0
8.5226,0
8.0557,0
8.5123,0
8.1339,0
9.1127,0
8.5625,0
8.7092,0
8.6992,0
8.6112,0
6.9288,0
7.5944,0
7.1279,0
8.1042,0
6.8772,0
8.2247,0
7.476,0
9.1481,0
8.1828,0
7.2505,0
8.3395,0
6.2782,0
6.6311,0
6.9069,0
7.4947,0
6.6148,0
6.6389,0
7.2054,0
6.0671,0
6.7918,0
6.8712,0
6.3308,0
6.5583,0
6.3339,0
6.6088,0
6.4344,0
6.5611,0
6.5474,0
6.4123,0
6.9759,0
6.4851,0
6.3066,0
6.8876,0
6.4671,0
6.6485,0
6.3401,0
6.4101,0
6.6464,0
6.3419,0
6.3415,0
7.2512,0
6.2095,0
6.9771,0
6.8003,0
6.2921,0
6.5039,0
6.117,0
6.2723,0
6.5876,0
7.0103,0
6.7669,0
8.1676,0
6.4524,0
7.3913,0
7.9841,0
7.9888,0
8.8079,0
8.1925,0
7.8742,0
7.9745,0
8.0269,0
7.514,0
7.7046,0
8.2218,0
6.2859,0
7.1235,0
7.1491,0
6.9179,0
6.7617,0
8.8904,0
8.1532,0
7.7648,0
7.7372,0
8.2264,0
8.275,0
8.4853,0
8.1251,0
8.0258,0
8.3703,0
6.8585,0
7.0585,0
7.1544,0
7.226,0
7.3571,0
10.231,0
8.1777,0
7.1671,0
7.7346,0
8.1267,0
7.244,0
6.9993,0
8.2378,0
7.3232,0
8.5832,0
6.4236,0
7.3399,0
6.575,0
7.8362,0
7.3821,0
9.5066,0
10.1048,0
9.2705,0
8.171,0
10.0693,0
9.862,0
9.9579,0
8.4767,0
8.8401,0
9.0902,0
9.6277,0
9.8917,0
8.4396,0
9.2305,0
11.3676,0
10.8233,0
10.16,0
7.5721,0
11.0009,0
9.9858,0
10.1952,0
10.5037,0
10.731,0
9.7923,0
8.7755,0
7.0041,0
5.5115,0
10.0351,0
9.7063,0
9.6017,0
9.8307,0
10.3396,0
8.4034,0
9.1223,0
9.0748,0
9.3663,0
9.1423,0
8.1335,0
9.0688,0
10.0793,0
8.8877,0
9.0566,0
9.6007,0
10.0055,0
10.0653,0
9.6033,0
9.5003,0
10.1077,0
9.9028,0
9.7402,0
8.736,0
9.9212,0
9.2842,0
9.3952,0
9.5069,0
9.1253,0
10.4892,0
9.3028,0
9.3926,0
8.0728,0
9.0732,0
9.2366,0
9.209,0
9.4758,0
9.2019,0
9.058,0
9.1288,0
9.5208,0
9.7884,0
9.6123,0
9.1554,0
9.3239,0
9.6132,0
8.8388,0
9.4263,0
9.3241,0
9.119,0
9.8753,0
9.6687,0
9.2597,0
9.2174,0
7.2036,0
9.3224,0
9.2311,0
9.1884,0
9.1659,0
10.3981,0
8.8729,0
9.2886,0
9.2213,0
9.5953,0
9.8735,0
9.097,0
9.3927,0
8.7738,0
7.2372,0
9.9868,0
10.7639,0
10.2734,0
10.63,0
10.7106,0
48.1297,0
1.1831,0
8.2573,0
8.051,0
8.8161,0
8.0854,0
8.5751,0
8.2997,0
8.2812,0
6.9077,0
8.1639,0
8.5003,0
8.0974,0
6.1928,0
8.0623,0
8.1575,0
8.4692,0
8.6232,0
8.1174,0
8.4286,0
8.6963,0
8.5065,0
8.5101,0
6.0842,0
8.5046,0
8.3727,0
8.2311,0
8.0614,0
7.9886,0
10.2469,0
10.1071,0
10.4305,0
10.2119,0
9.0636,0
9.0051,0
11.6037,0
7.5857,0
11.3464,0
9.1244,0
10.4947,0
11.3573,0
10.5873,0
10.6433,0
10.5243,0
11.2592,0
10.7582,0
10.975,0
11.0136,0
10.567,0
8.5294,0
10.8455,0
11.5707,0
10.314,0
11.2454,0
10.5888,0
10.6285,0
10.8239,0
10.7347,0
9.9056,0
9.8821,0
10.1619,0
10.3135,0
10.2071,0
9.9134,0
10.1704,0
9.7919,0
9.8324,0
10.1507,0
9.2014,0
9.5842,0
9.9118,0
9.3916,0
10.3351,0
9.8141,0
9.7272,0
10.2213,0
9.5931,0
9.2628,0
9.8099,0
9.2136,0
9.2932,0
9.6399,0
10.0786,0
9.8621,0
8.8331,0
9.6457,0
10.0911,0
9.8227,0
10.1203,0
10.1726,0
9.8674,0
10.1559,0
9.2599,0
9.0235,0
9.9182,0
7.3129,0
9.7745,0
7.7162,0
8.9911,0
9.1689,0
8.6155,0
9.331,0
9.7324,0
10.0681,0
9.6454,0
9.5372,0
10.0657,0
9.095,0
9.4737,0
9.1597,0
9.7968,0
8.53,0
9.7305,0
9.5111,0
9.7083,0
10.2453,0
9.9403,0
9.3165,0
9.5671,0
9.7687,0
9.308,0
9.5414,0
9.1019,0
9.606,0
9.7998,0
7.5817,0
8.7154,1
8.8211,1
8.9092,1
8.7745,1
8.2171,1
8.3909,1
8.3945,1
7.1832,1
7.6266,1
7.2048,1
6.7356,1
6.7684,1
7.4703,1
8.1194,1
7.7087,1
6.4236,1
8.0937,1
6.5546,1
7.0043,1
7.8365,1
6.7734,1
6.8235,1
6.9113,1
7.6886,1
8.5879,1
8.4568,1
7.6515,1
7.9907,1
8.4107,1
8.0026,1
8.0317,1
5.7982,1
8.1471,1
8.0625,1
7.9791,1
7.9906,1
7.8441,1
7.9609,1
7.6198,1
8.3828,1
7.8543,1
7.7407,1
7.882,1
7.947,1
8.1254,1
7.716,1
8.1184,1
6.2695,1
8.0376,1
7.7414,1
8.214,1
8.1982,1
7.8464,1
7.2131,1
7.9792,1
8.0341,1
8.0764,1
7.9354,1
5.6534,1
8.4931,1
7.7066,1
7.7889,1
7.9422,1
8.1539,1
8.0377,1
8.1383,1
8.1077,1
7.8224,1
7.8502,1
8.0062,1
7.6582,1
7.7676,1
8.0655,1
8.1529,1
7.8476,1
7.9103,1
7.859,1
9.0241,1
8.3193,1
9.141,1
10.722,1
9.3916,1
9.4873,1
10.541,1
8.3501,1
9.1777,1
9.3013,1
10.0835,1
10.0061,1
9.5579,1
9.1939,1
9.5108,1
9.1758,1
9.4459,1
9.0569,1
9.8168,1
9.3553,1
10.0708,1
8.4927,1
9.0724,1
8.6911,1
7.8166,1
10.8508,1
10.055,1
8.9361,1
9.6051,1
10.2385,1
10.4474,1
8.5276,1
9.974,1
10.3421,1
10.2488,1
9.9174,1
8.4846,1
10.4076,1
10.3067,1
10.1932,1
10.3593,1
10.2831,1
9.9841,1
10.5229,1
10.432,1
10.1521,1
9.749,1
10.186,1
10.1768,1
10.0924,1
10.6911,1
10.2897,1
8.4404,1
10.3911,1
10.1427,1
9.3681,1
10.0675,1
10.4906,1
10.6161,1
10.7715,1
10.471,1
10.7679,1
10.2249,1
10.1625,1
10.4664,1
10.3157,1
10.2735,1
10.2542,1
10.1132,1
10.0122,1
10.8409,1
9.878,1
9.7266,1
8.4411,1
9.5976,1
9.3235,1
9.3655,1
9.1522,1
9.8316,1
9.6478,1
10.7875,1
10.0329,1
9.9676,1
10.0993,1
7.7265,1
9.9374,1
9.168,1
10.5574,1
9.5042,1
9.703,1
9.6911,1
10.1864,1
9.9821,1
10.0349,1
9.8001,1
9.9193,1
9.3584,1
9.6333,1
9.3331,1
8.7669,1
10.4727,1
9.5662,1
10.0232,1
9.3958,1
9.1781,1
11.2373,1
10.8338,1
8.7044,1
9.547,1
9.8418,1
9.6753,1
10.3105,1
9.7416,1
9.9322,1
10.7039,1
9.5926,1
8.8736,1
9.6684,1
8.3308,1
10.3911,1
10.6462,1
10.2903,1
10.2925,1
9.1058,1
10.3332,1
10.4028,1
10.1566,1
10.5926,1
10.0688,1
10.222,1
9.7354,1
9.183,1
10.2347,1
10.5535,1
10.8625,1
10.2594,1
10.2726,1
10.7774,1
8.3883,1
9.8134,1
10.2865,1
10.6262,1
10.0863,1
9.2373,1
10.285,1
10.4148,1
9.8608,1
9.8293,1
10.3544,1
10.0486,1
9.9447,1
9.5477,1
10.3393,1
9.942,1
10.1186,1
10.3489,1
10.3027,1
10.616,1
9.7695,1
10.0513,1
10.3033,1
10.2869,1
10.4647,1
10.2432,1
10.3233,1
10.8021,1
10.192,1
10.1344,1
10.6933,1
8.598,1
10.4881,1
8.4804,1
9.661,1
10.0309,1
10.235,1
10.5328,1
10.2543,1
9.8188,1
9.1243,1
9.5874,1
9.6027,1
10.1209,1
9.1217,1
8.9229,1
9.8338,1
9.4612,1
8.8025,1
9.7848,1
9.8456,1
9.4418,1
10.3219,1
9.2746,1
11.1158,1
9.1525,1
9.6605,1
8.4775,1
8.3212,1
8.4946,1
8.7476,1
8.6379,1
8.8007,1
9.1798,1
7.9668,1
8.5807,1
8.7185,1
8.2274,1
8.8471,1
9.3244,1
8.8818,1
9.5087,1
8.3038,1
8.9881,1
9.1869,1
8.9436,1
8.9185,1
9.4374,1
9.2336,1
8.5492,1
9.0167,1
8.47,1
9.8547,1
9.4647,1
9.6582,1
9.0481,1
9.2505,1
9.6349,1
8.0002,1
9.5747,1
8.4704,1
10.1632,1
10.8506,1
9.923,1
9.2481,1
10.7549,1
8.5477,1
8.2513,1
8.5238,1
9.5706,1
9.4302,1
9.3017,1
9.2112,1
9.3314,1
7.9979,1
8.8059,1
8.4494,1
8.8262,1
9.2063,1
8.4899,1
9.7138,1
7.8081,1
9.9286,1
10.0856,1
10.0471,1
10.8579,1
8.1116,1
9.0443,1
9.5646,1
9.4161,1
10.2093,1
10.2171,1
9.4805,1
8.8917,1
9.7952,1
9.65,1
9.9607,1
9.2653,1
9.4866,1
9.2867,1
9.3571,1
10.0421,1
10.1799,1
9.4752,1
9.6637,1
8.196,1
10.18,1
9.076,1
8.9522,1
10.0702,1
9.751,1
8.8788,1
9.1446,1
9.7572,1
9.6433,1
8.5766,1
9.9587,1
9.6811,1
9.3826,1
9.4795,1
9.128,1
9.1443,1
8.8774,1
9.1069,1
9.6657,1
8.8724,1
9.4401,1
9.9221,1
9.6358,1
10.3169,1
9.6062,1
10.3488,1
10.1907,1
8.2829,1
9.4498,1
9.3489,1
8.9002,1
9.1942,1
9.7328,1
9.8032,1
9.478,1
9.825,1
9.8705,1
7.9137,1
10.0002,1
9.4003,1
9.7468,1
9.4149,1
8.0205,1
10.8097,1
8.9294,1
9.6496,1
10.3276,1
7.8793,1
7.522,1
10.5671,1
7.543,1
8.422,1
8.6549,1
7.9143,1
8.2261,1
8.8633,1
8.6678,1
8.7313,1
8.3923,1
9.1115,1
8.3799,1
8.465,1
8.273,1
8.8059,1
8.4806,1
8.5973,1
8.7199,1
8.6975,1
7.6711,1
8.7091,1
8.7923,1
8.3789,1
8.4132,1
8.7231,1
10.9745,1
9.9387,1
9.8615,1
9.7403,1
9.8905,1
10.6795,1
9.9672,1
10.5759,1
10.3514,1
10.0803,1
9.6701,1
10.2564,1
8.4141,1
10.2926,1
10.0087,1
10.7063,1
9.7343,1
10.2858,1
10.0219,1
9.8015,1
8.7617,1
10.1062,1
10.4224,1
8.2105,1
10.0677,1
8.9261,1
10.9073,1
9.9217,1
8.7899,1
8.6338,1
8.4006,1
8.5288,1
9.6115,1
9.1014,1
8.3124,1
9.0858,1
9.4298,1
7.4668,1
8.5772,1
8.9701,1
9.4446,1
8.8118,1
9.1996,1
8.6726,1
9.2198,1
7.6263,1
9.04,1
8.5339,1
8.3749,1
8.7521,1
8.753,1
8.8446,1
8.8873,1
9.4398,1
8.4377,1
8.8525,1
8.6527,1
8.9272,1
9.2506,1
8.7721,1
9.0467,1
8.4575,1
9.1636,1
7.6675,1
8.9753,1
9.0188,1
9.2462,1
8.6669,1
9.195,1
8.5286,1
8.2928,1
8.7154,1
9.2323,1
8.4696,1
9.3695,1
8.4509,2
8.1323,2
8.8236,2
9.3056,2
8.7215,2
8.9845,2
8.7325,2
9.0629,2
9.2504,2
9.0663,2
8.9449,2
7.6213,2
9.033,2
9.4283,2
9.0165,2
8.9171,2
8.5783,2
8.2862,2
8.8732,2
9.3699,2
8.6426,2
9.4817,2
9.04,2
9.286,2
9.5965,2
9.3686,2
9.165,2
9.6748,2
8.7863,2
9.4337,2
8.5163,2
9.0151,2
9.4689,2
8.942,2
9.1364,2
8.756,2
8.5106,2
8.3762,2
7.5739,2
8.8956,2
9.3667,2
9.1296,2
8.4267,2
8.9277,2
9.2784,2
8.7388,2
8.6788,2
8.4049,2
9.2866,2
8.6946,2
8.9285,2
8.7025,2
8.805,2
8.7708,2
9.2163,2
8.5816,2
8.8936,2
8.8304,2
9.4827,2
9.0949,2
8.5751,2
9.3476,2
8.7375,2
8.66,2
8.13,2
9.3272,2
8.8046,2
8.1753,2
9.1564,2
8.094,2
8.9971,2
9.1486,2
8.8193,2
9.2776,2
9.0402,2
8.7416,2
8.8318,2
8.4835,2
9.0073,2
8.8921,2
8.9375,2
8.0716,2
9.3167,2
9.0686,2
8.1369,2
8.6179,2
8.5928,2
9.3568,2
8.7502,2
8.3938,2
9.3227,2
8.5994,2
9.3454,2
9.5975,2
9.1046,2
8.9945,2
9.2442,2
9.0371,2
9.0004,2
9.0517,2
9.1056,2
8.9087,2
7.954,2
9.1757,2
9.0574,2
8.7674,2
8.5773,2
9.2758,2
9.1961,2
8.6946,2
8.139,2
8.5714,2
8.8072,2
9.2467,2
9.4741,2
9.2231,2
8.8727,2
9.2143,2
8.7326,2
8.3289,2
9.032,2
8.836,2
8.962,2
9.2319,2
9.0193,2
8.6668,2
8.5255,2
8.6084,2
8.7836,2
9.2325,2
8.4791,2
8.4043,2
8.9918,2
9.1665,2
9.0547,2
7.9801,2
9.198,2
9.1866,2
9.3254,2
8.2545,2
9.2538,2
9.4125,2
8.5019,2
9.1071,2
7.8989,2
8.736,2
7.8171,2
9.829,2
8.541,2
8.969,2
8.7811,2
8.1032,2
9.4145,2
8.9665,2
9.1556,2
8.7565,2
9.0131,2
8.6873,2
8.4982,2
9.0357,2
9.247,2
9.3397,2
8.7395,2
8.7176,2
8.6267,2
8.6937,2
9.1769,2
8.8227,2
8.3994,2
8.2556,2
8.0909,2
8.9815,2
9.0465,2
8.9369,2
9.141,2
8.3903,2
8.5426,2
9.0343,2
8.9013,2
9.4825,2
8.6728,2
8.7294,2
8.6906,2
8.8211,2
8.3622,2
9.0008,2
9.0887,2
9.0402,2
9.1221,2
9.0008,2
9.3202,2
8.4184,2
9.1838,2
8.4349,2
8.5494,2
8.8883,2
9.2773,2
8.8642,2
9.0058,2
8.9657,2
9.1517,2
8.7928,2
8.5698,2
9.2666,2
9.1104,2
8.4354,2
8.1972,2
9.0531,2
8.9193,2
8.691,2
7.932,2
8.9969,2
8.8075,2
9.4502,2
8.8575,2
7.8596,2
9.2045,2
8.7017,2
9.4419,2
9.0532,2
8.6644,2
9.5089,2
9.2875,2
8.5476,2
9.5407,2
9.1386,2
8.8301,2
9.1996,2
9.0773,2
8.4258,2
8.5125,2
9.3855,2
8.7649,2
8.8234,2
9.4892,2
9.4165,2
8.7941,2
8.9752,2
9.471,2
9.3004,2
8.3241,2
8.8308,2
9.4055,2
8.3854,2
9.3968,2
9.3239,2
9.3015,2
9.5931,2
8.6227,2
9.1201,2
9.139,2
8.5744,2
8.299,2
8.9584,2
8.7082,2
9.5811,2
9.4651,2
8.9294,2
9.1843,2
9.0538,2
9.4355,2
9.3867,2
9.25,2
9.2938,2
8.6662,2
9.0368,2
9.5219,2
9.4337,2
7.9443,2
9.3131,2
8.6451,2
8.0902,2
9.5416,2
8.284,2
8.8194,2
8.7495,2
8.7039,2
8.4994,2
8.9342,2
9.6511,2
9.1837,2
8.9655,2
8.7176,2
8.839,2
9.3798,2
8.7277,2
9.6378,2
9.7131,2
9.187,2
7.9704,2
9.4916,2
9.1329,2
8.8281,2
9.0833,2
7.7772,2
9.6159,2
9.2142,2
9.4219,2
9.4857,2
9.2981,2
8.7761,2
9.4385,2
8.3012,2
8.7238,2
9.5187,2
9.02,2
9.377,2
9.1195,2
16.8727,2
1.5329,2
9.1739,2
9.0647,2
9.5832,2
7.5287,2
8.3283,2
9.6009,2
7.9115,2
9.1611,2
9.543,2
8.6996,2
9.0772,2
9.5847,2
7.8045,2
9.3309,2
10.057,2
8.9706,2
8.0971,2
8.5538,2
7.9921,2
8.6784,2
7.7713,2
8.9837,2
7.5223,2
8.0161,2
9.0722,2
9.0803,2
8.8778,2
8.9513,2
7.6046,2
9.026,2
9.2308,2
9.8422,2
9.0289,2
7.9832,2
9.4931,2
9.53,2
9.12,2
9.028,2
9.2856,2
9.7485,2
8.3927,2
9.0389,2
8.7511,2
8.8978,2
9.0749,2
8.919,2
8.8465,2
7.1011,2
9.5005,2
9.9152,2
8.6861,2
8.8091,2
9.2741,2
8.4479,2
8.3745,2
9.4123,2
9.7538,2
9.1223,2
8.8269,2
9.0795,2
8.3144,2
9.2517,2
9.5615,2
9.1481,2
8.8552,2
9.0159,2
8.9205,2
9.208,2
9.2935,2
8.9876,2
9.7863,2
9.067,2
9.2695,2
8.2261,2
9.3864,2
9.0752,2
9.0727,2
7.8845,2
9.3285,2
8.7599,2
9.3972,2
9.0508,2
8.8226,2
9.3319,2
8.5188,2
9.4153,2
9.5387,2
9.3575,2
8.8866,2
9.2882,2
9.4661,2
9.135,2
8.6587,2
9.0336,2
8.4278,2
8.221,2
8.9848,2
9.1368,2
9.755,2
9.2558,2
9.8423,2
8.3755,2
8.5662,2
8.6869,2
9.0116,2
8.6096,2
9.1833,2
9.4202,2
8.8887,2
8.3905,2
9.5223,2
9.0433,2
9.2783,2
8.9014,2
9.1654,2
8.7881,2
9.2879,2
9.242,2
7.6897,2
9.0627,2
9.3023,2
9.7214,2
9.1063,2
9.0834,2
8.8904,2
8.8906,2
9.2676,2
9.1127,2
8.9498,2
9.2267,2
8.5035,2
9.4331,2
8.2693,2
8.0085,2
8.5265,2
9.7082,2
8.4617,2
8.8669,2
9.1498,2
9.2177,2
9.6089,2
9.0755,2
9.2617,2
7.8904,2
9.2313,2
8.8177,2
9.4483,2
7.7897,2
9.8106,2
8.6692,2
9.0347,2
9.2025,2
9.0659,2
9.2336,2
