frame time,Number of lights
6.4741,0
6.7327,0
7.187,0
6.1025,0
7.0579,0
6.1369,0
6.5811,0
6.546,0
6.634,0
6.9116,0
6.2975,0
7.0398,0
5.9264,0
6.5487,0
6.7562,0
6.5819,0
7.024,0
6.2875,0
6.7367,0
6.6931,0
6.2916,0
6.7235,0
6.4599,0
6.6455,0
6.8566,0
6.2008,0
6.4229,0
6.4777,0
6.8229,0
6.5264,0
6.6447,0
6.5806,0
6.202,0
6.7959,0
6.8145,0
6.609,0
6.5802,0
6.5382,0
6.6334,0
7.2659,0
6.5329,0
6.5687,0
6.6644,0
6.8735,0
6.6246,0
6.5416,0
6.0271,0
7.2384,0
6.5104,0
7.3544,0
5.84,0
7.4192,0
6.0949,0
6.5099,0
7.0858,0
6.2858,0
9.1782,0
4.4438,0
6.6634,0
7.3103,0
6.1701,0
6.8525,0
6.685,0
6.4114,0
7.0187,0
6.6266,0
6.7454,0
6.3014,0
6.587,0
6.6759,0
6.3793,0
6.9131,0
6.2854,0
7.0431,0
6.9351,0
6.1428,0
6.58,0
6.7073,0
6.6656,0
6.9629,0
6.5219,0
6.8087,0
6.5075,0
6.89,0
6.8054,0
7.5711,0
5.5564,0
6.1109,0
6.995,0
6.8982,0
6.8613,0
6.3823,0
6.3559,0
6.6849,0
7.2657,0
6.6615,0
6.8878,0
6.2048,0
6.6604,0
6.8317,0
6.3598,0
6.7487,0
6.6301,0
6.6765,0
7.9893,0
5.732,0
6.7461,0
6.3316,0
6.6662,0
9.5224,0
3.6478,0
6.9161,0
6.2557,0
6.748,0
6.4664,0
5.9785,0
6.6258,0
6.0486,0
6.1968,0
6.6911,0
6.4495,0
6.5107,0
5.8287,0
6.6724,0
6.571,0
5.7642,0
7.0774,0
5.7015,0
6.3408,0
7.2036,0
6.5103,0
6.0439,0
6.4039,0
6.2375,0
7.0954,0
5.9319,0
6.7805,0
6.7756,0
6.3538,0
5.6788,0
6.4599,0
6.3085,0
6.6972,0
6.2161,0
6.1326,0
6.4842,0
6.2353,0
6.4137,0
6.5136,0
5.8776,0
6.3557,0
6.8277,0
6.4726,0
6.3181,0
6.7776,0
6.6957,0
6.6094,0
6.2009,0
7.4983,0
5.6588,0
6.3307,0
6.6141,0
6.848,0
6.3748,0
6.6289,0
5.6153,0
7.1098,0
5.9297,0
6.1083,0
6.4176,0
6.8756,0
6.4467,0
6.4894,0
6.2333,0
6.3251,0
6.5035,0
6.1069,0
6.0394,0
7.1634,0
6.6024,0
6.1644,0
6.2998,0
6.5749,0
6.9714,0
6.4899,0
6.5002,0
6.5045,0
6.5776,0
6.6912,0
6.6651,0
6.6054,0
6.6486,0
6.387,0
6.9148,0
6.3866,0
6.7424,0
6.7683,0
6.4891,0
6.6052,0
6.877,0
6.4192,0
6.4102,0
7.0837,0
5.8619,0
6.7518,0
6.8442,0
6.7172,0
6.7961,0
6.1029,0
7.0498,0
6.2699,0
6.5721,0
6.8667,0
6.2251,0
6.6398,0
6.3807,0
6.5482,0
6.6495,0
6.6764,0
6.5986,0
6.6389,0
6.7121,0
7.4138,0
5.6383,0
6.8609,0
6.4837,0
6.6521,0
7.214,0
6.2082,0
6.6432,0
7.0002,0
6.7914,0
6.2988,0
6.4761,0
6.4684,0
6.5994,0
7.0407,0
6.378,0
7.0348,0
6.6109,0
6.3108,0
6.2196,0
6.476,0
6.3468,0
6.8501,0
5.9669,0
6.8496,0
7.1767,0
5.4973,0
6.8626,0
6.4428,0
6.5667,0
6.4196,0
6.5494,0
5.9517,0
7.134,0
6.0327,0
6.3794,0
6.7803,0
6.1279,0
6.837,0
5.614,0
6.6503,0
6.5226,0
5.9171,0
7.1262,0
6.2494,0
6.3024,0
7.0928,0
5.9621,0
6.8768,0
6.6702,0
7.0659,0
6.3386,0
6.8248,0
6.1013,0
6.9096,0
5.7018,0
7.2117,0
6.0115,0
6.3318,0
6.8298,0
6.4862,0
6.2021,0
6.2543,0
6.3499,0
6.7089,0
6.318,0
6.7263,0
5.8873,0
6.9016,0
6.7602,0
6.3835,0
6.2414,0
6.41,0
6.1602,0
7.051,0
6.2162,0
6.8351,0
6.4664,0
6.7199,0
6.6876,0
6.6719,0
6.928,0
6.2816,0
6.5639,0
7.0777,0
5.6687,0
6.2046,0
7.1738,0
5.9031,0
6.0424,0
6.6503,0
6.0757,0
6.2837,0
6.9858,0
6.5132,0
6.0287,0
6.4536,0
7.3296,0
6.796,0
5.6689,0
6.4067,0
6.2138,0
6.5647,0
7.0351,0
6.1925,0
7.0286,0
6.7283,0
6.2814,0
6.527,0
6.5399,0
7.038,0
6.7096,0
6.6314,0
6.7003,0
6.6413,0
6.7064,0
6.3727,0
6.3325,0
6.641,0
6.5515,0
7.2807,0
6.2008,0
6.513,0
6.9031,0
6.7307,0
6.6724,0
6.4494,0
6.6171,0
6.2042,0
6.722,0
6.6909,0
6.6735,0
6.8247,0
6.5015,0
6.8153,0
6.3949,0
6.5081,0
6.6609,0
6.4903,0
6.9191,0
7.2527,0
5.9877,0
6.8304,0
6.5897,0
6.5741,0
6.6124,0
6.7565,0
6.5152,0
6.5938,0
6.3158,0
6.8424,0
6.4571,0
6.7442,0
6.7854,0
6.1543,0
6.1544,0
6.7264,0
6.2393,0
6.7883,0
6.5446,0
5.9739,0
6.4455,0
6.7363,0
6.0686,0
6.8447,0
6.2799,0
6.1217,0
6.4449,0
6.66,0
6.6556,0
6.1612,0
6.7603,0
6.1676,0
6.4151,0
6.7172,0
6.1651,0
6.4,0
6.6806,0
6.2739,0
6.6821,0
6.5139,0
6.3893,0
5.9184,0
6.9458,0
6.446,0
6.2921,0
6.995,0
6.5784,0
6.5287,0
7.2443,0
6.2189,0
7.0315,0
6.6665,0
6.1298,0
6.8715,0
6.4868,0
6.6546,0
6.0812,0
6.7848,0
6.8455,0
6.5087,0
6.6627,0
6.4806,0
6.5934,0
6.8934,0
6.3281,0
6.5484,0
6.3677,0
7.1592,0
6.2593,0
6.34,0
6.9909,0
6.4698,0
6.7774,0
6.5903,0
6.2077,0
6.3465,0
6.7893,0
5.937,0
7.0747,0
6.1331,0
6.2979,0
7.0653,0
5.8433,0
7.0835,0
6.5785,0
6.795,0
6.7055,0
6.4287,0
7.3785,0
5.9238,0
6.9017,0
7.2057,0
6.4714,0
7.2184,0
6.1647,0
6.6421,0
6.6158,0
6.9618,0
7.0948,0
6.719,0
51.9396,0
1.7317,0
3.0735,0
4.2714,0
5.9094,0
6.4784,0
6.4288,0
6.4082,0
6.5044,0
5.8667,0
6.8811,0
7.147,0
5.7452,0
6.5187,0
6.0407,0
7.0694,0
6.57,0
5.8778,0
7.0058,0
6.1155,0
6.8734,0
7.3475,0
6.0488,0
6.6421,0
6.4017,0
6.5863,0
6.2064,0
6.8727,0
6.2962,0
6.9604,0
6.7981,0
6.1444,0
6.9807,0
6.7655,0
6.0103,0
6.7554,0
5.8794,0
6.5229,1
6.2673,1
6.6524,1
6.5902,1
6.5919,1
7.1188,1
6.0836,1
6.4568,1
6.7387,1
6.7382,1
6.7769,1
6.2054,1
6.9982,1
6.5024,1
6.453,1
7.0663,1
6.3958,1
6.5935,1
6.6417,1
6.386,1
6.9705,1
7.1241,1
6.6603,1
7.5148,1
5.7011,1
7.3729,1
6.0011,1
6.6946,1
7.0472,1
6.9632,1
7.7057,1
5.4506,1
6.3894,1
6.6996,1
5.9993,1
7.0735,1
6.3528,1
6.475,1
6.8981,1
6.5813,1
6.8058,1
6.7715,1
7.0329,1
6.7123,1
6.2506,1
6.9636,1
6.1257,1
6.6695,1
6.7161,1
6.5143,1
6.9407,1
6.3927,1
6.6349,1
6.3588,1
6.4421,1
6.7394,1
6.63,1
6.3447,1
6.9388,1
7.0359,1
7.06,1
6.596,1
6.7816,1
6.5825,1
6.4091,1
6.6013,1
6.7438,1
6.2617,1
6.7269,1
6.3138,1
7.2054,1
6.1037,1
6.6931,1
7.3939,1
6.4187,1
6.3192,1
6.6295,1
6.5434,1
6.908,1
6.0526,1
6.5498,1
6.2395,1
6.88,1
7.2373,1
6.1875,1
6.3842,1
6.6438,1
7.0974,1
6.0236,1
6.4847,1
6.4251,1
6.8852,1
6.3852,1
7.2809,1
6.414,1
6.7731,1
6.314,1
6.6246,1
6.8928,1
6.228,1
6.6061,1
6.8486,1
6.198,1
7.0367,1
6.4952,1
6.7222,1
6.6223,1
6.5805,1
6.7023,1
6.3561,1
6.9408,1
6.6974,1
6.5204,1
7.0117,1
6.2712,1
6.6269,1
6.5095,1
6.7451,1
7.468,1
5.5044,1
6.6292,1
6.7643,1
6.5848,1
6.8945,1
6.6271,1
6.3592,1
6.6928,1
6.3731,1
6.9873,1
6.4775,1
6.646,1
6.5083,1
6.3758,1
5.8335,1
6.6803,1
6.6849,1
6.4698,1
6.3929,1
7.144,1
6.2215,1
6.5682,1
6.4796,1
6.2889,1
6.1777,1
6.5413,1
6.1136,1
6.8478,1
6.2988,1
6.7812,1
6.7424,1
6.0418,1
6.3944,1
6.6142,1
6.4273,1
6.1328,1
6.5647,1
5.8879,1
6.5697,1
6.8312,1
6.0449,1
6.7764,1
7.1363,1
5.8167,1
6.2681,1
6.2519,1
6.2034,1
6.6157,1
6.9382,1
6.1328,1
6.1623,1
6.7672,1
6.3038,1
5.79,1
6.7603,1
5.8607,1
7.2539,1
6.6376,1
6.4962,1
5.7812,1
7.0967,1
6.7729,1
6.5694,1
6.034,1
6.5227,1
6.4506,1
6.9115,1
6.0615,1
6.8004,1
6.3456,1
6.3962,1
6.2623,1
6.3131,1
6.4948,1
6.7923,1
6.3295,1
6.9146,1
6.5809,1
6.4988,1
7.3544,1
5.8712,1
6.7205,1
6.6213,1
6.5361,1
7.2847,1
6.6797,1
6.6578,1
6.6427,1
7.1618,1
6.4524,1
6.4655,1
6.1636,1
6.6909,1
6.3405,1
6.691,1
5.915,1
6.1276,1
6.5848,1
6.2504,1
5.9378,1
6.7746,1
6.4645,1
6.9626,1
6.5337,1
5.9427,1
6.5021,1
6.0197,1
6.6942,1
6.3551,1
6.3062,1
6.4337,1
5.9567,1
6.4318,1
6.5662,1
6.1732,1
6.5908,1
5.8588,1
6.28,1
6.4281,1
6.1484,1
7.5567,1
5.561,1
6.837,1
6.823,1
6.3256,1
6.9557,1
6.2633,1
6.6998,1
6.3416,1
6.7797,1
6.344,1
6.3372,1
5.9972,1
6.491,1
6.4289,1
6.6592,1
6.9198,1
6.4156,1
6.7076,1
6.7553,1
5.7002,1
6.6279,1
6.9214,1
7.1533,1
6.79,1
6.6616,1
6.6993,1
6.2297,1
7.2401,1
6.0505,1
6.5861,1
6.5235,1
6.4795,1
6.792,1
5.8077,1
6.6572,1
6.1862,1
6.0588,1
7.181,1
6.2833,1
6.4626,1
6.0664,1
6.1974,1
6.4501,1
6.7294,1
6.1066,1
7.1632,1
5.9777,1
6.8383,1
6.2908,1
6.8281,1
6.7956,1
5.4989,1
6.4959,1
7.3821,1
5.9929,1
6.8163,1
6.0216,1
6.6568,1
6.4704,1
6.6235,1
6.2631,1
7.2562,1
6.6245,1
6.4098,1
6.4209,1
6.6568,1
6.61,1
6.3992,1
7.1975,1
6.4553,1
6.5909,1
6.3887,1
6.2989,1
6.7995,1
6.731,1
6.8792,1
6.5513,1
6.7393,1
6.3743,1
6.0833,1
6.6544,1
7.0022,1
6.3267,1
6.918,1
6.9879,1
5.7255,1
6.5223,1
6.5823,1
6.332,1
6.6466,1
6.0448,1
6.5534,1
6.7887,1
5.9523,1
6.6896,1
6.5058,1
6.7597,1
6.1076,1
6.5564,1
6.2053,1
6.3787,1
6.2764,1
6.0399,1
6.8959,1
6.2912,1
5.9236,1
6.5395,1
6.3594,1
6.607,1
6.4777,1
6.2113,1
6.1973,1
6.657,1
5.8448,1
6.1409,1
6.7605,1
5.8556,1
6.4149,1
6.5071,1
6.9417,1
5.9845,1
6.9642,1
6.7916,1
6.4619,1
6.197,1
6.6726,1
6.3996,1
6.7757,1
6.0915,1
7.109,1
5.5957,1
6.1634,1
6.3592,1
7.005,1
6.7635,1
6.0238,1
5.8695,1
6.3204,1
6.7327,1
6.4279,1
6.5274,1
6.2281,1
7.0895,1
6.495,1
6.1373,1
6.9854,1
6.0854,1
6.339,1
6.8885,1
6.3391,1
5.6182,1
6.5269,1
6.024,1
6.8752,1
6.6677,1
6.2897,1
6.6326,1
6.7573,1
6.4656,1
6.5048,1
6.8574,1
6.0926,1
6.4284,1
5.8687,1
6.6291,1
6.7503,1
6.8714,1
5.7047,1
7.2517,1
6.1919,1
6.8897,1
6.0596,1
6.3418,1
6.7558,1
6.6413,1
5.9739,1
6.3873,1
6.2394,1
6.644,1
6.7092,1
6.1612,1
6.6848,1
6.819,1
5.9477,1
6.6474,1
6.9292,1
6.3034,1
6.5357,1
6.0016,1
6.503,1
6.2994,1
6.0589,1
6.559,1
6.1578,1
6.1481,1
7.0093,1
5.9215,1
6.5369,1
6.7322,1
6.4209,1
5.6319,1
6.2645,1
6.1476,1
7.1823,1
6.092,1
7.3456,1
5.835,1
7.0409,1
6.2494,1
6.0316,1
6.5725,1
7.2566,1
5.4567,1
6.8111,1
6.3505,1
6.8558,1
6.4021,1
6.6622,1
7.2326,1
6.4584,1
6.5596,1
6.1688,1
6.9499,1
6.32,1
6.4524,1
6.71,1
5.9369,1
6.1066,1
7.3015,1
6.1391,1
6.4105,1
6.0306,1
6.3975,1
6.2283,1
6.3483,1
6.7033,1
5.9943,1
6.0934,1
6.0734,1
6.5131,1
6.3128,1
6.6657,1
6.3635,1
7.2949,1
5.7384,1
6.5818,1
6.4087,1
6.2279,1
6.8006,1
6.5893,1
6.549,1
6.822,1
6.5005,1
5.6253,1
6.4982,1
6.5121,1
6.6807,1
6.5362,1
5.8496,1
7.177,1
6.4973,2
6.5936,2
7.2857,2
6.034,2
6.7627,2
6.1506,2
7.0501,2
6.2956,2
6.2892,2
6.9908,2
6.2708,2
6.9241,2
6.9099,2
6.26,2
6.6364,2
6.5292,2
6.425,2
6.7134,2
6.8818,2
6.3867,2
6.4797,2
6.7381,2
6.4964,2
7.4036,2
6.0638,2
6.3038,2
6.5181,2
6.4545,2
6.4999,2
5.8663,2
6.6792,2
6.6621,2
6.2411,2
6.0554,2
6.5135,2
6.6467,2
6.2174,2
6.5021,2
6.2633,2
6.3253,2
6.6809,2
5.949,2
6.6724,2
6.2877,2
6.3458,2
6.7397,2
6.4962,2
6.1796,2
6.7169,2
6.3299,2
6.3283,2
6.3555,2
6.5882,2
6.412,2
5.811,2
6.6186,2
6.6651,2
6.1561,2
6.5896,2
5.7353,2
6.8189,2
6.7588,2
5.6944,2
6.4341,2
6.2075,2
6.7462,2
6.4307,2
6.3332,2
5.8539,2
7.3637,2
6.738,2
6.5353,2
6.1722,2
6.2326,2
6.2193,2
6.8358,2
6.8135,2
6.3119,2
6.8218,2
6.4876,2
6.5861,2
6.7426,2
6.5964,2
6.5803,2
6.5876,2
6.5737,2
6.7242,2
6.248,2
7.3657,2
6.0841,2
6.518,2
7.0504,2
6.1878,2
7.1039,2
6.4088,2
7.0324,2
7.2826,2
6.0283,2
6.7804,2
6.7941,2
7.3161,2
6.3963,2
6.0481,2
7.0952,2
6.305,2
6.4419,2
6.8559,2
6.6241,2
6.5727,2
7.0381,2
6.0446,2
7.2668,2
6.703,2
6.6295,2
6.6683,2
6.6773,2
6.8147,2
6.5096,2
6.7034,2
6.9606,2
6.1096,2
7.1035,2
6.1479,2
6.738,2
6.619,2
6.4659,2
6.8953,2
6.4924,2
6.5515,2
7.7445,2
6.474,2
6.4919,2
5.8124,2
6.1968,2
6.7939,2
5.9361,2
6.1534,2
6.4169,2
6.2965,2
6.9062,2
5.9583,2
6.5788,2
6.2495,2
6.3933,2
6.5618,2
5.6282,2
6.6545,2
6.4411,2
6.2161,2
6.5194,2
6.275,2
6.4813,2
6.5714,2
5.7942,2
6.2942,2
6.4126,2
6.2574,2
6.4692,2
6.3993,2
6.0235,2
6.6245,2
6.4548,2
6.2315,2
6.2551,2
6.1543,2
6.6793,2
6.6073,2
5.7099,2
6.8975,2
6.2207,2
6.3982,2
6.0792,2
7.0884,2
6.8248,2
5.7832,2
6.892,2
5.9114,2
7.1263,2
6.1656,2
6.5979,2
6.2021,2
6.4685,2
6.1153,2
7.6286,2
6.6161,2
6.0106,2
6.8872,2
5.9042,2
6.3966,2
6.7716,2
6.1152,2
6.7461,2
6.5617,2
5.6916,2
6.4039,2
6.9095,2
6.4024,2
6.2255,2
6.4446,2
6.5705,2
5.9164,2
6.3586,2
6.3435,2
6.2067,2
6.6236,2
6.0482,2
6.2669,2
6.2994,2
6.4299,2
6.4678,2
6.8991,2
5.8602,2
6.5159,2
6.8126,2
5.9768,2
6.5323,2
6.2902,2
6.9614,2
6.3142,2
6.5519,2
6.758,2
6.7124,2
6.4262,2
6.5664,2
6.6989,2
6.7997,2
6.2039,2
6.6127,2
6.4467,2
6.677,2
7.4234,2
5.9506,2
7.0072,2
5.9285,2
6.4779,2
6.9544,2
5.7004,2
6.394,2
6.5031,2
5.9491,2
6.5128,2
6.2833,2
6.3066,2
6.5553,2
6.4692,2
6.1288,2
6.5959,2
7.8359,2
6.5276,2
4.243,2
9.7925,2
3.1325,2
6.5077,2
6.311,2
6.2457,2
6.4957,2
6.268,2
6.9654,2
5.734,2
6.555,2
6.8346,2
6.1767,2
6.7624,2
6.5997,2
6.4539,2
6.3429,2
6.3374,2
6.928,2
6.5065,2
6.4016,2
6.459,2
6.1765,2
6.3435,2
6.8648,2
6.1808,2
6.6715,2
6.5866,2
5.9863,2
6.6195,2
6.8844,2
5.9306,2
6.6966,2
6.7254,2
6.1291,2
6.5886,2
5.9323,2
6.4736,2
6.5319,2
6.3496,2
6.2281,2
6.7094,2
6.6071,2
6.225,2
6.5192,2
6.595,2
6.3204,2
6.6348,2
6.6591,2
6.9676,2
6.5308,2
7.0888,2
6.6371,2
6.3869,2
6.7428,2
6.7119,2
6.6272,2
6.4819,2
6.8017,2
7.1457,2
7.0469,2
6.4132,2
6.2174,2
6.8117,2
6.7082,2
6.0447,2
6.5952,2
6.1814,2
6.2164,2
6.7459,2
6.577,2
7.9883,2
5.5887,2
6.8928,2
6.4187,2
6.4125,2
7.0407,2
6.1834,2
6.6597,2
6.3787,2
6.7721,2
6.8392,2
6.2077,2
6.5005,2
6.718,2
6.1069,2
6.8058,2
6.1617,2
6.7184,2
6.8126,2
6.4169,2
6.3582,2
6.7507,2
6.2774,2
6.6179,2
6.8592,2
6.0579,2
5.8664,2
6.6661,2
6.6848,2
6.7776,2
6.2465,2
6.6305,2
6.1632,2
6.8128,2
6.1842,2
6.2755,2
6.4091,2
6.0789,2
7.9643,2
5.2642,2
6.089,2
6.7156,2
6.0214,2
6.2657,2
6.8608,2
6.8633,2
5.8054,2
6.2118,2
6.6025,2
6.2133,2
6.4974,2
6.6227,2
5.9902,2
6.7776,2
6.1997,2
6.2216,2
7.0364,2
5.9926,2
6.6708,2
7.0303,2
6.1626,2
6.6374,2
7.1097,2
6.5778,2
7.952,2
5.0626,2
6.4984,2
7.0293,2
5.914,2
6.2428,2
7.009,2
6.9759,2
6.9712,2
5.99,2
6.3366,2
6.6644,2
7.0375,2
6.4988,2
6.1668,2
6.2089,2
6.4576,2
6.4482,2
6.3811,2
6.5923,2
6.296,2
6.4319,2
7.4034,2
6.0038,2
6.0866,2
6.6288,2
6.5586,2
6.9757,2
6.5114,2
6.4634,2
6.5254,2
6.5482,2
6.6498,2
6.8658,2
6.9882,2
5.8745,2
6.634,2
6.6654,2
6.7485,2
6.6729,2
6.2901,2
6.7868,2
6.139,2
6.8202,2
6.2889,2
6.9553,2
6.8526,2
6.3595,2
6.7929,2
6.1799,2
6.6986,2
7.0856,2
6.2754,2
6.8195,2
6.3951,2
6.667,2
7.0589,2
6.2669,2
6.4922,2
6.6011,2
6.5917,2
7.0873,2
5.9989,2
7.4836,2
5.9766,2
6.2022,2
7.4094,2
6.68,2
6.7271,2
6.7395,2
6.7854,2
6.4148,2
6.6694,2
6.3716,2
6.334,2
6.8814,2
6.7976,2
6.2645,2
6.2073,2
6.5751,2
7.098,2
6.6272,2
5.9151,2
6.9132,2
6.4044,2
6.5954,2
6.9321,2
6.1199,2
6.8315,2
6.6343,2
6.4314,2
6.5211,2
6.7031,2
6.727,2
6.8088,2
6.4084,2
6.513,2
6.2206,2
6.6762,2
6.8472,2
6.4371,2
6.5818,2
6.3608,2
6.6414,2
6.7522,2
6.7602,2
6.2744,2
6.7109,2
6.7322,2
6.0009,2
6.4805,2
6.093,2
6.7591,2
5.8866,2
6.4199,2
6.0828,2
6.0314,4
6.9608,4
6.5499,4
6.2626,4
6.5224,4
7.1963,4
5.739,4
6.1509,4
6.588,4
5.9308,4
6.5756,4
7.1633,4
5.7597,4
6.9474,4
6.1901,4
6.5354,4
6.248,4
6.3523,4
6.2591,4
6.2463,4
6.5241,4
6.1641,4
7.1036,4
6.3679,4
6.469,4
6.6967,4
6.7527,4
6.8568,4
6.1631,4
6.2642,4
6.656,4
5.8575,4
6.4703,4
6.9022,4
5.6122,4
6.504,4
6.1413,4
6.4174,4
6.9492,4
6.6686,4
6.5622,4
6.3796,4
6.5869,4
6.3028,4
6.6884,4
6.244,4
6.2937,4
6.7141,4
7.6368,4
5.7516,4
6.3653,4
7.0239,4
6.6469,4
6.124,4
6.728,4
6.0666,4
6.6227,4
6.7,4
6.2459,4
6.1576,4
6.2452,4
6.0845,4
6.6578,4
6.4232,4
6.2847,4
6.5605,4
6.8239,4
6.0787,4
6.6959,4
6.7983,4
6.332,4
6.6137,4
6.3453,4
6.5338,4
7.0722,4
6.347,4
6.7487,4
6.4676,4
6.5886,4
6.8109,4
6.4717,4
6.1911,4
5.7791,4
6.8901,4
7.0032,4
5.9577,4
6.3983,4
6.693,4
5.6776,4
7.4549,4
5.9952,4
6.5361,4
6.4192,4
6.8551,4
5.8204,4
6.7072,4
6.4904,4
6.7097,4
5.9668,4
7.6427,4
5.8012,4
6.9046,4
6.6801,4
6.6727,4
6.5608,4
6.5893,4
6.6185,4
6.4036,4
6.2715,4
6.8894,4
6.0232,4
6.5173,4
6.1626,4
6.5531,4
5.9852,4
6.7706,4
6.6543,4
6.1449,4
6.4323,4
6.7679,4
6.3505,4
6.0897,4
6.4125,4
6.2476,4
6.5944,4
6.8683,4
6.2892,4
6.9402,4
6.6771,4
6.4631,4
6.3896,4
5.9059,4
7.1459,4
5.8372,4
6.5355,4
6.2889,4
6.7408,4
6.8576,4
6.3842,4
6.6871,4
6.6267,4
6.3657,4
6.9194,4
6.7569,4
5.9938,4
6.9782,4
6.0362,4
6.4097,4
7.7085,4
5.6587,4
6.3881,4
6.228,4
6.5695,4
6.8417,4
6.2989,4
6.8853,4
6.2491,4
6.6405,4
5.8255,4
7.4495,4
5.9764,4
6.3744,4
6.3962,4
6.8482,4
6.0907,4
6.325,4
7.6093,4
5.5933,4
7.1338,4
5.9528,4
6.1201,4
6.808,4
6.2451,4
5.9366,4
7.0029,4
6.0461,4
7.0707,4
7.0774,4
5.8408,4
6.2387,4
6.435,4
6.83,4
7.0781,4
5.9077,4
7.1951,4
6.0293,4
6.27,4
6.3477,4
6.3323,4
6.4786,4
6.1041,4
7.2092,4
6.9563,4
6.7467,4
6.6996,4
6.585,4
7.182,4
6.2144,4
6.3511,4
7.14,4
6.2932,4
6.687,4
6.9073,4
6.5736,4
6.5183,4
6.6097,4
6.8097,4
6.2901,4
6.3442,4
7.7455,4
5.8427,4
7.3881,4
6.4432,4
7.6898,4
