frame time,Number of lights
6.7247,0
6.5108,0
7.5932,0
5.905,0
5.9821,0
6.3247,0
6.5157,0
6.5343,0
6.6852,0
6.2462,0
6.8546,0
6.3234,0
6.4484,0
6.145,0
6.5852,0
6.5119,0
5.9088,0
6.4776,0
6.4502,0
6.874,0
6.3278,0
6.6466,0
6.596,0
5.7794,0
7.225,0
5.7169,0
6.6163,0
6.5556,0
6.3536,0
7.241,0
6.0785,0
6.6866,0
5.7442,0
7.1766,0
5.8232,0
6.7037,0
6.5269,0
7.0021,0
6.1064,0
6.1758,0
6.629,0
6.4857,0
6.5616,0
6.0701,0
7.1371,0
6.1548,0
6.4747,0
6.8742,0
6.1342,0
6.8652,0
6.4161,0
6.6831,0
6.522,0
6.3256,0
6.879,0
6.6235,0
6.5479,0
6.6877,0
6.5769,0
6.3394,0
6.3423,0
6.6214,0
6.3289,0
6.3519,0
6.508,0
5.7926,0
6.2705,0
7.0242,0
5.3399,0
6.341,0
7.0537,0
6.4343,0
6.7332,0
7.035,0
5.8978,0
6.7782,0
6.4861,0
5.814,0
7.0155,0
6.4336,0
5.4626,0
7.0817,0
6.3004,0
6.6144,0
7.5275,0
5.7353,0
6.8205,0
6.3347,0
5.6467,0
5.807,0
6.5097,0
5.8261,0
5.9128,0
5.8935,0
7.1296,0
5.9399,0
6.2647,0
6.3101,0
6.3879,0
5.5099,0
6.3399,0
6.4911,0
7.0141,0
6.762,0
7.0497,0
6.211,0
6.3522,0
5.533,0
6.994,0
6.6078,0
6.3549,0
6.7487,0
6.7108,0
6.6284,0
6.7074,0
5.6003,0
5.8329,0
6.2349,0
5.66,0
6.5468,0
6.5208,0
6.4233,0
6.5304,0
6.5204,0
6.4717,0
7.0343,0
5.7403,0
6.5685,0
6.9744,0
5.9579,0
7.1703,0
6.809,0
6.5275,0
14.4753,0
1.1543,0
3.6051,0
3.9011,0
6.246,0
6.2794,0
6.3953,0
6.1979,0
6.6193,0
5.9455,0
6.5099,0
6.7058,0
6.7133,0
5.9297,0
6.5478,0
6.8143,0
6.3624,0
6.3694,0
7.0167,0
7.1366,0
6.4618,0
6.4366,0
6.5317,0
6.4593,0
6.552,0
6.2724,0
6.4025,0
6.8506,0
6.2647,0
6.6938,0
6.239,0
7.1055,0
5.9873,0
6.5554,0
6.5664,0
6.0694,0
6.6419,0
5.582,0
6.3689,0
6.7381,0
5.127,0
6.8879,0
6.28,0
6.0354,0
7.3224,0
5.8778,0
6.0421,0
6.7904,0
5.9904,0
6.9783,0
6.306,0
6.8131,0
7.157,0
6.503,0
6.3638,0
6.9848,0
5.9338,0
5.4996,0
6.7758,0
6.7194,0
6.4166,0
6.7625,0
6.463,0
6.5646,0
6.5097,0
6.7036,0
5.7451,0
6.2818,0
6.7041,0
6.2266,0
6.4979,0
6.4556,0
6.7823,0
6.571,0
6.7715,0
6.6903,0
5.2238,0
6.8312,0
6.8797,0
6.6683,0
7.5843,0
5.396,0
6.3769,0
6.7241,0
6.4741,0
6.3668,0
6.4778,0
6.2619,0
6.5765,0
6.287,0
6.3878,0
6.6225,0
6.5871,0
6.4271,0
7.1458,0
6.7495,0
6.3343,0
6.579,0
6.7485,0
5.7647,0
6.9752,0
6.5168,0
6.7984,0
6.7775,0
6.2327,0
6.6432,0
6.7221,0
7.1176,0
6.2348,0
6.5466,0
6.5026,0
7.4874,0
5.9452,0
6.4724,0
6.5569,0
5.649,0
7.354,0
6.1495,0
6.6195,0
6.386,0
6.6356,0
7.0606,0
6.0881,0
6.8499,0
5.3656,0
6.6727,0
6.4757,0
6.2216,0
6.3792,0
6.212,0
6.0549,0
6.4099,0
6.2977,0
7.1175,0
6.1501,0
7.0502,0
6.9392,0
6.0504,0
6.8639,0
6.1505,0
6.714,0
6.6181,0
6.4177,0
6.5532,0
5.3228,0
6.5329,0
6.7181,0
6.6563,0
6.5706,0
6.905,0
6.4925,0
5.661,0
6.457,0
6.6551,0
6.9648,0
6.3789,0
6.4891,0
6.6747,0
6.7158,0
6.5859,0
6.3745,0
5.933,0
5.5848,0
6.5793,0
6.7487,0
6.8998,0
6.0121,0
6.0313,0
6.5238,0
6.4479,0
6.6148,0
6.738,0
6.3188,0
6.5544,0
6.8796,0
6.3549,0
6.7019,0
6.914,0
6.5438,0
6.3734,0
7.1362,0
6.1161,0
5.8512,0
7.1242,0
6.1624,0
6.6468,0
6.5,0
6.7699,0
5.8812,0
5.9882,0
6.8065,0
6.3711,0
6.3565,0
6.9929,0
5.9369,0
6.5469,0
6.1177,0
6.6728,0
6.4017,0
6.3167,0
6.7001,0
6.8045,0
6.4569,0
6.7607,0
6.5503,0
6.6219,0
5.9105,0
6.1915,0
6.5389,0
5.9684,0
6.7291,0
5.7898,0
6.3829,0
6.6405,0
6.6968,0
5.9086,0
7.0757,0
6.6122,0
6.7168,0
6.3951,0
6.6347,0
5.6259,0
5.9769,0
6.6301,0
5.4226,0
6.5663,0
6.5129,0
5.8335,0
6.6369,0
6.5386,0
6.649,0
6.4561,0
5.9499,0
6.775,0
6.8383,0
6.8429,0
6.2286,0
5.5406,0
6.6429,0
5.537,0
6.7864,0
5.5436,0
6.6435,0
6.8038,0
6.3435,0
6.799,0
6.9343,0
6.6135,0
6.6331,0
6.7844,0
7.013,0
5.1807,0
5.8753,0
6.1486,0
6.9457,0
5.6376,0
6.4745,0
5.4988,0
6.5245,0
6.7764,0
6.2989,0
6.5535,0
6.5383,0
5.5451,0
6.596,0
6.6233,0
6.3329,0
6.6318,0
6.2984,0
6.9264,0
6.6968,0
6.2772,0
6.2262,0
6.6567,0
6.0568,0
6.8505,0
6.6873,0
6.8763,0
5.7551,0
5.5945,0
6.3212,0
6.3424,0
6.9725,0
6.5394,0
6.1209,0
6.3969,0
6.5977,0
6.9686,0
6.3164,0
6.992,0
6.1355,0
6.89,0
6.9015,0
6.2717,0
6.7525,0
6.3203,0
6.9631,0
6.3393,0
6.7345,0
6.5345,0
6.3952,0
6.7018,0
6.7559,0
5.8415,0
6.5277,0
7.105,0
6.483,0
6.6626,0
7.0117,0
6.2858,0
6.626,0
6.1989,0
6.3345,0
6.7612,0
6.4865,0
6.658,0
6.3814,0
6.6104,0
6.5111,0
6.3371,0
5.6104,0
6.0364,0
6.5771,0
6.5271,0
6.4574,0
7.0642,0
6.4809,0
6.324,0
6.693,0
6.3759,0
6.7969,0
6.7768,0
6.7465,0
6.9866,0
6.6246,0
6.5403,0
5.2676,0
6.9638,0
6.9664,0
6.2548,0
6.7878,0
6.6105,0
6.384,0
6.4799,0
6.8324,0
5.7757,0
6.0998,0
6.8455,0
6.6041,0
6.8947,0
6.2359,0
6.5498,0
6.59,0
6.2536,0
7.0114,0
6.5684,0
6.9076,0
6.5273,0
5.7827,0
6.5443,0
6.3223,0
7.0552,0
5.1878,0
7.0136,0
5.5194,0
6.1545,0
7.0447,0
7.3263,1
7.2038,1
7.2275,1
8.0102,1
7.0286,1
7.9915,1
6.6345,1
7.278,1
7.4539,1
6.7343,1
7.2559,1
6.5866,1
7.9668,1
7.1198,1
7.6973,1
7.0732,1
7.2918,1
7.5792,1
6.1786,1
7.0034,1
7.512,1
7.4881,1
7.1509,1
7.5571,1
7.1286,1
7.3857,1
7.5526,1
6.4289,1
7.3358,1
7.759,1
7.6449,1
7.299,1
7.5162,1
7.4917,1
7.5521,1
6.846,1
6.647,1
7.3906,1
7.5721,1
7.3238,1
7.197,1
7.3847,1
7.2494,1
7.0832,1
7.863,1
6.8015,1
7.6599,1
7.3609,1
7.061,1
6.3357,1
7.1555,1
7.0987,1
7.538,1
7.1994,1
7.5166,1
7.1599,1
7.1981,1
7.0844,1
6.9691,1
7.2626,1
7.5565,1
7.282,1
7.1719,1
7.1794,1
6.4476,1
7.8806,1
7.1503,1
8.8806,1
5.3717,1
7.0187,1
7.6595,1
6.4897,1
6.4423,1
6.7408,1
7.8631,1
7.2754,1
7.0653,1
7.5337,1
7.284,1
6.3795,1
7.4232,1
7.3983,1
7.7323,1
7.027,1
6.9695,1
7.0874,1
6.7674,1
7.5883,1
7.5183,1
7.1002,1
7.1849,1
6.8363,1
6.9289,1
6.2808,1
7.2622,1
6.6338,1
7.0593,1
7.1159,1
7.8583,1
7.0737,1
6.9595,1
6.8128,1
7.1971,1
7.5287,1
6.8462,1
6.9515,1
6.7851,1
8.3464,1
7.6757,1
7.152,1
8.0257,1
6.6865,1
7.5406,1
7.3175,1
7.7215,1
7.1368,1
7.7451,1
6.9924,1
7.1347,1
7.1604,1
7.3612,1
7.0078,1
7.2315,1
7.0123,1
7.1046,1
7.0654,1
7.0629,1
7.4207,1
7.3886,1
6.8649,1
7.1549,1
7.3535,1
6.9435,1
7.4926,1
7.1879,1
7.2843,1
6.5364,1
7.111,1
7.1946,1
7.1523,1
6.791,1
6.4722,1
7.5229,1
7.098,1
7.5538,1
6.9053,1
7.3102,1
7.0701,1
7.138,1
7.7373,1
6.9637,1
7.049,1
7.4685,1
7.338,1
7.4682,1
7.2207,1
6.7823,1
7.9356,1
7.2237,1
7.8305,1
7.0831,1
7.4058,1
7.3765,1
7.1501,1
6.6646,1
7.4517,1
6.8297,1
6.9714,1
7.1641,1
7.2746,1
7.827,1
7.0099,1
7.1032,1
6.919,1
6.9149,1
7.0555,1
7.5313,1
6.1696,1
7.4537,1
7.2064,1
7.1671,1
7.319,1
6.4128,1
6.3814,1
7.5225,1
7.4355,1
7.0777,1
6.9729,1
6.5267,1
7.5248,1
6.8708,1
7.713,1
6.8383,1
6.7525,1
7.365,1
7.3944,1
7.2238,1
7.4851,1
7.1177,1
7.3131,1
6.9671,1
6.5678,1
7.4137,1
7.5786,1
7.324,1
7.0781,1
7.6874,1
6.3976,1
7.4606,1
7.5974,1
6.7208,1
6.9895,1
8.1091,1
6.196,1
7.4545,1
7.3384,1
7.0393,1
7.2432,1
7.0605,1
7.2998,1
7.4123,1
7.4892,1
7.0522,1
7.8151,1
6.0268,1
7.567,1
7.4389,1
6.5499,1
7.2494,1
6.6978,1
7.3249,1
7.0748,1
8.2848,1
6.4458,1
7.6166,1
7.5993,1
7.4856,1
6.9148,1
7.1649,1
6.4899,1
7.1472,1
7.9014,1
7.3294,1
7.1443,1
7.109,1
7.4987,1
7.1603,1
7.4861,1
7.4699,1
6.7346,1
6.4302,1
7.9426,1
6.9265,1
7.4563,1
7.2777,1
6.3385,1
6.8484,1
7.2993,1
7.6006,1
7.0942,1
7.0698,1
7.2713,1
7.4807,1
6.97,1
7.4382,1
7.0708,1
7.4572,1
7.1031,1
6.6988,1
7.4759,1
7.3837,1
7.92,1
6.9137,1
7.3723,1
7.2666,1
7.3794,1
7.5013,1
7.2293,1
7.4451,1
7.6057,1
7.2812,1
7.3236,1
7.474,1
7.1585,1
7.1436,1
7.6586,1
7.518,1
7.025,1
7.0043,1
7.452,1
7.5839,1
6.9645,1
6.8982,1
6.8198,1
6.206,1
6.7423,1
6.2694,1
7.1723,1
7.4461,1
7.5924,1
7.0956,1
6.0569,1
7.5321,1
7.4529,1
7.2275,1
7.0326,1
7.0419,1
7.1526,1
7.2503,1
7.1112,1
6.9845,1
7.1868,1
7.5069,1
7.1566,1
7.3965,1
6.9626,1
6.9663,1
7.5023,1
7.1237,1
7.2861,1
7.1411,1
7.8538,1
6.9726,1
7.3446,1
7.286,1
7.5793,1
6.998,1
7.8657,1
7.0977,1
7.3623,1
7.6751,1
7.2599,1
7.1989,1
7.3128,1
7.4137,1
6.8392,1
7.9129,1
6.278,1
7.2566,1
7.5973,1
7.1771,1
7.1378,1
7.2771,1
6.6837,1
7.1423,1
7.9077,1
6.9121,1
7.5433,1
7.4595,1
7.0995,1
7.0545,1
7.6031,1
7.2596,1
7.1982,1
7.216,1
7.2605,1
7.447,1
6.1232,1
7.0363,1
7.0857,1
7.8307,1
7.2309,1
7.1893,1
7.1665,1
7.6526,1
6.9876,1
7.6544,1
6.9045,1
7.1132,1
7.9163,1
6.5694,1
6.8339,1
7.402,1
7.5635,1
7.2732,1
7.3965,1
6.9061,1
7.581,1
8.2693,1
5.8421,1
8.1205,1
6.9536,1
7.4242,1
6.9023,1
7.514,1
7.3556,1
6.7559,1
8.0126,1
6.3089,1
7.7631,1
6.6199,1
7.4626,1
7.0466,1
7.7275,1
7.502,1
7.3418,1
7.2066,1
6.9551,1
7.3908,1
6.8766,1
8.063,1
6.6626,1
6.5023,1
7.6945,1
6.8372,1
7.4788,1
7.0231,1
7.5869,1
7.1793,1
7.3623,1
7.5389,1
6.7783,1
7.0612,1
7.5664,1
6.9407,1
7.6559,1
7.2846,1
7.9581,1
6.9629,1
8.1525,1
6.8632,1
7.5792,1
7.252,1
7.3076,1
7.1526,1
7.6536,1
6.8088,1
7.1281,1
7.3383,1
7.3184,1
6.5784,1
6.885,1
7.3491,1
7.4664,1
7.594,1
8.1118,1
5.9261,1
7.0321,1
7.0816,1
7.3554,1
7.434,1
7.142,1
7.3119,1
7.5787,1
6.8265,1
7.1079,1
6.8643,1
8.1387,1
6.154,1
7.5212,1
7.3153,1
7.2304,1
7.0039,1
7.3335,1
7.455,1
6.915,1
7.7158,1
6.7251,1
7.7162,1
7.2846,1
7.3762,1
7.376,1
7.1502,1
7.3633,1
7.4921,1
7.6436,1
7.05,1
7.3888,1
6.8284,1
7.4119,1
7.1028,1
7.6551,1
7.6838,1
7.6987,1
6.8076,1
7.3406,1
7.4313,1
6.2627,1
7.2957,1
7.4344,1
7.0745,1
7.3969,1
7.144,1
7.0237,1
7.2898,1
7.1823,1
7.4564,1
6.9297,1
7.3398,1
7.3563,1
7.1948,1
7.2154,1
7.4359,1
6.35,1
7.6943,1
7.6907,1
6.7168,1
7.4697,1
7.445,1
7.4629,1
7.3228,2
7.5285,2
7.4932,2
7.146,2
7.2442,2
7.7677,2
7.0789,2
7.8462,2
7.228,2
7.903,2
7.3846,2
7.7213,2
7.1813,2
7.0869,2
7.6796,2
7.2164,2
7.1654,2
7.078,2
7.8272,2
6.8553,2
7.3671,2
6.9964,2
7.4238,2
7.3533,2
7.376,2
7.4786,2
6.9908,2
7.2501,2
7.1978,2
7.6336,2
7.6202,2
6.6065,2
8.5082,2
7.3914,2
7.1427,2
7.1373,2
7.0443,2
7.8989,2
7.2008,2
7.9157,2
6.5848,2
7.1241,2
7.2368,2
7.0794,2
7.4905,2
7.2144,2
7.1151,2
7.3497,2
8.0664,2
6.6475,2
7.2407,2
7.6029,2
7.2259,2
6.9958,2
7.3955,2
7.0811,2
7.4431,2
7.3674,2
7.9741,2
7.1723,2
7.6094,2
6.9772,2
7.7278,2
7.2861,2
7.4201,2
7.1752,2
7.2159,2
7.2702,2
7.249,2
7.7773,2
7.26,2
7.4325,2
6.9113,2
7.8534,2
6.5025,2
7.9968,2
7.2221,2
7.139,2
7.4082,2
7.7203,2
6.9975,2
7.4348,2
7.0194,2
7.3538,2
6.4341,2
7.4643,2
7.1443,2
7.1808,2
7.2467,2
7.2155,2
7.5487,2
6.8277,2
7.1963,2
7.6095,2
7.4399,2
5.9837,2
7.8534,2
7.1848,2
7.3302,2
7.0204,2
7.4211,2
7.1537,2
7.8264,2
7.1584,2
7.2879,2
6.9629,2
7.3666,2
7.3102,2
7.2022,2
7.3601,2
6.1915,2
7.6128,2
6.3748,2
6.3871,2
6.9865,2
7.088,2
7.3743,2
7.021,2
7.5115,2
7.2122,2
7.0069,2
7.3831,2
6.935,2
6.7761,2
6.8906,2
7.178,2
7.7856,2
7.4842,2
6.5653,2
7.4801,2
7.4839,2
7.7526,2
7.1882,2
7.2367,2
7.502,2
7.3556,2
6.5586,2
6.2964,2
7.8413,2
7.0226,2
7.5597,2
7.227,2
7.5153,2
7.1007,2
7.2468,2
7.4136,2
7.4662,2
7.9812,2
7.0012,2
7.2481,2
7.2173,2
7.6819,2
6.951,2
6.7189,2
7.292,2
7.3872,2
6.9787,2
7.4604,2
7.5613,2
8.4599,2
6.6873,2
8.0549,2
6.528,2
6.4017,2
7.4426,2
7.2527,2
7.2264,2
6.9039,2
7.4191,2
7.0951,2
7.7145,2
6.957,2
7.2158,2
7.3179,2
7.2531,2
7.3095,2
6.8972,2
7.388,2
7.058,2
7.2568,2
7.3075,2
7.3132,2
7.2465,2
7.3328,2
7.2597,2
5.9263,2
7.363,2
7.686,2
6.9111,2
6.4169,2
6.974,2
7.409,2
7.1688,2
7.3211,2
7.3665,2
7.4815,2
6.9036,2
7.3659,2
7.481,2
7.168,2
7.0758,2
7.6731,2
7.3315,2
6.9532,2
7.2316,2
7.03,2
6.8883,2
6.5644,2
7.0697,2
6.4126,2
7.0058,2
6.9724,2
7.0743,2
7.363,2
7.5981,2
7.3555,2
7.5816,2
6.7772,2
7.2459,2
7.9823,2
6.7015,2
7.1766,2
7.7465,2
7.2228,2
7.686,2
6.7634,2
7.3459,2
6.9719,2
7.917,2
7.1806,2
7.3784,2
7.2086,2
7.2331,2
7.7903,2
7.1159,2
7.3397,2
7.3503,2
7.4374,2
6.7982,2
7.4837,2
6.9348,2
7.6966,2
7.015,2
7.3912,2
7.4307,2
7.2113,2
7.092,2
7.2162,2
6.9485,2
7.1716,2
6.6101,2
7.6281,2
7.445,2
7.0874,2
7.8731,2
7.2432,2
7.2648,2
6.7814,2
8.3275,2
7.4204,2
7.6568,2
7.3676,2
7.1387,2
7.5334,2
7.6779,2
7.7716,2
7.875,2
7.6948,2
7.9476,2
7.578,2
7.3153,2
7.655,2
7.6965,2
7.6627,2
7.3158,2
7.3443,2
7.5028,2
7.7417,2
7.5286,2
7.8438,2
7.5185,2
7.5752,2
7.3942,2
7.4175,2
8.1132,2
6.5458,2
7.5163,2
7.7272,2
7.8256,2
8.1353,2
7.9624,2
6.8879,2
7.1606,2
7.4848,2
7.8926,2
7.8112,2
7.2293,2
8.3665,2
7.4986,2
7.9815,2
7.7511,2
7.5695,2
7.8656,2
7.4116,2
7.6006,2
7.8303,2
8.0909,2
7.3127,2
8.0285,2
6.6842,2
7.1832,2
7.3363,2
7.7998,2
6.7372,2
7.3881,2
7.5469,2
8.2639,2
7.8572,2
7.953,2
7.7734,2
7.4976,2
7.2085,2
8.2691,2
7.5668,2
7.9137,2
7.9029,2
7.7107,2
7.782,2
7.354,2
7.7871,2
7.6292,2
7.6691,2
7.1114,2
7.2895,2
7.6713,2
8.1413,2
8.2583,2
7.2239,2
7.99,2
7.4237,2
8.1866,2
7.9771,2
7.9832,2
8.1985,2
7.6098,2
8.1093,2
7.938,2
8.3731,2
7.8505,2
8.4031,2
6.864,2
7.859,2
6.9235,2
8.1835,2
7.9727,2
8.1846,2
7.8,2
8.4724,2
6.6567,2
7.5531,2
8.1806,2
7.039,2
8.358,2
7.2123,2
6.5958,2
7.6631,2
6.7318,2
7.7267,2
9.2933,2
5.8913,2
6.5359,2
7.6532,2
7.3415,2
7.3069,2
8.1316,2
7.8268,2
7.0899,2
7.2576,2
7.8188,2
8.11,2
7.7446,2
7.8405,2
7.2163,2
8.0779,2
8.0686,2
7.2168,2
7.6956,2
7.3484,2
8.0643,2
7.4573,2
7.3164,2
6.7586,2
7.6126,2
6.9153,2
8.0407,2
7.5794,2
8.1653,2
7.8177,2
8.2203,2
7.836,2
7.8793,2
8.2243,2
15.0119,2
1.7527,2
7.3003,2
7.8798,2
7.7596,2
7.7042,2
7.9287,2
6.8968,2
7.0295,2
7.3937,2
7.8949,2
7.522,2
8.0741,2
7.5564,2
7.9093,2
7.731,2
7.8679,2
7.4895,2
7.9781,2
7.7747,2
7.7281,2
7.1472,2
7.7404,2
7.8895,2
7.9578,2
7.5983,2
8.011,2
7.782,2
7.5966,2
7.8044,2
7.4989,2
7.453,2
8.0726,2
7.5713,2
8.1267,2
8.0143,2
8.1263,2
8.0984,2
7.5646,2
