frame time,Number of lights
6.2639,0
6.6837,0
6.3924,0
6.3766,0
6.2551,0
6.4459,0
6.6888,0
6.8287,0
6.5477,0
7.045,0
6.1552,0
6.7776,0
6.4352,0
6.7197,0
6.0904,0
6.8345,0
7.0566,0
6.3726,0
6.5217,0
7.0448,0
5.129,0
7.0267,0
6.2782,0
6.793,0
6.1729,0
6.8461,0
6.0953,0
6.798,0
6.3707,0
6.6748,0
6.1073,0
6.924,0
6.8483,0
7.1228,0
5.9714,0
6.3265,0
6.9089,0
4.8683,0
6.9657,0
6.0768,0
6.8097,0
6.5736,0
6.5242,0
6.5893,0
7.5529,0
6.0586,0
6.8293,0
6.2337,0
7.0617,0
7.4012,0
7.2371,0
7.3908,0
6.6241,0
7.2919,0
6.8237,0
7.0843,0
7.7897,0
6.2158,0
7.4037,0
6.6609,0
6.3244,0
7.18,0
6.7386,0
7.5697,0
7.4408,0
7.3308,0
7.2283,0
7.411,0
7.0795,0
6.8933,0
6.2104,0
6.7726,0
7.0196,0
7.0276,0
6.843,0
7.2681,0
7.5417,0
7.2882,0
7.0663,0
7.3255,0
6.3914,0
7.182,0
7.5027,0
6.8295,0
6.9156,0
7.1335,0
7.0522,0
7.0564,0
6.3349,0
6.534,0
7.4267,0
7.2534,0
7.3566,0
6.9365,0
7.354,0
7.4901,0
7.4153,0
7.0774,0
7.589,0
7.1596,0
7.3419,0
7.0311,0
7.4064,0
7.6771,0
6.7857,0
7.814,0
7.1294,0
7.1569,0
6.3768,0
6.728,0
6.5468,0
6.9602,0
7.0473,0
7.2478,0
5.7043,0
5.5451,0
6.9467,0
6.5904,0
6.0468,0
6.5773,0
6.4868,0
6.7182,0
6.416,0
6.7974,0
6.4317,0
5.7007,0
7.146,0
6.7495,0
7.0462,0
5.9589,0
6.0929,0
6.3881,0
5.5662,0
7.0077,0
6.0721,0
6.3108,0
6.8855,0
6.0447,0
7.0246,0
6.1019,0
6.6564,0
7.1344,0
6.3253,0
7.0189,0
6.2655,0
6.6167,0
5.9712,0
6.9814,0
6.3625,0
6.7629,0
6.0197,0
6.612,0
6.5535,0
6.4111,0
6.4127,0
6.1661,0
7.0339,0
6.2162,0
6.7875,0
5.9697,0
6.4742,0
6.4973,0
6.7596,0
7.1855,0
6.1512,0
6.4479,0
6.4607,0
6.7429,0
7.0415,0
7.0588,0
6.0856,0
6.9249,0
6.4905,0
6.0515,0
6.4184,0
6.3405,0
7.4602,0
6.3642,0
6.6761,0
6.4248,0
5.8248,0
6.6605,0
6.3705,0
7.036,0
6.4757,0
5.763,0
6.3699,0
6.746,0
6.2078,0
6.809,0
6.4782,0
6.5611,0
6.8196,0
6.9595,0
6.6442,0
6.5015,0
5.9255,0
6.7932,0
6.4981,0
6.6183,0
6.7863,0
6.6053,0
6.4978,0
6.7325,0
6.1289,0
6.5805,0
7.0656,0
6.4668,0
6.5615,0
6.6853,0
6.1614,0
6.5879,0
6.7188,0
6.1652,0
6.5542,0
6.7678,0
6.2863,0
6.482,0
6.4694,0
6.2706,0
7.1293,0
6.3075,0
6.647,0
6.9757,0
6.8139,0
7.5248,0
6.8175,0
6.1471,0
6.4012,0
7.1031,0
6.556,0
7.5025,0
6.6758,0
6.9417,0
6.3557,0
6.0874,0
7.0283,0
7.0459,0
7.4785,0
5.8304,0
6.9929,0
6.8775,0
6.7715,0
7.0343,0
6.0343,0
7.3075,0
6.7892,0
7.7085,0
6.2543,0
6.0008,0
6.13,0
6.5883,0
6.9446,0
5.6567,0
6.2045,0
6.8608,0
7.0196,0
5.7938,0
6.4525,0
6.9857,0
6.905,0
6.5299,0
7.1663,0
6.9075,0
7.3756,0
6.9552,0
6.963,0
6.962,0
6.8776,0
7.1392,0
7.0648,0
7.1765,0
7.0114,0
6.4546,0
6.3755,0
6.6584,0
7.1556,0
7.0012,0
6.717,0
7.2463,0
7.3957,0
5.8955,0
6.1379,0
6.7972,0
6.8079,0
7.2722,0
7.3214,0
6.7158,0
7.2002,0
6.7115,0
7.0916,0
7.4603,0
5.896,0
6.7707,0
7.0137,0
6.784,0
7.0661,0
6.8406,0
6.6003,0
6.7778,0
6.6668,0
7.1608,0
6.5521,0
6.4155,0
6.8448,0
7.5006,0
6.2744,0
5.499,0
6.9777,0
6.812,0
6.3353,0
6.8569,0
7.2222,0
6.8067,0
7.2404,0
6.8576,0
7.2089,0
6.4867,0
5.7394,0
6.1639,0
6.358,0
6.1459,0
7.0197,0
6.8719,0
7.3004,0
6.7042,0
7.1319,0
6.8858,0
7.2142,0
6.9563,0
7.2436,0
6.5125,0
6.2461,0
7.0244,0
6.4433,0
6.8191,0
6.3688,0
6.6628,0
7.402,0
6.3707,0
6.8353,0
7.1772,0
6.8109,0
6.4373,0
6.8923,0
6.901,0
6.4138,0
6.7042,0
6.8585,0
5.1704,0
6.8972,0
7.2884,0
6.1118,0
5.6629,0
6.3072,0
6.8122,0
6.8985,0
6.4015,0
6.9108,0
7.1502,0
5.6081,0
6.8245,0
6.4538,0
7.0605,0
6.7345,0
6.2263,0
7.2106,0
5.8521,0
6.8063,0
6.6745,0
6.7976,0
6.896,0
6.309,0
6.7318,0
6.8861,0
6.7861,0
