frame time,Number of lights
6.3351,0
6.9409,0
6.2135,0
6.0989,0
5.9672,0
6.643,0
6.3889,0
6.7241,0
6.5506,0
6.552,0
6.1646,0
6.5084,0
7.5121,0
4.8687,0
6.2386,0
6.3507,0
6.3314,0
6.5179,0
6.5485,0
6.8787,0
6.313,0
6.3273,0
6.7417,0
6.1141,0
6.4974,0
6.525,0
6.9771,0
6.6039,0
6.1806,0
6.8516,0
5.5322,0
6.7527,0
7.2667,0
5.7327,0
7.0122,0
7.0758,0
5.7642,0
5.7662,0
5.9532,0
6.604,0
6.6325,0
6.4886,0
6.7156,0
6.4755,0
6.9393,0
6.138,0
6.8592,0
5.8041,0
6.429,0
6.0979,0
6.2771,0
6.4246,0
6.4085,0
6.1768,0
5.8991,0
6.4182,0
6.2898,0
6.6102,0
6.7951,0
5.9841,0
6.7811,0
6.6426,0
5.8202,0
8.4598,0
4.2864,0
6.3849,0
7.0523,0
6.1254,0
6.6641,0
6.3796,0
5.6377,0
7.0117,0
7.1026,0
6.2605,0
6.2556,0
5.9687,0
5.7963,0
5.8849,0
6.9986,0
6.2081,0
6.7691,0
6.241,0
6.7291,0
6.5614,0
6.4594,0
6.216,0
6.7722,0
6.5818,0
6.2314,0
5.6269,0
6.6494,0
6.4025,0
6.8094,0
5.6488,0
6.2195,0
6.4642,0
6.6125,0
6.5347,0
6.4757,0
6.9135,0
6.6396,0
6.4019,0
7.0943,0
6.0918,0
7.0492,0
5.7564,0
6.5245,0
6.4116,0
6.669,0
6.0648,0
7.186,0
6.1844,0
6.4438,0
6.601,0
5.9094,0
6.6121,0
6.3707,0
7.0543,0
6.4833,0
6.6169,0
6.3825,0
6.3796,0
6.4461,0
6.8163,0
6.4494,0
6.5418,0
6.5442,0
6.5997,0
6.8834,0
6.2565,0
6.7496,0
6.6773,0
6.3846,0
7.0282,0
5.9876,0
6.6916,0
6.7881,0
6.4676,0
6.9282,0
6.585,0
5.6062,0
6.5612,0
6.4821,0
6.7658,0
6.3045,0
6.7301,0
6.3362,0
6.5175,0
6.988,0
6.3804,0
7.0079,0
6.7436,0
6.5339,0
6.8559,0
6.336,0
7.0439,0
6.3663,0
6.7608,0
6.6193,0
6.9094,0
5.9718,0
6.4306,0
7.049,0
6.507,0
6.4087,0
6.6415,0
7.0509,0
5.1733,0
5.9799,0
5.6265,0
6.5538,0
5.8786,0
6.1278,0
6.955,0
6.5559,0
6.0546,0
6.4906,0
7.1573,0
6.0525,0
6.5987,0
5.9317,0
6.4828,0
6.8826,0
5.1128,0
6.8321,0
6.365,0
6.5603,0
6.4668,0
6.5696,0
6.2935,0
6.8403,0
6.0088,0
6.3054,0
5.3995,0
6.9219,0
6.3676,0
6.1505,0
6.8301,0
