frame time,Number of lights
5.3324,0
6.0091,0
5.1733,0
5.9378,0
4.6809,0
5.9512,0
5.9899,0
6.2257,0
5.3562,0
5.5534,0
6.3436,0
5.6417,0
5.6507,0
5.5572,0
5.8905,0
6.0008,0
5.3794,0
5.4872,0
6.045,0
6.2007,0
5.9656,0
5.9453,0
5.9112,0
5.2203,0
5.9575,0
6.1705,0
5.7494,0
5.6856,0
6.0787,0
5.5915,0
5.7589,0
5.528,0
6.0246,0
5.4869,0
4.9483,0
6.0795,0
6.0214,0
5.9641,0
5.587,0
5.4173,0
5.5918,0
6.2867,0
5.7659,0
4.5239,0
5.5247,0
4.5797,0
4.677,0
5.6858,0
5.2198,0
5.6281,0
6.0251,0
4.6146,0
4.9323,0
5.5412,0
4.9813,0
6.1083,0
5.955,0
5.8777,0
5.677,0
5.0221,0
5.8506,0
5.3618,0
5.9158,0
5.8136,0
5.4959,0
5.6301,0
5.0648,0
6.0981,0
5.9713,0
4.6742,0
6.2536,0
5.4858,0
6.3156,0
5.8892,0
5.9602,0
5.8586,0
5.7652,0
6.0434,0
6.2353,0
5.6806,0
5.8928,0
5.8749,0
6.1716,0
6.2773,0
4.7251,0
5.1643,0
6.1293,0
5.4488,0
6.258,0
5.7583,0
4.3984,0
5.5296,0
6.7156,0
4.6679,0
5.4405,0
5.9395,0
5.7605,0
5.8489,0
5.8971,0
6.061,0
6.1976,0
5.9247,0
5.9747,0
5.9003,0
6.2495,0
5.4581,0
6.0967,0
5.5098,0
6.719,0
5.0688,0
6.1742,0
5.99,0
5.3619,0
5.6269,0
5.4826,0
6.2096,0
5.5792,0
5.898,0
6.338,0
5.3934,0
4.9711,0
5.6699,0
5.8329,0
5.849,0
6.1085,0
5.2336,0
5.7186,0
5.3949,0
5.8281,0
6.0172,0
5.689,0
5.999,0
6.0114,0
6.0657,0
6.084,0
6.2877,0
5.6103,0
4.9696,0
5.5446,0
5.7679,0
5.979,0
5.8485,0
5.5336,0
6.3161,0
6.0708,0
5.1447,0
5.5623,0
5.5824,0
5.8054,0
5.3708,0
5.8175,0
5.9498,0
6.0689,0
5.7122,0
6.2383,0
6.0928,0
5.8369,0
6.2181,0
5.9408,0
4.7692,0
4.973,0
5.1944,0
5.9314,0
5.0776,0
6.1432,0
5.8231,0
5.4704,0
5.5203,0
5.0034,0
5.6488,0
4.9579,0
5.9689,0
4.6978,0
6.1504,0
5.7106,0
5.6505,0
4.7284,0
6.2096,0
5.5499,0
5.5482,0
5.503,0
5.8222,0
6.1724,0
5.8556,0
5.6551,0
6.0465,0
5.4678,0
5.829,0
6.5403,0
5.6144,0
5.9556,0
6.1673,0
5.8111,0
5.8769,0
6.1701,0
6.0277,0
6.142,0
5.0538,0
4.9248,0
5.9783,0
5.9492,0
5.841,0
5.4955,0
5.7668,0
5.7314,0
5.8174,0
6.1989,0
5.8057,0
5.8059,0
6.0861,0
5.6716,0
6.3084,0
5.5578,0
6.1268,0
5.6159,0
5.8698,0
6.4874,0
5.9119,0
6.115,0
6.2124,0
5.6297,0
5.0436,0
6.4555,0
4.7683,0
5.0922,0
5.945,0
6.2453,0
5.9169,0
5.8162,0
5.663,0
6.071,0
6.5851,0
5.7243,0
5.7059,0
4.8852,0
6.2187,0
5.8194,0
5.9811,0
5.9287,0
5.6551,0
5.8254,0
5.2401,0
4.8598,0
5.6979,0
5.6028,0
5.6337,0
6.1042,0
5.8771,0
5.2282,0
5.9086,0
5.6222,0
5.529,0
4.8302,0
5.3912,0
5.8582,0
6.0129,0
6.0904,0
6.052,0
6.0969,0
6.1475,0
5.3863,0
5.7966,0
5.7186,0
6.0355,0
5.7963,0
5.8815,0
5.9299,0
6.1213,0
5.2307,0
6.0822,0
5.415,0
5.6168,0
5.4793,0
6.3375,0
5.8814,0
6.1638,0
5.7117,0
6.013,0
5.7594,0
6.3346,0
6.2699,0
5.7018,0
4.9453,0
5.4074,0
5.7311,0
6.2109,0
5.1736,0
5.8109,0
5.7731,0
6.1277,0
6.133,0
5.2007,0
4.9021,0
5.8162,0
6.0218,0
6.0851,0
5.6984,0
6.072,0
6.0567,0
5.8524,0
5.6541,0
5.6357,0
5.0936,0
5.9304,0
6.3111,0
5.721,0
6.1551,0
4.4254,0
6.3632,0
5.5529,0
5.7453,0
6.0348,0
5.6846,0
6.1693,0
5.9094,0
4.3606,0
5.8671,0
5.9535,0
6.2742,0
5.7375,0
5.3388,0
5.7614,0
5.7302,0
6.2287,0
6.1213,0
5.7766,0
5.0802,0
5.8862,0
5.943,0
6.0055,0
6.155,0
5.9631,0
5.8406,0
5.31,0
5.3099,0
5.7099,0
4.9642,0
5.2275,0
4.8024,0
6.1311,0
5.8513,0
5.9784,0
6.0435,0
5.3237,0
5.9985,0
5.7752,0
6.1876,0
5.9774,0
5.5914,0
5.7163,0
6.215,0
5.8227,0
5.6391,0
5.776,0
6.0852,0
6.0044,0
5.7659,0
6.2991,0
6.0454,0
6.2336,0
4.6204,0
5.4592,0
5.6388,0
6.2451,0
5.64,0
6.1044,0
4.5357,0
5.6154,0
5.4925,0
5.4995,0
5.7944,0
5.8709,0
5.509,0
5.7846,0
6.0613,0
6.0946,0
5.4748,0
5.4835,0
6.0251,0
5.1852,0
6.1427,0
5.8296,0
6.0867,0
5.6285,0
6.2377,0
5.9321,0
5.1297,0
6.3166,0
5.938,0
5.0876,0
6.6499,0
5.4263,0
5.7703,0
5.8655,0
5.938,0
5.9834,0
4.5885,0
5.7516,0
5.6295,0
5.1147,0
5.4039,0
5.7638,0
5.7201,0
6.2652,0
5.9467,0
6.273,0
5.7447,0
6.0159,0
5.7769,0
5.8647,0
6.342,0
5.1424,0
6.0244,0
6.0663,0
5.7154,0
6.0108,0
6.1828,0
4.6272,0
6.0736,0
5.3757,0
5.7734,0
6.0808,0
5.6692,0
5.8205,0
6.411,0
5.661,0
5.2365,0
5.3829,0
6.4167,0
6.0514,0
6.2195,0
6.0727,0
6.1555,0
6.1396,0
4.9227,0
4.9928,0
5.9715,0
5.4227,0
5.7931,0
5.764,0
5.4909,0
5.8331,0
4.6703,0
6.3612,0
5.6098,0
5.2409,0
5.8416,0
6.0715,0
5.3268,0
5.6613,0
6.0114,0
6.0568,0
5.1747,0
4.8065,0
6.254,0
5.8424,0
5.8867,0
5.0916,0
5.8549,0
6.0507,0
6.5196,0
4.9265,0
5.9919,0
5.6253,0
6.0003,0
5.2619,0
5.9317,0
5.9585,0
5.9235,0
6.0133,0
