frame time,Number of lights
2.8151,0
2.8702,0
2.8352,0
2.7285,0
3.0031,0
2.9825,0
2.9249,0
3.3634,0
2.4439,0
2.9891,0
2.7385,0
2.7664,0
3.0983,0
2.7483,0
2.9075,0
2.8385,0
2.8653,0
2.9188,0
2.7753,0
2.8935,0
2.9024,0
2.7137,0
2.8971,0
2.9368,0
2.689,0
2.9494,0
2.7928,0
3.0062,0
2.6769,0
2.7301,0
2.9413,0
2.8878,0
2.9276,0
2.7455,0
2.9008,0
2.8439,0
2.8121,0
2.8052,0
2.8702,0
2.9502,0
2.9707,0
2.989,0
2.7781,0
3.4375,0
2.8891,0
2.8403,0
2.9689,0
2.8602,0
2.8268,0
2.9328,0
2.8919,0
2.8184,0
2.8603,0
2.8493,0
2.9896,0
3.0127,0
2.7937,0
3.8471,0
2.7565,0
2.9393,0
2.7615,0
3.0061,0
2.9178,0
3.4238,0
2.8781,0
2.7023,0
2.9479,0
3.032,0
2.7761,0
2.7785,0
2.8723,0
2.8031,0
2.8425,0
3.0083,0
3.227,0
2.8259,0
2.9618,0
2.9995,0
2.7841,0
2.9042,0
2.8296,0
2.6711,0
2.8965,0
2.912,0
3.2088,0
2.5587,0
2.8373,0
2.8242,0
2.8033,0
2.9276,0
3.0441,0
2.7397,0
2.951,0
2.7212,0
2.8949,0
2.7152,0
3.0696,0
3.2325,0
2.7498,0
2.9909,0
2.7827,0
3.1075,0
2.821,0
2.8918,0
2.8164,0
2.7619,0
2.7768,0
3.1783,0
2.701,0
2.7759,0
2.8948,0
2.7675,0
2.8295,0
2.9892,0
2.7944,0
2.8262,0
3.4403,0
2.6888,0
3.0428,0
3.0643,0
2.6169,0
2.8501,0
2.9458,0
2.7654,0
2.9854,0
2.8338,0
3.3167,0
2.7675,0
2.9698,0
2.8739,0
2.8093,0
2.8959,0
2.8339,0
2.8681,0
2.7877,0
2.846,0
2.926,0
2.9388,0
2.7326,0
2.7921,0
2.7853,0
3.0097,0
2.933,0
2.9357,0
2.8145,0
2.8559,0
2.8325,0
2.7303,0
2.9999,0
3.3847,0
2.7703,0
2.7974,0
2.9775,0
2.8746,0
2.8513,0
2.8223,0
2.8505,0
2.6686,0
3.0347,0
2.9044,0
2.8632,0
2.788,0
2.8767,0
2.8201,0
3.0006,0
2.9553,0
2.6481,0
2.899,0
2.8345,0
2.8947,0
2.8527,0
2.8566,0
2.874,0
2.8119,0
2.7348,0
2.8137,0
2.831,0
3.0389,0
3.0648,0
2.7598,0
3.2708,0
2.6276,0
2.8634,0
2.8391,0
2.8112,0
2.8257,0
2.8875,0
2.9588,0
2.9897,0
2.8006,0
2.8881,0
2.8292,0
2.8985,0
2.8676,0
2.9287,0
2.6943,0
2.8536,0
2.8374,0
2.8452,0
2.7349,0
3.1339,0
2.7285,0
2.9978,0
3.0389,0
2.6521,0
2.8094,0
2.9609,0
3.038,0
2.844,0
2.9124,0
2.7629,0
2.9492,0
2.8821,0
2.8896,0
2.8015,0
2.9742,0
2.7555,0
2.8846,0
2.9157,0
2.7955,0
2.9423,0
2.7987,0
2.8336,0
2.7698,0
2.9274,0
2.8164,0
3.0248,0
2.7859,0
2.8802,0
2.9994,0
2.6743,0
3.0533,0
2.8389,0
2.8828,0
2.9447,0
2.7837,0
2.8578,0
2.7521,0
2.9129,0
2.7715,0
2.935,0
2.7512,0
2.8236,0
2.8567,0
2.8656,0
2.9413,0
2.8375,0
2.7631,0
2.6845,0
2.673,0
2.8056,0
2.8957,0
2.7089,0
2.8104,0
2.8096,0
2.8391,0
3.5583,0
2.7697,0
2.8035,0
2.9246,0
2.7964,0
2.8472,0
2.6921,0
3.1242,0
3.2824,0
2.4816,0
2.752,0
2.9242,0
2.9044,0
2.6781,0
3.0139,0
3.1117,0
2.6981,0
3.0143,0
2.7177,0
3.0281,0
2.7576,0
2.8551,0
3.1652,0
2.6187,0
2.6562,0
3.6186,0
2.8118,0
2.8126,0
2.9394,0
2.6847,0
2.8515,0
3.0376,0
2.6626,0
2.9532,0
2.8746,0
2.9633,0
2.9208,0
2.7972,0
2.8021,0
2.976,0
2.825,0
2.9159,0
2.8628,0
2.8903,0
2.78,0
2.8967,0
2.9616,0
2.7885,0
2.7987,0
2.9286,0
2.8009,0
2.8755,0
2.8067,0
2.7798,0
2.8144,0
2.8993,0
2.8811,0
2.7905,0
2.8967,0
2.8409,0
2.9777,0
2.6639,0
2.9535,0
2.8241,0
2.8821,0
2.7345,0
3.0104,0
2.8353,0
2.7704,0
2.8608,0
3.0507,0
2.9055,0
2.8838,0
2.9016,0
2.7555,0
2.8645,0
2.8996,0
3.0016,0
3.0052,0
2.9077,0
2.9793,0
2.7819,0
2.9356,0
2.7853,0
2.8924,0
2.6471,0
2.8606,0
2.9283,0
2.7943,0
2.9236,0
2.7425,0
2.8104,0
3.0427,0
2.9642,0
2.9642,0
2.766,0
2.7435,0
2.9365,0
2.7771,0
2.9575,0
2.7402,0
2.9779,0
3.6164,0
2.7688,0
3.024,0
2.8185,0
2.9396,0
2.9624,0
2.6962,0
2.7713,0
2.7635,0
2.9705,0
2.8998,0
2.82,0
2.846,0
2.9206,0
2.8109,0
2.8739,0
2.8402,0
2.8817,0
2.7715,0
2.7754,0
2.8724,0
2.7033,0
3.0905,0
2.6959,0
2.9586,0
2.6886,0
2.8448,0
2.8692,0
3.0052,0
3.2071,0
2.7842,0
2.9,0
2.8253,0
2.8602,0
2.8806,0
2.8368,0
2.8576,0
2.8159,0
2.8927,0
2.9279,0
2.9237,0
2.7423,0
