frame time,Number of lights
4.2831,0
4.1641,0
4.2665,0
4.0702,0
4.0767,0
4.4151,0
4.0757,0
4.2335,0
4.2621,0
4.361,0
4.5023,0
4.4784,0
4.2459,0
4.0954,0
4.1871,0
4.155,0
4.6432,0
3.8852,0
4.3204,0
4.2204,0
4.3181,0
4.0863,0
4.7097,0
3.7622,0
4.4423,0
4.2173,0
4.2955,0
4.1835,0
4.4408,0
3.882,0
4.5154,0
4.1058,0
4.112,0
4.284,0
4.4948,0
3.8341,0
4.2341,0
4.2757,0
4.3284,0
3.9568,0
4.034,0
4.1977,0
4.4374,0
4.0215,0
4.3553,0
4.2708,0
4.2986,0
3.8884,0
4.2904,0
4.3452,0
4.4236,0
3.7897,0
4.1507,0
4.2261,0
4.4497,0
4.1899,0
4.1563,0
4.1478,0
4.3951,0
4.0653,0
4.1686,0
4.3288,0
4.2833,0
3.9728,0
4.4127,0
4.6825,0
3.6644,0
4.0443,0
4.8244,0
4.0615,0
4.0026,0
4.0958,0
4.3915,0
4.1514,0
4.037,0
4.3377,0
4.316,0
4.3783,0
4.0559,0
4.1115,0
4.114,0
4.4749,0
4.4233,0
4.2475,0
4.1194,0
4.4644,0
4.2287,0
4.2547,0
4.0687,0
4.2639,0
3.8917,0
4.3366,0
4.2383,0
4.6358,0
3.6163,0
4.0913,0
4.3479,0
4.7677,0
3.7656,0
4.1503,0
4.0724,0
4.8204,0
3.846,0
3.9596,0
4.366,0
4.3838,0
3.8013,0
4.308,0
4.2528,0
4.7152,0
3.804,0
4.3217,0
4.1357,0
4.4198,0
4.061,0
4.2711,0
4.2672,0
4.1723,0
4.1696,0
4.0102,0
4.3745,0
4.3296,0
3.8773,0
4.2754,0
5.0621,0
3.9561,0
4.4155,0
4.6375,0
4.1333,0
4.4042,0
4.068,0
4.3875,0
4.4854,0
4.4215,0
4.3524,0
4.816,0
4.2638,0
4.4794,0
4.489,0
3.9435,0
4.1244,0
4.2693,0
4.4247,0
4.2754,0
4.3004,0
4.1716,0
4.3012,0
4.432,0
4.2986,0
4.2779,0
4.3682,0
4.6195,0
4.4926,0
4.7269,0
4.1231,0
4.3476,0
5.001,0
4.6445,0
4.1622,0
4.2299,0
4.3474,0
4.1427,0
4.2907,0
4.3517,0
4.1516,0
4.069,0
4.0696,0
4.4663,0
4.2593,0
4.175,0
4.2528,0
4.7103,0
3.8211,0
4.2692,0
4.1548,0
4.6141,0
4.157,0
4.2094,0
4.1724,0
4.479,0
4.2239,0
4.1268,0
4.2386,0
4.3474,0
4.3105,0
4.1017,0
4.6769,0
4.1011,0
4.3007,0
3.9501,0
4.3287,0
4.5182,0
3.9775,0
4.1679,0
4.5518,0
4.1883,0
4.0093,0
4.1836,0
4.2215,0
4.2497,0
4.5092,0
4.145,0
4.586,0
3.7344,0
4.2163,0
4.472,0
4.5126,0
3.8929,0
4.0252,0
4.6328,0
4.3187,0
4.0064,0
4.4877,0
4.1467,0
4.3979,0
3.9196,0
4.2853,0
4.3077,0
4.4456,0
3.9745,0
4.3914,0
4.3445,0
4.404,0
4.7933,0
4.2673,0
4.4342,0
4.4774,0
4.6283,0
4.1676,0
4.0983,0
4.447,0
4.2957,0
4.1355,0
4.3938,0
4.1203,0
4.4059,0
4.1419,0
4.5723,0
3.7748,0
4.1342,0
4.3956,0
4.9032,0
3.9894,0
4.2441,0
4.1427,0
4.554,0
4.1006,0
3.9951,0
4.19,0
4.5776,0
3.8206,0
4.3472,0
4.311,0
4.1576,0
3.9655,0
4.2101,0
4.2045,0
4.5892,0
4.2099,0
4.4347,0
4.2222,0
4.3341,0
3.9756,0
4.291,0
4.0978,0
4.2976,0
4.227,0
4.2032,0
4.1943,0
4.4838,0
4.095,0
4.3703,0
4.2566,0
4.3985,0
4.2951,0
4.0222,0
4.3981,0
4.4783,0
4.1685,0
4.0845,0
5.0189,0
3.3909,0
4.3776,0
4.0497,0
4.6515,0
4.0327,0
4.049,0
4.2182,0
4.747,0
3.975,0
4.1394,0
4.0903,0
4.1869,0
4.0604,0
4.1509,0
4.5979,0
4.4571,0
3.9346,0
4.1616,0
4.4828,0
5.051,0
3.1658,0
4.0282,0
4.1195,0
4.8153,0
4.2887,0
4.2094,0
4.611,0
4.1656,0
4.2921,0
4.5284,0
3.9247,0
4.3861,0
4.4357,0
4.3141,0
4.7679,0
3.8388,0
4.2817,0
4.2847,0
4.1604,0
5.1346,0
4.3059,0
4.0533,0
4.6066,0
3.889,0
4.1465,0
4.5636,0
4.1986,0
4.0626,0
4.0483,0
4.5476,0
4.1266,0
4.5255,0
3.7722,0
4.3645,0
4.2276,0
4.2538,0
4.4405,0
4.2086,0
4.0521,0
4.5049,0
3.9278,0
4.1857,0
4.5631,0
4.1502,0
4.0729,0
4.2545,0
4.5048,0
4.221,0
3.8984,0
4.2416,0
4.3814,0
4.43,0
3.9593,0
4.2058,0
4.5408,0
4.2741,0
3.9479,0
4.2781,0
4.4658,0
3.7758,0
4.3224,0
4.4867,0
4.9073,0
4.1288,0
4.1346,0
4.9921,0
3.4836,0
4.3121,0
4.1625,0
4.9322,0
3.823,0
4.1941,0
5.213,0
3.924,0
3.8966,0
4.2913,0
4.3154,0
4.3829,0
3.877,0
4.2057,0
4.7908,0
3.9932,0
4.0935,0
4.2545,0
4.2389,0
4.2886,0
4.153,0
4.1365,0
4.0705,0
4.3588,0
3.9851,0
4.3982,0
3.9496,0
4.4536,0
3.9051,0
4.2958,0
4.3227,0
4.4583,0
4.3605,0
3.9618,0
4.6946,0
3.8709,0
4.1106,0
4.0907,0
4.6361,0
4.047,0
