frame time,Number of lights
4.2577,0
4.2547,0
4.5197,0
3.7898,0
4.1037,0
4.1779,0
4.4387,0
3.8985,0
4.3027,0
4.0471,0
4.6111,0
3.9449,0
4.2662,0
4.1978,0
4.4257,0
3.8126,0
4.1451,0
4.1982,0
4.4868,0
3.7403,0
4.3612,0
3.9932,0
4.1529,0
4.0127,0
4.0886,0
4.2188,0
4.3777,0
3.9095,0
4.024,0
4.4092,0
4.0615,0
4.0544,0
4.2419,0
4.7429,0
4.239,0
3.9378,0
4.6133,0
3.9599,0
4.23,0
3.9772,0
4.1761,0
4.1101,0
4.4304,0
4.0538,0
4.187,0
4.0813,0
4.1432,0
4.0319,0
4.2305,0
4.4121,0
4.2017,0
3.9427,0
9.58,0
2.7293,0
1.5273,0
3.6445,0
4.4784,0
4.2775,0
4.1894,0
4.1261,0
4.3618,0
4.2426,0
4.3003,0
3.9649,0
4.6224,0
3.8343,0
4.1786,0
4.1459,0
4.2309,0
4.0569,0
4.1871,0
4.2348,0
4.2862,0
4.1362,0
4.3376,0
4.1475,0
4.2525,0
4.3465,0
4.0584,0
4.3267,0
4.2119,0
4.3242,0
4.0763,0
4.0879,0
4.2795,0
4.4682,0
4.3538,0
4.6954,0
3.8369,0
4.5251,0
4.2507,0
4.3034,0
4.0977,0
4.3235,0
4.0988,0
4.5912,0
4.3287,0
4.2558,0
4.2814,0
4.0624,0
4.1887,0
4.6405,0
3.779,0
4.3145,0
4.2229,0
4.2875,0
3.8009,0
4.1026,0
4.3209,0
4.5036,0
4.0158,0
3.9532,0
4.3768,0
4.4892,0
3.8326,0
4.3169,0
4.2889,0
4.3881,0
4.081,0
4.3107,0
4.1169,0
4.3196,0
3.9663,0
4.652,0
4.2512,0
4.2095,0
4.0954,0
4.0555,0
4.0741,0
4.2764,0
4.5702,0
4.4607,0
3.633,0
4.0239,0
4.2399,0
4.5369,0
4.0709,0
4.5776,0
4.2815,0
4.0151,0
4.7654,0
4.3619,0
4.2481,0
4.2195,0
4.6965,0
3.634,0
4.319,0
4.173,0
4.7824,0
3.7726,0
4.3044,0
4.0611,0
4.6608,0
3.7178,0
4.1605,0
4.197,0
4.6017,0
3.9149,0
4.2196,0
4.0427,0
4.5103,0
3.9844,0
4.4428,0
4.2853,0
4.4388,0
4.0578,0
4.372,0
4.1157,0
4.5685,0
3.8246,0
4.416,0
4.0833,0
4.3723,0
3.8823,0
4.2068,0
4.4772,0
4.3619,0
3.9393,0
4.2331,0
4.5704,0
4.2822,0
3.8943,0
4.2179,0
4.0593,0
4.3633,0
4.2767,0
4.1747,0
4.1966,0
4.4926,0
3.926,0
4.3733,0
4.0137,0
4.3682,0
4.0522,0
4.2444,0
4.0122,0
4.6734,0
3.9425,0
4.5738,0
4.1689,0
4.4161,0
3.9934,0
4.3733,0
4.4367,0
3.86,0
4.2073,0
4.4827,0
4.1119,0
4.075,0
4.1053,0
4.3864,0
4.2025,0
3.9754,0
4.0238,0
4.37,0
4.0747,0
4.5028,0
4.3584,0
4.1195,0
4.6703,0
3.6781,0
4.7666,0
4.0336,0
4.5956,0
3.734,0
4.3888,0
4.1526,0
4.6546,0
3.6442,0
4.3249,0
4.3819,0
4.2585,0
3.9957,0
4.1435,0
4.253,0
4.3886,0
4.0808,0
4.1716,0
4.2259,0
4.3049,0
4.0765,0
4.2191,0
4.237,0
4.33,0
4.0593,0
4.2277,0
4.1187,0
4.5254,0
3.9225,0
3.9999,0
4.2855,0
4.4733,0
4.059,0
3.9884,0
4.2069,0
4.4714,0
3.9895,0
4.3443,0
4.1464,0
4.3132,0
4.4184,0
3.9391,0
4.3551,0
4.3205,0
4.0471,0
4.3673,0
4.169,0
4.2683,0
4.0374,0
4.4103,0
4.1188,0
3.9593,0
4.129,0
4.698,0
3.6274,0
4.2731,0
4.1471,0
4.0566,0
4.3525,0
4.2596,0
4.0497,0
4.3573,0
4.245,0
4.0052,0
4.1581,0
4.1343,0
4.1032,0
4.3721,0
4.2735,0
4.1997,0
4.0838,0
4.2071,0
4.102,0
4.409,0
4.3404,0
3.8816,0
4.3699,0
4.3141,0
4.5985,0
4.151,0
3.8825,0
4.3608,0
4.4855,0
4.2784,0
4.2104,0
4.2907,0
4.5352,0
3.711,0
4.2057,0
4.528,0
4.5932,0
3.7411,0
4.1889,0
4.5079,0
4.8347,0
3.4972,0
4.3033,0
4.4287,0
4.4482,0
3.9112,0
4.5846,0
4.204,0
4.0578,0
4.1194,0
4.1964,0
4.1574,0
4.2592,0
4.3173,0
4.0125,0
4.4136,0
4.2407,0
3.9533,0
4.2058,0
4.137,0
4.3371,0
3.9331,0
4.3248,0
4.0325,0
4.3286,0
4.3157,0
3.8985,0
4.0179,0
4.5278,0
3.8007,0
4.4569,0
4.1538,0
4.3143,0
3.9476,0
3.995,0
4.8644,0
4.3216,0
3.9109,0
4.133,0
4.2971,0
4.1286,0
4.1613,0
4.0376,0
4.4583,0
4.1047,0
4.2929,0
4.0226,0
4.3321,0
4.3427,0
3.8175,0
4.2043,0
4.0908,0
4.4552,0
3.9083,0
4.11,0
4.1894,0
4.5608,0
4.2089,0
4.0973,0
4.7048,0
3.8128,0
4.2185,0
3.9994,0
4.2195,0
4.2501,0
4.026,0
4.5347,0
4.1383,0
4.0423,0
4.405,0
4.0709,0
4.5496,0
4.0559,0
4.2842,0
4.4669,0
4.3009,0
3.947,0
4.3997,0
4.1452,0
4.6229,0
3.7097,0
4.2094,0
4.3532,0
4.6398,0
4.1772,0
4.056,0
4.3451,0
4.239,0
3.9179,0
4.2706,0
4.287,0
4.3342,0
4.08,0
4.5918,0
6.4172,0
1.7617,0
3.9648,0
4.5607,0
4.1097,0
4.2838,0
4.1919,0
4.2857,0
4.2012,0
4.0642,0
4.4029,0
4.0286,0
4.7081,0
4.3371,0
3.6875,0
4.1673,0
4.3498,0
4.316,0
4.2552,0
4.4697,0
3.9255,0
4.1852,0
4.4808,0
4.1923,0
4.7159,0
4.2186,0
3.9775,0
4.8902,0
4.2337,0
3.8198,0
4.2434,0
4.4759,0
4.0722,0
4.2644,0
4.3616,0
4.0836,0
4.3548,0
4.6205,0
4.0294,0
4.454,0
4.3735,0
4.0693,0
4.4231,0
4.0057,0
4.7479,0
4.2855,0
3.8726,0
4.1745,0
4.4198,0
4.4129,0
