frame time,Number of lights
4.4076,0
4.0274,0
4.6197,0
4.0907,0
4.3293,0
3.9714,0
4.4887,0
4.6063,0
4.2048,0
4.1175,0
4.1029,0
4.5065,0
4.2641,0
4.1595,0
4.2051,0
4.5668,0
3.9202,0
4.025,0
4.1418,0
4.2253,0
4.1704,0
4.8462,0
3.9706,0
4.3463,0
4.1725,0
4.3851,0
4.09,0
4.1511,0
4.6457,0
4.2952,0
3.7043,0
4.1862,0
4.777,0
4.4086,0
4.553,0
4.2174,0
4.2212,0
4.6298,0
3.8697,0
3.9787,0
4.3974,0
4.4709,0
3.825,0
4.5326,0
4.2189,0
4.0079,0
4.5201,0
4.1944,0
3.6713,0
5.0039,0
4.4288,0
4.2006,0
3.9538,0
4.3504,0
4.125,0
4.4277,0
4.2647,0
4.0365,0
4.1902,0
3.999,0
4.5563,0
4.0935,0
3.9849,0
4.2725,0
4.5245,0
3.8329,0
4.4231,0
4.2967,0
4.5328,0
4.1911,0
4.3076,0
4.5052,0
4.3918,0
3.9035,0
4.6409,0
3.9531,0
4.5408,0
4.4124,0
4.0805,0
4.609,0
4.1499,0
3.82,0
4.0935,0
4.2623,0
4.306,0
4.1814,0
4.45,0
4.2046,0
4.3503,0
4.3165,0
4.7711,0
3.8251,0
4.4258,0
4.5559,0
4.2408,0
4.675,0
3.8686,0
4.2787,0
4.0256,0
4.4991,0
3.8343,0
4.0784,0
4.6437,0
4.258,0
4.0162,0
4.3126,0
4.5274,0
4.3418,0
4.3192,0
4.2949,0
4.0791,0
4.3633,0
4.1892,0
4.117,0
4.2624,0
4.5441,0
3.8034,0
4.4989,0
4.0536,0
4.3432,0
4.6314,0
4.2172,0
4.0477,0
4.1773,0
4.2921,0
4.3854,0
4.6607,0
4.1747,0
4.1033,0
4.2876,0
4.3898,0
4.3664,0
4.1946,0
4.4522,0
4.6787,0
4.0916,0
4.5463,0
4.4199,0
4.0309,0
4.0959,0
4.1748,0
4.1305,0
4.2849,0
4.1123,0
4.12,0
4.4688,0
4.3504,0
4.3789,0
4.3606,0
4.0247,0
4.331,0
4.0373,0
4.5164,0
4.5791,0
4.3038,0
4.0803,0
4.6945,0
3.7323,0
4.5278,0
4.1201,0
4.4644,0
4.1725,0
4.8234,0
4.1545,0
5.4849,0
3.583,0
3.838,0
4.6237,0
3.9203,0
4.3992,0
4.2963,0
4.11,0
4.6323,0
4.3366,0
4.0671,0
5.4682,0
3.5059,0
4.6589,0
4.4916,0
4.6195,0
4.2342,0
4.3478,0
4.7584,0
4.1371,0
3.9197,0
4.9895,0
4.8564,0
4.2186,0
4.3416,0
4.3306,0
4.2256,0
4.2954,0
4.3502,0
4.262,0
4.4396,0
4.3083,0
4.5258,0
4.4112,0
4.153,0
4.8167,0
3.8266,0
4.3846,0
4.1952,0
4.3492,0
4.7777,0
4.699,0
4.2614,0
4.5287,0
4.244,0
4.3676,0
4.8447,0
3.7898,0
4.0455,0
4.197,0
4.2481,0
4.4523,0
4.2171,0
4.3986,0
3.8464,0
4.1452,0
4.1069,0
4.5809,0
3.9496,0
4.3217,0
4.0646,0
4.1495,0
4.298,0
4.0668,0
4.3239,0
4.3821,0
4.3407,0
3.8995,0
4.2259,0
4.4713,0
4.6319,0
3.808,0
4.4351,0
4.0598,0
4.2549,0
3.9758,0
4.3472,0
4.0378,0
4.2418,0
3.95,0
4.316,0
4.2165,0
4.1689,0
3.9317,0
4.3989,0
4.0047,0
4.1035,0
4.1876,0
4.2739,0
4.4118,0
4.439,0
4.2676,0
4.0037,0
4.4411,0
4.0147,0
4.4139,0
4.0414,0
4.0406,0
4.4536,0
4.1456,0
4.1868,0
4.2602,0
4.6398,0
3.6395,0
4.14,0
4.2834,0
4.3811,0
4.2081,0
3.6909,0
4.388,0
4.4596,0
3.7757,0
4.4296,0
4.4073,0
4.5325,0
3.9029,0
4.5791,0
4.0971,0
4.2945,0
4.1718,0
4.3799,0
4.1578,0
4.2324,0
3.9798,0
4.5045,0
3.8685,0
4.329,0
4.0509,0
4.241,0
4.3215,0
4.3578,0
3.8605,0
4.2308,0
4.0978,0
4.5509,0
4.4434,0
4.1469,0
4.2653,0
4.0422,0
4.3366,0
4.6493,0
4.0926,0
4.2664,0
4.1464,0
4.359,0
4.0506,0
4.2322,0
3.9242,0
4.1688,0
3.9785,0
4.2527,0
4.1825,0
4.4622,0
4.3554,0
3.8074,0
4.8869,0
4.0222,0
4.8875,0
3.743,0
3.9128,0
4.2208,0
4.4167,0
4.0907,0
4.0446,0
4.5924,0
4.2717,0
4.9249,0
4.2925,0
4.3504,0
4.7719,0
3.5021,0
4.3383,0
4.3409,0
4.4526,0
3.9157,0
4.4,0
4.3629,0
4.2362,0
4.3033,0
4.632,0
3.8149,0
4.2447,0
4.1908,0
4.3221,0
4.5503,0
4.1602,0
4.4308,0
4.3029,0
4.5131,0
3.8898,0
4.6537,0
3.7576,0
4.6063,0
4.2164,0
4.3721,0
4.9817,0
3.636,0
4.7731,0
4.2656,0
4.2545,0
4.3835,0
4.3013,0
4.362,0
4.4546,0
3.7949,0
4.2886,0
4.232,0
4.4436,0
4.3815,0
4.1605,0
4.1681,0
4.1659,0
4.3779,0
4.4581,0
4.3002,0
4.6186,0
4.1227,0
4.0517,0
4.0091,0
4.1051,0
4.4342,0
4.0892,0
4.119,0
4.5724,0
4.3347,0
4.4489,0
4.149,0
4.309,0
4.5959,0
3.8629,0
4.3581,0
4.8074,0
3.6622,0
4.1043,0
4.172,0
4.4788,0
4.2356,0
4.4502,0
4.4371,0
4.504,0
3.7998,0
4.5493,0
4.2808,0
4.2491,0
4.2799,0
3.8969,0
4.6843,0
4.4238,0
4.0576,0
4.5302,0
4.0515,0
4.3221,0
4.0173,0
4.0944,0
4.0235,0
4.9762,0
4.0066,0
4.6316,0
4.1289,0
4.2046,0
4.4976,0
4.4733,0
4.1275,0
3.8984,0
4.3872,0
4.7462,0
3.8635,0
4.4066,0
4.6948,0
3.8942,0
4.3878,0
4.0149,0
4.2917,0
4.3223,0
4.4649,0
3.7857,0
4.0953,0
4.1179,0
4.778,0
3.6614,0
4.1221,0
4.1424,0
5.1855,0
3.63,0
4.6648,0
3.7925,0
4.4987,0
4.6184,0
3.9338,0
4.4006,0
4.1252,0
3.7134,0
4.5934,0
3.9521,0
4.336,0
4.5856,0
3.9284,0
4.2583,0
4.1893,0
4.067,0
4.3613,0
4.2967,0
4.3304,0
3.9452,0
4.3551,0
4.175,0
4.3515,0
4.1465,0
4.8168,0
3.4547,0
4.2839,0
4.0579,0
4.2481,0
4.2051,0
4.3812,0
3.8384,0
4.3734,0
3.8655,0
4.382,0
3.9841,0
4.1791,0
4.866,0
3.9962,0
4.3408,0
4.2327,0
4.1468,0
4.3924,0
4.1177,0
4.0957,0
4.5344,0
4.1443,0
4.3983,0
3.9258,0
4.4233,0
4.0682,0
4.1083,0
4.5005,1
4.2545,1
4.3898,1
3.91,1
4.9553,1
4.3129,1
3.8517,1
4.5542,1
4.0273,1
4.6812,1
3.9098,1
4.639,1
3.971,1
4.0267,1
4.8819,1
4.0333,1
4.0358,1
4.0689,1
4.1819,1
4.2112,1
3.9117,1
4.1342,1
4.148,1
4.4648,1
4.1207,1
4.2631,1
4.391,1
3.9319,1
3.8931,1
4.0521,1
4.3269,1
4.3676,1
4.0452,1
4.4035,1
4.0959,1
4.7131,1
3.9169,1
4.045,1
4.1205,1
4.3485,1
4.0447,1
4.7547,1
3.8023,1
4.5181,1
4.4468,1
4.1486,1
4.2525,1
4.269,1
4.6648,1
3.6724,1
4.1032,1
4.5281,1
4.4282,1
4.2185,1
4.3563,1
4.1354,1
4.5847,1
3.8971,1
4.0268,1
4.2249,1
4.6864,1
4.2453,1
4.7014,1
3.9721,1
4.1232,1
4.3693,1
4.9135,1
3.5844,1
3.892,1
4.1699,1
4.8628,1
3.5507,1
4.5089,1
4.3489,1
4.1476,1
3.9168,1
4.189,1
4.3266,1
4.497,1
3.7619,1
4.348,1
4.464,1
4.4169,1
3.7646,1
4.1553,1
4.5244,1
4.1923,1
4.3349,1
3.922,1
4.1293,1
4.4457,1
4.1622,1
4.2536,1
3.7342,1
4.5566,1
4.2029,1
4.3957,1
4.2902,1
4.1079,1
4.4522,1
4.154,1
4.1462,1
4.0901,1
4.2808,1
4.3958,1
4.5144,1
3.7391,1
4.2217,1
4.198,1
5.0915,1
3.7606,1
4.1476,1
4.2351,1
4.5031,1
4.3582,1
4.773,1
4.1283,1
4.7077,1
4.542,1
3.3956,1
4.4265,1
4.4497,1
4.2832,1
4.3596,1
4.6923,1
4.2857,1
4.1598,1
4.6733,1
4.182,1
4.6987,1
3.9981,1
4.369,1
5.1137,1
3.7239,1
4.2155,1
4.8428,1
4.0441,1
4.2853,1
4.6708,1
4.0371,1
4.7038,1
4.1446,1
4.2402,1
4.6831,1
3.9283,1
4.361,1
3.9188,1
4.2956,1
4.4429,1
4.1999,1
4.4293,1
4.1314,1
4.272,1
4.2963,1
4.0419,1
4.2233,1
4.784,1
4.0668,1
4.3005,1
4.6095,1
4.4584,1
4.0701,1
4.4125,1
4.5799,1
4.2221,1
4.5029,1
3.9176,1
4.0219,1
4.6277,1
4.1371,1
4.3347,1
4.4814,1
4.3629,1
4.2885,1
4.6422,1
4.2157,1
4.2694,1
4.2232,1
4.3421,1
4.2769,1
4.3993,1
4.1578,1
4.2081,1
4.2928,1
4.1505,1
4.1937,1
4.3355,1
4.5108,1
3.95,1
4.5947,1
4.3418,1
4.6942,1
4.1809,1
5.0143,1
3.8118,1
4.4479,1
4.5225,1
4.3897,1
4.3212,1
4.504,1
4.3129,1
4.1703,1
4.2184,1
4.156,1
4.6209,1
4.0614,1
4.3535,1
4.1222,1
4.7527,1
4.304,1
4.5221,1
3.9525,1
4.4949,1
4.2639,1
3.9698,1
4.3729,1
4.6499,1
3.8029,1
4.4222,1
4.5178,1
4.3324,1
4.9729,1
3.6631,1
4.3989,1
4.6678,1
4.1334,1
4.131,1
4.8743,1
4.0824,1
4.7443,1
4.2137,1
4.5456,1
4.6949,1
3.9465,1
4.1991,1
4.539,1
4.8528,1
3.5982,1
4.595,1
4.3341,1
4.1472,1
4.7207,1
4.0146,1
4.2415,1
4.6913,1
3.5161,1
4.6096,1
4.1847,1
4.4838,1
3.9892,1
3.9091,1
4.3703,1
4.609,1
4.239,1
4.2224,1
4.5558,1
4.2265,1
4.1271,1
4.3509,1
4.8818,1
4.1003,1
4.4524,1
4.3223,1
4.0601,1
4.5175,1
4.1236,1
4.348,1
4.5252,1
4.1135,1
4.3121,1
4.2895,1
4.868,1
3.7522,1
4.274,1
4.5752,1
4.3995,1
4.1241,1
4.1835,1
4.6551,1
4.3361,1
4.0176,1
4.6701,1
4.1649,1
4.9434,1
3.5905,1
4.2198,1
4.558,1
3.7841,1
4.7922,1
3.7462,1
4.5005,1
4.9805,1
3.7602,1
4.4048,1
4.1581,1
4.5346,1
3.7085,1
4.5226,1
4.2192,1
4.2469,1
4.2124,1
4.4114,1
4.2484,1
44.131,1
1.6463,1
1.1637,1
2.3088,1
4.4885,1
4.283,1
4.4707,1
4.2019,1
4.3676,1
4.3419,1
4.333,1
4.3811,1
4.4756,1
4.2378,1
4.3849,1
4.2061,1
4.3216,1
5.0453,1
3.6324,1
4.2777,1
4.2578,1
4.4694,1
4.3913,1
4.3246,1
3.8895,1
4.6264,1
4.1662,1
4.6962,1
4.2014,1
4.6405,1
3.863,1
4.9174,1
4.4677,1
4.1562,1
4.5261,1
4.5878,1
4.1222,1
4.4314,1
4.2996,1
4.3871,1
4.2956,1
4.3231,1
4.3136,1
4.2126,1
4.5459,1
4.2167,1
4.4899,1
4.2416,1
4.4968,1
4.5724,1
4.0741,1
4.2132,1
4.4585,1
4.113,1
4.9,1
4.4082,1
4.3105,1
4.2338,1
3.9869,1
4.0595,1
4.3821,1
4.2264,1
4.3334,1
4.4197,1
4.2703,1
4.1884,1
4.1017,1
4.6332,1
4.0015,1
4.2263,1
4.7044,1
4.2381,1
4.8822,1
3.8766,1
4.3165,1
4.7252,1
4.1348,1
4.303,1
4.4786,1
4.2674,1
4.4353,1
4.3281,1
4.0175,1
4.27,1
4.6358,1
4.0231,1
4.2074,1
4.027,1
4.2821,1
3.9577,1
5.0039,1
4.0313,1
4.0572,1
4.4181,1
3.8413,1
3.9435,1
4.3541,1
4.0607,1
4.3107,1
4.8667,1
3.7211,1
4.2417,1
4.2584,1
4.7971,1
3.7139,1
4.1787,1
4.3384,1
4.6388,1
4.2004,1
4.1645,1
4.7717,1
4.7567,1
3.7373,1
4.476,1
4.2739,1
4.4701,1
4.057,1
4.1807,1
4.1886,1
4.277,1
5.1775,1
4.0035,1
4.4252,1
4.2842,1
4.3014,1
4.4031,1
4.531,1
4.133,1
4.3522,1
4.3383,1
4.082,1
4.8037,1
4.2688,1
4.3031,1
4.5892,1
4.2444,1
4,1
4.5521,1
3.9632,1
4.4031,1
4.45,1
4.5988,1
3.9328,1
4.5783,1
4.2509,1
3.7627,1
4.0776,1
4.176,1
4.5628,1
4.3686,1
4.1838,1
4.3075,1
4.3446,1
4.4918,1
3.8636,1
4.365,1
4.3715,1
4.2169,1
4.3614,1
3.9911,1
4.4271,1
4.5186,1
3.9511,1
3.9652,1
4.6642,1
4.2837,1
4.1274,1
4.5125,1
3.7286,1
4.4375,1
4.3603,1
3.9776,1
4.6065,1
3.529,1
4.2093,1
4.4713,1
4.2171,1
4.8557,1
3.9842,1
4.2405,1
4.398,1
3.962,1
4.3188,1
3.8772,1
4.0613,1
4.412,1
4.4869,1
4.6539,1
3.3026,1
4.028,1
4.5995,1
3.6239,1
4.3441,1
4.4725,1
4.1737,1
4.3761,1
4.0288,1
4.2394,2
4.2545,2
5.318,2
3.4674,2
4.2109,2
4.3832,2
4.3047,2
4.6637,2
4.6354,2
4.1121,2
4.8111,2
3.79,2
4.353,2
4.7635,2
3.9092,2
4.1642,2
4.3033,2
4.2827,2
4.2005,2
4.3048,2
4.1588,2
4.5867,2
4.2542,2
4.0102,2
4.4317,2
4.6435,2
4.1951,2
4.6164,2
3.6574,2
4.5442,2
3.6111,2
4.1188,2
4.833,2
4.4688,2
3.8277,2
4.8328,2
4.0238,2
4.536,2
3.8785,2
4.1453,2
4.4959,2
4.2142,2
4.6194,2
4.0348,2
4.5335,2
4.3707,2
4.0906,2
3.8971,2
4.7191,2
4.2227,2
3.5355,2
4.302,2
4.4196,2
4.2683,2
4.454,2
4.0068,2
4.4028,2
4.4036,2
4.0584,2
4.2703,2
4.3376,2
4.2419,2
4.2182,2
4.447,2
3.8261,2
4.7089,2
3.8672,2
4.4537,2
4.166,2
4.4661,2
4.319,2
4.3566,2
4.657,2
3.9115,2
4.3965,2
4.4033,2
4.1203,2
4.2649,2
4.5041,2
4.1487,2
4.4695,2
4.2279,2
4.2954,2
4.2295,2
4.2924,2
4.1993,2
4.3923,2
4.0731,2
4.3024,2
4.2072,2
4.2463,2
4.0835,2
4.2209,2
4.1704,2
4.5908,2
4.4364,2
4.2358,2
4.3825,2
4.0373,2
4.4332,2
4.6431,2
4.2291,2
4.2003,2
4.7963,2
3.6437,2
4.3964,2
4.2492,2
4.6102,2
4.3061,2
3.9444,2
4.8459,2
3.5606,2
4.6361,2
4.7963,2
4.0393,2
4.1413,2
3.9189,2
4.073,2
4.7861,2
4.6136,2
3.805,2
4.7605,2
3.6303,2
4.4784,2
4.1285,2
4.2625,2
4.4428,2
4.2863,2
4.4692,2
4.1589,2
4.0667,2
4.1074,2
4.1626,2
4.2643,2
4.3815,2
4.6352,2
4.1299,2
4.2463,2
4.2803,2
4.1612,2
4.1755,2
5.0701,2
3.4732,2
4.0945,2
4.2479,2
4.9869,2
3.7762,2
4.6202,2
3.9823,2
4.0038,2
4.1984,2
4.2418,2
4.5314,2
4.2132,2
4.2094,2
4.6169,2
4.5505,2
4.0194,2
4.5585,2
3.8212,2
4.3962,2
4.2064,2
4.4624,2
3.9325,2
4.6112,2
4.1518,2
4.4714,2
4.3925,2
4.2062,2
4.8122,2
4.1245,2
4.0874,2
4.6866,2
4.2435,2
4.2554,2
4.5073,2
4.1303,2
4.4533,2
4.8439,2
4.6076,2
4.2649,2
4.2422,2
3.8538,2
4.6852,2
4.2053,2
5.1251,2
3.7839,2
4.2968,2
4.4216,2
4.1432,2
4.0207,2
4.3566,2
4.8857,2
4.2748,2
4.2133,2
4.5018,2
4.6451,2
3.5845,2
4.6604,2
3.9145,2
4.4099,2
4.0818,2
4.2052,2
4.3876,2
4.1063,2
4.3825,2
4.7463,2
4.0066,2
4.3627,2
4.0236,2
4.2892,2
4.121,2
4.6283,2
3.9883,2
4.1827,2
4.3719,2
4.0926,2
4.3926,2
4.4333,2
4.2582,2
4.2111,2
3.9768,2
4.5824,2
4.2069,2
4.2703,2
4.3722,2
4.3494,2
4.2165,2
4.2936,2
4.5184,2
3.9586,2
4.595,2
3.9455,2
4.1716,2
4.2786,2
4.2489,2
4.4468,2
4.426,2
3.9073,2
4.6568,2
3.8699,2
4.5993,2
3.9295,2
4.219,2
4.0133,2
4.489,2
4.2864,2
4.2282,2
4.2269,2
4.4763,2
4.5927,2
3.7763,2
4.1795,2
4.5443,2
4.0154,2
4.6175,2
4.0595,2
4.4226,2
4.3227,2
4.258,2
4.4921,2
4.2707,2
4.2203,2
4.5452,2
4.1818,2
4.0917,2
4.6918,2
4.4085,2
3.7038,2
5.113,2
4.0204,2
4.2464,2
4.15,2
4.3839,2
4.0851,2
4.3629,2
4.4466,2
4.2088,2
4.4928,2
4.2717,2
4.344,2
4.1025,2
4.6895,2
3.7299,2
4.2792,2
4.1455,2
4.3831,2
4.8066,2
3.9722,2
4.3926,2
4.415,2
4.0029,2
4.0261,2
4.06,2
4.4725,2
4.1317,2
4.1791,2
3.796,2
4.5811,2
4.1214,2
4.147,2
4.5319,2
4.3078,2
4.1286,2
4.7183,2
3.6535,2
4.4525,2
4.0515,2
3.9292,2
4.4647,2
4.2235,2
3.8942,2
4.404,2
4.3504,2
4.4122,2
4.2568,2
4.1977,2
4.6769,2
4.1109,2
4.1601,2
4.2434,2
5.1383,2
3.8054,2
4.6087,2
4.198,2
4.3422,2
4.1674,2
4.232,2
4.1817,2
4.5749,2
3.8807,2
4.5909,2
4.0802,2
4.286,2
3.9219,2
4.8082,2
4.0601,2
4.2757,2
4.3555,2
4.1225,2
4.0098,2
4.4458,2
4.0396,2
4.7897,2
4.0792,2
5.0546,2
3.6106,2
4.3313,2
4.2355,2
4.2597,2
3.937,2
4.4448,2
4.086,2
4.3285,2
4.1867,2
4.4667,2
4.0222,2
3.884,2
3.9408,2
4.4119,2
4.3156,2
3.8474,2
4.61,2
3.6755,2
4.1619,2
4.0071,2
4.0278,2
4.0543,2
