frame time,Number of lights
4.2457,0
3.7096,0
4.0576,0
4.2517,0
4.332,0
3.6663,0
4.2738,0
4.1341,0
4.4214,0
3.6492,0
4.1098,0
4.2058,0
4.7946,0
3.3981,0
4.0182,0
4.2242,0
4.3923,0
3.7685,0
4.2809,0
3.9627,0
4.4258,0
3.698,0
3.9981,0
4.1671,0
4.2617,0
3.8658,0
4.0323,0
4.4371,0
4.3205,0
3.61,0
4.3954,0
4.0267,0
4.0914,0
4.1207,0
4.046,0
4.1228,0
4.367,0
3.8181,0
4.3228,0
4.0361,0
4.1433,0
4.3471,0
4.0418,0
3.7295,0
4.3507,0
4.2901,0
3.9229,0
4.0295,0
4.529,0
3.795,0
4.1067,0
3.8698,0
4.3564,0
4.2625,0
3.8532,0
3.9007,0
4.1699,0
4.2424,0
3.789,0
4.3889,0
4.4253,0
4.0301,0
4.1678,0
4.15,0
4.6482,0
4.2822,0
3.9545,0
4.411,0
4.3805,0
4.5014,0
4.3127,0
4.246,0
3.8196,0
4.2802,0
4.0297,0
4.1339,0
4.7277,0
3.9603,0
4.1131,0
4.3608,0
4.4446,0
3.7471,0
4.5757,0
3.8061,0
4.4084,0
4.0495,0
4.6296,0
4.2491,0
3.8528,0
4.4812,0
4.0536,0
4.2999,0
4.3503,0
3.516,0
4.2111,0
4.2597,0
4.0417,0
4.4527,0
4.3053,0
4.0504,0
4.0815,0
4.5541,0
4.6427,0
3.8023,0
4.346,0
3.7662,0
4.1522,0
4.0385,0
4.3719,0
4.1406,0
4.2682,0
4.0586,0
4.5177,0
3.9294,0
4.2432,0
4.261,0
4.4084,0
3.7678,0
4.2277,0
4.5461,0
4.4694,0
3.6803,0
4.0221,0
4.0712,0
4.6854,0
4.3521,0
3.9054,0
4.3583,0
4.3058,0
3.7883,0
3.9843,0
4.4475,0
4.48,0
3.5075,0
4.0031,0
4.0993,0
4.5653,0
3.5728,0
4.3055,0
4.2964,0
4.5873,0
3.5508,0
3.9703,0
4.127,0
4.1679,0
4.0929,0
4.3344,0
4.229,0
4.5998,0
3.3903,0
4.0617,0
4.1326,0
4.2001,0
3.9884,0
4.0289,0
4.0948,0
4.0938,0
4.2352,0
4.5546,0
4.1454,0
4.2057,0
4.0361,0
4.332,0
4.3869,0
4.1772,0
3.5163,0
4.4109,0
3.7217,0
4.2732,0
4.2911,0
4.228,0
4.0651,0
4.1227,0
4.0377,0
4.321,0
3.8097,0
4.1585,0
4.3093,0
4.1844,0
4.0071,0
3.9972,0
4.0007,0
4.2784,0
4.1276,0
4.043,0
4.4162,0
3.913,0
4.0993,0
4.9047,0
3.7486,0
4.0281,0
4.2495,0
5.2273,0
3.5152,0
4.445,0
3.8387,0
4.2499,0
4.5291,0
3.822,0
4.1289,0
4.5931,0
4.2059,0
3.6168,0
4.6136,0
4.0581,0
3.9776,0
4.3608,0
4.3619,0
3.9897,0
4.3729,0
4.3605,0
4.3428,0
3.9844,0
4.0088,0
3.9586,0
4.0912,0
4.5213,0
3.7382,0
4.1461,0
4.2351,0
4.3427,0
4.3864,0
4.0277,0
4.3138,0
4.4867,0
3.952,0
4.2007,0
4.182,0
4.4569,0
3.827,0
5.1329,0
3.4684,0
4.5614,0
4.1032,0
4.3281,0
3.9239,0
4.514,0
3.9216,0
4.0187,0
4.7117,0
4.2856,0
3.8149,0
4.1122,0
4.4087,0
4.1593,0
3.8214,0
4.2097,0
4.1265,0
4.4552,0
3.9691,0
4.1111,0
4.4361,0
4.4592,0
3.6401,0
4.3697,0
4.3013,0
4.3682,0
4.1669,0
4.1821,0
4.0156,0
4.688,0
4.071,0
3.8074,0
4.6444,0
3.7707,0
3.9375,0
4.4298,0
4.0921,0
4.5057,0
3.8064,0
4.4646,0
3.7416,0
4.2489,0
4.1313,0
3.9956,0
4.3935,0
4.3017,0
3.9209,0
4.9205,0
3.2408,0
4.4025,0
4.395,0
4.2304,0
3.9774,0
4.3986,0
4.0841,0
3.9856,0
4.35,0
4.0868,0
3.8718,0
4.1404,0
4.1829,0
4.3591,0
4.3133,0
4.6195,0
4.0015,0
4.1653,0
3.9192,0
4.1617,0
4.0218,0
4.3509,0
4.4705,0
3.6261,0
4.1089,0
4.055,0
4.2479,0
4.5286,0
3.828,0
4.1431,0
4.6388,0
3.5349,0
4.1935,0
4.3177,0
3.9874,0
4.3194,0
3.8517,0
4.617,0
3.8003,0
4.3115,0
4.1291,0
4.3049,0
4.1381,0
3.9253,0
4.0961,0
4.4867,0
3.6845,0
4.3922,0
4.1301,0
4.7735,0
3.6145,0
3.8946,0
4.2454,0
4.4287,0
3.7125,0
4.0548,0
4.6337,0
4.096,0
3.6723,0
4.3686,0
4.5444,0
4.5938,0
3.2459,0
4.0527,0
4.1515,0
4.5515,0
3.5249,0
4.0716,0
4.2411,0
3.9429,0
4.4372,0
4.4437,0
3.6543,0
4.3108,0
3.9046,0
4.2401,0
3.9685,0
4.1046,0
4.002,0
4.2017,0
3.9074,0
4.0917,0
4.1902,0
4.1039,0
4.1605,0
3.9897,0
4.1257,0
4.6795,0
3.602,0
4.0177,0
4.3927,0
3.8356,0
3.9633,0
4.0885,0
4.312,0
4.0437,0
4.0878,0
3.9967,0
4.371,0
4.1123,0
4.0229,0
4.3556,0
4.1149,0
3.9423,0
4.5114,0
4.5642,0
3.8852,0
3.8824,0
4.7227,0
3.8909,0
4.1227,0
4.3707,0
3.7091,0
4.1142,0
4.1436,0
3.8753,0
4.7089,0
4.455,0
4.0177,0
4.0503,0
4.9535,0
3.7165,0
4.3046,0
4.1927,0
3.7673,0
4.868,0
3.8769,0
3.8764,0
4.0959,0
4.5294,0
3.8071,0
4.1212,0
3.9984,0
4.0659,0
4.4918,0
4.2635,0
4.0754,0
4.7525,0
4.1266,0
4.1288,0
4.7604,0
4.1496,0
4.2155,0
4.0919,0
4.5999,0
4.4312,0
4.0982,0
4.4012,0
4.0187,0
4.0774,0
4.3899,0
4.0544,0
4.7641,0
4.0305,0
3.733,0
3.9179,0
4.2437,0
4.2574,0
3.9495,0
4.8946,0
3.8468,0
4.791,0
3.6303,0
4.1848,0
4.5124,0
4.3873,0
