frame time,Number of lights
4.5851,0
4.0503,0
4.2021,0
4.0671,0
4.1182,0
4.168,0
4.3045,0
4.0614,0
4.3166,0
4.1949,0
4.2434,0
4.2261,0
4.3726,0
4.0009,0
4.2078,0
4.2792,0
4.1104,0
4.0941,0
4.4351,0
4.1619,0
4.2467,0
4.0327,0
4.2213,0
4.1958,0
4.1982,0
4.0952,0
4.5033,0
4.031,0
4.3696,0
4.0303,0
14.2694,0
1.6008,0
1.3953,0
2.0582,0
4.1904,0
4.3207,0
4.1541,0
4.1242,0
4.0634,0
4.4335,0
5.2052,0
4.1633,0
4.0741,0
4.4572,0
4.0999,0
4.1215,0
4.4578,0
4.3411,0
4.3369,0
4.3453,0
4.3167,0
4.3307,0
4.0463,0
4.0911,0
4.2004,0
4.3517,0
4.0248,0
4.2033,0
4.5495,0
4.5992,0
4.0092,0
4.4663,0
4.3139,0
4.1479,0
4.3787,0
4.0848,0
4.2502,0
4.2791,0
4.0307,0
4.2925,0
4.506,0
4.1086,0
4.3496,0
4.4222,0
4.2496,0
4.1289,0
4.3945,0
4.2097,0
4.3382,0
4.1121,0
4.1052,0
4.6219,0
3.8361,0
4.1462,0
4.7089,0
4.016,0
4.16,0
4.0439,0
4.3954,0
3.9623,0
4.18,0
4.1358,0
4.0883,0
4.0912,0
4.0172,0
4.1143,0
4.2573,0
4.2339,0
4.1224,0
4.1406,0
4.0417,0
4.1201,0
4.0206,0
4.4127,0
4.0276,0
4.0872,0
4.0842,0
4.6697,0
4.2741,0
4.0999,0
4.0944,0
4.0948,0
4.1679,0
4.0287,0
4.1058,0
4.2565,0
4.0556,0
4.2224,0
4.2973,0
4.0055,0
4.0187,0
4.0141,0
4.2109,0
4.3959,0
4.1798,0
4.1701,0
4.2282,0
4.1809,0
4.3254,0
4.1427,0
4.1972,0
4.2493,0
4.1586,0
4.3976,0
4.0423,0
4.4434,0
4.1814,0
4.4877,0
4.2381,0
4.0117,0
4.2321,0
4.3842,0
4.2708,0
4.0701,0
4.4205,0
4.1893,0
4.194,0
4.1758,0
4.1228,0
4.1871,0
4.8353,0
4.1288,0
4.1982,0
4.6209,0
4.0741,0
4.2008,0
4.0941,0
4.2864,0
4.1728,0
4.248,0
4.0213,0
4.185,0
4.4771,0
4.0633,0
4.2643,0
4.2586,0
4.4051,0
3.9932,0
4.5514,0
4.0666,0
4.242,0
4.4357,0
4.0451,0
4.2745,0
4.9097,0
4.1042,0
4.1677,0
4.8666,0
3.9789,0
4.2253,0
4.628,0
4.267,0
3.9807,0
4.7868,0
4.1868,0
4.043,0
4.1243,0
4.3354,0
4.2298,0
4.3072,0
4.0626,0
4.3802,0
4.6142,0
4.2972,0
4.252,0
4.519,0
4.2393,0
4.2198,0
4.3736,0
4.1818,0
3.9412,0
4.3183,0
4.0657,0
4.6158,0
4.2785,0
4.1214,0
4.45,0
4.2517,0
4.1552,0
4.1034,0
4.8092,0
4.0757,0
4.5219,0
4.2851,0
4.1688,0
4.3069,0
4.1292,0
4.0424,0
4.3417,0
4.0091,0
4.0294,0
4.0226,0
4.053,0
4.1508,0
4.3084,0
4.1154,0
4.151,0
4.111,0
4.2194,0
4.4915,0
3.8502,0
4.2005,0
4.166,0
4.1903,0
4.0221,0
4.0465,0
4.1896,0
4.1404,0
4.1598,0
4.1435,0
4.2545,0
4.0825,0
4.0804,0
4.1399,0
4.1492,0
4.1143,0
4.2512,0
4.2841,0
4.3764,0
3.9881,0
4.3764,0
4.2542,0
4.1873,0
4.1025,0
4.4178,0
4.2622,0
4.2734,0
4.1912,0
4.3709,0
4.5395,0
4.0809,0
4.1575,0
4.2345,0
4.3106,0
4.1459,0
4.0931,0
4.1885,0
4.3255,0
4.3648,0
4.0841,0
4.1544,0
4.3723,0
4.5856,0
4.1055,0
4.2893,0
4.1402,0
4.2989,0
4.12,0
4.2412,0
4.6384,0
4.4666,0
4.3359,0
4.4176,0
4.1913,0
4.1693,0
4.6957,0
4.2684,0
4.3632,0
4.1811,0
4.0652,0
4.1346,0
4.8376,0
4.1098,0
4.1251,0
4.7852,0
4.1532,0
4.13,0
4.7587,0
4.1735,0
4.4537,0
4.0644,0
4.1971,0
4.2599,0
4.1927,0
4.1869,0
4.2118,0
4.5167,0
4.3378,0
4.2252,0
4.4856,0
4.4125,0
4.168,0
4.4061,0
4.3978,0
4.5151,0
4.1433,0
4.3183,0
4.4674,0
4.1715,0
4.1834,0
4.1948,0
4.7048,0
4.0889,0
4.0745,0
4.7179,0
4.0654,0
4.1831,0
4.1093,0
4.2558,0
4.0601,0
4.5625,0
4.0815,0
4.4768,0
4.4273,0
4.3374,0
4.1918,0
4.3065,0
4.1088,0
4.1746,0
4.8898,0
3.8953,0
4.1178,0
4.2869,0
4.2513,0
4.248,0
4.4038,0
4.1203,0
4.4556,0
4.4173,0
4.3303,0
4.2309,0
4.0825,0
4.1111,0
4.2844,0
4.2048,0
4.0641,0
4.2385,0
4.4454,0
4.1454,0
4.4758,0
4.3773,0
4.4343,0
4.0138,0
4.5868,0
4.3802,0
4.1779,0
4.0974,0
4.1126,0
4.2468,0
4.2902,0
4.1248,0
4.3438,0
4.4723,0
4.6018,0
4.2917,0
4.4056,0
5.5289,0
4.1079,0
4.3666,0
4.3216,0
4.1396,0
4.1108,0
4.0998,0
4.3594,0
4.5218,0
4.1101,0
4.4064,0
4.1706,0
4.102,0
4.091,0
4.2074,0
4.1055,0
4.1114,0
4.0591,0
4.2401,0
4.175,0
4.304,0
4.1179,0
4.8265,0
4.245,0
4.7279,0
4.2222,0
4.0145,0
4.4557,0
4.2144,0
4.2114,0
4.1252,0
4.4398,0
4.3148,0
4.1362,0
4.1061,0
4.2023,0
4.2373,0
4.1969,0
4.1212,0
4.2595,0
4.3327,0
4.0554,0
4.6208,0
4.3111,0
4.4329,0
4.249,0
4.0823,0
4.3404,0
4.1996,0
4.1554,0
4.295,0
4.2425,0
4.1992,0
4.249,0
4.0827,0
4.4434,0
4.0843,0
4.175,0
4.2515,0
4.0923,0
4.1127,0
4.2823,0
4.5614,0
4.0411,0
4.1289,0
4.1146,0
4.3519,0
4.6346,0
4.1087,0
4.1373,0
4.5856,0
4.2434,0
4.146,0
4.5142,0
4.3057,0
4.2387,0
4.1266,0
4.5056,0
4.3143,0
4.1098,0
4.6152,0
4.0138,0
4.4014,0
4.2166,0
4.5562,0
4.1784,0
4.2963,0
4.1589,0
4.3367,0
4.1177,0
4.1722,0
4.3299,0
4.0174,0
4.3943,0
4.3386,0
4.1579,0
4.0467,0
4.0559,0
4.4605,0
4.0929,0
4.079,0
4.1099,0
4.819,0
3.9982,0
4.0779,0
4.2447,0
4.7126,0
4.0048,0
4.1231,0
4.2813,0
4.7944,0
4.201,0
4.4744,0
4.1576,0
4.0459,0
4.1042,0
4.1204,0
4.4809,0
4.0961,0
4.0434,0
4.1946,0
4.2741,0
4.2426,0
4.2833,0
4.348,1
4.2658,1
4.1887,1
4.5263,1
4.5348,1
4.1852,1
4.3053,1
4.5265,1
4.0528,1
4.3773,1
4.4048,1
4.1238,1
4.133,1
4.7545,1
4.1237,1
4.4216,1
4.3198,1
4.0482,1
4.2744,1
4.7943,1
4.2106,1
4.1241,1
4.6529,1
4.1491,1
4.1179,1
4.7407,1
4.0809,1
4.3051,1
4.6791,1
4.139,1
4.2774,1
4.1624,1
4.1261,1
4.2414,1
4.2123,1
4.0854,1
4.43,1
4.5229,1
4.3243,1
3.9845,1
4.663,1
4.131,1
4.4542,1
4.0937,1
4.1681,1
4.2469,1
4.2756,1
4.3845,1
4.4536,1
5.0386,1
4.3048,1
4.5416,1
4.1562,1
4.2243,1
4.2584,1
4.3599,1
4.15,1
4.2279,1
5.1893,1
4.3282,1
4.1348,1
4.3073,1
4.0537,1
4.362,1
4.2093,1
4.1573,1
4.0876,1
4.8992,1
4.0424,1
4.1298,1
4.1795,1
4.1846,1
4.3427,1
4.4387,1
4.2837,1
4.1789,1
4.3976,1
4.6735,1
4.3325,1
4.1848,1
4.1853,1
4.2966,1
4.175,1
4.083,1
4.2553,1
4.4478,1
4.0304,1
4.292,1
4.3337,1
4.3068,1
4.2202,1
4.4118,1
4.2554,1
4.5406,1
4.3712,1
4.191,1
4.3386,1
4.0173,1
4.1208,1
4.1043,1
4.2858,1
4.0246,1
4.2444,1
4.4829,1
4.1639,1
4.0958,1
4.636,1
4.1265,1
4.1357,1
4.1269,1
4.1343,1
4.2776,1
4.3977,1
4.1112,1
4.4875,1
4.4586,1
4.3328,1
4.1425,1
4.599,1
4.1778,1
4.2327,1
4.5318,1
4.2859,1
4.2745,1
4.3506,1
4.1223,1
4.4576,1
4.5623,1
4.0839,1
4.5617,1
4.363,1
4.345,1
4.2673,1
4.4206,1
4.0709,1
4.1804,1
4.1643,1
4.1776,1
4.1981,1
4.1713,1
4.1913,1
4.6668,1
4.1234,1
4.1197,1
4.5637,1
4.0781,1
4.159,1
4.0946,1
4.2444,1
4.2108,1
4.1814,1
4.296,1
4.1511,1
4.1166,1
4.1954,1
4.1197,1
4.1291,1
4.1814,1
4.1696,1
4.2058,1
4.0994,1
4.4599,1
4.2254,1
4.1605,1
4.0557,1
4.0895,1
4.257,1
4.1753,1
4.144,1
4.1707,1
4.1598,1
4.0445,1
4.0972,1
4.2797,1
4.2792,1
4.5026,1
4.1385,1
4.3052,1
4.5227,1
4.1001,1
4.2966,1
4.6356,1
4.1557,1
4.5186,1
4.3982,1
4.4908,1
4.2205,1
4.3089,1
4.2757,1
4.444,1
4.441,1
4.1154,1
4.3952,1
4.3106,1
4.2024,1
4.0079,1
4.8234,1
4.1256,1
4.4854,1
4.4415,1
4.0823,1
4.4102,1
4.2858,1
4.164,1
4.0972,1
4.2755,1
4.1262,1
4.352,1
4.3036,1
4.4336,1
4.3361,1
4.0091,1
4.1046,1
4.1515,1
4.5056,1
4.0728,1
4.2257,1
4.4089,1
4.2616,1
4.1523,1
4.5146,1
4.4229,1
4.3096,1
