frame time,Number of lights
4.0043,1
4.0667,1
4.2954,1
4.2353,1
4.1509,1
4.0457,1
4.0113,1
4.2391,1
4.1016,1
4.2854,1
4.2104,1
4.0138,1
4.1559,1
4.0274,1
4.1714,1
4.5734,1
4.3267,1
4.0415,1
3.8698,1
4.3904,1
4.2978,1
4.2182,1
3.8758,1
5.0624,1
4.3718,1
3.8128,1
4.0661,1
4.4322,1
4.1235,1
3.7356,1
4.049,1
4.1068,1
4.2328,1
4.2794,1
3.9846,1
4.3984,1
4.0897,1
4.3483,1
4.2202,1
4.5708,1
3.6726,1
4.1194,1
4.2383,1
4.6667,1
3.7493,1
4.0911,1
3.9861,1
4.1429,1
4.1435,1
4.0728,1
4.1199,1
4.7174,1
3.7613,1
4.3562,1
3.8592,1
4.1155,1
4.1173,1
4.3743,1
4.2292,1
4.2144,1
4.3174,1
3.792,1
4.285,1
4.1873,1
4.5226,1
4.099,1
3.9847,1
4.2018,1
4.2418,1
4.4603,1
3.8451,1
4.1072,1
4.4428,1
3.7881,1
4.2591,1
3.9707,1
4.2852,1
4.2082,1
4.2987,1
4.087,1
4.2059,1
4.1872,1
4.4515,1
4.0954,1
4.0875,1
4.1069,1
4.9517,1
3.7792,1
3.7678,1
4.2008,1
4.0849,1
4.5475,1
3.7994,1
4.4258,1
4.4859,1
3.7512,1
4.484,1
3.7036,1
4.2637,1
4.5787,1
3.6362,1
4.1979,1
4.2028,1
4.04,1
4.1721,1
4.0696,1
4.2945,1
4.179,1
4.1968,1
4.2127,1
4.1275,1
4.0664,1
4.6444,1
4.0986,1
4.0746,1
4.1664,1
4.1076,1
4.2172,1
4.2012,1
4.1036,1
4.5588,1
3.8617,1
4.1707,1
4.3661,1
4.0895,1
4.0953,1
4.1104,1
4.2437,1
4.2682,1
4.1811,1
4.2671,1
9.5152,1
1.6801,1
2.1364,1
4.3123,1
4.4429,1
3.7961,1
4.4693,1
3.8726,1
4.4656,1
4.4257,1
4.0877,1
4.1482,1
3.6697,1
4.0728,1
4.0669,1
4.1374,1
4.1764,1
4.2498,1
4.5841,1
3.6554,1
4.0495,1
4.1875,1
4.1233,1
4.0719,1
4.1532,1
4.681,1
3.8761,1
4.3718,1
3.7816,1
4.4525,1
4.2669,1
4.3395,1
3.9748,1
3.6931,1
4.5808,1
3.8218,1
4.1395,1
4.2956,1
4.1293,1
4.5011,1
3.7878,1
4.2129,1
4.3742,1
3.7583,1
4.5493,1
3.9558,1
4.5269,1
3.8662,1
4.3401,1
4.6088,1
3.9327,1
4.1115,1
4.2056,1
4.0429,1
4.6468,1
4.2704,1
4.0924,1
3.7964,1
4.4783,1
3.7114,1
4.8628,1
4.01,1
3.8557,1
4.1694,1
4.0744,1
4.4634,1
4.1746,1
3.9009,1
4.406,1
3.7753,1
4.4973,1
3.7981,1
4.4273,1
4.2535,1
4.0778,1
4.3605,1
3.7369,1
4.2212,1
4.333,1
4.5352,1
4.0042,1
3.7078,1
4.216,1
3.9677,1
4.1354,1
4.4763,1
3.8848,1
4.7098,1
3.7929,1
4.1064,1
4.3051,1
4.078,1
4.7381,1
3.7262,1
4.4507,1
3.7388,1
4.0426,1
4.2668,1
4.1196,1
4.7435,1
3.7126,1
4.5527,1
3.7741,1
4.0598,1
4.5312,1
3.9162,1
4.4575,1
3.8032,1
4.6535,1
3.927,1
4.7039,1
4.1233,1
3.9076,1
4.3582,1
4.0761,1
3.7193,1
4.1452,1
4.2526,1
4.5786,1
4.0911,1
3.8328,1
4.4333,1
4.2275,1
3.6452,1
4.7,1
4.1234,1
4.2851,1
3.7148,1
4.5057,1
4.4032,1
4.0964,1
3.9464,1
4.3989,1
4.1653,1
4.4161,1
4.0892,1
4.1794,1
4.34,1
4.4338,1
4.1066,1
4.2094,1
4.1075,1
3.7562,1
4.2913,1
4.3096,1
4.2155,1
4.1849,1
4.1119,1
4.1227,1
4.6821,1
3.6501,1
4.1297,1
4.1191,1
4.152,1
4.0602,1
4.1821,1
4.3039,1
4.2579,1
4.1132,1
4.4459,1
4.328,1
4.2428,1
4.081,1
4.9885,1
4.0637,1
4.1156,1
3.9734,1
4.1908,1
4.3905,1
4.2262,1
4.2025,1
4.3758,1
4.1836,1
4.2254,1
4.1104,1
4.2857,1
4.1436,1
4.6634,1
3.7261,1
4.5852,1
4.0238,1
4.0793,1
3.7434,1
4.2437,1
4.6924,1
4.0583,1
3.9214,1
4.582,1
4.0246,1
4.4655,1
3.7226,1
4.4712,1
4.1746,1
4.1052,1
3.8077,1
4.7324,1
4.0676,1
4.2975,1
3.8366,1
3.9221,1
4.0559,1
4.8414,1
3.7474,1
4.3586,1
4.1037,1
4.1451,1
3.8441,1
4.531,1
4.3923,1
4.1054,1
3.9306,1
4.6065,1
4.3135,1
3.875,1
3.9952,1
4.4652,1
4.2799,1
4.4985,1
