frame time,Number of lights
2.8272,0
2.8459,0
2.8352,0
2.7916,0
2.7634,0
2.8883,0
2.8515,0
2.8233,0
2.8536,0
3.1817,0
2.7418,0
2.9684,0
2.8322,0
3.0024,0
2.9264,0
2.812,0
2.8259,0
2.9424,0
2.8,0
3.0206,0
2.9371,0
2.7459,0
2.8217,0
2.8583,0
2.83,0
2.8251,0
2.8895,0
2.8154,0
2.8974,0
2.8936,0
2.8327,0
2.9505,0
2.9831,0
2.7972,0
2.8366,0
2.8068,0
3.4904,0
2.991,0
2.8637,0
2.7374,0
3.2571,0
2.8054,0
3.0244,0
2.9774,0
2.7146,0
2.8429,0
2.9903,0
2.8753,0
2.8584,0
3.1386,0
2.7695,0
2.9903,0
2.7511,0
2.8216,0
2.9269,0
2.9693,0
2.8876,0
2.9773,0
2.6902,0
3.0118,0
2.9315,0
2.9934,0
2.9248,0
2.7581,0
2.8309,0
2.8814,0
3.0249,0
2.869,0
2.8402,0
3.1805,0
2.8681,0
2.8167,0
2.888,0
2.8167,0
2.7994,0
2.8105,0
2.8358,0
3.0088,0
2.9253,0
3.0162,0
2.8878,0
2.7579,0
2.8357,0
3.0173,0
2.7674,0
2.8116,0
3.3281,0
2.5059,0
2.955,0
2.8645,0
2.834,0
2.9192,0
2.8376,0
2.8419,0
2.9891,0
2.7967,0
2.7822,0
2.9265,0
2.8418,0
2.8159,0
2.9173,0
2.9091,0
3.462,0
2.438,0
2.9823,0
3.3759,0
2.7665,0
2.8617,0
2.9382,0
2.9236,0
2.8784,0
2.7725,0
2.8187,0
2.8868,0
3.0024,0
3.2746,0
2.4543,0
2.9215,0
2.9594,0
3.3846,0
2.2372,0
2.8986,0
2.6712,0
2.7791,0
2.852,0
2.7268,0
2.7665,0
2.7382,0
3.0239,0
2.5991,0
2.7925,0
2.8583,0
2.7983,0
2.8041,0
2.6911,0
2.81,0
2.6837,0
3.5491,0
2.6621,0
2.7937,0
4.0163,0
2.9364,0
2.8587,0
2.9178,0
6.0629,0
1.1754,0
1.5969,0
2.1023,0
2.7492,0
2.6994,0
2.753,0
2.7373,0
2.7496,0
2.7813,0
2.7549,0
2.8098,0
2.8223,0
2.7667,0
2.7762,0
3.0295,0
2.7504,0
3.1765,0
2.697,0
2.7926,0
2.7662,0
2.7544,0
2.849,0
3.1737,0
2.5672,0
2.8165,0
2.8783,0
