frame time,Number of lights
4.8549,0
3.7266,0
4.218,0
4.3036,0
4.1674,0
3.6928,0
4.1479,0
4.2845,0
4.3761,0
4.0505,0
4.2636,0
3.9168,0
4.7136,0
4.014,0
4.1368,0
4.3317,0
3.8798,0
4.0591,0
3.9216,0
4.7065,0
4.1546,0
4.0944,0
3.8274,0
4.3583,0
4.5038,0
4.1286,0
4.1221,0
4.4643,0
3.7451,0
4.2168,0
3.9504,0
4.1719,0
4.4447,0
4.1128,0
4.1227,0
4.1094,0
4.4056,0
4.0399,0
4.2436,0
3.9077,0
4.4922,0
4.1361,0
4.1287,0
4.2843,0
3.9602,0
4.0974,0
3.9866,0
3.9675,0
4.8722,0
3.9464,0
4.2357,0
3.9161,0
4.7364,0
3.8538,0
4.3796,0
4.3259,0
3.638,0
4.1262,0
4.0032,0
4.0859,0
4.6253,0
4.2533,0
4.1231,0
3.8849,0
4.9192,0
3.8889,0
4.1719,0
4.4991,0
3.8378,0
4.0465,0
4.0759,0
4.2461,0
5.375,0
2.7935,0
5.5658,0
3.7007,0
3.1318,0
4.0235,0
4.206,0
4.3405,0
3.7464,0
4.0338,0
4.2558,0
4.1505,0
4.1054,0
3.8995,0
4.0276,0
4.1892,0
3.8245,0
3.9772,0
4.0809,0
3.9932,0
4.1358,0
6.0599,0
3.8895,0
4.4705,0
3.623,0
4.2334,0
4.1253,0
4.0652,0
4.4234,0
3.821,0
4.347,0
4.3933,0
3.8852,0
3.8829,0
4.0833,0
4.0793,0
4.2094,0
4.0387,0
4.1357,0
4.1632,0
4.0446,0
3.9981,0
4.0527,0
4.393,0
4.1658,0
3.8791,0
4.1389,0
4.2015,0
4.0384,0
4.0235,0
3.9824,0
4.4117,0
4.1891,0
3.9791,0
4.1186,0
4.1398,0
4.5234,0
3.7057,0
4.2467,0
4.2802,0
4.2131,0
3.8912,0
4.1763,0
3.9246,0
4.6062,0
3.558,0
4.6341,0
3.9573,0
4.4604,0
3.7324,0
4.0874,0
4.2592,0
4.0407,0
3.9999,0
4.234,0
3.9734,0
4.4555,0
7.585,0
1.8234,0
3.2676,0
4.3052,0
3.753,0
4.0715,0
4.1602,0
3.9932,0
4.0419,0
4.0831,0
4.0692,0
4.1293,0
4.0423,0
4.0877,0
4.168,0
4.1992,0
3.8719,0
4.3575,0
4.1474,0
4.4148,0
3.7291,0
4.1827,0
4.2136,0
4.3803,0
3.8197,0
4.2186,0
4.144,0
4.2958,0
3.8347,0
4.1727,0
4.3892,0
3.9575,0
3.9335,0
4.2082,0
4.1706,0
4.0265,0
4.4784,0
4.3027,0
4.162,0
4.404,0
3.6715,0
4.1955,0
4.1137,0
3.9645,0
4.4313,0
3.9867,0
4.3634,0
4.4679,0
3.5484,0
4.1188,0
4.1275,0
4.05,0
4.527,0
4.1844,0
4.2066,0
4.3268,0
3.8121,0
4.1389,0
4.2995,0
4.4835,0
3.6079,0
4.3114,0
4.1835,0
3.9327,0
4.4657,0
4.2041,0
4.2555,0
4.1296,0
3.964,0
3.9516,0
4.1847,0
4.0865,0
4.409,0
4.1132,0
4.0651,0
4.3808,0
3.781,0
4.2166,0
4.2906,0
3.9672,0
5.0357,0
3.8694,0
4.6096,0
4.1756,0
3.8018,0
4.1968,0
4.0124,0
4.2058,0
4.1781,0
4.2848,0
4.1879,0
4.3112,0
3.7394,0
4.1314,0
3.9574,0
4.0271,0
4.6264,0
4.2607,0
4.0937,0
4.2917,0
3.8817,0
4.4937,0
3.742,0
4.0521,0
4.3856,0
4.248,0
4.0147,0
4.0988,0
4.588,0
4.0947,0
4.1594,0
4.2709,0
3.8682,0
4.0871,0
4.3036,0
3.8627,0
4.5909,0
4.0875,0
4.2814,0
4.3031,0
3.775,0
4.1802,0
4.3162,0
4.3757,0
3.5708,0
4.2994,0
4.2247,0
3.877,0
4.6003,0
4.1067,0
4.3627,0
4.4771,0
3.5972,0
4.061,0
4.1829,0
4.4823,0
4.1732,0
4.0419,0
4.1598,0
4.0508,0
4.3614,0
4.3739,0
4.0589,0
4.3022,0
3.8231,0
4.0928,0
4.2463,0
4.0873,0
4.3645,0
4.0189,0
4.6472,0
4.1583,0
3.8095,0
4.2372,0
4.2064,0
4.2962,0
3.792,0
4.0326,0
4.1702,0
4.2236,0
4.4244,0
4.0357,0
4.2729,0
4.3148,0
4.0403,0
3.9849,0
4.0192,0
4.3208,0
4.2986,0
4.0467,0
4.2296,0
4.1331,0
4.0533,0
4.2288,0
4.1926,0
4.3968,0
3.909,0
4.1664,0
3.9904,0
4.1915,0
4.1322,0
4.0918,0
4.1717,0
4.0571,0
4.6485,0
4.2357,0
4.2109,0
3.8409,0
4.5657,0
4.3867,0
4.2399,0
4.2747,0
4.0021,0
4.1496,0
4.3336,0
4.3596,0
3.9468,0
4.2336,0
4.1343,0
4.2466,0
3.8917,0
4.2924,0
4.178,0
4.284,0
3.8988,0
4.2761,0
4.3757,0
4.2848,0
3.994,0
4.1466,0
4.4319,0
4.1184,0
4.1381,0
4.203,0
4.1597,0
4.3145,0
3.9085,0
4.3856,0
4.2877,0
4.3431,0
4.0323,0
3.9556,0
4.2307,0
4.338,0
4.1701,0
4.2277,0
4.198,0
4.482,0
4.1764,0
3.918,0
4.1879,0
4.3003,0
4.1193,0
4.1231,0
4.1433,0
4.3112,0
3.9376,0
4.1672,0
4.386,0
4.2849,0
4.0158,0
4.0503,0
4.363,0
4.2659,0
4.0977,0
4.184,0
4.2662,0
4.6247,0
3.7322,0
4.287,0
4.1549,0
4.1528,0
4.1684,0
4.3193,0
4.3245,0
4.2813,0
4.0232,0
4.1497,0
4.3036,0
4.1723,0
4.1889,0
4.3064,0
4.3517,0
3.9173,0
4.3291,0
4.1981,0
4.1983,0
4.2292,0
4.1225,0
4.1034,0
4.3108,0
4.2659,0
4.2768,0
4.1756,0
4.3796,0
4.0746,0
4.1059,0
4.1525,0
4.4173,0
4.168,0
4.2136,0
4.3356,0
4.2016,0
4.1621,0
4.238,0
4.1786,0
4.488,0
3.9208,0
4.6896,0
3.8602,0
4.2623,0
4.636,0
4.3043,0
3.9454,0
4.7988,0
4.0544,0
4.1518,0
4.1746,0
4.2476,0
3.9383,0
4.4333,0
4.1201,0
15.6662,0
1.4923,0
1.4618,0
2.3926,0
4.117,0
4.0022,0
4.3125,0
4.2512,0
4.0352,0
4.2193,0
4.2885,0
4.275,0
4.0024,0
4.3223,0
4.1747,0
4.2651,0
4.0518,0
4.3033,0
4.0374,0
4.4239,0
4.0186,0
4.2637,0
4.2897,0
4.1649,0
4.0845,0
4.469,0
4.3123,0
4.2118,0
3.7412,0
4.4664,0
4.3234,0
4.2056,0
4.0602,0
4.4489,0
4.3253,0
4.1073,0
4.0742,0
4.1472,0
4.4544,0
3.7885,0
4.2598,0
4.2253,0
4.1207,0
4.2889,0
4.0419,0
4.7647,0
3.5444,0
4.2402,0
3.9495,0
4.2097,1
4.2249,1
4.3217,1
3.6167,1
4.0026,1
4.0722,1
4.2529,1
3.8523,1
4.1045,1
3.9497,1
4.4052,1
4.401,1
3.7723,1
4.0204,1
4.2673,1
4.065,1
3.9623,1
4.1803,1
4.1112,1
4.2645,1
3.9909,1
4.3061,1
4.1069,1
4.2416,1
3.9478,1
3.9293,1
4.1117,1
4.2281,1
3.8455,1
4.0236,1
4.0231,1
4.2643,1
3.6326,1
4.2774,1
3.9239,1
4.2389,1
3.916,1
4.1004,1
4.3509,1
4.369,1
3.4118,1
4.1792,1
4.2257,1
4.1219,1
3.9727,1
4.0301,1
4.0727,1
4.2721,1
3.8105,1
4.0153,1
4.0776,1
4.2485,1
4.3013,1
3.7473,1
4.1875,1
4.8315,1
3.2542,1
4.1597,1
4.0165,1
4.291,1
3.869,1
3.975,1
4.2783,1
4.2521,1
3.6875,1
4.2633,1
4.2731,1
3.9896,1
