frame time,Number of lights
4.2501,0
3.9817,0
4.2736,0
4.2315,0
4.3593,0
3.7299,0
4.1217,0
4.5469,0
4.0823,0
3.7873,0
4.195,0
4.3759,0
3.9832,0
4.0566,0
4.0133,0
4.2026,0
4.2257,0
3.7078,0
4.217,0
4.2333,0
4.3422,0
3.927,0
4.0748,0
4.1785,0
4.3656,0
3.7354,0
3.9953,0
4.7547,0
3.533,0
4.6398,0
4.1017,0
4.6064,0
3.7361,0
4.4152,0
4.1502,0
4.1652,0
4.222,0
3.9799,0
4.3282,0
4.2349,0
3.9072,0
4.3179,0
4.0138,0
4.2577,0
4.2987,0
3.955,0
4.3245,0
4.2513,0
4.2228,0
3.74,0
4.1331,0
4.588,0
3.9668,0
4.1491,0
4.1267,0
4.0305,0
4.5706,0
3.8919,0
3.9787,0
4.3232,0
4.5217,0
3.9003,0
4.1082,0
4.1458,0
4.4634,0
3.7255,0
4.3989,0
4.0861,0
4.6943,0
3.544,0
4.4955,0
4.0995,0
4.4328,0
3.6736,0
4.2339,0
4.3197,0
4.6455,0
3.5991,0
4.463,0
4.785,0
3.9689,0
3.9013,0
3.9926,0
4.3842,0
4.7983,0
3.4121,0
4.4905,0
4.1145,0
3.8677,0
4.0302,0
4.2604,0
4.0971,0
4.609,0
3.4474,0
4.6125,0
3.9189,0
4.2958,0
3.9373,0
4.1389,0
4.0607,0
4.4029,0
3.7401,0
4.4186,0
4.315,0
4.4689,0
3.8371,0
4.1585,0
4.5258,0
4.3304,0
4.2737,0
3.7368,0
4.5211,0
4.1044,0
3.7328,0
4.3675,0
4.0412,0
4.6279,0
4.1444,0
3.6488,0
4.3578,0
4.5167,0
3.8524,0
4.0283,0
4.0225,0
4.7442,0
3.5367,0
4.182,0
11.4686,0
1.6721,0
1.3677,0
1.8436,0
4.233,0
4.3245,0
3.8047,0
3.9549,0
4.1553,0
4.3878,0
4.1994,0
4.5585,0
3.8135,0
4.3663,0
4.3892,0
3.8837,0
4.0587,0
3.9608,0
4.5953,0
3.975,0
4.4746,0
3.8798,0
4.9502,0
3.7489,0
4.3529,0
4.3,0
3.9827,0
3.9513,0
4.2291,0
4.0132,0
4.271,0
4.3883,0
3.8969,0
4.7553,0
3.7313,0
3.9663,0
4.3829,0
4.6236,0
3.9506,0
3.8323,0
4.4039,0
4.6114,0
4.0765,0
3.9459,0
4.4282,0
4.3717,0
4.0137,0
4.076,0
4.1956,0
4.2212,0
3.9958,0
4.0174,0
4.5491,0
4.0801,0
3.9783,0
4.0486,0
4.0992,0
5.4897,0
2.706,0
4.1307,0
4.0164,0
4.629,0
3.5999,0
3.9223,0
4.4538,0
4.4571,0
3.8136,0
3.9107,0
4.2553,0
4.266,0
4.3634,0
3.977,0
4.1456,0
4.2737,0
3.8827,0
4.3278,0
3.8565,0
4.1463,0
5.1487,0
3.6587,0
4.0534,0
4.1036,0
4.5295,0
4.0809,0
4.0819,0
4.3979,0
3.7987,0
4.1392,0
4.113,0
4.6054,0
4.0935,0
3.8876,0
4.2496,0
4.6693,0
3.7471,0
3.9909,0
4.3506,0
3.9682,0
4.1193,0
3.9656,0
4.1211,0
4.1714,0
4.609,0
4.2021,0
3.9016,0
4.5473,0
3.8147,0
4.105,0
4.3893,0
4.4125,0
3.8206,0
3.9932,0
4.1423,0
4.155,0
4.7306,0
3.9507,0
3.9341,0
4.4043,0
4.4591,0
3.4577,0
4.2505,0
4.075,0
4.7581,0
3.9461,0
4.563,0
3.5697,0
4.5252,0
4.1312,0
4.3052,0
4.5673,0
3.7951,0
4.2961,0
4.3046,0
4.2521,0
3.8621,0
3.9771,0
4.3466,0
4.2985,0
4.8844,0
3.7204,0
4.041,0
4.4203,0
3.8116,0
4.0031,0
4.738,0
4.2479,0
3.7736,0
4.0247,0
4.9606,0
3.9602,0
3.8331,0
4.1618,0
4.2045,0
4.5771,0
3.9229,0
4.2158,0
4.0231,0
4.2991,0
4.1505,0
4.075,0
4.2719,0
4.2079,0
4.2084,0
4.1591,0
4.3556,0
4.213,0
4.0834,0
4.1787,0
4.1708,0
4.51,0
4.1132,0
4.0912,0
4.2285,0
4.3545,0
3.8998,0
4.1658,0
4.2569,0
4.3663,0
4.086,0
4.0699,0
4.2783,0
4.5138,0
3.6796,0
4.2104,0
4.032,0
4.347,0
4.0088,0
4.3359,0
4.1187,0
4.3358,0
4.0088,0
4.127,0
4.1042,0
4.3685,0
3.9946,0
4.122,0
3.9421,0
4.4274,0
4.0214,0
4.4094,0
4.2086,0
4.4542,0
4.24,0
3.7339,0
4.0408,0
4.7138,0
3.8872,0
4.0387,0
4.2393,0
4.5183,0
3.9492,0
4.1317,0
4.3772,0
4.1302,0
4.1369,0
3.7763,0
4.0767,0
4.2633,0
3.8608,0
4.0699,0
4.4143,0
4.1623,0
4.1037,0
3.8871,0
4.1799,0
4.29,0
3.9938,0
4.0462,0
4.4154,0
4.2082,0
4.0407,0
3.9103,0
3.9568,0
4.7381,0
4.6222,0
3.404,0
4.1515,0
4.3886,0
3.9653,0
4.0251,0
4.1961,0
4.3294,0
3.8104,0
4.2654,0
4.0005,0
4.6533,0
4.2351,0
3.7159,0
4.3534,0
4.2834,0
4.2003,0
3.9991,0
4.2246,0
4.3977,0
4.0239,0
4.1058,0
4.1471,0
4.4644,0
4.2127,0
3.8683,0
3.8752,0
4.4895,0
4.0457,0
3.9393,0
4.1245,0
4.7622,0
3.7769,0
4.8989,0
3.8595,0
4.294,0
4.3615,0
3.8425,0
4.0739,0
4.3937,0
4.053,0
4.0802,0
4.153,0
4.353,0
4.0107,0
4.1643,0
3.8453,0
4.3923,0
4.1086,0
3.7895,0
4.3338,0
4.4026,0
3.8764,0
4.1541,0
4.13,0
4.4038,0
3.8778,0
4.0596,0
3.9969,0
4.6874,0
3.8623,0
4.2218,0
4.2595,0
4.4765,0
3.6666,0
4.4638,0
4.0829,0
4.1051,0
4.3232,0
3.8341,0
4.0011,0
4.6221,0
3.646,0
3.9941,0
4.4929,0
4.2904,0
4.0453,0
3.8643,0
4.2123,0
4.6078,0
3.7005,0
4.1904,0
4.4862,0
4.3979,0
3.7522,0
4.1494,0
4.164,0
4.4216,0
3.7578,0
4.3243,0
3.9076,0
4.5035,0
3.8198,0
4.1763,0
4.0825,0
4.3786,0
3.9151,0
4.1684,0
4.0578,0
4.2151,0
4.1568,0
4.2931,0
3.9787,0
4.5274,0
4.076,0
3.9026,0
4.1179,0
4.6208,0
4.1839,0
3.8358,0
4.6325,0
4.4378,0
3.5844,0
4.4015,0
3.9946,0
4.4052,0
3.8892,0
3.892,0
4.0527,0
4.3415,0
