frame time,Number of lights
2.7995,1
3.0126,1
2.2848,1
3.5878,1
3.6344,1
2.6256,1
3.5221,1
2.7302,1
2.5939,1
2.7062,1
2.5442,1
3.4141,1
2.8509,1
2.7756,1
3.7089,1
3.55,1
2.8579,1
2.9356,1
3.6801,1
2.227,1
3.5323,1
2.9143,1
2.5228,1
3.4582,1
2.962,1
2.1996,1
2.5623,1
3.4924,1
3.5189,1
3.96,1
2.1751,1
2.814,1
3.4621,1
2.7133,1
3.5569,1
3.5949,1
2.3927,1
2.4865,1
2.8115,1
3.4151,1
3.3049,1
2.1792,1
2.319,1
3.5908,1
2.8922,1
2.2582,1
3.9286,1
2.4664,1
2.8341,1
2.8068,1
3.5271,1
2.8903,1
2.8338,1
2.26,1
2.7227,1
3.4488,1
2.6979,1
2.7984,1
3.6033,1
2.2651,1
3.3983,1
2.8075,1
2.9107,1
3.6069,1
2.9573,1
2.5944,1
3.5498,1
2.995,1
2.4571,1
3.1029,1
2.1226,1
2.7832,1
9.8485,1
2.096,1
1.9233,1
2.8383,1
2.3328,1
2.8049,1
3.9532,1
2.2752,1
2.6777,1
3.3332,1
2.3594,1
2.5005,1
3.9784,1
2.4793,1
2.3661,1
2.2778,1
2.8166,1
2.8597,1
2.1862,1
3.6057,1
2.6284,1
2.7373,1
3.5775,1
2.7849,1
2.8199,1
2.8048,1
2.8118,1
2.2676,1
2.8442,1
2.3714,1
2.9162,1
3.6549,1
2.1661,1
2.8047,1
2.3006,1
2.8438,1
2.3108,1
2.991,1
2.0746,1
3.5058,1
3.5429,1
2.7501,1
3.6699,1
2.9961,1
2.2251,1
2.2492,1
2.8629,1
2.9437,1
2.3133,1
2.9804,1
2.1213,1
2.8127,1
2.8642,1
3.5049,1
2.8313,1
2.8508,1
2.4011,1
2.5555,1
3.5619,1
2.6069,1
3.0634,1
2.3988,1
2.2547,1
2.5331,1
2.3868,1
2.8331,1
2.1793,1
2.9135,1
2.1501,1
2.832,1
2.1667,1
3.4269,1
2.8251,1
3.0795,1
2.678,1
2.3291,1
2.8023,1
3.5015,1
2.6774,1
3.8939,1
2.3498,1
2.7563,1
2.8053,1
3.4965,1
2.792,1
3.0103,1
2.2188,1
2.6507,1
3.5102,1
2.7434,1
2.8827,1
2.7744,1
2.8811,1
2.0713,1
3.5252,1
2.7727,1
3.1382,1
2.1467,1
2.3279,1
2.4572,1
2.7841,1
3.5275,1
2.823,1
2.7816,1
2.1688,1
2.7593,1
3.4291,1
2.7526,1
2.9011,1
2.4333,1
3.1132,1
2.9443,1
3.1782,1
2.7678,1
3.0383,1
2.7504,1
1.9693,1
2.229,1
2.7604,1
2.0784,1
2.6544,1
4.1954,1
3.4885,1
2.9014,1
2.6629,1
2.6927,1
2.3488,1
2.1528,1
2.5529,1
2.5204,1
2.2018,1
2.9057,1
2.4578,1
2.6848,1
2.2936,1
2.122,1
3.1955,1
8.8887,1
2.2717,1
2.4986,1
2.0691,1
2.8732,1
2.4255,1
2.7299,1
3.5967,1
2.3148,1
2.7193,1
2.2586,1
2.3993,1
3.5861,1
2.965,1
2.1452,1
3.6677,1
2.581,1
3.4151,1
2.6915,1
2.9527,1
2.5614,1
2.2003,1
3.6451,1
2.5547,1
3.9437,1
2.2563,1
2.8102,1
2.8319,1
3.5044,1
2.9957,1
2.6957,1
2.2139,1
2.8585,1
3.6403,1
2.3301,1
3.4777,1
2.8858,1
2.2876,1
2.1669,1
3.4982,1
2.7637,1
2.8331,1
4.0786,1
2.0436,1
3.4424,1
3.6041,1
2.9159,1
3.9015,1
2.132,1
3.4754,1
2.9244,1
2.4902,1
3.9722,1
2.2818,1
2.807,1
3.4869,1
2.739,1
2.8507,1
3.5799,1
2.5391,1
3.4004,1
3.7425,1
2.9777,1
3.0974,1
2.4137,1
2.3665,1
2.869,1
3.5775,1
2.7062,1
3.1149,1
2.1012,1
2.6186,1
3.3832,1
2.7337,1
2.8571,1
3.7912,1
2.1144,1
2.8667,1
2.2961,1
3.6062,1
3.0412,1
2.27,1
2.0245,1
3.5312,1
2.6586,1
2.8156,1
3.6763,1
2.8123,1
2.2783,1
2.3159,1
3.6164,1
2.4713,1
3.7738,1
3.038,1
2.3317,1
2.8752,1
2.9628,1
2.9266,1
3.0268,1
2.1428,1
2.8758,1
3.5911,1
3.0435,1
2.3099,1
3.0748,1
2.2236,1
2.7477,1
2.9858,1
3.5037,1
2.6692,1
3.6376,1
2.3198,1
2.8116,1
3.52,1
2.8459,1
3.3625,1
2.1225,1
2.1713,1
2.8197,1
2.3175,1
2.6591,1
2.3699,1
2.9736,1
2.2946,1
2.6459,1
3.5514,1
2.7049,1
2.7668,1
3.6654,1
2.2122,1
2.7904,1
2.2753,1
2.7472,1
2.3048,1
2.9918,1
2.2288,1
2.8562,1
3.4355,1
2.7825,1
2.8752,1
3.9066,1
2.1057,1
3.4084,1
2.6941,1
3.4072,1
2.8284,1
2.842,1
2.1625,1
3.8992,1
2.7853,1
3.7126,1
2.5429,1
3.6681,1
3.5206,1
2.5923,1
3.51,1
2.8669,1
2.1892,1
2.2938,1
2.7799,1
2.1928,1
3.5146,1
2.897,1
2.6739,1
2.0786,1
3.5181,1
2.7884,1
2.765,1
3.7514,1
2.0998,1
3.5454,1
2.7905,1
2.8241,1
2.8281,1
3.8199,1
2.1001,1
2.5339,1
2.7749,1
3.4769,1
3.2705,1
2.3261,1
2.2141,1
2.8309,1
2.7413,1
3.4507,1
3.3028,1
2.6479,1
2.3156,1
2.3034,1
2.901,1
2.1334,1
3.9385,1
2.3953,1
2.3746,1
2.2963,1
2.8016,1
2.217,1
2.8602,1
2.9744,1
2.0572,1
2.1248,1
2.821,1
2.1816,1
3.5491,1
3.2566,1
2.4869,1
2.2053,1
2.8446,1
2.8096,1
3.4928,1
3.2866,1
2.2851,1
2.204,1
2.8242,1
3.4995,1
2.6442,1
3.1764,1
2.518,1
3.4974,1
2.8221,1
2.8029,1
3.4719,1
2.8142,1
2.5569,1
2.244,1
3.5589,1
2.6147,1
2.9919,1
2.9169,1
2.1789,1
2.8138,1
3.4538,1
2.6157,1
3.7227,1
2.3969,1
2.0756,1
2.8918,1
2.7499,1
3.4435,1
2.8612,1
3.03,1
1.9995,1
2.8065,1
3.5273,1
2.6828,1
2.9282,1
2.3612,1
2.214,1
2.8107,1
2.3251,1
2.3019,1
2.9051,1
3.7118,1
2.2274,1
2.978,1
2.8445,1
2.8131,1
2.267,1
3.5761,1
2.3757,1
2.3952,1
2.7945,1
3.5543,1
2.7607,1
2.9862,1
2.0799,1
3.8356,1
3.3843,1
3.9352,1
2.7101,1
2.3793,1
2.2924,1
2.709,1
2.3114,1
2.6565,1
2.4612,1
2.4881,1
2.3267,1
2.4286,1
2.7603,1
3.4557,1
3.3945,1
2.4916,1
2.0798,1
2.8327,1
2.7532,1
3.5656,1
2.8007,1
2.8659,1
2.557,1
2.3343,1
2.8219,2
3.5926,2
3.5389,2
2.7903,2
3.5988,2
2.5991,2
3.7956,2
2.5347,2
2.4403,2
2.3601,2
2.7122,2
3.6183,2
3.6597,2
2.7942,2
3.7146,2
2.9944,2
2.2585,2
2.6806,2
2.2677,2
3.5231,2
2.7686,2
2.732,2
3.6603,2
2.806,2
2.4563,2
2.2481,2
2.8851,2
3.5309,2
3.0654,2
2.201,2
2.5408,2
2.8528,2
2.793,2
3.5265,2
3.093,2
2.2528,2
2.403,2
2.8071,2
3.4922,2
2.6795,2
3.8093,2
2.0995,2
3.6118,2
2.7607,2
2.5674,2
3.6591,2
2.6386,2
2.3427,2
2.294,2
2.7741,2
2.1688,2
2.6769,2
2.5758,2
2.2393,2
2.7426,2
3.5097,2
2.7009,2
2.754,2
3.6919,2
2.223,2
2.884,2
2.202,2
3.4484,2
2.8095,2
2.9748,2
2.0622,2
2.9569,2
2.723,2
3.5122,2
3.2571,2
2.3492,2
2.4103,2
2.9717,2
2.6057,2
3.4567,2
3.1637,2
2.5756,2
2.1724,2
2.8045,2
3.5053,2
2.5338,2
4.108,2
2.41,2
2.1121,2
2.5762,2
2.7132,2
3.5433,2
3.1956,2
2.2214,2
2.2616,2
2.7899,2
3.4413,2
2.7291,2
4.4069,2
2.3958,2
2.2263,2
2.9216,2
2.8346,2
3.6016,2
2.7824,2
2.3079,2
2.301,2
2.7856,2
2.2026,2
3.4797,2
3.0513,2
2.303,2
2.5065,2
2.7575,2
3.5174,2
2.7521,2
2.9844,2
2.1817,2
2.7062,2
3.6423,2
2.5014,2
3.5262,2
2.7884,2
2.2968,2
2.2253,2
3.5463,2
2.6796,2
2.8493,2
3.6208,2
2.2303,2
2.7972,2
2.3135,2
2.8568,2
2.939,2
2.4299,2
2.3162,2
2.6879,2
2.7224,2
3.6165,2
2.8921,2
2.6447,2
2.2641,2
2.8326,2
3.0144,2
2.7108,2
3.6092,2
2.6745,2
2.1197,2
3.7017,2
2.8291,2
2.3028,2
3.6684,2
3.5118,2
3.5538,2
3.0426,2
2.1613,2
3.6276,2
2.7919,2
2.2425,2
2.248,2
2.8378,2
2.284,2
3.758,2
2.5817,2
2.3382,2
2.2092,2
3.3502,2
2.8326,2
3.709,2
2.6061,2
2.333,2
2.3387,2
2.8038,2
2.3666,2
3.7633,2
2.4243,2
2.3088,2
2.255,2
2.8431,2
2.1817,2
3.4311,2
3.3035,2
2.2622,2
3.3678,2
3.5518,2
3.4592,2
3.2138,2
2.2269,2
2.1962,2
2.8198,2
2.286,2
2.7977,2
2.1269,2
3.1329,2
2.638,2
2.5264,2
2.7518,2
3.5452,2
2.7795,2
2.973,2
2.1455,2
2.7823,2
2.7928,2
3.4797,2
2.9541,2
2.8049,2
2.2001,2
2.9496,2
2.6727,2
3.6517,2
2.7497,2
2.9123,2
2.2025,2
2.7871,2
3.6628,2
2.8948,2
2.7867,2
2.2889,2
2.105,2
2.8887,2
2.1374,2
3.5473,2
2.8166,2
2.9192,2
2.141,2
2.8036,2
3.4653,2
2.6073,2
3.9444,2
2.4412,2
2.2516,2
2.5964,2
2.5254,2
3.5643,2
2.971,2
2.6753,2
2.2108,2
2.7167,2
2.9199,2
3.4796,2
3.0325,2
2.2744,2
2.2686,2
3.5416,2
2.5891,2
3.6029,2
2.7359,2
2.1049,2
2.3826,2
2.4291,2
2.7247,2
3.4324,2
3.4779,2
2.0179,2
2.2976,2
2.9093,2
2.7936,2
3.4429,2
3.1019,2
2.4678,2
2.4742,2
2.6266,2
3.5359,2
2.6411,2
3.5814,2
2.3798,2
2.7915,2
3.5761,2
2.6019,2
3.5666,2
2.7975,2
2.3092,2
2.383,2
2.8486,2
3.4495,2
2.8564,2
2.9529,2
2.1574,2
2.7043,2
3.4396,2
2.7354,2
3.1983,2
2.4557,2
3.468,2
2.7399,2
3.4219,2
2.7983,2
2.8805,2
3.5067,2
3.7213,2
2.7298,2
3.5993,2
2.8944,2
2.2626,2
2.7397,2
2.3536,2
2.6422,2
2.4179,2
2.6367,2
2.4074,2
2.1535,2
3.4109,2
2.6838,2
2.8992,2
2.7872,2
3.8607,2
2.3526,2
2.8168,2
2.7714,2
2.2986,2
6.9753,2
1.9735,2
1.9804,2
2.3974,2
2.7494,2
3.6443,2
2.8366,2
2.3926,2
2.1722,2
3.5754,2
2.558,2
3.6603,2
2.3324,2
2.2478,2
2.8598,2
2.7231,2
3.4644,2
3.9608,2
2.4011,2
2.4481,2
2.8206,2
3.5463,2
2.7875,2
2.8172,2
3.5896,2
3.4519,2
2.7468,2
3.6214,2
2.8807,2
2.1331,2
2.3517,2
2.812,2
2.2485,2
3.5901,2
2.8533,2
2.7477,2
2.0585,2
3.4707,2
3.6129,2
2.9217,2
3.5957,2
2.2939,2
2.8985,2
2.8437,2
2.1063,2
3.8459,2
2.4336,2
2.6087,2
2.1796,2
3.6346,2
2.6373,2
3.5692,2
2.7539,2
2.3395,2
2.3561,2
3.4706,2
3.5821,2
2.9899,2
2.2535,2
2.4518,2
2.5272,2
2.645,2
3.4646,2
3.0424,2
2.5255,2
3.5364,2
2.6576,2
2.8543,2
3.4455,2
2.7723,2
2.9053,2
2.8238,2
2.8609,2
2.9512,2
2.2279,2
3.5423,2
2.324,2
2.4898,2
2.7338,2
3.5536,2
2.8203,2
2.5614,2
2.5983,2
3.7272,2
1.9181,2
2.6571,2
3.0561,2
2.2482,2
2.4215,2
2.2948,2
2.8782,2
2.1846,2
3.4625,2
2.9422,2
2.4148,2
2.1238,2
2.8674,2
2.3936,2
3.5153,2
2.7712,2
2.9507,2
2.3178,2
2.2343,2
2.9054,2
2.1997,2
3.9166,2
2.3322,2
2.2852,2
2.5543,2
3.5049,2
2.7268,2
2.9896,2
2.5494,2
3.4651,2
2.8204,2
2.7962,2
3.4418,2
3.0382,2
2.0763,2
2.7478,2
2.7654,2
3.5754,2
2.8334,2
2.7724,2
2.5994,2
2.3895,2
2.7554,2
2.6969,2
2.3528,2
3.2531,2
2.1333,2
2.0662,2
2.8163,2
3.6262,2
2.4434,2
3.3589,2
2.1749,2
2.0956,2
2.6161,2
2.7092,2
2.7928,2
3.8384,2
2.4139,2
2.165,2
2.8901,2
3.517,2
2.999,2
2.4133,2
2.5351,2
2.2182,2
2.8517,2
2.2732,2
2.7614,2
2.3358,2
3.6725,2
2.2029,2
2.9755,2
2.0938,2
3.5346,2
2.7339,2
2.9468,2
2.1481,2
2.8472,2
2.8322,2
3.5841,2
2.912,2
2.8166,2
2.316,2
2.2752,2
2.7845,2
2.2501,2
3.3861,2
2.9625,2
2.1987,2
2.8195,2
2.7811,2
3.4572,2
2.8056,2
2.9359,2
1.9831,2
3.3869,2
3.5068,2
3.6739,2
2.8821,2
2.1885,2
2.3307,2
3.3705,2
2.7112,2
3.5095,2
3.6015,2
2.6225,2
2.2592,2
3.4717,2
2.6629,2
2.8812,2
3.5182,4
2.7543,4
2.8725,4
2.8412,4
3.5154,4
2.7848,4
3.1853,4
2.1229,4
2.3042,4
3.0426,4
2.0416,4
2.8612,4
2.4449,4
3.0631,4
2.2231,4
2.5096,4
3.4181,4
2.6737,4
3.93,4
2.3473,4
2.4047,4
2.2173,4
3.4718,4
2.7708,4
3.6916,4
2.4058,4
2.3562,4
2.336,4
2.6288,4
2.3862,4
2.7114,4
2.4226,4
2.8004,4
2.3087,4
2.8542,4
3.7275,4
2.5384,4
3.106,4
2.4894,4
2.3464,4
3.4789,4
3.5554,4
2.8809,4
3.73,4
2.1701,4
2.8667,4
2.2696,4
3.5493,4
2.6709,4
2.7891,4
2.2871,4
2.7168,4
3.5932,4
2.6214,4
3.3115,4
2.2064,4
2.0629,4
2.8698,4
2.3357,4
2.7235,4
2.4734,4
3.015,4
2.1035,4
2.7344,4
3.7347,4
3.0187,4
2.1188,4
3.7437,4
2.2487,4
2.6846,4
2.3481,4
2.8059,4
2.1971,4
3.8275,4
2.1769,4
2.7264,4
2.2187,4
2.7546,4
2.3135,4
3.1433,4
2.0171,4
2.2418,4
2.7573,4
3.4895,4
2.7296,4
3.192,4
2.2038,4
2.1721,4
2.4577,4
2.7351,4
3.43,4
2.8214,4
2.9027,4
2.1982,4
2.9541,4
2.713,4
3.6115,4
2.8634,4
2.8175,4
2.2171,4
2.6133,4
3.5768,4
3.4969,4
4.2229,4
2.1865,4
2.3449,4
3.4346,4
3.582,4
3.6163,4
3.9026,4
2.7472,4
3.6449,4
3.5117,4
2.7724,4
3.707,4
3.5448,4
2.8261,4
3.4846,4
2.9178,4
2.7979,4
2.1182,4
3.0232,4
2.6876,4
3.4848,4
3.0641,4
2.2826,4
2.7057,4
2.2124,4
3.4075,4
2.8706,4
3.6526,4
2.2691,4
3.6672,4
2.5376,4
3.4569,4
2.6605,4
2.9149,4
2.1384,4
2.7824,4
3.6129,4
3.4806,4
3.7001,4
2.2122,4
2.8155,4
2.603,4
2.2773,4
2.5286,4
3.0965,4
2.2056,4
2.3728,4
2.7302,4
2.2458,4
3.585,4
2.8399,4
2.8537,4
2.207,4
2.7745,4
2.8024,4
3.6423,4
2.9418,4
2.5024,4
3.5575,4
2.7336,4
2.9411,4
2.7113,4
3.7198,4
2.2256,4
2.8786,4
2.2337,4
3.4737,4
2.8435,4
2.8962,4
2.3634,4
2.6484,4
2.8652,4
3.6651,4
2.9081,4
2.5071,4
2.4947,4
2.2816,4
2.8547,4
2.1731,4
2.9886,4
2.855,4
2.3982,4
3.5361,4
2.6183,4
2.8,4
2.9001,4
3.0259,4
2.1835,4
2.8135,4
3.6276,4
2.828,4
2.703,4
3.6679,4
2.1453,4
3.3821,4
2.8301,4
3.5612,4
3.0504,4
2.2489,4
2.3081,4
3.4218,4
3.5961,4
2.7444,4
2.9829,4
2.3112,4
2.8973,4
2.8026,4
3.588,4
3.5128,4
2.2391,4
1.9998,4
2.8256,4
2.8276,4
3.5202,4
3.4516,4
2.3101,4
2.2388,4
9.0268,4
2.1249,4
2.2466,4
2.2899,4
2.8492,4
2.9812,4
2.18,4
2.9502,4
3.7175,4
2.22,4
2.7261,4
2.2425,4
2.8124,4
2.4323,4
3.0715,4
2.362,4
2.2739,4
2.3122,4
2.9778,4
2.7685,4
3.8316,4
2.8196,4
2.3422,4
2.3433,4
2.8751,4
3.6431,4
2.7455,4
2.3795,4
2.1683,4
3.493,4
2.6892,4
3.5027,4
2.9032,4
2.2987,4
2.2771,4
3.5799,4
3.4185,4
3.6121,4
3.8955,4
2.2859,4
2.3511,4
3.4776,4
3.5558,4
2.9743,4
2.1336,4
2.8133,4
3.529,4
2.6222,4
3.4798,4
3.0476,4
2.1687,4
3.5044,4
2.7115,4
2.8069,4
3.8557,4
2.5028,4
2.7604,4
3.559,4
2.6338,4
3.5305,4
3.0281,4
2.1915,4
3.4081,4
2.8566,4
2.7707,4
3.5967,4
3.8156,4
2.7609,4
3.7152,4
3.5035,4
2.9852,4
2.4344,4
2.0781,4
2.7988,4
2.2585,4
2.8435,4
2.3292,4
2.7755,4
2.0488,4
2.915,4
2.3253,4
3.5018,4
2.6819,4
2.8524,4
2.9071,4
3.5032,4
2.7974,4
2.8279,4
2.9193,4
3.6177,4
2.2515,4
2.4202,4
2.7047,4
3.6847,4
33.7455,4
2.0672,4
2.0058,4
2.1827,4
2.4908,4
3.6581,4
2.9216,4
2.3379,4
2.9235,4
1.9936,4
3.4553,4
2.8905,4
2.7975,4
3.6362,4
2.7607,4
2.3708,4
2.2458,4
2.8429,4
2.8073,4
2.1913,4
3.7277,4
2.2535,4
