frame time,Number of lights
4.3424,0
4.349,0
4.4023,0
4.8786,0
3.877,0
4.4263,0
4.3726,0
4.592,0
4.3413,0
4.3292,0
4.9335,0
3.861,0
4.3911,0
4.3942,0
4.4466,0
4.2223,0
4.2755,0
4.3471,0
4.4762,0
4.3963,0
4.181,0
4.6235,0
4.2598,0
4.4447,0
4.2056,0
4.9408,0
3.863,0
4.3414,0
4.9074,0
4.3625,0
3.8302,0
4.1474,0
4.5154,0
4.6983,0
4.0372,0
4.313,0
4.2941,0
4.4719,0
4.2697,0
4.4143,0
4.1997,0
4.6971,0
4.1699,0
4.8635,0
3.9825,0
4.6641,0
4.4935,0
4.1314,0
4.514,0
4.3951,0
4.4365,0
4.3034,0
4.3192,0
4.7896,0
3.9833,0
4.4788,0
4.6169,0
4.1948,0
9.0055,0
1.8067,0
3.4609,0
4.2251,0
4.386,0
4.4491,0
4.3571,0
4.3201,0
4.5221,0
4.5808,0
4.063,0
4.2628,0
4.5357,0
4.3503,0
4.2943,0
4.1622,0
4.7274,0
4.1274,0
4.181,0
4.6212,0
4.9899,0
3.8567,0
4.422,0
4.5601,0
4.2843,0
4.2126,0
4.5461,0
4.1839,0
4.7748,0
4.037,0
4.6554,0
4.0999,0
4.4195,0
4.388,0
4.3155,0
4.342,0
4.3986,0
4.2767,0
4.2967,0
4.4051,0
4.4411,0
4.1892,0
4.405,0
4.4847,0
4.6991,0
4.2988,0
4.4672,0
5.0461,0
3.6258,0
4.5253,0
4.4549,0
4.6803,0
4.1901,0
4.3012,0
4.3564,0
4.5419,0
4.1197,0
4.3123,0
4.9612,0
3.7523,0
4.4662,0
4.3494,0
4.6559,0
4.3538,0
4.3784,0
4.5127,0
4.4559,0
4.0414,0
4.3918,0
4.2694,0
4.507,0
4.2403,0
4.2893,0
4.6825,0
4.183,0
4.2728,0
4.4995,0
6.7785,0
2.0556,0
4.5832,0
4.3455,0
4.4742,0
4.4708,0
4.1969,0
4.3396,0
4.6034,0
4.1324,0
4.2651,0
4.2059,0
4.7874,0
4.1064,0
4.2475,0
4.61,0
4.2192,0
4.3245,0
4.3942,0
5.0141,0
3.7328,0
4.2537,0
4.3667,0
4.6754,0
4.5745,0
4.3955,0
4.7371,0
4.4758,0
4.1749,0
4.5025,0
4.179,0
4.5287,0
4.2692,0
4.5837,0
4.2186,0
4.4066,0
4.3302,0
4.1748,0
5.0713,0
3.8405,0
4.4734,0
4.3005,0
4.3611,0
4.3317,0
4.4456,0
4.0984,0
4.6372,0
4.2313,0
4.0988,0
4.3367,0
4.5111,0
4.1978,0
4.3386,0
4.3671,0
4.6033,0
4.3643,0
4.2799,0
4.2039,0
4.4992,0
4.4493,0
4.2675,0
4.2458,0
4.2741,0
4.2892,0
4.5887,0
4.4643,0
4.2992,0
4.3987,0
4.2686,0
4.9443,0
3.8478,0
4.354,0
4.4387,0
4.3402,0
4.1949,0
4.5803,0
4.3019,0
4.4425,0
4.2623,0
4.2777,0
4.6895,0
4.8885,0
4.2916,0
4.6014,0
4.3939,0
3.9714,0
4.1153,0
4.5518,0
5.7237,0
3.3279,0
4.664,0
3.9202,0
4.4883,0
4.1068,0
4.92,0
3.7814,0
4.427,0
4.2681,0
5.0596,0
4.1106,0
4.7718,0
4.2215,0
4.5155,0
4.3287,0
5.407,0
4.024,0
4.4516,0
4.5804,0
4.3345,0
4.4231,0
4.2111,0
4.5542,0
4.524,0
4.5685,0
4.1307,0
4.8051,0
3.9796,0
4.3142,0
5.1374,0
4.0905,0
3.9443,0
4.4223,0
4.9228,0
3.9338,0
4.1996,0
4.3407,0
4.5971,0
4.2935,0
4.1408,0
4.7369,0
4.5323,0
4.0876,0
4.2407,0
5.1103,0
3.8091,0
4.4223,0
4.3154,0
5.1131,0
3.7505,0
4.5198,0
4.3836,0
4.6675,0
4.0486,0
4.3486,0
4.5439,0
4.6552,0
3.8214,0
4.4285,0
4.2725,0
5.0292,0
3.8605,0
4.3513,0
4.6123,0
4.8575,0
4.4043,0
4.3308,0
5.0158,0
3.6964,0
4.4024,0
4.4772,0
4.8425,0
3.804,0
4.4444,0
4.3875,0
4.8691,0
3.8643,0
4.3132,0
5.1071,0
5.0463,0
6.4101,0
2.634,0
4.3641,0
4.4681,0
4.2772,0
4.5547,0
4.3259,0
4.7192,0
4.3372,0
4.5895,0
4.293,0
4.463,0
4.3747,0
5.0043,0
4.1152,0
4.2538,0
4.6633,0
4.5342,0
4.6116,0
4.0163,0
4.4574,0
4.3155,0
4.4783,0
4.5208,0
4.7837,0
4.2685,0
4.6318,0
4.2513,0
4.3665,0
4.3727,0
4.4581,0
4.3467,0
4.4468,0
4.3912,0
4.5762,0
4.3097,0
5.204,0
4.3134,0
4.6957,0
4.0829,0
4.3796,0
4.2533,0
4.2325,0
4.9759,0
3.7819,0
4.2722,0
4.3589,0
4.4532,0
4.2814,0
4.3086,0
4.2687,0
4.8017,0
3.921,0
4.2872,0
4.3299,0
4.447,0
4.6281,0
3.9428,0
4.3388,0
4.673,0
4.223,0
4.5571,0
4.5003,0
4.3063,0
4.2914,0
4.4087,0
4.9595,0
3.7247,0
4.2468,0
4.7189,0
4.5636,0
4.2157,0
4.2621,0
4.3978,0
4.5107,0
4.2161,0
4.3489,0
4.8945,0
3.902,0
4.6296,0
4.2724,0
5.0129,0
3.7971,0
4.2836,0
4.4881,0
4.3467,0
4.3813,0
4.5068,0
4.3455,0
4.3816,0
4.4062,0
4.3086,0
4.65,0
4.4464,0
4.4491,0
4.3855,0
4.3347,0
4.7038,0
4.7995,0
4.0535,0
4.5733,0
4.3724,0
4.4174,0
4.3936,0
4.4668,0
4.2746,0
4.522,0
4.2081,0
4.6068,0
4.2307,0
4.3005,0
4.9023,0
3.9626,0
4.4062,0
4.3995,0
4.5539,0
4.501,0
4.0808,0
4.4017,0
5.0694,0
3.794,0
4.5265,0
4.2987,0
4.5904,0
4.3408,0
4.0906,0
4.5537,0
4.4328,0
