frame time,Number of lights
4.1609,0
3.9911,0
4.008,0
4.4685,0
3.8865,0
4.0088,0
3.941,0
4.8072,0
3.9212,0
4.1886,0
3.8237,0
4.8176,0
4.3587,0
3.8163,0
4.3443,0
4.1305,0
3.8861,0
3.9121,0
4.0872,0
4.4615,0
4.4409,0
3.8595,0
4.5023,0
3.6677,0
4.0786,0
3.9104,0
4.3822,0
3.598,0
4.1111,0
3.7639,0
4.7086,0
3.3583,0
4.2321,0
3.7282,0
4.343,0
3.8899,0
3.6143,0
4.3873,0
3.9082,0
4.1798,0
3.64,0
4.3096,0
3.79,0
4.8357,0
3.1273,0
4.3987,0
3.7188,0
4.1896,0
4.2468,0
4.4813,0
4.2771,0
4.438,0
3.2526,0
4.4583,0
3.8432,0
4.2208,0
4.3971,0
4.4144,0
3.9134,0
4.0489,0
4.698,0
4.0483,0
4.1904,0
5.2746,0
2.6743,0
3.9732,0
4.2123,0
4.0082,0
4.4783,0
4.5511,0
3.9928,0
4.5817,0
3.1858,0
4.3916,0
3.7353,0
4.2929,0
3.777,0
4.1588,0
3.8513,0
4.4475,0
3.6747,0
3.9152,0
4.1825,0
3.9221,0
4.1422,0
3.7893,0
3.8883,0
4.1881,0
4.2154,0
3.5145,0
4.381,0
3.7965,0
4.2236,0
3.4955,0
4.4747,0
3.8215,0
4.7897,0
3.0566,0
4.4159,0
3.7654,0
4.0057,0
4.613,0
4.0849,0
3.8037,0
4.3351,0
4.0069,0
4.2698,0
4.0899,0
3.9511,0
4.6477,0
4.4293,0
3.8382,0
4.2251,0
4.4389,0
3.9114,0
3.8233,0
4.0409,0
4.8045,0
4.0385,0
3.8449,0
4.3468,0
4.8975,0
3.8926,0
4.1369,0
3.9281,0
4.3543,0
3.8793,0
3.952,0
4.4577,0
4.5032,0
3.9652,0
3.9899,0
4.7995,0
3.2274,0
4.0427,0
3.943,0
4.3938,0
3.6813,0
3.8724,0
4.0317,0
4.0728,0
3.8514,0
4.1783,0
3.8033,0
4.223,0
4.0088,0
3.6015,0
4.3987,0
3.907,0
4.0166,0
3.6378,0
4.4761,0
3.8937,0
4.5476,0
3.2557,0
4.3114,0
3.8673,0
4.0359,0
3.9262,0
4.3224,0
3.7483,0
4.057,0
3.9064,0
4.3079,0
3.7641,0
3.9955,0
4.0394,0
4.2349,0
3.6757,0
4.0773,0
4.2529,0
3.8037,0
4.0857,0
4.0697,0
4.2489,0
3.8704,0
3.7188,0
4.0098,0
4.6989,0
3.3042,0
3.908,0
4.2076,0
4.5437,0
3.408,0
4.0123,0
3.8318,0
4.2904,0
3.9654,0
3.8392,0
4.041,0
4.3546,0
3.8788,0
3.831,0
3.9818,0
4.3805,0
4.0542,0
3.6532,0
4.0164,0
4.4767,0
3.7917,0
3.5059,0
4.2641,0
3.9739,0
4.3496,0
3.6246,0
3.8555,0
5.1429,0
3.5242,0
3.4819,0
4.2443,0
3.961,0
4.1091,0
4.0996,0
3.9206,0
4.196,0
4.1137,0
4.6048,0
3.9938,0
3.9381,0
4.1837,0
4.595,0
4.3438,0
3.7088,0
4.0996,0
4.5588,0
4.4177,0
4.0841,0
4.6307,0
3.3593,0
3.9397,0
4.1951,0
4.2586,0
5.0528,0
3.757,0
3.906,0
4.0331,0
4.8536,0
3.4743,0
4.0931,0
5.0091,0
