frame time,Number of lights
4.3992,0
4.8113,0
3.6103,0
4.0967,0
4.3509,0
4.0845,0
3.6758,0
4.0688,0
4.058,0
3.7607,0
3.8813,0
4.5769,0
3.3518,0
4.2232,0
4.2893,0
3.9236,0
3.8586,0
4.1248,0
3.7905,0
4.113,0
4.0074,0
3.6175,0
4.2887,0
3.9836,0
4.689,0
3.0173,0
4.6728,0
3.5619,0
4.2817,0
5.0703,0
3.112,0
4.3778,0
3.5127,0
4.7951,0
3.7348,0
4.8097,0
3.4975,0
4.6065,0
4.563,0
3.7448,0
4.1595,0
4.6072,0
4.3442,0
4.2189,0
4.3822,0
3.6113,0
3.7424,0
4.4391,0
3.6696,0
4.4981,0
3.9762,0
3.7106,0
4.1671,0
3.6533,0
4.58,0
3.3144,0
4.8338,0
3.3159,0
9.2395,0
1.6047,0
1.2858,0
3.8648,0
3.7143,0
4.6007,0
3.5893,0
4.3855,0
3.997,0
4.0351,0
3.6351,0
4.5492,0
3.8814,0
3.7641,0
4.0466,0
3.8966,0
4.2662,0
3.95,0
3.7744,0
4.208,0
3.921,0
4.0123,0
3.9815,0
5.1689,0
3.1927,0
3.7259,0
4.0292,0
4.0031,0
3.9771,0
3.8696,0
4.0914,0
3.9299,0
4.1357,0
4.0511,0
3.9497,0
4.1079,0
4.2924,0
3.8607,0
3.6692,0
4.152,0
4.7077,0
3.2739,0
4.2419,0
3.9003,0
4.062,0
4.5597,0
4.3735,0
3.716,0
4.0362,0
4.7715,0
4.1054,0
4.5053,0
4.3366,0
3.6557,0
3.998,0
3.7944,0
4.9582,0
2.8474,0
4.2729,0
3.7448,0
4.591,0
3.5736,0
4.3515,0
4.1938,0
4.0897,0
3.971,0
3.4768,0
4.1721,0
3.791,0
4.1728,0
3.6262,0
4.2387,0
4.0707,0
4.237,0
3.9484,0
3.9271,0
4.0832,0
4.1438,0
4.214,0
3.4617,0
4.6031,0
3.7814,0
3.5395,0
4.5835,0
3.4685,0
4.5978,0
3.4383,0
4.146,0
3.7753,0
4.6858,0
3.7329,0
3.9723,0
3.8229,0
4.2017,0
3.9626,0
3.8226,0
4.011,0
3.9075,0
4.0965,0
3.6024,0
4.2866,0
4.0628,0
4.5007,0
3.8507,0
3.6663,0
4.3664,0
4.8557,0
3.3041,0
3.7732,0
3.7014,0
4.3842,0
3.6262,0
4.0697,0
3.9465,0
4.2912,0
3.987,0
3.6753,0
4.2101,0
4.065,0
4.1763,0
3.8711,0
4.1018,0
3.9863,0
4.1027,0
4.101,0
3.5489,0
3.9904,0
4.2318,0
3.8519,0
4.0313,0
3.9144,0
5.5638,0
2.7825,0
4.0519,0
3.7357,0
3.9539,0
4.6091,0
4.2238,0
4.2915,0
4.4738,0
3.2382,0
4.2576,0
3.9462,0
4.246,0
3.6051,0
4.1137,0
4.0945,0
4.4765,0
3.6345,0
4.3369,0
3.4783,0
4.5278,0
3.7439,0
