frame time,Number of lights
4.7511,0
4.8655,0
3.8528,0
4.4881,0
4.2392,0
4.9879,0
3.7581,0
4.2376,0
4.4952,0
4.4114,0
4.1387,0
4.6669,0
4.0226,0
4.4661,0
4.2049,0
4.3743,0
4.1999,0
4.45,0
4.5006,0
4.2202,0
4.7592,0
4.4898,0
4.39,0
4.2274,0
4.8734,0
4.0022,0
4.3593,0
4.4849,0
4.5726,0
4.2019,0
4.3597,0
4.2725,0
4.4698,0
4.443,0
4.3825,0
4.5376,0
4.7649,0
4.3657,0
4.124,0
5.0286,0
3.6369,0
4.4967,0
4.594,0
4.481,0
4.193,0
4.2662,0
4.3318,0
4.7068,0
4.4647,0
4.0713,0
4.434,0
4.69,0
3.9811,0
4.3169,0
4.7726,0
4.1172,0
4.2617,0
4.1674,0
5.5069,0
3.296,0
4.316,0
4.4621,0
5.0415,0
3.7409,0
4.4929,0
4.2472,0
4.7399,0
4.1673,0
4.4617,0
4.4245,0
4.3355,0
4.4814,0
4.212,0
4.8095,0
4.0601,0
4.2623,0
4.4045,0
4.4408,0
4.3167,0
4.5666,0
4.2595,0
4.5312,0
4.3157,0
4.1414,0
4.5215,0
4.9858,0
3.7578,0
4.4193,0
4.4421,0
4.5225,0
4.338,0
4.2912,0
4.7802,0
4.0159,0
4.5224,0
4.6276,0
3.9504,0
4.2823,0
4.7306,0
4.1842,0
4.7905,0
3.9219,0
4.4505,0
4.3753,0
4.5329,0
4.2528,0
4.4306,0
4.1939,0
4.6754,0
4.2791,0
4.2272,0
4.6137,0
4.4006,0
4.3165,0
4.3109,0
4.4143,0
4.3819,0
4.3179,0
4.3863,0
4.7289,0
4.1577,0
4.167,0
4.453,0
4.7246,0
4.0032,0
4.447,0
4.3443,0
4.7582,0
3.9063,0
4.2894,0
5.0517,0
3.8931,0
4.2834,0
4.6078,0
4.8132,0
4.0708,0
4.2404,0
4.4399,0
4.9063,0
3.8717,0
4.4805,0
4.2677,0
4.4992,0
4.3409,0
4.2762,0
4.5539,0
4.2383,0
4.2992,0
4.4292,0
4.5679,0
4.7812,0
4.2143,0
4.4883,0
4.8132,0
3.8252,0
4.5115,0
4.2332,0
4.6199,0
4.4062,0
4.1734,0
4.2177,0
4.8016,0
4.3411,0
4.4019,0
4.1972,0
4.5527,0
4.2508,0
4.3441,0
4.7449,0
4.3914,0
4.4286,0
4.2129,0
4.7074,0
4.1591,0
4.0706,0
4.4208,0
4.799,0
4.1499,0
4.1844,0
4.657,0
4.6091,0
4.2061,0
4.4344,0
5.2103,0
3.5893,0
4.3607,0
4.6657,0
4.4815,0
4.3694,0
4.269,0
4.3336,0
4.437,0
4.3221,0
4.6913,0
4.2228,0
4.4834,0
4.347,0
4.4351,0
4.5012,0
4.4563,0
4.5202,0
4.5357,0
4.6192,0
4.2838,0
4.4792,0
4.3251,0
4.9685,0
3.7982,0
4.4882,0
4.7477,0
4.3832,0
3.937,0
4.6115,0
4.0926,0
4.7268,0
4.498,0
4.0714,0
4.9396,0
4.2777,0
4.5887,0
4.3043,0
4.8058,0
4.3464,0
4.11,0
4.3642,0
5.102,0
4.0558,0
4.1286,0
4.5278,0
4.3356,0
4.3473,0
4.5053,0
4.7409,0
51.3166,0
1.8247,0
1.4734,0
2.3813,0
4.7176,0
4.8169,0
4.459,0
4.6125,0
4.597,0
4.7516,0
4.067,0
4.6661,0
4.6114,0
4.3985,0
4.4008,0
4.638,0
4.2196,0
4.3832,0
4.5185,0
4.5377,0
4.2172,0
4.3983,0
4.5859,0
4.1928,0
4.6011,0
4.3143,0
4.3821,0
4.5006,0
4.3902,0
4.7409,0
4.0213,0
4.3197,0
4.6512,0
4.3378,0
4.4698,0
4.4202,0
4.3946,0
4.3739,0
4.407,0
5.2909,0
3.828,0
4.5304,0
4.3092,0
4.8529,0
4.0163,0
4.491,0
4.5262,0
5.9505,0
3.3584,0
4.4398,0
4.6263,0
4.7255,0
4.3032,0
4.6952,0
4.5101,0
4.4735,0
4.4693,0
4.4705,0
4.183,0
4.9321,0
4.4327,0
4.7538,0
4.3113,0
4.4808,0
4.1777,0
4.6226,0
4.3382,0
4.563,0
4.6189,0
4.3301,0
4.4507,0
4.2302,0
4.9099,0
4.1498,0
4.7234,0
4.453,0
4.3745,0
4.5665,0
4.4135,0
4.3731,0
4.8701,0
4.0901,0
5.0965,0
4.2242,0
4.6463,0
