frame time,Number of lights
5.4561,1
5.3864,1
5.2194,1
5.3661,1
5.3884,1
5.1498,1
3.3928,1
5.0764,1
5.0253,1
5.538,1
5.7403,1
5.214,1
5.3866,1
5.423,1
5.2728,1
5.3829,1
5.4448,1
5.2461,1
5.1873,1
5.4355,1
5.1168,1
5.2579,1
3.2812,1
5.0606,1
5.5472,1
5.5573,1
5.2303,1
5.1879,1
5.21,1
5.6257,1
5.3908,1
5.685,1
4.9807,1
5.0863,1
5.4991,1
5.4632,1
5.0272,1
5.2328,1
3.3748,1
5.5536,1
5.1886,1
5.3534,1
5.3006,1
5.2933,1
5.2393,1
5.3137,1
5.4187,1
5.2788,1
5.5677,1
5.283,1
5.2642,1
5.2082,1
5.3343,1
5.3403,1
3.2391,1
5.6076,1
5.0231,1
5.2598,1
8.9135,1
2.8597,1
3.2644,1
3.6697,1
5.2054,1
5.5614,1
3.1642,1
5.2415,1
5.3501,1
5.4251,1
5.1881,1
5.3747,1
5.4809,1
5.2591,1
5.6872,1
5.087,1
3.4614,1
5.5712,1
4.9518,1
5.2884,1
5.8627,1
5.8715,1
5.1953,1
5.2702,1
5.2544,1
5.2599,1
4.9922,1
5.0391,1
5.307,1
5.1972,1
5.4683,1
5.003,1
5.3181,1
5.2163,1
5.2764,1
5.348,1
5.4325,1
5.451,1
5.0879,1
5.1719,1
5.2765,1
5.7569,1
5.1894,1
5.3251,1
5.3994,1
5.1783,1
5.0714,1
5.3738,1
5.4377,1
5.0708,1
5.2567,1
3.5468,1
5.2913,1
5.5367,1
5.7124,1
5.6671,1
5.2636,1
5.4121,1
4.9264,1
5.4168,1
5.1827,1
5.2707,1
5.539,1
5.3053,1
5.5761,1
5.3159,1
5.2921,1
5.1764,1
5.3832,1
5.146,1
3.4512,1
5.109,1
5.5075,1
5.2191,1
5.2092,1
5.6064,1
4.9791,1
5.3955,1
5.3584,1
5.0237,1
5.2757,1
5.1775,1
5.2396,1
3.2437,1
5.2213,1
5.3449,1
5.4643,1
5.2388,1
5.168,1
5.3717,1
5.4981,1
5.298,1
5.2686,1
5.4296,1
5.2279,1
5.4558,1
5.3167,1
5.2479,1
5.2169,1
3.4556,1
5.1773,1
5.2028,1
5.45,1
5.4949,1
5.3496,1
5.7681,1
6.0419,1
5.5557,1
5.1829,1
4.9972,1
5.3078,1
5.3784,1
4.9954,1
5.4225,1
5.0698,1
3.69,1
5.2068,1
5.1734,1
5.1695,1
5.3897,1
5.3781,1
5.4569,1
5.5382,1
5.1898,1
5.3079,1
5.3479,1
5.2568,1
5.7985,1
3.2912,1
5.1699,1
5.0874,1
5.2981,1
5.3919,1
5.1726,1
5.418,1
5.3594,1
5.3118,1
5.8051,1
5.3096,1
5.4658,1
5.2165,1
5.1869,1
5.0296,1
5.4601,1
5.2932,1
5.2598,1
5.1915,1
3.6903,1
5.1592,1
5.7079,1
5.2463,1
5.1605,1
5.296,1
5.2147,1
5.2716,1
5.399,1
5.0712,1
5.2048,1
5.4001,1
5.1,1
5.3056,1
5.5191,1
5.1039,1
3.6781,1
5.0619,1
5.2491,1
5.2621,1
5.4528,1
5.2987,1
5.2614,1
5.4756,1
5.4424,1
5.1424,1
5.7928,1
5.2612,1
5.2792,1
5.5423,1
5.3272,1
5.1436,1
5.495,1
5.3337,1
5.693,1
3.3151,1
5.744,1
5.0583,1
5.5134,1
5.5024,1
5.0631,1
5.2584,1
5.3412,1
5.2499,1
5.3291,1
5.3355,1
5.3544,1
5.1331,1
5.1019,1
5.206,1
5.1032,1
3.5402,1
5.1945,1
5.2379,1
5.0601,1
5.1668,1
5.4591,1
5.234,1
5.3335,1
5.2839,1
5.2594,1
3.4593,1
5.3696,1
5.1067,1
5.5178,1
5.4299,1
5.3024,1
5.1763,1
5.3026,1
5.4847,1
3.9627,1
3.3363,1
5.1864,1
5.4373,1
5.6032,1
5.2643,1
5.3193,1
5.4781,1
5.305,1
5.2367,1
5.2831,1
5.0601,1
5.1844,1
5.2078,1
3.5006,1
5.1038,1
5.1779,1
4.9572,1
5.5076,1
5.496,1
5.201,1
5.0756,1
5.3983,1
5.294,1
5.1351,1
5.0865,1
5.2859,1
3.4617,1
5.1153,1
5.5489,1
5.1109,1
5.6484,1
5.3483,1
5.1158,1
5.1911,1
4.9932,1
5.0906,1
5.4539,1
5.0913,1
5.2186,1
3.4698,1
5.1521,1
5.671,1
3.5701,1
5.0869,1
5.5361,1
5.3051,1
5.0686,1
4.9761,1
5.0228,1
5.5384,1
5.0722,1
5.0533,1
5.3066,1
4.9198,1
5.0638,1
5.2276,1
4.9402,1
5.1175,1
5.403,1
3.363,1
5.0643,1
5.3558,1
5.5001,1
5.176,1
5.0186,1
5.2429,1
5.0247,1
5.2627,1
5.0219,1
5.0068,1
5.5407,1
5.0047,1
5.2592,1
5.7358,1
5.3471,1
3.4678,1
5.4754,1
5.0709,1
5.0189,1
5.5965,1
5.285,1
5.2624,1
5.053,1
5.1237,1
5.3377,1
3.5354,1
5.1365,1
5.4298,1
5.0416,1
5.1189,1
5.1744,1
5.2841,1
5.2262,1
5.1816,1
5.2547,1
3.3057,1
5.1021,1
5.0523,1
5.0575,1
5.478,1
4.9736,1
5.2613,1
3.5028,1
5.0939,1
5.0969,1
4.9904,1
5.3514,1
5.0805,1
5.142,1
5.3295,1
5.0322,1
5.1051,1
4.9627,1
5.0185,1
5.1548,1
5.9263,1
5.2814,1
5.3257,1
3.8178,1
4.9945,1
5.3233,1
5.0965,1
4.9233,1
5.0775,1
5.2175,1
3.4,1
5.0133,1
5.1488,1
5.1692,1
5.3072,1
5.1123,1
5.4141,1
5.1511,1
5.2602,1
5.3428,1
3.4346,1
5.1057,1
5.0668,1
4.9072,1
5.2899,1
5.3798,1
5.0236,1
5.2098,1
5.1655,1
5.2628,1
3.4414,1
5.2499,1
5.121,1
5.1267,1
5.2108,1
5.3663,1
5.0459,1
5.0075,1
5.534,1
5.3231,1
3.4345,1
5.1325,1
4.9589,1
5.0702,1
6.1234,1
5.1637,1
5.1397,1
5.4832,1
5.3862,1
5.2185,1
5.1563,1
5.0298,1
5.1681,1
5.3053,1
5.1033,1
5.3148,1
3.0927,1
4.902,1
5.2688,1
5.4028,1
5.1503,1
5.191,1
5.164,1
4.9315,1
5.3159,1
5.6225,1
3.0345,1
5.0851,1
5.3956,1
5.21,1
4.9417,1
5.0627,1
5.3686,1
3.5321,1
5.2164,1
5.1097,1
5.3235,1
5.1845,1
5.4389,1
5.1758,1
5.3028,1
4.9366,1
5.074,1
5.4697,1
5.327,1
5.1948,1
5.2711,1
5.2433,1
5.4039,1
3.2214,1
5.1409,1
4.9585,1
5.2299,1
5.5138,1
5.098,1
5.0981,1
5.578,1
5.0743,1
5.2524,1
3.623,1
5.083,1
4.9782,1
5.4711,1
5.5203,1
4.9878,1
5.1757,1
3.4677,1
4.9767,1
5.0316,1
5.7676,2
5.176,2
5.807,2
5.1568,2
5.0178,2
5.8673,2
5.2811,2
5.2898,2
5.4553,2
5.3596,2
5.178,2
5.6275,2
5.3932,2
5.6036,2
5.4025,2
5.0223,2
5.3724,2
3.2967,2
5.2881,2
5.1858,2
5.6436,2
5.1966,2
5.1469,2
5.4134,2
5.3573,2
5.278,2
5.4333,2
5.3209,2
3.7901,2
4.9974,2
5.2579,2
5.4529,2
5.2207,2
5.3191,2
5.5083,2
5.2842,2
5.1615,2
5.1002,2
5.4154,2
5.276,2
5.2207,2
6.0234,2
5.5323,2
5.2353,2
5.2018,2
5.3621,2
3.2669,2
5.355,2
5.0542,2
5.344,2
5.6242,2
5.2472,2
5.5073,2
5.2841,2
5.3467,2
5.5838,2
5.2848,2
5.7484,2
5.4139,2
5.4133,2
5.1139,2
5.2772,2
5.9738,2
5.2386,2
5.1315,2
5.4732,2
5.2655,2
5.4917,2
3.4141,2
5.2603,2
5.0472,2
4.9812,2
5.3313,2
5.3614,2
5.5447,2
5.0548,2
5.359,2
5.1837,2
5.7548,2
5.476,2
5.7073,2
5.0119,2
5.3076,2
5.189,2
4.9996,2
5.5033,2
5.385,2
3.2348,2
5.5063,2
5.241,2
5.4203,2
5.3894,2
5.2446,2
5.1569,2
5.4859,2
5.3137,2
5.2975,2
5.5635,2
5.3061,2
5.2113,2
5.3663,2
5.4709,2
5.3918,2
31.2979,2
2.4767,2
2.5397,2
5.2448,2
5.2002,2
5.8273,2
5.7143,2
5.2177,2
5.7054,2
5.329,2
5.4359,2
5.288,2
5.139,2
5.2582,2
5.2616,2
5.4144,2
5.2546,2
5.262,2
3.4798,2
5.2521,2
6.0699,2
5.4163,2
5.2947,2
5.3808,2
5.3816,2
5.3249,2
5.2574,2
5.3236,2
5.0107,2
5.4107,2
4.9894,2
5.3015,2
5.3904,2
5.2048,2
3.3743,2
5.2445,2
5.3409,2
5.2534,2
5.3163,2
5.2501,2
5.6125,2
5.6143,2
5.3446,2
5.2547,2
5.261,2
5.4254,2
5.2142,2
3.2792,2
5.0531,2
5.379,2
5.2032,2
5.4215,2
5.1621,2
5.1171,2
5.3216,2
5.0544,2
5.2736,2
5.7867,2
5.2997,2
5.6072,2
5.0438,2
5.1699,2
5.3293,2
3.5224,2
5.2956,2
3.7816,2
5.0896,2
5.1302,2
5.7488,2
5.1639,2
3.469,2
5.4373,2
5.0934,2
5.0718,2
5.2839,2
4.9598,2
5.2178,2
5.4927,2
5.3319,2
5.1129,2
5.0532,2
5.041,2
5.6967,2
3.6752,2
5.2651,2
5.203,2
5.0562,2
5.1165,2
5.2205,2
5.3766,2
5.6466,2
4.9789,2
5.3831,2
3.2354,2
4.8749,2
4.9279,2
5.2467,2
4.9906,2
5.0435,2
5.5303,2
5.0659,2
5.2355,2
5.2978,2
5.2282,2
5.2406,2
5.3005,2
3.2207,2
5.0345,2
4.9498,2
5.671,2
4.9641,2
5.0067,2
5.2836,2
3.5562,2
5.2411,2
5.2902,2
5.0716,2
5.0591,2
5.471,2
5.2604,2
5.6812,2
5.0566,2
5.0226,2
5.0096,2
4.9735,2
5.3163,2
3.2057,2
5.0935,2
5.2386,2
5.3338,2
8.1562,2
2.5771,2
2.5278,2
5.0077,2
5.2511,2
5.5077,2
5.0616,2
5.5736,2
5.448,2
5.2008,2
5.1282,2
5.6989,2
5.4058,2
5.0021,2
5.4493,2
5.3925,2
5.1584,2
5.0583,2
5.1917,2
3.3229,2
5.3624,2
4.9524,2
5.4493,2
5.5215,2
5.1817,2
5.1612,2
5.5373,2
5.3176,2
5.291,2
5.5076,2
5.5155,2
5.0338,2
5.0813,2
5.3077,2
5.2587,2
3.1838,2
5.48,2
5.2267,2
5.1482,2
4.9815,2
5.2027,2
5.6375,2
4.9805,2
5.2281,2
5.3318,2
3.5907,2
5.6947,2
5.3455,2
5.2981,2
5.0326,2
5.5861,2
5.6699,2
5.2849,2
4.9837,2
5.1523,2
5.4281,2
5.2643,2
5.1285,2
3.5444,2
5.2672,2
5.1627,2
5.4788,2
5.4267,2
5.1788,2
4.9746,2
4.9842,2
5.0763,2
5.4934,2
3.1503,2
5.1237,2
5.1764,2
5.2142,2
5.5259,2
5.2108,2
4.9578,2
5.3735,2
4.9145,2
5.2866,2
3.5757,2
4.9983,2
5.0911,2
5.2224,2
5.3543,2
5.3075,2
5.1402,2
5.1537,2
5.2013,2
5.4068,2
3.1927,2
4.9945,2
5.3126,2
5.044,2
5.2067,2
5.326,2
5.4935,2
5.5888,2
5.0984,2
5.0469,2
5.2987,2
5.341,2
5.5718,2
5.042,2
5.1599,2
5.2849,2
3.696,2
5.1589,2
5.3744,2
4.9959,2
5.058,2
5.3188,2
5.2484,2
5.6277,2
5.1612,2
5.2641,2
3.3622,2
5.1733,2
5.0374,2
5.1694,2
5.5234,2
5.5672,2
5.2679,2
5.3727,2
5.3204,2
5.0688,2
5.554,2
5.5868,2
5.1347,2
5.8457,2
5.2478,2
5.2696,2
5.3791,2
5.3035,2
5.3093,2
3.3361,2
5.3733,2
5.4354,2
5.2116,2
5.2486,2
5.5892,2
3.6466,2
3.242,2
5.1871,2
5.2806,2
5.3834,2
5.3971,2
5.2162,2
5.4933,2
5.5402,2
5.4352,2
5.5276,2
5.4015,2
5.6951,2
5.1918,2
5.3827,2
5.3909,2
5.2593,2
5.7284,2
3.7001,2
5.4318,2
3.2997,2
5.6492,2
5.6578,2
5.5308,2
5.4165,2
5.4948,2
5.3006,2
5.6807,2
5.3549,2
5.3583,2
5.3406,2
4.9098,2
5.4111,2
5.6733,2
5.2439,2
5.5054,2
5.0516,2
4.9555,2
5.395,2
3.2666,2
5.2909,2
4.9291,2
5.5048,2
5.9472,2
4.9766,2
5.3665,2
5.6951,2
5.1502,2
5.5485,2
5.3641,2
5.1096,2
5.4045,2
5.4538,2
5.1791,2
4.0588,2
3.3413,2
5.4784,2
5.2005,2
5.4707,2
5.3885,2
5.1819,2
5.2409,2
3.4515,2
4.9954,2
5.2734,2
5.3943,2
5.689,2
5.2754,2
5.6978,2
5.4699,2
5.4341,2
5.2019,2
5.2387,2
5.6119,2
5.4081,2
5.2791,2
5.4126,2
5.2795,2
5.3168,2
5.321,2
5.3616,2
5.9073,2
5.3281,2
5.27,2
5.4404,2
5.5472,2
5.308,2
3.2014,2
5.8534,2
5.0251,2
5.89,2
5.2041,2
5.2242,2
5.6176,2
5.2076,2
5.6476,2
5.3237,2
5.3811,2
5.2496,2
5.3036,2
5.2097,2
5.526,2
5.4039,2
5.288,2
5.1218,2
5.6377,2
5.2957,2
5.2075,2
5.3839,2
3.3835,2
5.2639,2
5.2257,2
5.2193,2
5.0428,2
5.9992,2
5.2728,2
5.097,2
5.5271,2
5.023,2
5.153,2
5.3182,2
5.1006,2
5.5304,2
5.4065,2
5.2615,2
5.0484,2
6.5074,2
3.2667,2
4.9354,4
5.4234,4
5.639,4
5.2252,4
5.9287,4
5.3835,4
3.4634,4
5.2718,4
5.1148,4
5.2558,4
5.452,4
5.6039,4
5.3632,4
5.2034,4
5.3622,4
5.6365,4
5.5403,4
5.4358,4
5.2737,4
5.5994,4
5.2972,4
5.2691,4
5.5197,4
5.4001,4
5.6809,4
5.4188,4
5.5297,4
5.8677,4
5.2845,4
5.8048,4
5.4933,4
5.6815,4
5.2427,4
5.8957,4
5.99,4
5.5039,4
5.4258,4
5.497,4
5.5839,4
5.5902,4
5.3091,4
5.6448,4
5.403,4
5.2696,4
5.6671,4
5.2706,4
5.1761,4
5.588,4
5.3059,4
3.344,4
5.6604,4
5.5535,4
5.5079,4
5.636,4
5.2279,4
5.3746,4
5.6859,4
5.775,4
5.3386,4
5.7063,4
5.1529,4
5.3459,4
5.525,4
5.3174,4
5.2671,4
5.4723,4
5.2769,4
5.3594,4
5.4548,4
5.2848,4
5.3784,4
5.3024,4
5.3773,4
5.722,4
5.1825,4
5.9806,4
5.2025,4
3.6399,4
5.1842,4
5.1117,4
5.4022,4
5.3256,4
5.5883,4
4.021,4
3.4137,4
5.3316,4
5.8248,4
3.323,4
5.2266,4
5.4023,4
5.3328,4
5.1799,4
5.5664,4
5.4576,4
5.5372,4
5.9755,4
5.3595,4
5.6609,4
5.387,4
5.6555,4
5.3649,4
5.5516,4
5.525,4
3.8471,4
5.3719,4
5.309,4
3.4384,4
5.5895,4
5.4225,4
5.6142,4
5.4415,4
5.3082,4
5.4262,4
5.5275,4
5.3731,4
5.3661,4
5.556,4
5.2279,4
5.4507,4
5.6565,4
5.9433,4
5.4831,4
5.443,4
5.2784,4
5.823,4
5.4197,4
5.7268,4
5.7547,4
5.4091,4
5.7946,4
5.8242,4
5.2971,4
5.6621,4
5.262,4
5.467,4
5.4722,4
5.3343,4
5.1525,4
5.4186,4
5.3569,4
5.1348,4
5.541,4
5.2874,4
3.3394,4
5.5067,4
5.1258,4
5.3936,4
5.4143,4
5.4374,4
5.6179,4
5.3502,4
5.4745,4
5.0208,4
5.3383,4
5.2088,4
5.2456,4
5.4704,4
5.3029,4
5.2537,4
5.4573,4
5.3039,4
5.3391,4
3.4825,4
6.0098,4
5.2935,4
3.9049,4
3.4603,4
5.3273,4
5.2671,4
3.6228,4
5.3058,4
5.9178,4
5.3734,4
5.5461,4
5.4348,4
5.4466,4
5.2525,4
5.3922,4
5.5346,4
5.3417,4
5.5748,4
5.0306,4
5.3558,4
5.6137,4
5.3648,4
6.0105,4
5.424,4
5.4994,4
5.1041,4
5.3513,4
5.2647,4
3.3883,4
5.8401,4
5.1209,4
5.4168,4
8.2493,4
2.7033,4
2.7976,4
3.3602,4
5.3122,4
5.0945,4
5.3663,4
5.5099,4
5.4606,4
5.6035,4
5.404,4
5.6446,4
5.2855,4
5.2253,4
5.7026,4
5.2232,4
5.6566,4
6.1069,4
5.5057,4
5.3286,4
5.4607,4
5.2145,4
5.3185,4
5.3469,4
5.4315,4
5.4156,4
5.2492,4
5.1987,4
5.3873,4
5.3762,4
5.9187,4
3.3316,4
5.4795,4
5.1617,4
5.2576,4
5.5786,4
5.4305,4
5.6653,4
5.3457,4
5.8737,4
5.3054,4
5.493,4
5.1296,4
5.5356,4
5.3517,4
5.0891,4
5.4367,4
5.5873,4
5.2012,4
5.7557,4
5.2551,4
5.1916,4
5.2336,4
5.4768,4
5.4185,4
5.3727,4
3.5002,4
5.3298,4
5.1579,4
5.3171,4
5.6523,4
5.3133,4
5.3911,4
5.5452,4
5.4589,4
5.1878,4
5.411,4
5.5121,4
5.4756,4
5.4584,4
5.69,4
5.4113,4
5.4455,4
5.4812,4
5.7365,4
5.8401,4
5.237,4
5.1809,4
5.6159,4
5.4106,4
5.4212,4
5.3124,4
5.2902,4
5.1919,4
5.4192,4
5.4675,4
5.4407,4
3.3958,4
5.8535,4
5.2152,4
5.678,4
5.1368,4
5.1773,4
5.8605,4
5.4589,4
5.4376,4
5.4002,4
5.5929,4
5.3026,4
5.7503,4
5.3479,4
5.6893,4
5.4395,4
5.553,4
5.5978,4
5.4549,4
5.1594,4
5.5258,4
5.3578,4
5.2623,4
5.8823,4
5.5062,4
5.3155,4
5.5471,4
5.6089,4
5.6487,4
5.321,4
5.4568,4
5.6677,4
5.5031,4
5.4328,4
5.284,4
5.5921,4
5.3552,4
3.1467,4
5.3342,4
5.122,4
5.4149,4
5.7386,4
5.2762,4
5.2224,4
5.2592,4
5.1964,4
5.3042,4
5.9861,4
3.8087,4
5.2775,4
3.3829,4
5.4302,4
5.1566,4
5.4642,4
5.5674,4
5.8473,4
5.4122,4
5.829,4
5.5918,4
5.2595,4
4.9761,4
5.2343,4
5.3351,4
5.556,4
5.9483,4
5.4733,4
5.5196,4
5.4307,4
5.3389,4
5.4097,4
5.8817,4
5.0202,4
6.0836,4
5.4323,4
5.4567,4
5.3876,4
5.3501,4
5.1652,4
5.3263,4
5.8011,4
5.3783,4
5.7889,4
5.8383,4
5.5055,4
5.6577,4
5.2367,4
5.7346,4
5.4577,4
5.0637,4
5.5086,4
5.4151,4
5.0209,4
5.4838,4
3.2995,4
5.5835,4
5.4849,4
5.5167,4
5.1082,4
5.3846,4
5.4144,4
5.1154,4
5.5411,4
5.4311,4
5.3406,4
5.4012,4
5.6737,4
5.3188,4
5.6008,4
5.503,4
5.6373,4
5.7444,4
5.3628,4
5.3958,4
5.4319,4
5.4317,4
3.2116,4
5.3356,4
5.0395,4
5.36,4
5.6352,4
5.3466,4
5.4586,4
5.3585,4
5.4001,4
5.5082,4
5.2635,4
5.9659,4
5.4865,4
5.3507,4
5.3805,4
3.9344,4
3.2224,4
