frame time,Number of lights
4.8044,1
4.9469,1
3.3213,1
4.4892,1
4.582,1
4.7298,1
4.633,1
4.6767,1
3.9612,1
4.1634,1
3.1586,1
4.436,1
5.0769,1
4.7398,1
4.5606,1
4.9906,1
3.9784,1
3.3729,1
4.96,1
4.6991,1
4.7109,1
3.4106,1
4.6328,1
5.1132,1
4.7915,1
4.1274,1
4.9707,1
5.0236,1
3.5888,1
4.7012,1
4.7031,1
4.8194,1
3.2373,1
4.7912,1
4.6131,1
4.8899,1
3.3763,1
4.6674,1
4.6604,1
3.8956,1
4.4199,1
4.6971,1
4.6211,1
4.7265,1
5.0232,1
3.7361,1
5.0267,1
3.1776,1
4.786,1
4.6726,1
4.79,1
4.5811,1
4.7897,1
4.8435,1
4.687,1
4.6831,1
4.8197,1
4.7267,1
9.1578,1
2.2549,1
2.4794,1
4.8781,1
5.0495,1
4.0139,1
3.6925,1
4.7627,1
4.6604,1
3.6214,1
4.7484,1
3.3308,1
4.6891,1
4.9228,1
4.7627,1
3.3713,1
5.1862,1
5.3768,1
3.5416,1
4.3511,1
4.5576,1
4.5917,1
4.9948,1
3.6776,1
4.7911,1
4.7099,1
3.5857,1
3.9195,1
4.7739,1
4.8822,1
4.7536,1
4.8309,1
3.6614,1
4.8352,1
4.7372,1
4.6724,1
4.8637,1
3.5134,1
4.5235,1
4.6565,1
4.7902,1
3.5132,1
4.7327,1
5.164,1
4.0222,1
4.5789,1
4.5756,1
4.949,1
4.2255,1
4.5088,1
4.7724,1
4.034,1
3.4057,1
4.9223,1
3.9256,1
4.7458,1
3.3697,1
4.7423,1
5.2593,1
4.5947,1
4.6761,1
5.3852,1
4.8347,1
3.4705,1
4.718,1
4.562,1
4.6249,1
3.4502,1
4.5135,1
5.2376,1
4.6094,1
4.8395,1
3.9223,1
4.768,1
4.3994,1
5.1195,1
4.6558,1
4.9369,1
3.2554,1
4.9862,1
4.6448,1
4.9401,1
4.8209,1
4.9757,1
3.7259,1
4.7727,1
5.3248,1
5.014,1
4.2221,1
3.09,1
4.816,1
3.9638,1
3.9587,1
3.2238,1
4.6924,1
4.8892,1
5.2293,1
4.7714,1
5.3601,1
3.9494,1
3.2935,1
4.9815,1
4.8771,1
3.9996,1
3.4854,1
4.6142,1
4.6408,1
4.0285,1
3.521,1
4.679,1
4.9429,1
4.0859,1
3.5354,1
4.6761,1
5.2094,1
4.9536,1
5.0599,1
4.6248,1
4.8244,1
3.2593,1
4.7344,1
3.7825,1
4.7954,1
3.2814,1
5.3843,1
3.6974,1
4.9301,1
3.458,1
3.6704,1
4.8664,1
4.7894,1
3.4088,1
4.8847,1
4.627,1
5.0227,1
3.7825,1
4.8554,1
4.6227,1
4.4865,1
4.735,1
5.1055,1
4.9631,1
3.8533,1
4.9174,1
4.8198,1
3.9552,1
4.8118,1
4.7741,1
4.9332,1
3.225,1
5.0219,1
4.9213,1
4.901,1
3.7415,1
4.9092,1
4.5918,1
5.0717,1
4.6697,1
5.2057,1
3.9916,1
3.9514,1
4.9985,1
3.6979,1
4.9257,1
4.7731,1
4.8534,1
3.8959,1
5.1388,1
3.8104,1
4.8068,1
4.865,1
3.2396,1
4.8178,1
3.9585,1
4.8495,1
3.3364,1
4.6221,1
5.065,1
4.7719,1
4.606,1
5.1144,1
5.003,1
3.5898,1
4.7996,1
4.6639,1
4.9718,1
4.069,1
4.8212,1
5.2866,1
3.7239,1
4.6674,1
4.6732,1
4.6908,1
5.3276,1
4.6254,1
4.5996,1
4.7597,1
4.6557,1
4.6067,1
4.7305,1
4.8103,1
5.0613,1
4.8907,1
4.644,1
4.7003,1
4.1411,1
4.498,1
5.2476,1
4.8997,1
4.1155,1
3.8191,1
3.4157,1
4.745,1
3.9542,1
4.8259,1
3.2317,1
4.905,1
5.1638,1
4.8336,1
4.6835,1
4.7001,1
3.7745,1
3.8406,1
5.233,1
4.6716,1
4.675,1
3.3162,1
4.6114,1
4.7952,1
4.9643,1
3.1699,1
4.6495,1
4.6919,1
4.5811,1
3.8505,1
4.6788,1
4.649,1
4.7854,1
4.8836,1
5.14,1
4.1511,1
3.4245,1
4.6152,1
4.6445,1
5.033,1
4.639,1
4.3392,1
5.0231,1
3.9525,1
4.8752,1
4.721,1
5.1136,1
3.2474,1
4.5092,1
4.5198,1
4.7879,1
3.6551,1
4.7665,1
5.2262,1
4.7847,1
5.2654,1
3.7084,1
4.7661,1
3.5683,1
4.6455,1
4.6339,1
4.7828,1
3.5508,1
4.7029,1
4.6401,1
4.9461,1
3.776,1
4.653,1
4.56,1
5.0949,1
4.8747,1
4.7321,1
4.8332,1
3.7887,1
3.6093,1
4.7895,1
4.9371,1
4.851,1
4.7009,1
4.9001,1
3.31,1
4.6264,1
5.226,1
5.0275,1
3.2677,1
4.6194,1
3.8818,1
4.8081,1
4.4727,1
4.6984,1
4.6874,1
3.8806,1
4.6167,1
5.0446,1
4.8985,1
3.3317,1
4.6459,1
4.7454,1
4.7093,1
4.7492,1
3.8146,1
5.2146,1
4.7411,1
4.6196,1
4.8685,1
4.9394,1
3.0746,1
4.7471,1
5.0803,1
4.8582,1
5.0971,1
4.8491,1
4.8995,1
3.283,1
4.9816,1
5.0711,1
4.8963,1
4.9686,1
5.118,1
5.0264,1
4.0589,1
4.7679,1
4.5336,1
4.8849,1
4.947,1
4.7541,1
5.129,1
3.4833,1
4.8483,1
4.793,1
4.0466,1
3.4358,1
4.7491,1
4.5972,1
5.2201,1
3.2736,1
4.8916,1
3.6524,1
5.0466,1
4.9164,1
5.1709,1
4.9033,1
4.2169,1
3.8991,1
3.6227,1
4.5652,1
4.9483,1
4.8236,1
4.8706,1
5.4455,1
3.6171,1
4.8666,1
4.5834,1
4.5975,1
5.0526,1
5.2632,1
4.0473,1
3.3564,1
4.6353,1
4.9738,1
3.6459,1
5.1411,1
5.1696,1
5.1155,1
2.9786,1
4.8686,1
4.8688,1
4.9549,1
5.2052,1
4.8234,1
5.0541,1
3.3232,1
4.8047,1
4.5714,1
4.7483,1
4.8481,1
4.6773,1
5.1455,1
4.4994,1
2.926,1
4.8286,1
5.0517,1
3.6184,1
4.6638,1
4.5356,1
4.9285,1
3.3895,1
3.8133,1
5.1646,1
4.0303,1
3.2003,1
4.6464,1
4.065,1
3.6818,1
4.9901,1
4.8312,1
4.8725,1
5.153,1
3.7183,1
4.8832,1
3.6208,1
5.1938,1
4.7487,1
5.2661,1
4.9821,1
3.8899,1
5.1633,1
3.8375,1
4.9443,1
5.2072,1
5.0219,1
4.8636,1
3.4097,1
4.7749,1
4.7998,1
4.653,1
5.0597,1
3.9021,1
4.52,1
5.1892,1
3.7668,1
5.137,1
4.9016,1
3.4222,1
3.6749,1
5.0544,1
5.0488,1
3.1503,1
4.7967,1
5.084,1
4.0857,1
3.419,1
4.7072,1
4.7857,1
3.9604,1
5.1085,1
4.7331,1
4.6567,2
4.5891,2
5.1864,2
3.7828,2
4.6772,2
4.8173,2
3.2969,2
4.6892,2
4.5763,2
4.9677,2
3.6877,2
4.9247,2
4.6568,2
4.8727,2
4.8597,2
4.9775,2
4.0909,2
3.2715,2
4.6833,2
5.0508,2
4.0355,2
3.205,2
5.033,2
4.9693,2
3.9835,2
3.409,2
4.6483,2
4.9284,2
3.9443,2
3.4385,2
4.9283,2
4.0889,2
4.8564,2
4.9729,2
3.5828,2
4.8255,2
5.1808,2
4.6842,2
4.772,2
5.1711,2
4.2491,2
4.1479,2
4.8254,2
4.5999,2
4.9884,2
3.9006,2
4.8336,2
3.2157,2
4.8349,2
4.9188,2
4.97,2
5.0138,2
3.8915,2
4.5678,2
4.7142,2
3.7355,2
4.7849,2
4.8995,2
3.0697,2
4.6331,2
4.8893,2
5.1556,2
3.2835,2
4.9282,2
3.8101,2
3.9453,2
3.3319,2
4.8915,2
4.9052,2
3.9414,2
3.3871,2
4.8116,2
4.9892,2
3.9001,2
4.8922,2
4.7322,2
5.1151,2
4.9577,2
4.9175,2
4.8108,2
5.5528,2
3.6535,2
4.4258,2
4.6982,2
4.8986,2
5.0148,2
5.168,2
3.9806,2
3.1721,2
4.7592,2
4.1058,2
4.7333,2
4.6841,2
4.7643,2
