frame time,Number of lights
3.7717,0
1.8201,0
3.317,0
3.5572,0
3.5575,0
3.587,0
2.2172,0
3.4406,0
3.2552,0
3.6056,0
3.857,0
2.1371,0
2.6105,0
2.6983,0
2.1269,0
3.2985,0
3.827,0
2.3486,0
3.0844,0
3.3895,0
3.1693,0
3.9905,0
2.5667,0
1.8814,0
3.3742,0
2.5708,0
3.2712,0
3.5956,0
2.6504,0
2.2857,0
3.3231,0
3.388,0
3.7593,0
3.8467,0
3.3868,0
3.3398,0
3.4968,0
3.6591,0
3.2603,0
3.8376,0
3.4351,0
3.3609,0
4.4944,0
3.0488,0
2.0741,0
2.6685,0
3.2961,0
3.5242,0
3.1402,0
3.5633,0
2.406,0
3.4011,0
3.5346,0
3.1405,0
2.2603,0
2.5635,0
3.2031,0
3.512,0
2.9629,0
2.2346,0
2.0317,0
3.2594,0
3.477,0
2.9639,0
2.8501,0
1.8493,0
2.3257,0
3.6274,0
3.3742,0
2.3592,0
3.5986,0
9.8094,0
2.0539,0
2.2355,0
2.657,0
3.1723,0
3.7856,0
3.4604,0
3.6789,0
3.3521,0
2.4284,0
3.3167,0
3.7947,0
3.489,0
3.6695,0
2.4844,0
3.0623,0
1.9264,0
3.6664,0
3.8802,0
1.8866,0
2.2482,0
2.7567,0
3.1966,0
3.8866,0
3.7572,0
2.2275,0
4.187,0
3.4639,0
3.2665,0
3.3068,0
2.6381,0
2.3962,0
2.4891,0
3.2259,0
3.7472,0
2.3347,0
2.5293,0
2.8303,0
2.1019,0
2.6828,0
3.3833,0
4.0523,0
1.9312,0
3.6174,0
3.4701,0
3.6064,0
3.6159,0
2.5825,0
3.1936,0
3.3155,0
3.6982,0
3.497,0
2.2272,0
2.6979,0
3.2803,0
3.8111,0
3.9506,0
2.2021,0
2.2916,0
2.6349,0
3.3069,0
4.0257,0
2.5527,0
2.3163,0
2.2816,0
3.4545,0
3.6178,0
3.9381,0
2.282,0
2.3505,0
2.4303,0
3.4308,0
3.4748,0
3.8014,0
2.5671,0
2.4509,0
2.3365,0
3.8355,0
2.7165,0
3.3326,0
2.1781,0
3.4949,0
3.6163,0
3.3298,0
3.478,0
2.2794,0
3.1745,0
3.832,0
3.328,0
3.5749,0
2.2468,0
3.3843,0
3.4411,0
3.4863,0
3.9986,0
2.1251,0
2.1555,0
3.6067,0
2.5095,0
3.6225,0
3.6909,0
2.0441,0
3.4253,0
2.6826,0
3.2504,0
3.8718,0
2.3738,0
2.224,0
2.5049,0
2.3725,0
3.5984,0
3.5911,0
2.3269,0
2.6195,0
3.2845,0
3.4047,0
2.6525,0
3.4153,0
2.4112,0
3.4331,0
3.7655,0
3.3646,0
3.6377,0
2.342,0
2.4099,0
3.3726,0
3.2856,0
4.3454,0
1.9953,0
2.2661,0
3.3763,0
3.2743,0
3.5824,0
4.3526,0
2.0079,0
2.6459,0
2.6279,0
2.627,0
2.3359,0
3.4674,0
2.5233,0
2.7259,0
2.2601,0
3.2178,0
3.9501,0
2.0782,0
2.5522,0
2.5389,0
3.2207,0
4.0575,0
3.6142,0
2.0647,0
3.2714,0
3.9038,0
3.5932,0
3.5391,0
2.8279,0
3.175,0
3.2949,0
3.6044,0
3.8454,0
2.3474,0
2.5792,0
3.3354,0
3.926,0
3.7992,0
2.3018,0
2.3232,0
2.047,0
3.6523,0
2.5858,0
3.5888,0
2.3104,0
2.7718,0
2.5903,0
3.1467,0
3.8827,0
3.3266,0
2.1148,0
2.6435,0
3.2766,0
3.4929,0
3.9943,0
1.9698,0
2.3403,0
2.4949,0
2.5115,0
2.1406,0
3.8062,0
3.3437,0
5.8767,0
1.9083,0
1.8285,0
1.8274,0
2.3594,0
3.2495,0
2.7807,0
2.3433,0
3.3387,0
3.282,0
4.1497,0
3.7967,0
3.143,0
3.6932,0
3.6848,0
2.4722,0
2.2909,0
2.1824,0
3.2941,0
3.3902,0
4.5098,0
1.5056,0
2.2552,0
2.6216,0
3.1019,0
3.8592,0
3.7829,0
1.8983,0
3.289,0
3.3403,0
3.2884,0
3.8166,0
2.5714,0
2.1637,0
2.4726,0
3.5234,0
3.8675,0
3.4456,0
2.1725,0
3.5551,0
3.8206,0
3.5257,0
3.7881,0
2.0389,0
2.5159,0
3.3167,0
3.3792,0
3.8199,0
2.0356,0
2.1223,0
3.5775,0
3.4653,0
3.7728,0
3.3311,0
2.1525,0
3.4404,0
2.9965,0
3.109,0
3.8966,0
1.9734,0
2.3269,0
3.757,0
3.2238,0
2.6032,0
3.5776,0
2.2481,0
3.2664,0
3.3185,0
3.6334,0
3.6405,0
2.4596,0
3.3116,0
3.1277,0
3.4161,0
3.9215,0
2.1078,0
2.3663,0
3.6951,0
3.2414,0
3.8323,0
3.4497,0
2.4942,0
3.3236,0
3.8578,0
3.9081,0
3.3619,0
2.4366,0
3.144,0
3.3596,0
3.3277,0
3.758,0
1.9591,0
2.4792,0
3.3469,0
3.276,0
3.9541,0
2.1585,0
2.2318,0
3.2402,0
3.3107,0
3.7627,0
3.384,0
2.09,0
3.509,0
3.2365,0
3.9056,0
3.6435,0
1.8169,0
3.269,0
3.3891,0
3.5188,0
3.6308,0
1.9124,0
2.6399,0
3.1737,0
3.9199,0
3.6346,0
3.417,0
2.2992,0
2.416,0
3.2731,0
3.4917,0
3.3351,0
2.5997,0
2.4425,0
3.1839,0
3.5165,0
3.584,0
3.5946,0
3.4002,0
3.4415,0
3.3192,0
3.7912,0
3.1906,0
3.3771,0
3.7959,0
3.2232,0
3.9506,0
2.1213,0
2.1694,0
4.4602,0
1.8973,0
3.4458,0
3.6447,0
2.0826,0
3.4773,0
2.6138,0
3.2226,0
3.7908,0
2.2268,0
3.9824,0
2.5134,0
3.1904,0
4.065,0
1.7652,0
2.4342,0
3.5248,0
3.2292,0
3.46,0
4.3707,0
2.0624,0
3.2916,0
3.5455,0
3.5715,0
3.2701,0
2.6701,0
3.149,0
3.2741,0
3.4019,0
3.7429,0
3.5238,0
2.4233,0
3.5778,0
3.2184,0
3.5853,0
2.9878,0
2.4629,0
2.1442,0
3.5996,0
3.4086,0
3.589,0
2.2286,0
2.2977,0
3.2017,0
3.3659,0
3.798,0
3.035,0
3.4034,0
3.208,0
3.549,0
3.689,0
3.0483,0
3.6257,0
3.4427,0
3.4267,0
3.447,0
2.4299,0
3.3638,0
3.48,0
3.5615,0
3.6877,0
3.2317,0
3.6666,0
3.4349,0
3.514,0
3.4653,0
2.4425,0
3.2027,0
3.7974,0
3.3921,0
3.0289,0
1.8128,0
2.6732,0
3.2032,0
3.5151,0
3.4898,0
3.6594,0
2.1358,0
3.2556,0
3.5318,0
3.493,0
3.4661,0
2.4497,0
3.2641,0
3.8646,0
3.3789,0
3.5171,0
2.1023,0
3.3897,0
3.372,0
3.2139,0
3.7205,0
2.3368,0
2.3545,0
2.4367,0
3.2622,0
3.4908,0
3.3505,0
2.3944,0
2.5239,1
3.4869,1
3.8737,1
3.2285,1
3.5967,1
3.3937,1
