frame time,Number of lights
4.1587,0
4.3757,0
4.2182,0
4.2104,0
4.1569,0
4.4338,0
3.8473,0
4.0337,0
3.8054,0
4.224,0
4.6302,0
4.2132,0
3.9513,0
4.3113,0
4.3184,0
4.7862,0
3.5775,0
4.0884,0
3.8152,0
4.3669,0
3.7859,0
4.2872,0
4.3429,0
4.2443,0
4.1663,0
4.0768,0
3.81,0
4.0513,0
4.3697,0
3.9961,0
4.9396,0
3.8021,0
4.0795,0
4.4411,0
4.1793,0
4.4447,0
3.9164,0
4.186,0
3.9777,0
3.8359,0
4.0568,0
4.6015,0
4.0832,0
4.2164,0
4.1141,0
4.3288,0
4.3115,0
4.1875,0
4.2027,0
5.1872,0
3.6222,0
4.0998,0
4.0796,0
4.228,0
3.4775,0
4.2151,0
4.118,0
4.6395,0
3.8362,0
3.8772,0
3.9108,0
4.7366,0
3.8719,0
4.2098,0
4.1332,0
4.181,0
4.3512,0
4.2485,0
4.4704,0
3.8358,0
3.8048,0
4.0577,0
4.1994,0
4.2237,0
4.3493,0
4.196,0
4.2206,0
4.0174,0
3.8392,0
4.0997,0
4.0956,0
3.9142,0
3.9749,0
4.0344,0
4.0957,0
4.2587,0
3.6491,0
4.0347,0
4.0735,0
4.1983,0
3.6588,0
3.6618,0
4.3194,0
4.0853,0
3.9733,0
3.6758,0
4.2763,0
4.0116,0
4.1025,0
3.6417,0
4.2748,0
3.989,0
4.3388,0
4.1526,0
4.5205,0
4.0922,0
4.0832,0
3.5962,0
4.3499,0
4.0091,0
4.2524,0
4.3345,0
4.4465,0
4.0431,0
4.4277,0
4.3583,0
4.3084,0
3.9817,0
3.9764,0
3.8725,0
4.1114,0
3.9469,0
4.3347,0
4.3575,0
4.2976,0
4.348,0
3.8995,0
3.8535,0
4.0922,0
3.9979,0
4.1619,0
4.5823,0
4.1013,0
4.0553,0
4.3986,0
3.8581,0
3.9526,0
3.8904,0
4.2406,0
4.5877,0
4.147,0
4.1407,0
4.5409,0
4.0314,0
4.2344,0
4.1159,0
4.4706,0
4.0307,0
4.2829,0
4.2229,0
4.1631,0
3.8636,0
3.9907,0
4.0301,0
4.2738,0
4.3044,0
4.2414,0
4.259,0
4.1662,0
3.8805,0
3.8562,0
4.3502,0
4.1979,0
4.4007,0
4.1126,0
4.2924,0
4.166,0
4.2746,0
4.2039,0
4.2301,0
4.3072,0
3.6916,0
3.9574,0
4.0591,0
4.219,0
4.5783,0
4.1526,0
4.0398,0
4.3821,0
4.1271,0
4.281,0
4.2317,0
4.1216,0
3.8146,0
4.0613,0
4.1298,0
4.1326,0
3.8911,0
4.1202,0
3.8191,0
4.0344,0
4.0362,0
3.965,0
3.9637,0
4.264,0
3.8384,0
3.9695,0
4.0024,0
4.469,0
3.6259,0
3.6389,0
4.1722,0
4.213,0
3.9333,0
3.7756,0
4.0528,0
4.1011,0
4.1557,0
3.6194,0
4.0819,0
4.1417,0
4.3748,0
4.3548,0
4.3442,0
4.0117,0
4.0207,0
3.7301,0
4.2478,0
4.1567,0
4.3504,0
4.5436,0
4.0844,0
4.1685,0
3.9714,0
4.3419,0
4.2508,0
4.2205,0
4.1127,0
3.661,0
4.3205,0
4.1215,0
4.4977,0
4.3045,0
4.138,0
3.9179,0
4.1417,0
3.8497,0
4.0363,0
4.0615,0
4.3897,0
4.4284,0
4.2346,0
4.07,0
4.0397,0
3.9301,0
4.0265,0
4.0474,0
4.3802,0
3.5751,0
4.0555,0
3.9575,0
4.2786,0
3.7566,0
4.0788,0
4.2107,0
4.0898,0
3.6802,0
3.687,0
4.3757,0
3.9529,0
3.8619,0
3.6665,0
4.3897,0
4.0454,0
3.9771,0
3.6715,0
4.9037,0
3.6203,0
3.955,0
3.8476,0
4.202,0
3.9311,0
4.1582,0
4.6918,0
4.1405,0
4.028,0
4.1564,0
4.4679,0
4.6081,0
4.046,0
3.8461,0
3.8122,0
4.1281,0
3.9289,0
4.2315,0
4.909,0
3.9086,0
4.0041,0
4.4994,0
4.2511,0
4.0379,0
4.1969,0
4.1971,0
4.6005,0
3.9394,0
3.4393,0
3.9802,0
4.89,0
4.1201,0
4.169,0
3.9694,0
4.6005,0
4.2462,0
4.1032,0
3.9329,0
3.7095,0
4.2783,0
3.9221,0
4.3384,0
4.3697,0
4.3213,0
3.9826,0
4.3948,0
4.2462,0
4.3893,0
4.186,0
4.088,0
3.7387,0
4.1667,0
4.0294,0
4.4549,0
3.9877,0
4.387,0
4.0796,0
4.2608,0
3.7135,0
4.0864,0
4.3199,0
4.1514,0
4.2622,0
4.4344,0
3.8242,0
4.5288,0
4.009,0
4.3723,0
4.3835,0
4.2162,0
4.0184,0
4.402,0
