frame time,Number of lights
4.2057,0
4.0722,0
4.4017,0
3.7242,0
4.2806,0
4.2217,0
4.586,0
3.809,0
4.0315,0
4.106,0
4.4876,0
3.7027,0
4.1634,0
4.1712,0
4.4758,0
4.255,0
3.7365,0
4.1186,0
4.2649,0
4.4436,0
3.9812,0
4.019,0
4.5055,0
3.9522,0
4.1356,0
4.1813,0
4.51,0
3.858,0
4.0666,0
4.0492,0
4.5827,0
3.8935,0
4.1315,0
4.1475,0
4.5855,0
3.9888,0
3.8558,0
4.1481,0
4.1375,0
4.4093,0
4.0662,0
4.063,0
4.5323,0
3.8223,0
4.1361,0
4.2278,0
4.7851,0
3.7783,0
3.8971,0
4.0076,0
4.6576,0
3.6889,0
4.1685,0
4.2842,0
4.4133,0
3.8747,0
4.0082,0
4.6323,0
4.3909,0
3.7917,0
4.1542,0
4.191,0
4.1694,0
4.2339,0
4.0153,0
4.0886,0
4.6529,0
3.7787,0
3.9592,0
4.111,0
4.4012,0
4.0759,0
3.9786,0
4.1363,0
4.2762,0
3.9058,0
3.9574,0
4.2395,0
4.3329,0
3.9081,0
4.1116,0
4.1981,0
4.4986,0
3.8394,0
4.3219,0
3.8106,0
4.417,0
4.016,0
4.2025,0
4.1267,0
4.1868,0
3.8407,0
4.0077,0
4.0698,0
4.3677,0
3.6332,0
4.0187,0
4.0014,0
3.9437,0
4.0148,0
4.0251,0
4.0742,0
4.0155,0
4.1502,0
4.108,0
4.04,0
4.165,0
4.3875,0
4.2412,0
4.3021,0
4.2861,0
4.3415,0
4.069,0
4.094,0
4.1307,0
3.7626,0
3.9987,0
4.0149,0
4.073,0
4.2544,0
4.1397,0
4.2076,0
4.1842,0
4.2607,0
4.0264,0
4.2772,0
4.2825,0
4.1728,0
4.1441,0
4.309,0
4.6238,0
3.9995,0
3.9226,0
4.0159,0
4.2182,0
4.2727,0
4.0747,0
4.033,0
4.5166,0
3.8705,0
4.1269,0
4.0576,0
4.2903,0
4.1328,0
4.1534,0
4.0912,0
4.3178,0
4.2394,0
4.0153,0
4.2446,0
4.2389,0
4.3708,0
4.0253,0
4.7237,0
4.0799,0
4.161,0
4.0512,0
4.4184,0
3.9038,0
3.8026,0
3.9309,0
4.5223,0
3.7067,0
4.2478,0
4.1723,0
4.4086,0
4.0327,0
3.9755,0
4.1707,0
4.1493,0
4.0245,0
3.804,0
6.8429,0
4.0569,0
4.19,0
3.7158,0
4.0039,0
4.054,0
3.9553,0
4.2884,0
3.8593,0
4.0499,0
4.0292,0
