frame time,Number of lights
4.0825,0
4.049,0
3.7874,0
3.9571,0
3.8817,0
4.2464,0
4.0859,0
3.7663,0
4.1219,0
4.2166,0
4.1625,0
3.5964,0
3.8736,0
4.01,0
4.5023,0
3.5771,0
3.9958,0
4.1629,0
4.1662,0
3.7415,0
3.9967,0
4.0857,0
4.2777,0
3.8446,0
3.9899,0
3.9974,0
4.2742,0
4.0604,0
3.6113,0
4.1052,0
3.7784,0
3.8777,0
4.1786,0
4.0739,0
3.9205,0
4.2033,0
3.9459,0
4.0289,0
4.0264,0
4.1283,0
3.8078,0
4.1842,0
4.2221,0
4.0927,0
3.8465,0
4.2328,0
3.7068,0
4.939,0
3.7451,0
3.9219,0
4.2467,0
4.117,0
3.7803,0
3.9599,0
4.2585,0
4.0612,0
3.8118,0
4.0507,0
3.9893,0
4.3919,0
3.6258,0
3.9393,0
4.1733,0
4.2218,0
4.9087,0
3.7624,0
3.9789,0
5.3051,0
2.8309,0
3.9739,0
3.756,0
4.2698,0
3.7425,0
4.4303,0
3.6788,0
4.3561,0
3.7878,0
4.0935,0
4.0191,0
4.0258,0
4.0866,0
3.7136,0
4.1548,0
3.8767,0
4.1289,0
3.8301,0
4.1224,0
4.1492,0
3.8491,0
4.0597,0
4.0186,0
4.1949,0
4.2983,0
3.5193,0
4.5102,0
3.6628,0
4.026,0
4.3434,0
4.6327,0
3.6536,0
4.149,0
3.9354,0
4.0924,0
3.9452,0
4.1115,0
3.8339,0
4.3783,0
3.9297,0
3.8227,0
4.2316,0
3.9486,0
4.2074,0
4.1183,0
4.0155,0
4.7881,0
3.8656,0
4.0802,0
4.1037,0
4.2628,0
3.7283,0
4.3837,0
4.083,0
3.5986,0
4.2138,0
4.1643,0
4.3622,0
4.0999,0
3.9695,0
3.927,0
4.449,0
3.6116,0
3.8468,0
4.1898,0
4.1327,0
3.7458,0
4.2178,0
4.3614,0
4.1922,0
3.6234,0
4.2582,0
4.1512,0
4.3518,0
3.9489,0
4.0262,0
4.4125,0
4.2744,0
3.6196,0
3.8456,0
3.8733,0
3.947,0
4.1458,0
3.7138,0
3.9459,0
4.6887,0
3.7663,0
4.2018,0
4.1959,0
4.8645,0
3.692,0
4.3647,0
3.8561,0
3.8847,0
4.1402,0
4.0003,0
4.1644,0
5.065,0
3.7957,0
4.1055,0
4.5444,0
4.5002,0
3.9033,0
3.9735,0
3.6636,0
3.9884,0
4.2202,0
4.1362,0
3.6125,0
3.9602,0
4.4343,0
3.8903,0
4.2287,0
3.91,0
4.4404,0
3.8291,0
4.7278,0
