frame time,Number of lights
3.9892,0
4.3896,0
3.8061,0
3.7984,0
4.2309,0
4.1176,0
3.953,0
4.0535,0
4.0885,0
3.6023,0
4.0821,0
4.5136,0
3.611,0
4.3345,0
3.9037,0
3.506,0
4.4736,0
3.8866,0
3.9235,0
4.2941,0
4.1309,0
3.5256,0
4.4802,0
3.5682,0
4.0137,0
4.1276,0
3.7488,0
4.1251,0
3.981,0
3.9618,0
4.193,0
3.9726,0
4.0287,0
4.0754,0
4.0302,0
4.2821,0
3.9148,0
4.3,0
3.5247,0
4.4135,0
3.8303,0
3.7762,0
4.2928,0
4.2077,0
3.7679,0
4.1488,0
4.7628,0
4.201,0
4.0144,0
3.9284,0
4.1173,0
3.7895,0
3.9925,0
4.1439,0
3.7299,0
3.8213,0
4.2793,0
3.7618,0
4.1495,0
4.2737,0
3.9216,0
3.8221,0
3.7953,0
4.0949,0
4.0499,0
4.0147,0
3.8473,0
4.1851,0
4.2172,0
3.5239,0
4.4365,0
4.3879,0
4.0028,0
3.6265,0
3.8991,0
3.9925,0
4.2049,0
3.974,0
3.9622,0
3.9516,0
4.3071,0
3.9934,0
3.9876,0
4.3404,0
3.4515,0
4.1955,0
4.0673,0
3.6451,0
4.0763,0
4.4155,0
3.6444,0
4.0209,0
4.5057,0
3.8627,0
3.7788,0
3.9125,0
4.0768,0
4.284,0
3.6929,0
4.1793,0
3.8893,0
4.1696,0
4.0299,0
4.3752,0
4.1733,0
4.7182,0
3.7821,0
4.1008,0
3.453,0
4.1403,0
4.3242,0
3.4001,0
4.0869,0
4.1416,0
4.2035,0
3.664,0
4.2324,0
3.8397,0
4.1479,0
3.9516,0
3.8412,0
4.3438,0
3.9469,0
3.5823,0
4.4653,0
3.8312,0
4.4342,0
3.4827,0
4.3942,0
3.7515,0
4.4113,0
3.9115,0
3.5883,0
3.7772,0
4.5277,0
3.66,0
4.3019,0
3.7323,0
3.9815,0
4.0775,0
4.0946,0
3.8119,0
4.4503,0
3.8644,0
3.6612,0
4.5154,0
3.8156,0
4.1771,0
3.6781,0
4.0876,0
4.0438,0
4.0341,0
4.461,0
3.5135,0
4.3249,0
3.9924,0
3.6358,0
4.082,0
4.1309,0
3.8081,0
4.7457,0
4.3142,0
3.9542,0
4.099,0
4.0907,0
3.8573,0
4.0973,0
4.2825,0
3.7762,0
4.022,0
4.0527,0
4.0345,0
4.2264,0
3.8758,0
4.1543,0
4.154,0
3.921,0
4.0511,0
3.895,0
4.3384,0
3.6632,0
3.6247,0
3.806,0
3.9277,0
4.4324,0
3.7525,0
4.0189,0
4.274,0
4.2394,0
3.5714,0
4.0639,0
4.051,0
3.9407,0
4.4844,0
4.6199,0
3.9059,0
4.6483,0
3.4324,0
3.9492,0
3.899,0
4.063,0
4.1404,0
4.0505,0
4.2778,0
4.2143,0
3.8244,0
4.0182,0
3.7939,0
3.7989,0
4.0942,0
4.0585,0
3.8805,0
3.8875,0
4.182,0
3.6899,0
4.4403,0
4.0419,0
3.8241,0
4.0877,0
3.9493,0
3.8584,0
3.9494,0
4.1713,0
3.9074,0
4.1809,0
4.0592,0
4.4205,0
4.6466,0
4.0027,0
4.2031,0
3.9315,0
4.11,0
3.6868,0
4.2735,0
4.7094,0
3.8878,0
4.3683,0
3.6132,0
3.9388,0
4.0397,0
4.064,0
4.1916,0
3.8567,0
4.0249,0
3.9465,0
4.116,0
4.155,0
3.6716,0
4.1603,0
4.1552,0
3.9084,0
4.0021,0
4.0642,0
3.8791,0
4.0755,0
4.2532,0
3.6536,0
4.0483,0
4.4498,0
3.4952,0
4.3889,0
3.8538,0
4.1396,0
3.9676,0
4.1363,0
3.5692,0
4.4987,0
3.6601,0
3.8839,0
4.2869,0
4.0008,0
4.1092,0
4.0891,0
4.0862,0
3.4674,0
3.9756,0
4.3458,0
4.0914,0
4.6997,0
4.0888,0
4.1476,0
4.0808,0
3.6908,0
4.1237,0
4.0292,0
3.9525,0
4.1661,0
3.9691,0
3.845,0
4.0929,0
4.0326,0
4.253,0
3.5192,0
4.1913,0
3.9431,0
3.9462,0
4.5124,0
4.6782,0
4.3373,0
3.5974,0
4.5922,0
3.9227,0
3.8066,0
3.6899,0
3.8844,0
4.1357,0
4.0303,0
3.8504,0
4.0572,0
4.1815,0
3.7339,0
4.4096,0
3.8262,0
3.7555,0
4.15,0
4.2071,0
4.2889,0
3.4349,0
3.8987,0
3.9812,0
4.1338,0
4.4279,0
3.6374,0
4.3041,0
4.1187,0
3.5049,0
4.2467,0
3.761,0
4.1896,0
3.6536,0
12.2536,0
2.1108,0
1.6534,0
1.2802,0
3.8602,0
3.9835,0
4.767,0
3.8026,0
3.9157,0
3.9182,0
3.9799,0
3.9634,0
4.1282,0
4.0424,0
4.0928,0
4.0854,0
3.5953,0
3.8674,0
4.3689,0
3.9102,0
3.6438,0
4.3137,0
3.8421,0
4.1624,0
4.1204,0
3.7715,0
3.8842,0
4.2697,0
4.0381,0
4.1123,0
3.8925,0
4.0222,0
4.3444,0
5.022,0
3.6562,0
4.7235,0
3.4427,0
4.0788,0
4.0985,0
4.9542,0
3.6337,0
3.9146,0
4.267,0
4.0114,0
3.7079,0
4.2815,0
3.9665,0
4.5358,0
3.372,0
4.269,0
3.8181,0
4.1033,0
4.0044,0
3.7711,0
4.1724,0
3.7453,0
4.3244,0
4.1256,0
3.9213,0
3.8333,0
4.2828,0
3.5432,0
4.0366,0
4.2519,0
4.2717,0
3.579,0
3.9227,0
4.3089,0
4.2269,0
3.7864,0
4.2325,0
3.7844,0
4.0309,0
4.0482,0
3.9818,0
4.1352,0
4.3926,0
3.6762,0
4.0664,0
3.8666,0
3.9853,0
4.0969,0
3.9849,0
3.6217,0
4.2337,0
3.9376,0
3.8252,0
4.0479,0
4.123,0
4.5073,0
3.5306,0
4.2077,0
3.6449,0
4.5889,0
3.7089,0
3.6634,0
4.4143,0
3.9581,0
3.7327,0
4.2257,0
4.0098,0
4.0206,0
4.1507,0
4.3003,0
3.4899,0
4.1896,0
3.9503,0
3.9553,0
3.8488,0
4.2516,0
4.0569,0
3.9269,0
4.0872,0
3.593,0
4.2282,0
3.9706,0
3.7147,0
4.3473,0
4.2703,0
3.5096,0
4.6579,0
3.8314,0
3.6636,0
5.0729,0
3.897,0
3.8114,0
4.648,0
3.3613,0
4.0965,0
4.3971,0
3.8361,0
3.8646,0
3.9206,0
4.3334,0
3.7541,0
4.4195,0
4.1918,0
3.656,0
3.7923,0
4.104,0
3.9026,0
4.4009,0
3.9688,0
4.055,0
3.8297,0
4.33,0
3.5845,0
4.1054,0
4.2388,0
3.6325,0
4.1,0
4.4184,0
3.3658,0
4.2481,0
3.8282,0
4.0469,0
4.34,0
4.3852,0
3.9998,0
4.2546,0
4.9751,0
3.9666,0
4.0886,0
4.5593,0
3.4239,0
4.3237,0
3.6201,0
4.1275,0
4.2134,0
4.1726,0
3.6273,1
4.4376,1
3.9291,1
3.7691,1
4.0941,1
3.8583,1
4.3195,1
3.6539,1
4.1438,1
3.8237,1
4.0361,1
3.9227,1
4.0302,1
4.299,1
4.2507,1
3.7015,1
4.3186,1
3.7424,1
4.4041,1
3.9572,1
3.6695,1
3.9411,1
4.0818,1
3.9751,1
4.078,1
4.6769,1
4.2525,1
3.5273,1
4.4932,1
3.7602,1
3.9973,1
4.3385,1
4.0676,1
3.5713,1
4.1794,1
4.4389,1
3.4967,1
4.1964,1
4.0866,1
4.1416,1
3.857,1
4.1073,1
3.7165,1
4.0975,1
4.0907,1
4.0292,1
4.0859,1
3.9481,1
3.7698,1
4.0557,1
4.1543,1
4.2563,1
3.4647,1
4.2592,1
3.7136,1
4.3149,1
4.7985,1
3.8837,1
3.9163,1
4.0843,1
4.4495,1
4.6807,1
3.9742,1
4.4873,1
3.722,1
4.5236,1
3.7091,1
3.9032,1
4.106,1
3.754,1
4.2775,1
3.6183,1
4.0769,1
4.2022,1
4.2951,1
4.2544,1
3.7273,1
4.1851,1
4.4699,1
3.8385,1
4.0748,1
3.8803,1
4.3429,1
4.163,1
3.7512,1
3.708,1
4.094,1
4.3949,1
4.0507,1
3.9372,1
4.1139,1
4.5578,1
4.0201,1
4.2737,1
3.8616,1
3.7234,1
4.0788,1
3.832,1
4.1446,1
3.995,1
4.33,1
3.46,1
4.4191,1
3.8055,1
4.1971,1
3.569,1
4.1422,1
4.6922,1
3.5371,1
3.9722,1
4.1586,1
4.055,1
3.7996,1
4.1504,1
4.0323,1
3.895,1
3.9071,1
4.059,1
3.8045,1
4.1485,1
4.0301,1
4.0919,1
3.9156,1
4.0589,1
3.7849,1
4.7327,1
3.5064,1
4.1877,1
3.9365,1
4.8486,1
3.1862,1
4.0006,1
3.7543,1
4.2262,1
4.1233,1
3.8973,1
3.9635,1
4.1299,1
3.8974,1
3.8214,1
4.1333,1
4.4039,1
3.8136,1
3.9674,1
3.7889,1
3.9703,1
4.2966,1
3.8422,1
3.8553,1
3.971,1
4.4239,1
3.9604,1
3.7337,1
3.9763,1
4.7153,1
3.3939,1
3.8709,1
4.5044,1
3.8553,1
4.043,1
4.2098,1
3.807,1
4.2572,1
4.2352,1
3.6126,1
4.0394,1
3.9059,1
3.9497,1
3.7665,1
3.9814,1
4.2566,1
3.9031,1
3.7977,1
4.3051,1
3.6951,1
4.3799,1
3.8622,1
3.9826,1
3.8967,1
4.8612,1
2.9269,1
4.1497,1
4.2303,1
3.953,1
3.8069,1
3.9234,1
4.0472,1
4.5825,1
3.7551,1
3.8727,1
4.1526,1
3.947,1
4.0331,1
4.0461,1
3.9777,1
3.7804,1
4.0867,1
3.9999,1
3.9229,1
4.0833,1
4.2555,1
3.9219,1
4.0601,1
3.9405,1
4.2826,1
3.5287,1
4.0941,1
4.3305,1
4.3403,1
3.4277,1
4.2713,1
4.1252,1
3.6239,1
4.0547,1
3.8775,1
4.2801,1
4.0328,1
3.9414,1
3.9367,1
4.203,1
3.7503,1
4.0728,1
3.7896,1
4.0705,1
3.9448,1
4.1154,1
4.1891,1
3.8596,1
3.8042,1
4.5626,1
3.4534,1
4.1973,1
4.3167,1
4.276,1
3.6047,1
4.1932,1
4.5394,1
3.6571,1
3.7992,1
4.2079,1
4.3692,1
3.7168,1
3.6265,1
3.958,1
3.8983,1
3.8093,1
4.2432,1
3.8482,1
4.2095,1
3.6375,1
4.2781,1
3.8184,1
4.2166,1
3.7677,1
4.1305,1
4.2945,1
3.8136,1
3.8383,1
4.4971,1
3.7091,1
4.0432,1
3.8136,1
4.1332,1
4.4992,1
4.0653,1
4.2018,1
4.8852,1
3.0226,1
4.1418,1
4.245,1
3.8852,1
4.1139,1
3.8566,1
4.2577,1
3.8775,1
4.0024,1
4.1322,1
4.1517,1
3.958,1
4.0407,1
3.7481,1
3.9679,1
4.2971,1
4.1514,1
3.6218,1
4.5069,1
3.7322,1
3.7915,1
3.7019,1
3.9993,1
4.1295,1
4.2037,1
4.061,1
3.8603,1
3.9961,1
4.1218,1
4.1619,1
3.7422,1
4.0102,1
3.9461,1
4.4247,1
3.9384,1
4.0518,1
4.1219,1
3.8762,1
3.986,1
3.8002,1
3.9647,1
4.2113,1
3.6584,1
3.9526,1
5.1181,1
3.7367,1
4.0043,1
3.7385,1
3.8561,1
4.337,1
3.987,1
4.0402,1
3.7279,1
3.8639,1
4.7023,1
3.9562,1
4.2961,1
4.3583,1
3.355,1
4.4872,1
3.8356,1
4.1691,1
3.7732,1
4.2618,1
3.7421,1
3.9708,1
3.953,1
4.1129,1
3.8885,1
4.076,1
4.0182,1
3.8863,1
4.1598,1
3.9476,1
4.0899,1
4.4302,1
3.8171,1
3.9889,1
4.0491,1
3.8957,1
4.0096,1
4.1192,1
4.3453,1
3.565,1
3.9869,1
4.3139,1
3.6091,1
4.3965,1
4.4085,1
75.5996,1
1.2934,1
1.5076,1
2.1728,1
4.3169,1
3.6587,1
4.2129,1
3.6348,1
3.9851,1
3.9774,1
4.5798,1
3.2591,1
4.0144,1
4.024,1
4.2289,1
3.7676,1
3.9651,1
4.3368,1
4.1161,1
3.7092,1
3.9923,1
3.9141,1
4.3953,1
3.8531,1
3.731,1
4.5068,1
3.9853,1
4.0382,1
3.7903,1
4.4001,1
3.7447,1
4.1025,1
3.9139,1
3.9987,1
4.171,1
4.3261,1
3.4211,1
3.8976,1
4.411,1
4.7184,1
3.04,1
4.2045,1
4.013,1
4.2547,1
3.8098,1
3.7699,1
3.8472,1
4.6211,1
3.7835,1
3.6524,1
3.8881,1
4.3579,1
3.9941,1
3.8929,1
3.7826,1
3.9955,1
4.1411,1
3.796,1
4.1943,1
4.4421,1
4.1284,1
4.0812,1
3.7454,1
3.8021,1
4.3523,1
3.72,1
3.8189,1
4.041,1
4.409,1
3.7522,1
3.9854,1
3.9314,1
4.3887,1
3.755,1
3.8875,1
3.8923,1
4.0861,1
3.9829,1
3.8858,1
4.5335,1
3.5929,1
4.1318,1
4.108,1
4.1687,1
3.7285,1
4.1636,1
3.8592,1
3.887,1
4.1647,1
4.3423,1
3.5233,1
4.3285,1
3.8446,1
4.2268,1
3.7727,1
4.2993,1
3.6156,1
4.6998,1
3.2198,1
4.0518,1
4.0233,1
4.2715,1
3.9523,1
3.6378,1
4.3111,1
3.8497,1
4.3175,1
3.7623,1
4.056,1
3.9859,1
4.1878,1
3.5639,1
3.9521,1
4.6234,1
4.2938,1
3.4611,1
4.3294,1
3.9943,1
4.1834,1
3.604,1
3.6369,1
4.1627,1
4.1875,1
3.7685,1
3.9901,1
4.1243,1
4.1613,1
3.8403,1
3.949,1
3.9118,1
4.1095,1
4.1427,1
4.2135,1
3.949,1
3.8466,1
4.248,1
3.867,1
3.8603,1
4.2971,1
4.3323,1
3.5605,1
4.0061,1
3.8304,1
4.2734,1
3.9741,2
4.0536,2
4.061,2
3.9893,2
4.276,2
3.8902,2
3.8642,2
4.4847,2
3.8221,2
3.6675,2
4.3752,2
3.5335,2
4.6218,2
3.7664,2
4.2057,2
3.5476,2
4.4999,2
3.3799,2
4.0511,2
4.3624,2
4.1488,2
3.5749,2
3.8625,2
4.8989,2
3.4025,2
4.4208,2
3.583,2
4.0925,2
4.2292,2
4.1209,2
3.5894,2
3.96,2
4.0569,2
4.3445,2
3.7905,2
4.0637,2
3.879,2
4.3522,2
3.5655,2
3.9794,2
3.8045,2
4.7048,2
3.4394,2
4.3008,2
4.0545,2
4.1671,2
3.9583,2
3.6607,2
3.9369,2
4.1497,2
4.1277,2
3.7464,2
3.8914,2
4.3306,2
4.08,2
3.7838,2
3.9653,2
