frame time,Number of lights
4.9908,0
3.1958,0
3.8552,0
4.5648,0
3.8582,0
3.8822,0
3.8583,0
3.799,0
3.9323,0
3.9568,0
4.0824,0
4.0997,0
3.9448,0
4.0999,0
4.1086,0
3.8024,0
3.998,0
4.4753,0
3.6873,0
4.0911,0
3.9357,0
4.2962,0
3.8416,0
3.9095,0
3.8613,0
4.417,0
3.59,0
3.9939,0
4.0202,0
4.1194,0
3.8377,0
4.0388,0
3.9472,0
4.5716,0
3.5681,0
3.9368,0
3.9624,0
4.3265,0
4.002,0
3.7736,0
4.0454,0
4.0784,0
4.4907,0
3.7217,0
4.1079,0
3.8244,0
4.204,0
3.5892,0
4.2571,0
3.9884,0
4.3069,0
3.6589,0
4.0973,0
3.9833,0
9.3813,0
1.4444,0
1.3871,0
4.421,0
4.3512,0
3.7147,0
4.0223,0
4.0917,0
4.1043,0
4.1703,0
3.8744,0
4.027,0
4.16,0
4.0558,0
3.6863,0
3.8893,0
4.1344,0
4.2123,0
3.585,0
4.4499,0
3.7406,0
4.4618,0
3.4697,0
3.9615,0
4.2536,0
4.3303,0
3.4275,0
4.4854,0
3.7126,0
4.5887,0
3.5089,0
4.3215,0
3.8393,0
3.8232,0
4.5365,0
4.6222,0
3.6033,0
4.6404,0
3.445,0
4.3739,0
3.8972,0
3.9325,0
4.0151,0
3.7438,0
3.9572,0
4.1241,0
4.3812,0
3.9622,0
3.7654,0
4.2236,0
4.2722,0
3.4518,0
4.1025,0
3.9901,0
4.4032,0
3.5179,0
3.9503,0
4.2386,0
4.3241,0
3.7494,0
3.8825,0
4.1512,0
4.46,0
3.4313,0
4.0621,0
3.9914,0
3.9917,0
5.3466,0
3.3963,0
4.2007,0
4.1611,0
4.4337,0
4.786,0
3.6922,0
4.6127,0
3.4611,0
3.9922,0
3.9068,0
4.0864,0
4.4245,0
4.2186,0
4.2508,0
4.4615,0
3.4729,0
4.4882,0
3.8154,0
4.1242,0
4.1177,0
3.9386,0
3.8173,0
4.2174,0
3.9994,0
3.6035,0
4.4458,0
3.8383,0
4.502,0
3.5664,0
3.841,0
3.7898,0
4.3101,0
3.67,0
3.8744,0
4.1242,0
4.4337,0
3.4282,0
4.5051,0
3.9498,0
4.4432,0
3.7419,0
4.0125,0
3.9446,0
3.9248,0
4.1175,0
3.7688,0
4.1009,0
4.3347,0
3.7009,0
4.1592,0
4.0055,0
3.6948,0
4.334,0
3.9653,0
4.0039,0
4.0144,0
4.0475,0
3.6093,0
4.1869,0
4.0379,0
4.104,0
4.1293,0
4.1962,0
3.5031,0
4.5288,0
3.8944,0
3.7103,0
4.1534,0
4.4054,0
3.4529,0
3.9774,0
4.5011,0
3.5546,0
4.3731,0
3.8241,0
3.7718,0
4.5794,0
3.6136,0
3.6739,0
4.4165,0
4.0088,0
4.2144,0
3.8082,0
3.9535,0
3.956,0
4.3074,0
3.7076,0
3.9251,0
4.0781,0
4.3939,0
3.5583,0
4.1876,0
3.8792,0
4.4412,0
3.6139,0
3.9407,0
3.9756,0
4.0776,0
3.8744,0
3.8754,0
4.2456,0
4.1597,0
4.0804,0
3.7868,0
3.8956,0
3.9748,0
4.2141,0
4.0418,0
3.7096,0
3.9887,0
4.1667,0
3.6393,0
4.4954,0
4.0205,0
4.2256,0
3.6868,0
4.2454,0
3.8788,0
4.2685,0
3.6972,0
3.9689,0
3.9348,0
4.2375,0
4.4041,0
4.331,0
4.3592,0
4.0649,0
3.6961,0
3.9706,0
3.9878,0
4.1432,0
4.0729,0
3.9106,0
3.996,0
4.1864,0
4.283,0
3.5507,0
4.0667,0
3.9613,0
4.2505,0
3.9896,0
3.5962,0
4.2708,0
4.194,0
3.6755,0
4.0818,0
3.9322,0
4.2993,0
3.6172,0
4.1926,0
3.8505,0
4.5493,0
3.7265,0
3.6896,0
4.4158,0
4.0566,0
4.6749,0
4.0849,0
4.2536,0
4.6791,0
3.1158,0
3.6408,0
4.0831,0
4.2387,0
4.1934,0
3.7449,0
4.0194,0
4.197,0
3.9797,0
3.7692,0
4.2466,0
3.901,0
3.9876,0
5.1088,0
2.8236,0
4.2028,0
4.0594,0
3.6514,0
4.2284,0
3.9448,0
4.4806,0
3.4459,0
4.2913,0
3.7432,0
4.4464,0
3.4988,0
4.0671,0
4.2335,0
3.9701,0
3.8636,0
3.9839,0
4.2032,0
3.9301,0
4.0848,0
4.0804,0
3.8732,0
4.0053,0
4.2277,0
3.8024,0
4.0446,0
4.0301,0
4.1268,0
3.8097,0
4.0176,0
4.0389,0
4.5975,0
3.651,0
3.9484,0
4.5017,0
3.5403,0
3.9392,0
4.2436,0
3.7815,0
3.9847,0
4.482,0
4.3415,0
3.9765,0
3.9717,0
4.4917,0
4.0371,0
4.0956,0
4.3705,0
4.4926,0
4.1907,0
3.9134,0
3.7516,0
4.518,0
4.0358,0
3.9841,0
4.4758,0
4.142,0
3.7745,0
3.9869,0
3.9647,0
4.1181,0
3.883,0
4.0492,0
4.179,0
4.2252,0
3.5767,0
4.0201,0
3.8881,0
4.3154,0
3.7695,0
