frame time,Number of lights
4.1011,0
4.1633,0
4.4108,0
4.1328,0
4.0531,0
3.8518,0
4.7924,0
3.8932,0
3.7334,0
4.1228,0
4.3024,0
4.3123,0
4.2324,0
3.8055,0
4.2938,0
4.1843,0
3.978,0
3.9219,0
4.0093,0
4.1057,0
3.5539,0
3.9895,0
3.9707,0
4.0876,0
3.8478,0
4.0958,0
4.1439,0
3.9948,0
3.7645,0
4.0262,0
4.0972,0
4.6351,0
3.4851,0
3.9407,0
4.0553,0
4.1059,0
3.9017,0
4.4473,0
3.6785,0
4.4847,0
3.9019,0
4.0996,0
3.8507,0
4.6555,0
3.9149,0
4.2098,0
3.7497,0
4.4644,0
3.9212,0
3.7288,0
4.2036,0
4.1154,0
4.0513,0
3.904,0
3.6838,0
4.328,0
4.0814,0
3.6275,0
4.1476,0
4.1797,0
4.3128,0
3.7325,0
4.0894,0
3.9314,0
4.4224,0
3.6241,0
3.9309,0
4.1419,0
4.3587,0
3.4271,0
4.0586,0
4.3477,0
3.746,0
4.0554,0
3.8627,0
3.9835,0
4.0134,0
4.2667,0
3.6444,0
4.3828,0
3.8972,0
4.1055,0
3.7344,0
3.9766,0
3.9653,0
4.2866,0
3.6186,0
4.0709,0
4.1876,0
4.26,0
3.5241,0
4.1215,0
4.1173,0
4.7386,0
3.0884,0
4.3316,0
3.9925,0
3.8546,0
3.9021,0
3.9532,0
4.1893,0
3.905,0
4.0835,0
4.1361,0
3.9669,0
4.0204,0
4.1646,0
3.785,0
3.7394,0
4.3217,0
4.0506,0
3.7245,0
4.2166,0
4.0206,0
4.0713,0
3.5835,0
4.3464,0
3.8026,0
4.5135,0
3.5967,0
4.0508,0
4.1527,0
3.9121,0
4.1179,0
3.7518,0
4.2154,0
4.6365,0
3.5523,0
4.5081,0
4.017,0
4.71,0
3.7508,0
4.2149,0
4.3366,0
4.1722,0
4.2096,0
3.8859,0
4.2362,0
4.3677,0
3.8336,0
4.0151,0
4.5113,0
4.2965,0
4.4797,0
3.9429,0
4.1301,0
4.0476,0
5.0112,0
4.0639,0
3.8662,0
4.6484,0
3.2794,0
4.2824,0
4.2015,0
4.3621,0
4.0318,0
4.2771,0
4.1081,0
4.8498,0
3.5695,0
4.058,0
4.1659,0
4.8008,0
3.4199,0
4.2321,0
3.8907,0
4.238,0
4.2566,0
4.2901,0
4.6469,0
4.558,0
3.5622,0
3.727,0
3.9881,0
4.4811,0
4.5971,0
4.0134,0
3.977,0
4.3053,0
4.1242,0
4.636,0
3.9968,0
4.5904,0
3.5721,0
4.0977,0
3.8586,0
4.5168,0
3.9569,0
4.2275,0
3.8591,0
4.2964,0
4.4249,0
4.4173,0
4.2001,0
4.5126,0
3.2709,0
4.0717,0
4.3754,0
3.7389,0
4.7817,0
4.0926,0
4.2032,0
3.9969,0
4.4324,0
4.5746,0
4.0063,0
4.3978,0
3.467,0
4.1077,0
3.872,0
4.1801,0
4.0618,0
4.2006,0
3.6694,0
4.5069,0
3.7567,0
4.2528,0
3.8482,0
3.8503,0
4.1728,0
3.8175,0
3.7606,0
4.0952,0
4.2648,0
3.6764,0
4.1573,0
4.1278,0
4.3084,0
3.7159,0
4.2092,0
4.156,0
4.5654,0
3.6911,0
4.3717,0
3.8135,0
4.7562,0
3.4255,0
4.1163,0
4.4054,0
4.4739,0
3.5377,0
4.5131,0
3.8352,0
4.9932,0
3.2968,0
4.0413,0
3.9988,0
4.6952,0
3.4765,0
3.9026,0
3.9552,0
4.0109,0
4.2144,0
3.6847,0
4.1195,0
4.5076,0
3.5776,0
3.9783,0
3.9471,0
3.9674,0
3.9893,0
4.1623,0
3.7921,0
4.0305,0
4.0017,0
3.8595,0
4.351,0
4.0838,0
4.1562,0
3.5764,0
4.0226,0
3.9295,0
4.2624,0
4.3476,0
4.0669,0
4.5924,0
4.0412,0
3.839,0
4.2928,0
3.6976,0
4.0513,0
4.3282,0
5.1418,0
3.3159,0
4.589,0
4.1643,0
3.5222,0
3.9447,0
4.1009,0
4.0125,0
3.848,0
4.3558,0
3.8142,0
4.1877,0
3.7172,0
3.9132,0
4.0914,0
4.1888,0
3.6154,0
4.1381,0
4.3363,0
3.989,0
3.7236,0
3.9816,0
3.9525,0
4.3179,0
3.5772,0
4.0705,0
4.0084,0
4.5039,0
3.7724,0
3.8783,0
4.3283,0
3.984,0
4.9539,0
3.6802,0
3.9943,0
4.5086,0
3.6359,0
3.8817,0
4.4393,0
3.8967,0
4.6036,0
4.4921,0
3.9857,0
4.5771,0
3.3914,0
3.9882,0
4.0683,0
3.9846,0
4.0192,0
3.7927,0
4.0392,0
3.9136,0
4.348,0
3.8156,0
4.1314,0
3.796,0
4.1574,0
4.306,0
12.7835,0
1.4497,0
2.1632,0
4.3764,0
3.8589,0
4.0684,0
3.8026,0
4.0499,0
4.3649,0
4.0211,0
3.6869,0
4.0992,0
3.8801,0
4.4029,0
3.5575,0
4.1212,0
4.0108,0
3.9637,0
4.2653,0
3.9511,0
3.7909,0
4.4722,0
4.0162,0
3.816,0
3.867,0
4.7474,0
4.2077,0
3.9649,0
4.0757,0
4.2596,0
4.1045,0
3.6193,0
4.3371,0
4.0191,0
4.3275,0
4.1662,0
3.9821,0
4.2094,0
4.142,0
3.8753,0
4.029,0
4.0398,0
4.4185,0
3.7095,0
3.8728,0
4.0002,0
4.5192,0
3.5651,0
4.2161,0
3.9873,0
4.2574,0
3.8909,0
4.2806,0
4.2128,0
4.4412,0
3.785,0
3.7397,0
4.3575,0
4.2715,0
3.9644,0
6.7122,0
2.19,0
4.2853,0
3.6452,0
4.1156,0
3.761,0
4.3692,0
3.6551,0
4.0138,0
4.3152,0
3.96,0
3.7767,0
4.2355,0
3.697,0
4.1425,0
3.9712,0
4.2404,0
3.9092,0
3.9346,0
3.9666,0
4.0889,0
3.8733,0
3.7628,0
4.1313,0
4.1381,0
3.8559,0
4.1424,0
4.2348,0
3.7374,0
3.8277,0
4.4276,0
4.1854,0
3.5203,0
4.3411,0
3.8214,0
3.9956,0
4.7469,0
4.4338,0
3.9748,0
3.8074,0
4.6169,0
4.4643,0
3.878,0
4.6076,0
3.6484,0
4.0349,0
3.6566,0
4.4025,0
4.391,0
4.3839,0
4.0838,0
3.8937,0
4.4958,0
3.9818,0
4.2929,0
4.2645,0
4.0331,0
4.2021,0
3.8104,0
3.9272,0
4.3218,0
4.2205,0
3.9129,0
4.053,0
3.8787,0
3.917,0
4.1168,0
3.6802,0
4.0485,0
4.1049,0
3.9287,0
3.9696,0
4.1224,0
3.8735,0
4.2083,0
3.9654,0
3.9726,0
3.7572,0
4.2077,0
3.868,0
4.5054,0
3.7524,0
3.9937,0
3.9267,0
4.5025,0
3.3998,0
4.1814,0
3.8237,0
4.0263,0
3.9904,0
4.1135,0
4.0909,0
4.1193,0
3.9553,0
3.9891,0
3.819,0
3.9829,0
4.4779,0
3.6082,0
4.2281,0
3.99,1
4.0821,1
4.3888,1
3.5587,1
3.9119,1
3.9901,1
5.1161,1
3.199,1
4.0646,1
3.9553,1
3.9851,1
5.111,1
3.8672,1
4.0906,1
4.7017,1
3.26,1
3.9186,1
3.9835,1
4.1308,1
3.7153,1
3.9644,1
3.8915,1
4.5204,1
4.0236,1
3.8686,1
4.9734,1
3.8875,1
3.6715,1
3.696,1
4.2559,1
3.8327,1
4.2161,1
3.6509,1
3.9909,1
3.9384,1
4.0996,1
4.2178,1
3.5658,1
4.0228,1
4.2955,1
3.6877,1
3.9095,1
3.9359,1
4.0649,1
4.5113,1
4.3978,1
4.2697,1
4.4633,1
3.5882,1
3.8639,1
4.0174,1
4.0355,1
4.1603,1
3.9827,1
3.9172,1
4.13,1
4.2056,1
3.8004,1
3.9828,1
3.8028,1
4.1835,1
4.2884,1
3.788,1
4.0542,1
4.1358,1
3.6976,1
3.9785,1
3.952,1
4.6411,1
3.4404,1
4.1047,1
3.9986,1
4.7391,1
3.4084,1
4.0654,1
3.8043,1
4.7036,1
3.756,1
4.0966,1
4.4748,1
3.8837,1
4.3545,1
3.9161,1
4.1549,1
4.1993,1
4.3844,1
4.1667,1
3.8306,1
4.2617,1
4.4278,1
4.1035,1
4.331,1
3.9689,1
4.289,1
4.0773,1
4.2549,1
4.6211,1
3.8846,1
4.4424,1
4.1733,1
4.7554,1
3.6475,1
3.9592,1
3.9201,1
4.1563,1
4.1509,1
4.5058,1
4.1659,1
4.4489,1
3.8374,1
3.7565,1
4.2039,1
4.3544,1
3.9039,1
3.941,1
4.1029,1
4.1749,1
3.884,1
3.9883,1
4.0774,1
4.8698,1
4.4179,1
4.2188,1
3.8748,1
4.5365,1
3.9399,1
4.1575,1
4.0415,1
4.1587,1
3.6012,1
4.151,1
3.9004,1
4.5907,1
3.7054,1
4.5312,1
3.8846,1
5.0996,1
3.6118,1
4.1194,1
4.3087,1
4.2325,1
3.677,1
4.0247,1
4.2987,1
4.2549,1
4.0338,1
4.746,1
3.7659,1
4.518,1
3.5644,1
4.4386,1
3.7855,1
4.2723,1
4.6716,1
3.8903,1
4.4616,1
4.3193,1
3.885,1
3.9415,1
4.4443,1
4.4372,1
3.7636,1
4.5427,1
3.8332,1
4.3595,1
3.9043,1
4.0185,1
4.1762,1
4.1124,1
3.8245,1
4.2055,1
3.8965,1
3.8339,1
4.4597,1
3.9583,1
4.1593,1
3.9708,1
4.2101,1
3.9186,1
3.834,1
3.7953,1
4.7504,1
3.455,1
3.9235,1
3.8882,1
5.0055,1
3.167,1
4.2917,1
4.5322,1
4.4017,1
3.7977,1
3.9003,1
3.9721,1
4.5334,1
3.5282,1
3.7398,1
4.2975,1
