frame time,Number of lights
4.6613,0
3.8478,0
4.096,0
4.0734,0
3.872,0
5.2444,0
4.2058,0
3.445,0
3.8035,0
5.5213,0
4.0427,0
3.9481,0
4.0827,0
3.6775,0
4.2233,0
3.8355,0
3.8332,0
5.0136,0
3.9322,0
3.885,0
4.6148,0
3.688,0
3.9815,0
3.8024,0
4.8771,0
3.1388,0
4.0384,0
4.2147,0
4.3803,0
3.9499,0
4.2891,0
3.4748,0
4.2573,0
4.064,0
4.8004,0
3.1458,0
3.8404,0
3.9616,0
3.9388,0
4.0854,0
3.9692,0
4.0361,0
3.8526,0
4.2371,0
4.1019,0
4.2568,0
3.7218,0
4.1949,0
4.0077,0
4.5993,0
3.1828,0
4.2085,0
3.7356,0
4.0783,0
4.0988,0
4.1142,0
4.0883,0
4.2939,0
4.0013,0
3.6769,0
4.1176,0
4.0912,0
3.984,0
3.9598,0
3.7137,0
4.1171,0
4.2594,0
4.1228,0
3.5827,0
3.8217,0
4.4,0
3.9212,0
3.8946,0
3.9511,0
5.4073,0
2.8219,0
4.8382,0
3.9714,0
4.4054,0
3.3817,0
3.9695,0
4.0198,0
4.0228,0
4.705,0
4.2163,0
3.8354,0
4.7362,0
3.2968,0
4.5437,0
3.7525,0
3.9124,0
4.5051,0
4.5069,0
4.3739,0
3.9046,0
4.1341,0
4.3398,0
4.3337,0
4.6003,0
3.1765,0
4.1066,0
3.9969,0
4.0759,0
4.4846,0
3.8828,0
4.0929,0
3.8486,0
3.8795,0
3.817,0
4.0667,0
3.822,0
4.2131,0
4.4921,0
3.7076,0
4.0653,0
4.1548,0
4.3552,0
3.6749,0
3.9433,0
3.7184,0
4.2674,0
3.7606,0
3.9474,0
4.2601,0
3.692,0
4.2221,0
4.2487,0
3.5807,0
4.5407,0
4.1295,0
4.5621,0
4.1828,0
4.0235,0
3.7213,0
4.1321,0
3.9383,0
5.0118,0
4.0038,0
3.9452,0
4.1701,0
4.7297,0
4.248,0
3.824,0
4.6433,0
3.5675,0
3.885,0
4.4852,0
3.7448,0
4.4303,0
4.1459,0
4.1689,0
4.0818,0
4.1436,0
4.0787,0
4.6092,0
3.4258,0
4.9707,0
3.7738,0
3.9191,0
3.9468,0
5.1569,0
4.2073,0
4.1483,0
3.6661,0
4.1792,0
4.1755,0
4.0691,0
3.9995,0
4.1945,0
4.5626,0
3.7107,0
4.1797,0
4.6512,0
4.295,0
4.1412,0
3.8889,0
4.8132,0
4.3403,0
3.9915,0
4.2799,0
4.0843,0
4.0232,0
3.9528,0
4.5848,0
3.4616,0
3.7472,0
4.1973,0
4.0837,0
4.3589,0
4.4207,0
4.0691,0
3.8007,0
5.3995,0
3.9061,0
3.8147,0
3.9941,0
4.3196,0
3.9467,0
3.9104,0
3.956,0
4.0452,0
3.771,0
4.137,0
