frame time,Number of lights
4.3651,0
3.617,0
4.1325,0
4.3862,0
3.684,0
4.2961,0
4.1702,0
3.5307,0
4.1124,0
3.9621,0
4.6019,0
3.6034,0
3.7974,0
4.0287,0
4.1679,0
3.9932,0
3.984,0
3.7899,0
4.0067,0
4.0224,0
4.039,0
3.5814,0
4.1591,0
3.7467,0
4.4195,0
4.2442,0
3.782,0
3.9282,0
4.6406,0
3.8529,0
4.095,0
4.2245,0
4.7178,0
4.4107,0
4.1199,0
3.6774,0
4.8744,0
4.0573,0
3.8371,0
4.0379,0
4.289,0
4.1523,0
4.1484,0
3.6111,0
4.6511,0
4.2517,0
4.0378,0
4.6641,0
3.7568,0
4.1232,0
3.9582,0
3.8716,0
4.6755,0
4.4238,0
4.1041,0
4.4692,0
3.5089,0
3.7447,0
4.144,0
3.9133,0
4.6674,0
4.6286,0
3.8269,0
4.032,0
4.613,0
4.4714,0
3.9544,0
4.9051,0
3.1864,0
4.189,0
3.8668,0
4.0483,0
4.4248,0
4.4709,0
3.9329,0
4.1228,0
4.3336,0
4.0841,0
4.5889,0
4.2529,0
3.6633,0
4.2672,0
4.3268,0
3.5104,0
4.4974,0
4.3507,0
3.9054,0
4.6488,0
3.4234,0
4.2932,0
3.7468,0
4.0211,0
4.2421,0
4.1226,0
3.9054,0
4.2841,0
4.0701,0
3.7919,0
4.2082,0
4.2108,0
4.6307,0
3.0989,0
4.9344,0
4.2402,0
3.4346,0
5.0766,0
3.5474,0
4.3158,0
4.0158,0
3.892,0
4.4748,0
4.1226,0
3.5887,0
4.2689,0
3.9282,0
3.9588,0
3.9558,0
4.3159,0
3.7711,0
4.1441,0
4.0724,0
3.9008,0
3.9289,0
4.3414,0
4.0377,0
3.8115,0
3.9935,0
4.1078,0
3.9087,0
4.5701,0
4.2334,0
3.928,0
4.1238,0
4.4172,0
3.9824,0
4.0614,0
4.7004,0
3.9789,0
3.7946,0
3.99,0
4.1369,0
4.9324,0
3.4297,0
4.4068,0
3.6192,0
4.2037,0
3.5152,0
4.3535,0
3.9984,0
3.7304,0
3.7469,0
4.2503,0
4.2732,0
3.6934,0
4.1365,0
3.9762,0
4.002,0
3.957,0
3.8629,0
3.8354,0
4.3227,0
3.8965,0
3.8521,0
3.963,0
4.1997,0
3.876,0
4.7204,0
3.5684,0
4.2541,0
3.5259,0
4.2888,0
4.2029,0
3.7881,0
4.0919,0
4.0383,0
3.9933,0
3.9753,0
4.072,0
4.1047,0
3.7357,0
4.1182,0
3.9263,0
4.0702,0
3.7126,0
3.9925,0
4.3374,0
4.0056,0
3.7445,0
4.0335,0
4.067,0
4.4813,0
3.6012,0
4.2709,0
3.9313,0
3.735,0
4.8446,0
4.2029,0
4.1552,0
3.7277,0
4.4747,0
4.0185,0
4.0542,0
5.2174,0
3.1831,0
4.3041,0
3.8299,0
3.9565,0
5.0293,0
3.6392,0
3.701,0
3.827,0
4.1633,0
4.0918,0
4.4257,0
3.773,0
4.1723,0
3.2318,0
4.1075,0
3.943,0
4.2256,0
3.906,0
3.7365,0
4.2359,0
4.4542,0
3.6321,0
3.8871,0
4.182,0
4.1125,0
3.533,0
3.889,0
4.1499,0
4.1178,0
4.8382,0
4.5305,0
3.9476,0
4.052,0
3.7217,0
4.1378,0
4.1184,0
3.9178,0
4.4059,0
4.5725,0
3.8746,0
4.5344,0
3.3981,0
4.1007,0
4.2843,0
3.8237,0
5.1362,0
3.96,0
4.1235,0
3.9145,0
4.7806,0
3.9382,0
4.0669,0
4.1082,0
5.1221,0
3.8541,0
3.7373,0
4.6469,0
3.3361,0
4.5592,0
3.6876,0
4.1235,0
4.9544,0
3.2732,0
3.9866,0
4.2298,0
4.9134,0
3.7912,0
3.8465,0
3.8785,0
4.8213,0
4.4656,0
3.9536,0
3.8624,0
4.7372,0
4.602,0
3.9748,0
4.2904,0
3.6642,0
3.9137,0
4.4591,0
3.7276,0
4.8332,0
3.6115,0
4.5488,0
3.5941,0
4.7818,0
3.6996,0
4.1859,0
3.5541,0
4.2789,0
3.7654,0
4.1851,0
3.9264,0
4.3376,0
4.1156,0
3.7154,0
3.5738,0
4.3719,0
3.3326,0
4.7489,0
3.6901,0
4.3304,0
3.6365,0
4.4131,0
3.7199,0
4.2641,0
3.7376,0
4.0933,0
4.2886,0
4.1759,0
3.7674,0
3.8645,0
3.9266,0
4.2539,0
4.3568,0
4.5818,0
3.7631,0
3.9978,0
4.8642,0
3.6302,0
3.7864,0
4.0455,0
3.8317,0
3.99,0
4.0872,0
4.4343,0
3.6716,0
4.1558,0
3.7506,0
3.9456,0
4.1588,0
3.8676,0
3.8781,0
4.2842,0
3.8942,0
3.7692,0
4.1666,0
4.5067,0
3.8679,0
3.4858,0
4.1785,0
4.1215,0
4.6053,0
3.3962,0
3.7103,0
4.1221,0
4.2108,0
4.9307,0
4.1374,0
4.248,0
3.6807,0
4.5306,0
4.5852,0
3.4855,0
4.2893,0
4.7197,0
3.9435,0
3.9761,0
3.793,0
4.387,0
4.3979,0
3.8538,0
3.9913,0
4.4626,0
4.652,0
4.1653,0
4.1763,0
3.5819,0
4.073,0
3.7071,0
4.0809,0
4.8332,0
4.3633,0
4.2437,0
4.0912,0
3.8033,0
4.1822,0
3.7833,0
3.9181,0
5.09,0
4.1031,0
4.1768,0
3.7564,0
4.5699,0
4.4151,0
4.2349,0
4.1146,0
3.6788,0
4.083,0
4.0875,0
4.2177,0
4.3892,0
4.2562,0
4.2702,0
3.5838,0
4.6371,0
4.63,0
3.8921,0
4.3433,0
3.5666,0
4.0838,0
3.9137,0
3.945,0
4.3567,0
4.1599,0
3.9441,0
3.9606,0
4.1178,0
3.6094,0
4.5151,0
3.7629,0
3.9538,0
3.8816,0
4.2287,0
3.9898,0
4.042,0
4.0832,0
4.1699,0
4.0115,0
3.8192,0
3.8443,0
4.0723,0
4.2079,0
3.8724,0
3.8849,0
3.9629,0
3.876,0
4.541,0
3.4423,0
4.2304,0
3.9475,0
3.9815,0
4.1041,0
4.0015,0
3.9604,0
4.4049,0
3.5568,0
4.2444,0
3.9369,0
4.2537,0
3.9727,0
3.9258,0
3.6696,0
4.3481,0
3.924,0
3.7498,0
3.9384,0
4.0419,0
4.4379,0
3.8459,0
3.7427,0
4.0558,0
4.2341,0
4.2066,0
4.152,0
4.5245,0
4.2072,0
3.7817,0
4.0007,0
3.9604,0
3.9333,0
4.8011,0
4.3662,0
4.0686,0
3.8808,0
4.621,0
4.453,0
4.1277,0
4.0833,0
3.4397,0
4.1486,0
4.1607,0
3.722,0
4.4451,0
4.0938,0
3.957,0
3.8254,0
4.1081,0
3.7906,0
4.2318,0
4.3731,0
3.3707,0
4.2189,0
4.0308,0
3.9791,0
4.1307,0
3.8581,0
3.9399,0
4.4741,0
3.932,0
3.7953,0
4.2401,0
4.0298,0
3.9407,0
3.8644,0
3.925,0
4.3236,0
3.8553,1
4.6694,1
4.615,1
3.8216,1
4.5577,1
3.2727,1
3.8827,1
4.225,1
4.441,1
3.8811,1
4.1294,1
3.6704,1
4.0359,1
4.1563,1
3.9988,1
4.2795,1
3.7328,1
4.035,1
3.878,1
4.086,1
3.8128,1
4.218,1
3.9194,1
4.1452,1
3.9576,1
4.0486,1
3.919,1
4.1419,1
3.6915,1
4.5338,1
3.5849,1
3.9921,1
4.2078,1
3.9603,1
4.6918,1
4.2346,1
3.9183,1
3.8891,1
4.5655,1
3.9364,1
3.9997,1
4.0574,1
4.7605,1
4.1498,1
4.2111,1
3.6069,1
5.3051,1
3.4723,1
4.1264,1
4.0772,1
5.2189,1
2.9747,1
4.0721,1
3.9582,1
4.2517,1
3.8888,1
3.8585,1
4.0751,1
3.8598,1
3.9593,1
4.4138,1
3.8182,1
4.0913,1
3.8621,1
4.2383,1
4.0191,1
3.8,1
4.0974,1
3.6803,1
4.0023,1
4.5524,1
3.1983,1
4.1879,1
3.995,1
4.4001,1
3.3225,1
4.6308,1
3.6235,1
4.1039,1
5.3847,1
3.5733,1
4.2381,1
4.4453,1
3.5934,1
3.7551,1
4.3811,1
3.8985,1
3.7863,1
4.0652,1
4.0118,1
4.1173,1
4.0387,1
3.8751,1
3.8243,1
