frame time,Number of lights
3.7015,0
3.8269,0
3.7648,0
4.1548,0
4.211,0
4.2756,0
3.9811,0
4.2082,0
4.1883,0
3.6886,0
4.1498,0
4.0747,0
3.9474,0
3.8616,0
3.736,0
4.222,0
4.1203,0
3.8197,0
4.0961,0
4.0296,0
4.0368,0
3.5633,0
4.05,0
4.1527,0
4.4271,0
3.6013,0
4.1135,0
3.8312,0
3.9145,0
4.8145,0
4.234,0
4.1286,0
3.8818,0
4.8338,0
4.2851,0
4.1278,0
4.1226,0
3.1694,0
4.6021,0
3.9009,0
3.8738,0
4.8336,0
4.4181,0
4.0508,0
3.9152,0
4.4902,0
4.0646,0
4.9448,0
3.9859,0
3.8807,0
3.911,0
3.9834,0
4.4793,0
3.0192,0
4.3981,0
3.9342,0
4.1132,0
3.9686,0
4.0227,0
4.0674,0
4.6049,0
3.6434,0
3.6194,0
3.9948,0
4.1427,0
4.0014,0
3.9625,0
4.0586,0
3.9658,0
4.3294,0
3.5941,0
4.7196,0
3.5496,0
4.2493,0
3.4495,0
4.6402,0
3.6243,0
4.4337,0
3.5163,0
4.0698,0
4.3097,0
3.773,0
3.9622,0
3.8912,0
3.7236,0
4.1232,0
4.3725,0
3.8464,0
3.8729,0
4.102,0
4.1597,0
3.5137,0
4.1765,0
4.0705,0
4.0681,0
4.2862,0
3.7289,0
4.5072,0
3.8336,0
3.7443,0
4.189,0
3.9318,0
3.6254,0
4.8656,0
4.3592,0
4.0443,0
4.5881,0
3.5536,0
4.0704,0
4.2587,0
3.4579,0
4.9466,0
4.2169,0
4.3308,0
3.4656,0
4.6115,0
3.9384,0
4.0328,0
4.1835,0
4.0769,0
4.6464,0
3.7048,0
4.0292,0
4.6766,0
3.8344,0
3.8095,0
3.8624,0
4.2212,0
4.0374,0
3.8758,0
4.167,0
4.0904,0
3.683,0
3.9868,0
4.2085,0
3.8306,0
3.7012,0
4.0121,0
4.2516,0
4.1329,0
3.6544,0
4.3888,0
3.9564,0
3.8868,0
4.1689,0
3.8021,0
3.9754,0
4.4594,0
3.761,0
4.1139,0
3.9154,0
3.9128,0
5.0865,0
3.694,0
4.0123,0
3.92,0
4.6048,0
4.0152,0
3.5129,0
3.9417,0
3.9258,0
4.3325,0
4.3296,0
3.7712,0
3.8461,0
4.0446,0
3.7623,0
3.8899,0
4.1768,0
3.9766,0
4.292,0
3.9403,0
4.3641,0
3.6617,0
3.9787,0
4.0235,0
4.529,0
3.6447,0
4.016,0
4.0435,0
4.2376,0
3.5979,0
3.9135,0
4.0773,0
4.0411,0
4.5248,0
4.224,0
4.2271,0
3.8464,0
4.6385,0
4.4443,0
4.1369,0
4.603,0
3.2874,0
4.0545,0
4.2464,0
3.776,0
4.5768,0
4.6324,0
3.7403,0
3.8831,0
4.6458,0
4.1643,0
4.6032,0
4.154,0
3.5433,0
3.9893,0
3.83,0
4.1495,0
4.5712,0
4.2581,0
4.0957,0
4.2732,0
3.4105,0
5.0071,0
3.5052,0
4.1401,0
4.1057,0
4.1664,0
3.8667,0
5.1047,0
3.041,0
3.7243,0
4.2288,0
4.039,0
4.2487,0
3.8653,0
3.9279,0
4.0159,0
4.3392,0
3.6223,0
4.0564,0
4.0796,0
4.2462,0
3.6447,0
4.0486,0
4.0548,0
4.1278,0
3.7348,0
4.0242,0
4.1293,0
4.1457,0
4.132,0
4.4799,0
4.0111,0
3.8655,0
4.5851,0
4.0016,0
3.959,0
4.0073,0
3.8785,0
4.001,0
4.0088,0
4.644,0
3.3101,0
3.9942,0
3.8688,0
3.9816,0
4.2701,0
3.7149,0
3.9628,0
3.9278,0
4.1996,0
3.8457,0
4.3022,0
3.9768,0
3.9183,0
4.0636,0
3.7568,0
4.1188,0
3.9164,0
4.6254,0
4.3906,0
3.9703,0
4.4136,0
3.8937,0
4.1133,0
4.0524,0
3.6781,0
4.255,0
3.9936,0
4.1976,0
3.7535,0
4.2813,0
3.4019,0
4.4781,0
3.786,0
4.071,0
4.2268,0
3.9884,0
3.8088,0
4.1199,0
3.7092,0
4.0697,0
4.1785,0
4.139,0
3.9683,0
3.7134,0
4.0915,0
4.4376,0
3.9302,0
3.7246,0
4.0208,0
4.1796,0
4.0428,0
4.1695,0
3.8352,0
3.9138,0
4.3091,0
3.6239,0
3.942,0
4.2503,0
4.0383,0
4.0164,0
