frame time,Number of lights
3.9245,0
3.8934,0
4.012,0
4.0586,0
4.2147,0
3.8827,0
4.1167,0
3.8948,0
4.2179,0
3.6683,0
4.2863,0
3.7125,0
4.2068,0
3.9067,0
4.0271,0
3.8548,0
4.4753,0
3.5868,0
4.2993,0
3.8795,0
4.592,0
3.7721,0
3.9607,0
3.9161,0
4.0742,0
4.2115,0
3.9496,0
4.2875,0
4.2358,0
4.3114,0
3.9871,0
4.2059,0
4.6675,0
3.5632,0
4.1391,0
4.0818,0
4.2451,0
4.4052,0
4.3732,0
3.8918,0
4.2591,0
4.3387,0
4.1851,0
4.4515,0
4.3764,0
3.5205,0
4.3125,0
3.7921,0
4.5859,0
3.2256,0
4.1702,0
3.9362,0
4.389,0
3.8625,0
4.1513,0
4.0491,0
4.0867,0
4.0244,0
3.7451,0
3.9071,0
4.1973,0
4.2759,0
3.7809,0
4.2475,0
3.941,0
4.0138,0
3.6764,0
4.0945,0
3.8741,0
4.3769,0
3.5165,0
4.2988,0
3.8528,0
3.7873,0
4.6756,0
4.1689,0
4.4011,0
3.9652,0
4.0038,0
4.1958,0
4.0199,0
4.1482,0
4.28,0
4.3955,0
4.0602,0
4.4008,0
4.0566,0
3.9129,0
3.9815,0
4.1106,0
4.2119,0
4.2139,0
4.1869,0
3.9719,0
4.7353,0
4.1683,0
4.1276,0
4.4965,0
3.4094,0
3.9794,0
4.0681,0
4.1222,0
4.6512,0
4.1003,0
4.0638,0
4.4077,0
3.5653,0
4.1278,0
3.9903,0
4.5513,0
4.4204,0
4.0382,0
4.0977,0
4.33,0
4.0977,0
4.3951,0
4.4134,0
3.7714,0
4.482,0
4.0383,0
4.3635,0
4.5714,0
3.4643,0
4.0943,0
3.9896,0
4.2989,0
4.6623,0
4.093,0
3.9389,0
4.2463,0
3.6537,0
4.2294,0
3.8955,0
4.0881,0
4.6672,0
4.4995,0
3.8566,0
4.2624,0
4.2573,0
4.2903,0
4.2031,0
4.6998,0
3.3835,0
4.167,0
4.1779,0
4.0743,0
4.8952,0
3.6936,0
3.976,0
3.921,0
4.6475,0
4.2398,0
4.2939,0
4.4222,0
3.4834,0
