frame time,Number of lights
4.1556,0
4.0581,0
3.9046,0
4.6594,0
4.3963,0
3.955,0
4.1804,0
4.2827,0
3.9119,0
4.0609,0
3.9189,0
4.4928,0
4.377,0
3.8927,0
4.1867,0
4.3015,0
4.4723,0
4.0564,0
4.414,0
3.6512,0
4.0399,0
4.0172,0
4.1546,0
4.4021,0
4.3539,0
4.1401,0
3.8475,0
4.5448,0
4.0397,0
4.0181,0
4.966,0
3.4277,0
4.3668,0
3.7286,0
4.2147,0
4.5013,0
3.748,0
4.3377,0
4.3519,0
4.2726,0
4.0477,0
3.9399,0
3.9524,0
4.4821,0
4.3105,0
3.8502,0
4.7213,0
3.3117,0
4.3048,0
3.7351,0
4.3189,0
3.7713,0
4.1378,0
3.8524,0
3.9184,0
4.1242,0
3.9978,0
3.9436,0
4.2343,0
3.991,0
3.5926,0
4.385,0
3.8,0
4.287,0
3.784,0
4.317,0
3.8498,0
4.5284,0
3.1754,0
4.39,0
4.2936,0
3.7873,0
4.4248,0
4.3737,0
3.9543,0
4.5199,0
3.2206,0
4.2003,0
4.1292,0
3.9977,0
4.6134,0
4.3681,0
4.1395,0
3.8671,0
4.4375,0
4.0466,0
3.7243,0
4.3,0
4.6735,0
3.9278,0
4.0764,0
3.856,0
4.5315,0
4.4454,0
4.2435,0
4.3098,0
3.8428,0
3.6411,0
4.295,0
3.9505,0
4.5052,0
4.4531,0
3.8602,0
4.2499,0
4.3479,0
3.8922,0
3.9566,0
4.3653,0
4.3147,0
4.0981,0
3.9749,0
3.898,0
5.2822,0
3.7428,0
3.9728,0
4.2107,0
4.2795,0
3.9537,0
3.9397,0
4.1821,0
4.5233,0
3.9615,0
4.1746,0
4.0617,0
4.3119,0
4.4981,0
4.0861,0
3.9807,0
4.4493,0
4.0396,0
4.1694,0
5.0414,0
3.1349,0
4.1771,0
4.1473,0
3.8641,0
4.5876,0
3.8584,0
4.1314,0
3.9227,0
4.5892,0
4.0115,0
4.249,0
3.8318,0
4.5486,0
4.6074,0
3.7431,0
4.0915,0
4.3946,0
4.2459,0
4.4836,0
4.388,0
3.3125,0
4.1775,0
4.1093,0
3.9206,0
4.7232,0
4.4501,0
3.8294,0
4.0824,0
4.3546,0
4.1219,0
3.8898,0
4.4456,0
3.9811,0
4.3701,0
3.7229,0
4.0816,0
5.0592,0
4.0585,0
3.9466,0
4.4301,0
3.6644,0
3.8082,0
4.1998,0
4.2814,0
3.5636,0
4.3115,0
3.8159,0
4.9355,0
3.09,0
4.0099,0
4.0761,0
4.0058,0
4.1209,0
3.7049,0
4.1755,0
3.9828,0
4.1691,0
3.7812,0
3.8662,0
4.3248,0
4.2308,0
3.3469,0
4.282,0
3.9962,0
4.4374,0
3.2983,0
4.4197,0
3.8974,0
4.1771,0
4.3775,0
3.9971,0
4.0449,0
4.4157,0
4.0562,0
3.8881,0
4.2891,0
3.9708,0
4.49,0
4.362,0
4.0896,0
3.9865,0
4.4611,0
4.1143,0
3.6361,0
4.0772,0
4.7092,0
4.1081,0
3.8022,0
4.3612,0
5.044,0
3.8366,0
4.0263,0
3.8914,0
4.5518,0
3.8341,0
3.9472,0
3.9912,0
4.6293,0
4.1452,0
3.9029,0
4.1382,0
3.8629,0
4.2801,0
3.7576,0
5.0126,0
2.9033,0
4.2621,0
3.7958,0
4.0492,0
4.2416,0
3.7703,0
4.2551,0
3.775,0
4.1741,0
3.8365,0
4.2079,0
3.857,0
4.0302,0
3.8791,0
4.0851,0
3.9708,0
4.614,0
3.2997,0
4.2878,0
3.9427,0
4.1876,0
3.8835,0
4.0721,0
3.9898,0
4.1641,0
4.7822,0
3.9473,0
4.1019,0
3.914,0
4.8076,0
4.1514,0
4.2684,0
3.8912,0
4.2755,0
4.4215,0
4.2774,0
4.4936,0
3.7443,0
3.8521,0
4.1822,0
3.8764,0
4.4656,0
3.9499,0
4.3706,0
4.0048,0
4.419,0
4.1194,0
3.8049,0
4.1035,0
4.5819,0
4.0372,0
4.0562,0
3.8892,0
4.7336,0
4.3175,0
3.9141,0
4.2554,0
4.3889,0
3.8738,0
4.1473,0
4.7597,0
3.5044,0
4.3589,0
3.8451,0
4.3115,0
4.3012,0
4.4466,0
4.1232,0
4.6201,0
3.1781,0
4.283,0
3.8501,0
4.2929,0
4.3986,0
4.3362,0
3.9863,0
4.6026,0
3.4045,0
4.187,0
3.8753,0
4.266,0
3.8784,0
3.9498,0
4.1794,0
4.1278,0
4.1233,0
3.8183,0
3.9984,0
3.926,0
4.1189,0
4.0625,0
15.7514,0
1.1276,0
1.1091,0
2.6518,0
4.3815,0
3.9351,0
3.724,0
4.3368,0
3.7688,0
4.2542,0
3.707,0
4.0622,0
4.0181,0
4.1011,0
4.1615,0
3.7649,0
4.0082,0
3.9476,0
4.4665,0
4.205,0
4.2992,0
4.5058,0
3.6274,0
3.9356,0
4.0847,0
4.1301,0
4.4454,0
3.7094,0
4.2084,0
4.0533,0
4.0694,0
3.5187,0
3.9595,0
3.9015,0
4.8178,0
3.0561,0
4.2943,0
3.898,0
4.3909,0
3.5203,0
4.2974,0
3.756,0
4.2701,0
3.6073,0
4.2479,0
3.827,0
4.6329,0
3.3526,0
4.2131,0
3.9215,0
4.2714,0
4.306,0
3.8841,0
3.9138,0
4.1014,0
4.9681,0
3.9267,0
4.0352,0
3.8423,0
4.5055,0
4.406,0
4.2778,0
3.9957,0
3.6703,0
4.0927,0
3.9823,0
4.2196,0
3.97,0
3.8608,0
3.9816,0
3.8924,0
4.1954,0
3.868,0
4.0492,0
4.0189,0
4.1915,0
4.0823,0
3.7849,0
4.0743,0
4.186,0
3.6502,0
4.1297,0
4.0311,0
4.404,0
3.3808,0
4.7286,0
3.5088,0
4.0607,0
4.209,0
4.1169,0
3.7826,0
4.203,0
4.2784,0
4.4854,0
3.7819,0
4.2672,0
4.4581,0
4.2926,0
4.2639,0
4.4311,0
3.4246,0
4.1119,0
3.8337,0
4.0424,0
4.8175,0
4.3264,0
3.9941,0
3.9444,0
4.6861,0
3.7031,0
3.9543,0
4.0003,0
4.6983,0
3.8573,0
4.123,0
4.465,0
4.3622,0
4.2428,0
3.9517,0
4.6764,0
3.4851,0
3.7948,0
4.0326,0
4.2706,0
3.8348,0
3.9474,0
4.0101,0
4.0731,0
4.0452,0
3.9108,0
4.0323,0
4.0985,0
4.1802,0
3.7856,0
4.1205,0
3.7556,0
4.1828,0
3.9787,0
3.883,0
4.1469,0
4.4035,0
3.5534,0
4.3481,0
3.6721,0
4.4947,0
3.413,0
4.2302,0
3.8761,0
4.2616,0
4.9556,0
3.9893,0
4.0662,0
4.1138,0
3.9468,0
3.8368,0
4.085,0
4.0305,0
4.6489,0
3.9125,0
4.3251,0
3.8844,0
4.6297,0
4.3666,0
4.0368,0
3.9785,0
4.5036,0
4.0891,0
3.8526,0
4.8563,0
3.5225,0
4.4529,0
3.8023,0
4.5991,1
3.3976,1
4.0382,1
4.1694,1
3.9757,1
4.507,1
4.3377,1
4.1758,1
4.1093,1
4.4271,1
3.7273,1
3.8989,1
4.4538,1
4.2443,1
3.9471,1
5.3079,1
2.8622,1
4.4856,1
3.9947,1
4.1961,1
4.461,1
4.2808,1
3.8674,1
3.9622,1
4.0936,1
4.3729,1
4.4647,1
4.0292,1
3.9247,1
4.4612,1
4.3412,1
4.2578,1
4.5524,1
3.1662,1
4.4199,1
3.761,1
4.3963,1
4.4518,1
4.1837,1
4.2452,1
3.7918,1
4.545,1
4.0598,1
3.8182,1
4.0952,1
4.2071,1
4.4262,1
3.8519,1
4.1553,1
5.0538,1
3.9178,1
4.1074,1
3.9092,1
4.5789,1
4.4397,1
4.0228,1
4.6061,1
3.2017,1
4.3533,1
3.757,1
5.0982,1
3.5668,1
4.4924,1
3.8617,1
4.6256,1
3.2863,1
4.2625,1
3.885,1
4.208,1
4.5117,1
4.3558,1
4.0041,1
4.05,1
4.5315,1
3.8612,1
4.2493,1
4.1179,1
4.1892,1
3.9579,1
4.4057,1
3.9377,1
4.3693,1
4.3173,1
4.1174,1
3.9402,1
4.5732,1
3.8798,1
4.0383,1
3.9045,1
4.5923,1
4.1816,1
3.9098,1
4.1792,1
4.4286,1
4.7128,1
3.1161,1
4.0902,1
3.7748,1
3.9427,1
4.067,1
3.8852,1
4.0231,1
3.9328,1
3.9469,1
4.2046,1
4.0435,1
3.6806,1
4.2225,1
3.87,1
4.3716,1
3.8387,1
3.9591,1
3.9707,1
4.5257,1
3.4619,1
4.0646,1
3.823,1
4.097,1
4.5726,1
4.4468,1
3.9205,1
4.6014,1
3.3194,1
4.3405,1
3.8034,1
4.3401,1
4.399,1
4.5373,1
3.9318,1
4.6663,1
3.2676,1
4.1158,1
3.9757,1
4.3482,1
4.4763,1
4.1564,1
3.9496,1
4.1721,1
4.3893,1
3.8617,1
3.8903,1
4.4391,1
3.6941,1
3.6647,1
4.0584,1
3.9602,1
4.083,1
3.652,1
4.4583,1
3.9193,1
4.1948,1
3.7029,1
4.1381,1
3.8063,1
4.2189,1
3.6943,1
4.1949,1
4.2067,1
4.2824,1
3.369,1
4.1873,1
3.9197,1
4.017,1
4.7042,1
4.3353,1
3.8853,1
4.9015,1
3.028,1
4.4445,1
3.6738,1
4.3152,1
4.4152,1
3.9823,1
3.7755,1
4.1821,1
4.2019,1
3.4133,1
4.1746,1
4.0017,1
4.1646,1
3.5406,1
4.2517,1
3.7843,1
4.3892,1
3.7016,1
3.8475,1
4.1962,1
4.0863,1
3.8162,1
3.8373,1
4.1643,1
4.0493,1
4.3457,1
4.3526,1
4.4269,1
4.437,1
3.4454,1
4.126,1
3.954,1
4.4269,1
4.1076,1
4.5179,1
4.3818,1
4.0445,1
3.4564,1
4.0556,1
4.027,1
4.0038,1
4.4099,1
4.1057,1
4.1438,1
4.4511,1
3.9045,1
3.8926,1
4.3864,1
3.6988,1
4.9075,1
4.3348,1
3.7835,1
4.251,1
4.2496,1
4.0384,1
3.7345,1
4.2282,1
4.6257,1
3.8974,1
4.0382,1
4.4075,1
4.2799,1
4.701,1
3.7169,1
4.669,1
3.4503,1
3.9862,1
4.2313,1
4.042,1
4.677,1
3.9931,1
4.2147,1
4.0179,1
4.4195,1
4.2727,1
4.274,1
4.5203,1
3.1923,1
4.1509,1
4.1001,1
4.1453,1
4.4006,1
4.4415,1
4.1595,1
3.964,1
4.3071,1
3.9178,1
3.8742,1
4.1527,1
4.5414,1
4.2853,1
3.8184,1
4.1156,1
4.3849,1
3.901,1
3.9377,1
4.5388,1
4.0272,1
4.0274,1
4.5079,1
3.7704,1
4.5292,1
4.4925,1
3.8466,1
4.0904,1
4.5289,1
4.3437,1
4.1046,1
4.8158,1
3.006,1
4.4235,1
3.7753,1
4.3392,1
4.4187,1
4.5432,1
3.7042,1
4.2985,1
3.8095,1
4.0119,1
3.8646,1
4.4032,1
3.6812,1
4.1049,1
3.8742,1
4.1346,1
4.0031,1
4.07,1
4.1428,1
3.9445,1
4.1952,1
3.6747,1
3.9158,1
4.1236,1
4.1685,1
3.8842,1
4.0735,1
4.0772,1
4.2516,1
3.5805,1
4.0056,1
3.9567,1
4.3024,1
4.3057,1
4.5446,1
3.8427,1
4.6143,1
3.5834,1
3.7987,1
4.0072,1
4.1107,1
4.3879,1
3.9459,1
4.0593,1
4.2348,1
4.336,1
4.2272,1
3.8455,1
4.0783,1
4.5366,1
4.2832,1
3.9939,1
4.222,1
4.3389,1
3.8842,1
3.9489,1
3.9538,1
4.7078,1
3.8978,1
4.1782,1
4.2706,1
3.622,1
4.0572,1
4.3024,1
3.8192,1
3.9288,1
4.0669,1
4.1762,1
3.8705,1
4.0113,1
4.0898,1
38.1184,1
1.3772,1
1.1438,1
2.4712,1
4.9433,1
3.0061,1
4.1193,1
4.1697,1
4.1881,1
3.5904,1
3.9335,1
4.03,1
4.2544,1
3.7599,1
4.0264,1
4.0924,1
4.3139,1
3.5422,1
4.2051,1
3.929,1
4.3772,1
3.5038,1
4.1636,1
3.8943,1
4.4697,1
3.3082,1
4.3915,1
3.7935,1
4.1149,1
4.93,1
4.0452,1
4.2781,1
3.8033,1
