frame time,Number of lights
3.9833,0
4.1434,0
4.3302,0
4.2858,0
4.0791,0
4.0372,0
3.6462,0
4.1735,0
4.1417,0
4.1041,0
3.3484,0
4.2103,0
4.1358,0
4.1494,0
3.6077,0
4.2669,0
3.7862,0
4.0654,0
3.9341,0
4.2153,0
4.0511,0
3.7655,0
4.1389,0
4.078,0
4.0594,0
3.6809,0
4.1795,0
4.0321,0
4.0563,0
3.7802,0
3.9387,0
4.4247,0
3.6127,0
4.3856,0
4.0805,0
3.6677,0
3.8568,0
4.4741,0
3.6022,0
4.3774,0
3.8795,0
3.7725,0
4.3187,0
3.8394,0
3.642,0
4.4524,0
4.1307,0
3.6035,0
4.016,0
4.0911,0
4.07,0
4.2001,0
3.8328,0
3.966,0
4.4027,0
3.6904,0
4.556,0
4.3187,0
4.3305,0
3.996,0
4.2133,0
3.6805,0
4.6993,0
3.3426,0
4.9473,0
4.0667,0
3.7046,0
3.9882,0
5.0527,0
4.4786,0
3.6797,0
3.7922,0
4.8054,0
4.0532,0
4.0841,0
3.5821,0
5.3507,0
4.0181,0
3.7489,0
3.7348,0
4.8135,0
3.7645,0
4.3953,0
3.7683,0
4.8936,0
3.5218,0
4.826,0
3.9554,0
3.8104,0
4.0251,0
4.0257,0
4.1522,0
4.7719,0
3.5966,0
3.7567,0
4.0467,0
4.0169,0
4.0348,0
4.3909,0
3.9591,0
3.7047,0
4.0911,0
4.0262,0
3.6575,0
4.1089,0
4.2124,0
3.6209,0
4.2423,0
3.9798,0
3.646,0
3.9211,0
4.1053,0
4.7011,0
3.2427,0
4.4127,0
3.8504,0
3.905,0
4.4988,0
3.4404,0
4.5617,0
3.9527,0
4.2599,0
4.6046,0
3.5627,0
4.5544,0
4.0065,0
4.1421,0
3.6559,0
4.0529,0
3.6038,0
4.247,0
4.1557,0
4.1143,0
3.9384,0
3.9102,0
3.8745,0
3.9773,0
4.187,0
4.0605,0
3.885,0
4.2447,0
3.8145,0
3.9952,0
3.9374,0
4.2773,0
4.1513,0
3.7692,0
4.2499,0
3.8955,0
4.017,0
3.7791,0
4.1054,0
3.7787,0
4.1161,0
4.21,0
3.8596,0
4.1937,0
3.742,0
4.4287,0
3.5348,0
4.1555,0
3.8616,0
4.0953,0
4.0128,0
4.1287,0
3.9544,0
4.4056,0
4.0512,0
3.5568,0
3.9361,0
4.1963,0
3.8184,0
4.0152,0
4.4245,0
3.8501,0
3.5873,0
4.595,0
3.3868,0
4.3192,0
4.0271,0
3.9226,0
3.7976,0
4.0814,0
4.0112,0
4.066,0
4.3172,0
3.7014,0
4.0218,0
4.4172,0
4.0337,0
3.8397,0
3.6456,0
4.0867,0
3.981,0
4.2812,0
