frame time,Number of lights
4.621,0
4.4369,0
4.8882,0
5.2712,0
5.0637,0
5.0856,0
4.9786,0
4.8532,0
4.7896,0
4.8275,0
4.8792,0
4.8295,0
4.3442,0
4.9434,0
4.8913,0
4.3567,0
4.8705,0
4.7977,0
4.7908,0
4.4306,0
4.8211,0
4.7551,0
4.4481,0
5.0035,0
4.8709,0
4.7785,0
4.373,0
4.4002,0
4.5406,0
4.4134,0
4.8781,0
5.1765,0
4.7927,0
5.1651,0
5.0366,0
4.7551,0
4.7609,0
5.1543,0
4.7344,0
4.4053,0
4.451,0
4.7899,0
4.7995,0
4.7408,0
4.8843,0
4.3675,0
4.5211,0
4.4704,0
4.8205,0
4.7107,0
4.4399,0
4.6995,0
5.0635,0
5.1295,0
4.934,0
5.0247,0
11.0616,0
5.082,0
4.9153,0
4.7812,0
4.6935,0
5.2632,0
5.0512,0
4.9697,0
4.8226,0
5.0771,0
5.109,0
5.0987,0
5.0531,0
5.0326,0
5.4923,0
5.0117,0
5.015,0
5.0816,0
5.0304,0
5.0241,0
4.739,0
4.4363,0
4.6962,0
4.4776,0
4.6908,0
4.8939,0
4.7623,0
4.7386,0
5.4746,0
4.7853,0
4.9071,0
5.5703,0
5.0307,0
4.7506,0
4.9471,0
5.1629,0
6.0598,0
4.9271,0
5.1485,0
4.7483,0
4.7586,0
4.8308,0
4.333,0
4.5122,0
4.7746,0
5.0737,0
4.7773,0
4.9763,0
4.8214,0
4.434,0
4.4787,0
4.7826,0
4.8771,0
4.7301,0
4.81,0
5.0377,0
4.8189,0
4.5179,0
4.4131,0
4.8037,0
4.7469,0
4.8259,0
5.0586,0
4.7806,0
4.8027,0
4.4228,0
4.8061,0
4.9362,0
4.8215,0
4.8133,0
4.8356,0
4.8136,0
4.747,0
4.4376,0
4.7849,0
4.7685,0
4.799,0
4.7717,0
4.7287,0
4.7481,0
4.8781,0
4.4468,0
4.4574,0
5.0125,0
5.0284,0
4.9459,0
5.0212,0
4.9847,0
4.9325,0
4.774,0
5.0269,0
4.8372,0
4.384,0
4.9524,0
5.297,0
5.0025,0
5.0451,0
4.8446,0
4.7955,0
4.8345,0
5.1602,0
4.74,0
4.8239,0
4.7506,0
5.0375,0
5.0015,0
4.9556,0
5.091,0
4.9996,0
4.9922,0
5.0924,0
5.1728,0
4.9821,0
5.5235,0
5.0787,0
5.1725,0
5.0613,0
4.7892,0
4.8333,0
4.8109,0
5.0922,0
4.4864,0
4.5108,0
4.3921,0
4.5041,0
4.9049,0
4.7995,0
4.9381,0
4.9706,0
5.0355,0
4.9998,0
4.9346,0
4.8682,0
4.7674,0
5.2596,0
4.9006,0
4.7832,0
5.3208,0
5.0836,0
4.8345,0
4.8032,0
4.8658,0
4.4608,0
4.4588,0
5.0895,0
4.785,0
4.745,0
4.8406,0
4.4893,0
4.3676,0
4.3951,0
4.7916,0
5.2246,0
4.7389,0
4.7821,0
4.8874,0
4.4552,0
4.853,0
5.3839,0
4.9988,0
5.3024,0
5.2189,0
5.0066,0
5.0607,0
5.0035,0
5.0767,0
5.0429,0
4.9598,0
4.9886,0
5.0359,0
5.0751,0
5.0293,0
5.006,0
4.8016,0
4.413,0
4.9056,0
4.771,0
4.4176,0
4.7136,0
5.3579,0
5.2915,0
4.9711,0
4.9365,0
4.7749,0
4.7634,0
5.0336,0
4.8648,0
4.7977,0
4.3199,0
4.7409,0
4.3784,0
4.5002,0
5.1651,0
4.7148,0
4.8,0
4.8562,0
5.1228,0
4.8054,0
4.7941,0
4.8527,0
4.728,0
4.9038,0
9.3454,0
5.0818,0
5.156,0
5.0341,0
4.9846,0
4.9983,0
5.4854,0
4.9459,0
4.839,0
4.8882,0
4.861,0
4.5869,0
4.8618,0
4.8384,0
4.7862,0
4.9175,0
4.4599,0
4.7957,0
4.7784,0
4.3144,0
4.9004,0
5.0181,0
4.9589,0
4.8603,0
5.0724,0
5.1273,0
5.0561,0
4.9907,0
4.6599,0
4.5723,0
5.2413,0
4.9893,0
5.3498,0
5.2724,0
5.1258,0
4.9826,0
4.7676,0
4.5158,0
4.6505,0
4.6235,0
4.447,0
4.7967,0
4.8102,0
4.9127,0
5.369,0
5.2614,0
5.0196,0
5.0223,0
4.8734,0
4.9846,0
4.9764,0
5.2583,0
5.0927,0
5.2713,0
5.0339,0
4.9542,0
4.8086,0
4.8479,0
4.7659,0
4.4736,0
4.3997,0
4.8698,0
4.465,0
4.42,0
5.6274,0
5.0483,0
4.7575,0
4.9626,0
5.1421,0
4.92,0
4.9601,0
