frame time,Number of lights
6.3865,0
5.9637,0
6.3124,0
6.9023,0
6.3718,0
5.8121,0
6.4024,0
6.5385,0
5.8539,0
6.4853,0
6.396,0
6.6202,0
5.8869,0
6.4257,0
6.5271,0
5.7995,0
6.4772,0
6.6434,0
6.9582,0
5.7287,0
6.4484,0
6.3915,0
5.9108,0
6.3225,0
6.6507,0
6.4265,0
5.7876,0
6.4142,0
6.9041,0
6.3313,0
6.7205,0
6.4902,0
6.445,0
5.9657,0
6.4419,0
7.349,0
5.5056,0
6.5918,0
6.5277,0
6.502,0
5.7454,0
6.3936,0
6.441,0
5.8904,0
6.5698,0
6.9804,0
7.0546,0
5.7755,0
7.2757,0
6.8071,0
6.2254,0
6.5402,0
6.3698,0
6.5658,0
5.7837,0
6.6111,0
6.4326,0
5.8589,0
6.4926,0
6.3685,0
6.4308,0
5.9497,0
6.3976,0
7.247,0
5.5381,0
6.687,0
6.6209,0
6.5053,0
5.7749,0
6.4812,0
6.4226,0
6.2518,0
6.6977,0
6.4018,0
6.9909,0
6.3577,0
7.3542,0
6.5733,0
5.8124,0
6.7697,0
6.7993,0
6.9051,0
5.7372,0
6.379,0
6.5159,0
5.8749,0
6.3904,0
6.5178,0
6.4291,0
6.3186,0
6.6914,0
6.5464,0
6.1116,0
6.3798,0
7.0331,0
6.4181,0
5.8458,0
7.1589,0
6.7624,0
6.0558,0
6.4526,0
6.38,0
6.4645,0
5.8526,0
6.6538,0
7.2058,0
6.0968,0
7.0209,0
6.7823,0
6.8979,0
5.8582,0
6.4148,0
6.6859,0
5.9386,0
6.3382,0
6.474,0
6.456,0
5.9918,0
6.4094,0
6.5427,0
6.1834,0
6.7496,0
6.4233,0
6.4748,0
5.7652,0
6.7429,0
7.35,0
5.736,0
6.5548,0
6.5036,0
6.8822,0
6.0691,0
6.8415,0
6.6662,0
5.7129,0
6.3729,0
6.4597,0
6.4275,0
6.2706,0
6.4359,0
6.4704,0
6.5874,0
6.6664,0
7.4554,0
6.7738,0
6.0838,0
6.7354,0
6.8956,0
6.4974,0
7.3928,0
6.864,0
7.256,0
5.4601,0
6.8044,0
6.4565,0
5.8284,0
6.6954,0
6.999,0
7.147,0
5.7927,0
6.4998,0
6.6444,0
6.0323,0
7.6852,0
7.6803,0
6.7982,0
5.8758,0
6.9565,0
6.9293,0
5.8606,0
6.422,0
6.7978,0
6.5022,0
6.0918,0
