frame time,Number of lights
6.5886,0
5.8657,0
6.5424,0
7.5062,0
5.6135,0
6.6224,0
6.4392,0
6.7882,0
5.9771,0
6.7381,0
6.7031,0
5.8012,0
6.7252,0
7.1267,0
6.4772,0
5.7259,0
6.5173,0
7.3989,0
5.7699,0
7.3526,0
6.6655,0
6.7532,0
6.3028,0
6.6114,0
6.5037,0
5.9886,0
7.026,0
6.6262,0
6.5642,0
6.025,0
6.6649,0
6.4399,0
5.8241,0
6.8914,0
7.2899,0
7.2066,0
5.8342,0
6.6801,0
6.4228,0
5.9184,0
6.7433,0
6.9966,0
6.493,0
5.8304,0
6.5814,0
6.6281,0
5.9657,0
6.6324,0
6.5905,0
6.7129,0
5.7449,0
6.6284,0
6.4877,0
6.8127,0
6.6158,0
6.5139,0
6.6412,0
5.9482,0
6.6465,0
6.5268,0
6.2309,0
6.9554,0
6.9695,0
6.7868,0
5.6976,0
6.9415,0
6.9247,0
5.8795,0
6.4279,0
6.4306,0
6.5302,0
6.3,0
6.5966,0
6.4646,0
5.9602,0
6.9048,0
6.8485,0
6.7756,0
6.2326,0
6.3802,0
6.4117,0
5.9001,0
6.3877,0
6.442,0
6.5883,0
5.8507,0
6.3936,0
6.752,0
5.7641,0
6.6335,0
6.3537,0
6.5318,0
5.8808,0
6.5134,0
6.466,0
6.1818,0
6.3807,0
6.9897,0
6.9176,0
5.7914,0
6.524,0
6.5058,0
6.2222,0
7.0224,0
6.415,0
7.038,0
5.7935,0
7.1954,0
6.51,0
5.9438,0
6.5929,0
6.3839,0
6.4761,0
5.8809,0
6.7295,0
7.0324,0
5.7655,0
6.4334,0
6.5079,0
6.4614,0
5.8788,0
6.5402,0
6.4471,0
6.0821,0
6.6341,0
6.4369,0
6.5439,0
5.7506,0
6.6958,0
8.684,0
6.1486,0
7.086,0
6.536,0
8.009,0
5.6757,0
6.9029,0
6.6263,0
6.4196,0
7.0618,0
6.4494,0
7.1908,0
5.6327,0
6.9276,0
7.1357,0
5.8073,0
6.5249,0
6.7896,0
6.4969,0
6.6361,0
7.0089,0
6.5551,0
6.3552,0
6.6132,0
7.4827,0
7.2936,0
5.8548,0
6.8535,0
6.6519,0
6.608,0
6.6816,0
6.5565,0
6.775,0
5.9252,0
7.5033,0
6.8761,0
5.7981,0
6.6027,0
6.874,0
9.2094,0
7.3002,0
7.072,0
7.0144,0
5.8915,0
6.5521,0
6.6239,0
6.9112,0
6.236,0
6.8761,0
6.5425,0
5.962,0
6.9437,0
6.5196,0
6.8554,0
5.9706,0
6.7748,0
7.4238,0
5.9235,0
6.7188,0
6.6479,0
6.8648,0
5.9114,0
7.1022,0
6.562,0
5.9525,0
6.5258,0
6.8928,0
6.4979,0
5.982,0
6.3891,0
6.5245,0
5.932,0
6.4562,0
7.3846,0
6.9036,0
5.8301,0
6.4302,0
6.7782,0
5.7206,0
7.0223,0
7.0261,0
6.9665,0
6.0486,0
6.9168,0
7.5821,0
5.4522,0
6.4268,0
6.4047,0
6.4773,0
5.7774,0
6.4156,0
6.4985,0
6.257,0
6.7422,0
6.7472,0
6.5661,0
5.9718,0
7.5233,0
6.9209,0
6.2518,0
6.373,0
6.4225,0
7.1863,0
5.5955,0
6.8916,0
6.6881,0
6.0009,0
6.781,0
6.4905,0
6.4482,0
5.7582,0
6.4576,0
6.4509,0
5.9838,0
6.83,0
6.7843,0
6.366,0
5.806,0
6.4394,0
6.3834,0
5.8173,0
6.4243,0
6.3982,0
6.979,0
5.6987,0
6.2825,0
6.4445,0
6.0262,0
6.5919,0
6.4743,0
6.4382,0
6.0165,0
6.8257,0
6.7339,0
5.836,0
6.3085,0
7.0303,0
6.7721,0
5.8659,0
6.3685,0
6.4595,0
5.7166,0
6.6158,0
6.409,0
6.6351,0
5.7407,0
6.3587,0
6.6335,0
5.8623,0
7.2588,0
6.8185,0
6.4266,0
5.8834,0
6.2415,0
6.5512,0
6.4723,0
7.0511,0
6.4078,0
6.4077,0
5.7477,0
6.513,0
6.3663,0
6.0395,0
6.957,0
6.3486,0
6.4027,0
5.7915,0
6.3765,0
6.2875,0
5.6983,0
7.0602,0
6.8947,0
6.5862,0
5.5058,0
6.3833,0
6.5068,0
6.1085,0
6.371,0
6.4277,0
6.5765,0
5.6469,0
6.4366,0
6.3757,0
5.7768,0
6.2276,0
6.4815,0
6.6317,0
6.0808,0
6.4047,0
6.3734,0
5.7583,0
6.921,0
6.8242,0
6.3713,0
5.6456,0
6.2782,0
6.5326,0
5.7364,0
6.277,0
6.5387,0
6.9093,0
5.784,0
6.3841,0
6.4188,0
5.8403,0
6.382,0
6.3564,0
6.9238,0
5.749,0
6.3413,0
6.4232,0
5.8082,0
6.305,0
6.4262,0
6.358,0
6.3478,0
6.742,0
7.336,0
5.8015,0
6.3299,0
6.3437,0
6.6469,0
5.5682,0
6.3484,0
6.5483,0
5.7171,0
6.5442,0
6.3839,0
7.0849,0
5.1946,0
6.4009,0
6.2917,0
5.6933,0
6.41,0
6.4138,0
6.407,0
5.7656,0
6.4634,0
7.0574,0
6.0616,0
6.7118,0
6.2645,0
6.4643,0
5.631,0
6.5527,0
6.4918,0
5.6536,0
6.4765,0
6.5777,0
6.7592,0
5.5745,0
6.3718,0
6.8503,0
5.8616,0
6.7369,0
6.5069,0
6.7901,0
5.8636,0
7.0643,0
7.0913,0
6.0792,0
6.8816,0
6.7755,0
6.8343,0
5.9003,0
6.324,0
6.4785,0
5.7701,0
6.3455,0
6.2983,0
6.7673,0
5.7564,0
6.3589,0
6.4183,0
6.0375,0
6.5354,0
6.3342,0
6.7205,0
5.9276,0
6.5445,0
6.4085,0
5.9551,0
6.4445,0
7.6203,0
6.7318,0
5.9426,0
6.5689,0
6.4114,0
5.9565,0
6.4224,0
6.6914,0
7.0304,0
5.7876,0
6.4007,0
6.5209,0
5.9389,0
6.8652,0
6.7706,0
6.4417,0
6.3112,0
7.307,0
7.4494,0
5.5928,0
6.5251,0
6.4956,0
6.6216,0
6.291,0
6.7952,0
6.619,0
5.9903,0
6.9927,0
6.9733,0
7.1714,0
5.9193,0
6.6495,0
7.1701,0
5.9134,0
6.4766,0
6.4369,0
6.4447,0
6.1875,0
6.2992,0
6.9532,0
5.9059,0
6.8441,0
6.3848,0
7.1274,0
6.1052,0
6.5281,0
7.2249,0
6.187,0
6.4491,0
6.5836,0
6.6224,0
5.8151,0
6.7696,0
6.4721,0
5.8992,0
35.3056,0
6.8929,0
7.3845,0
5.7869,0
6.5241,0
6.6419,0
6.0188,0
7.686,0
7.0028,0
7.1623,0
5.7152,0
6.5922,0
7.5487,0
5.949,0
6.4907,0
6.7247,0
6.7636,0
6.0501,0
6.5272,0
6.5036,0
5.8601,0
6.8919,0
7.4785,0
6.7034,0
5.7346,0
6.5272,0
6.5732,0
5.7774,0
6.857,0
7.1112,0
6.5679,0
5.7952,0
6.4474,0
5.6491,1
6.5357,1
6.5634,1
6.1717,1
6.5519,1
6.5012,1
6.5617,1
5.7993,1
6.4983,1
6.872,1
5.747,1
6.9913,1
7.1247,1
6.5626,1
5.9521,1
6.6593,1
7.6682,1
5.7138,1
6.4493,1
6.5495,1
6.5402,1
6.4143,1
7.2096,1
6.4972,1
5.9595,1
6.5623,1
6.9211,1
7.0763,1
5.8856,1
6.5897,1
7.0405,1
6.394,1
6.5123,1
6.5035,1
6.5884,1
5.7682,1
6.4359,1
6.6201,1
5.8951,1
7.0883,1
6.9468,1
6.6627,1
5.8887,1
6.4585,1
7.1558,1
5.655,1
6.5528,1
6.504,1
6.5606,1
5.755,1
6.5862,1
7.1905,1
5.9772,1
6.7238,1
6.5861,1
6.6,1
5.7479,1
7.4307,1
7.0876,1
5.8527,1
6.6474,1
7.0022,1
6.8731,1
5.8471,1
6.5642,1
6.6987,1
5.8738,1
7.3592,1
6.9716,1
6.6802,1
6.0806,1
6.4517,1
6.6561,1
6.1731,1
6.4542,1
6.5854,1
7.1853,1
5.9369,1
6.882,1
6.6713,1
5.8335,1
6.5642,1
7.0287,1
6.787,1
5.8185,1
6.9418,1
6.8798,1
6.1768,1
6.8507,1
6.897,1
6.5731,1
6.2499,1
7.009,1
6.6497,1
5.8427,1
7.0971,1
6.8414,1
6.5795,1
5.875,1
7.2305,1
7.4143,1
6.0245,1
6.7281,1
6.8133,1
6.9432,1
6.1955,1
6.7772,1
6.5659,1
6.0282,1
6.4912,1
7.4682,1
6.8018,1
6.016,1
6.5339,1
6.6824,1
6.0755,1
6.5603,1
6.898,1
6.6694,1
5.8075,1
6.5536,1
6.6267,1
5.808,1
6.7466,1
6.8437,1
6.553,1
6.8241,1
7.05,1
6.9121,1
5.9368,1
6.4565,1
6.5355,1
7.2742,1
6.0311,1
6.6251,1
6.6651,1
6.0423,1
6.8801,1
7.1797,1
6.7451,1
5.9073,1
6.8105,1
7.0454,1
6.4223,1
7.0492,1
6.7534,1
6.9352,1
5.7837,1
7.3616,1
6.9728,1
6.0191,1
7.215,1
6.8447,1
6.6451,1
5.8202,1
6.6253,1
7.2668,1
5.6227,1
7.2015,1
6.9872,1
6.7777,1
5.8751,1
6.4981,1
7.1493,1
5.6351,1
6.5256,1
6.9481,1
7.2745,1
6.0588,1
7.0226,1
6.591,1
5.9208,1
6.5641,1
6.7866,1
7.0889,1
5.8548,1
6.5271,1
6.6687,1
6.0187,1
6.5406,1
6.4956,1
6.9959,1
5.7845,1
6.5142,1
6.7003,1
5.8313,1
6.6597,1
7.0999,1
6.9353,1
6.1152,1
7.3254,1
7.4254,1
5.8494,1
6.6788,1
6.6077,1
6.5994,1
5.9226,1
6.581,1
6.7085,1
5.917,1
6.8081,1
6.633,1
6.5535,1
5.8102,1
6.7102,1
6.5428,1
5.8438,1
6.4587,1
6.4492,1
6.729,1
5.7283,1
6.537,1
6.5589,1
5.9373,1
6.4714,1
6.6308,1
6.6089,1
6.4866,1
6.9735,1
6.6252,1
5.9796,1
6.5603,1
6.9084,1
6.8598,1
5.7799,1
6.6256,1
6.8232,1
6.1266,1
7.1277,1
6.6122,1
6.9152,1
5.7363,1
6.731,1
6.6262,1
5.9101,1
6.9586,1
7.0173,1
7.4083,1
5.7505,1
6.9042,1
6.5619,1
5.9194,1
6.4065,1
6.5722,1
6.5743,1
6.1666,1
6.9056,1
6.9346,1
6.0658,1
7.0077,1
6.9422,1
6.9627,1
5.8164,1
6.6024,1
6.5781,1
6.7565,1
6.7916,1
6.5382,1
6.5297,1
5.7708,1
6.7488,1
6.6107,1
6.4221,1
6.5665,1
6.4882,1
6.526,1
5.8482,1
6.6126,1
6.6633,1
6.036,1
6.6896,1
6.7054,1
7.0775,1
6.0586,1
6.7066,1
6.8413,1
5.9137,1
6.5734,1
7.4808,1
6.7878,1
5.7514,1
6.7549,1
6.888,1
6.1297,1
7.3877,1
6.7444,1
6.6002,1
5.8212,1
6.8944,1
7.3569,1
5.8525,1
6.6687,1
7.0303,1
7.5862,1
5.7912,1
6.5363,1
7.1325,1
5.7142,1
6.9144,1
7.0098,1
6.5943,1
5.8419,1
7.001,1
7.7439,1
5.707,1
6.4519,1
6.6423,1
6.5198,1
5.8456,1
6.8308,1
7.2529,1
5.6624,1
6.5262,1
6.9992,1
6.751,1
5.8739,1
6.7432,1
6.5315,1
5.9077,1
6.567,1
6.4717,1
6.9765,1
5.4588,1
6.5204,1
6.6011,1
5.8331,1
6.5057,1
6.5049,1
6.5579,1
6.3661,1
6.9429,1
6.9528,1
5.889,1
6.4997,1
6.7177,1
7.0969,1
5.9466,1
6.5814,1
6.5083,1
6.1557,1
6.4779,1
6.5237,1
6.5725,1
5.8561,1
6.7289,1
6.6508,1
5.8491,1
6.8898,1
6.9038,1
6.5306,1
5.9408,1
6.4839,1
7.1399,1
5.8278,1
6.4557,1
6.5916,1
6.5771,1
5.815,1
6.7158,1
6.9053,1
6.4032,1
7.4121,1
7.3814,1
7.2381,1
6.1843,1
6.5752,1
6.5754,1
6.394,1
6.8032,1
7.0321,1
6.7299,1
6.3624,1
6.7278,1
7.1928,1
6.0226,1
6.5752,1
6.9246,1
7.0616,1
5.4483,1
6.5802,1
6.6205,1
6.3422,1
7.3462,1
6.7511,1
6.7112,1
5.8608,1
6.8874,1
7.2278,1
5.9052,1
6.7651,1
6.5622,1
6.8942,1
6.1637,1
6.9533,1
6.5123,1
5.9911,1
7.1024,1
7.0634,1
6.673,1
5.9348,1
6.5952,1
7.3764,1
5.6388,1
6.4631,1
6.6774,1
7.0094,1
5.7984,1
6.5625,1
6.7782,1
5.9016,1
6.9981,1
6.9976,1
6.6922,1
5.8273,1
6.5355,1
7.0697,1
5.8269,1
6.4789,1
6.7453,1
6.8901,1
6.0055,1
6.8702,1
6.894,1
5.8185,1
6.6195,1
6.4837,1
6.5603,1
5.8177,1
7.4033,1
6.603,1
5.9016,1
6.644,1
7.2361,1
7.4875,1
5.9713,1
6.4953,1
6.754,1
5.8966,1
7.317,1
6.7325,1
6.7953,1
5.6488,1
6.4423,1
7.3125,1
5.5883,1
6.5982,1
6.5335,1
6.6943,1
5.9072,1
6.5011,1
6.6776,1
6.5461,1
6.7241,1
6.5442,1
6.5531,1
6.0514,1
7.3662,1
7.1549,1
5.9828,1
6.9906,1
6.4646,1
7.1416,1
5.9679,1
6.6288,1
6.5968,1
5.8408,1
7.0933,1
6.6429,1
6.5592,1
6.0304,1
6.6118,1
6.9312,1
5.6639,1
7.0109,1
7.1226,1
7.1041,1
6.427,1
6.5508,1
6.6326,1
5.8829,1
6.6452,1
6.8312,1
6.7685,1
5.8616,1
6.7406,1
6.7265,1
5.8988,1
6.468,1
6.5063,1
6.9541,1
5.863,1
6.5728,1
6.7872,1
5.9675,1
7.4161,1
7.2373,1
6.5797,1
5.8808,1
7.1048,1
7.4152,1
6.5635,2
7.083,2
5.6017,2
6.5087,2
6.8229,2
6.5391,2
5.8907,2
6.5216,2
6.5223,2
6.0955,2
7.0428,2
6.595,2
6.6389,2
5.8159,2
6.7478,2
7.0096,2
5.6371,2
6.5785,2
6.5576,2
6.6334,2
5.927,2
6.9881,2
6.9185,2
6.204,2
7.1999,2
6.6574,2
7.1724,2
5.9029,2
6.7162,2
6.5613,2
6.0348,2
6.5164,2
7.088,2
6.9697,2
5.7781,2
6.8147,2
6.6328,2
6.1,2
7.3609,2
6.5154,2
6.6733,2
5.8223,2
6.8581,2
6.7173,2
5.8994,2
6.472,2
6.5485,2
6.8563,2
5.7469,2
6.7827,2
7.0176,2
5.8748,2
6.9437,2
6.5902,2
6.578,2
6.4691,2
6.7415,2
6.6993,2
5.9973,2
6.5369,2
7.1486,2
7.0416,2
5.7604,2
7.266,2
7.5312,2
6.5585,2
6.9931,2
6.6692,2
6.6273,2
5.7763,2
6.8116,2
6.8159,2
5.89,2
6.5996,2
6.5237,2
7.8403,2
5.3454,2
6.5314,2
6.6958,2
5.8568,2
6.5648,2
6.5707,2
6.5668,2
5.8677,2
6.7494,2
6.7052,2
5.9831,2
6.5717,2
7.316,2
6.8866,2
5.9154,2
6.5677,2
6.5717,2
6.4177,2
6.7015,2
6.5191,2
6.6669,2
5.8928,2
6.8406,2
7.2358,2
5.8211,2
6.5309,2
6.4219,2
6.8595,2
6.26,2
6.5739,2
6.5029,2
5.9146,2
6.6548,2
6.6142,2
6.7856,2
6.3419,2
7.0259,2
6.5961,2
5.9082,2
6.5372,2
7.02,2
6.5335,2
5.8214,2
6.7605,2
6.7508,2
6.5452,2
7.5302,2
6.8524,2
6.6584,2
5.8309,2
7.0488,2
7.0844,2
5.8482,2
6.6323,2
6.7952,2
7.3424,2
5.5406,2
6.5061,2
6.6249,2
6.2782,2
7.1227,2
6.8677,2
6.6107,2
5.9007,2
7.1467,2
7.2365,2
6.2302,2
6.7326,2
6.5902,2
6.5347,2
5.7842,2
6.9,2
6.8027,2
6.4083,2
7.0202,2
6.8272,2
