frame time,Number of lights
6.3142,0
5.6996,0
6.2712,0
6.2949,0
6.3302,0
6.6646,0
6.6208,0
6.3358,0
5.7671,0
6.2625,0
6.2744,0
6.4499,0
5.6619,0
6.7176,0
6.5572,0
5.7176,0
6.4884,0
6.3931,0
6.5819,0
5.497,0
6.2432,0
6.8307,0
5.705,0
6.2836,0
6.2891,0
6.4856,0
5.6151,0
6.3786,0
6.337,0
5.8953,0
6.5394,0
6.279,0
6.319,0
5.8971,0
6.2413,0
6.4965,0
5.6976,0
6.4331,0
6.3215,0
6.6165,0
5.6356,0
6.6001,0
6.3342,0
5.8986,0
6.4946,0
6.5246,0
6.4388,0
5.6634,0
6.2777,0
6.3057,0
5.7646,0
6.3993,0
6.276,0
6.5728,0
5.4686,0
6.2467,0
10.8833,0
5.6323,0
6.6031,0
6.764,0
6.4828,0
5.7903,0
6.4372,0
7.4027,0
5.6101,0
6.4682,0
6.2377,0
6.3193,0
5.7081,0
6.7747,0
6.4881,0
6.0609,0
6.4152,0
6.7017,0
6.619,0
5.5153,0
6.5716,0
6.3285,0
5.7792,0
6.5423,0
6.2263,0
6.3405,0
5.7388,0
6.7533,0
7.2918,0
5.269,0
6.1921,0
6.4432,0
6.4107,0
5.7253,0
6.4057,0
6.3993,0
5.8555,0
6.732,0
6.4948,0
6.466,0
5.9451,0
6.486,0
6.4267,0
5.5911,0
6.4109,0
6.6327,0
6.3529,0
5.7198,0
6.2402,0
6.3936,0
5.8885,0
6.3295,0
6.5292,0
6.3844,0
5.6058,0
6.3218,0
6.4129,0
6.0122,0
6.7584,0
6.516,0
6.6608,0
5.4045,0
6.2151,0
6.4055,0
5.7782,0
6.2248,0
6.5016,0
6.4089,0
5.6114,0
6.1596,0
6.4419,0
6.3985,0
6.7454,0
6.7826,0
6.6779,0
5.4982,0
7.0351,0
6.2886,0
5.8978,0
6.2977,0
6.1412,0
6.4185,0
5.6007,0
6.8594,0
6.9221,0
5.6351,0
6.2957,0
6.2042,0
6.3192,0
5.5973,0
6.5095,0
6.5193,0
6.5561,0
6.4671,0
6.5059,0
6.3218,0
5.7709,0
6.3912,0
6.4857,0
5.5764,0
7.1537,0
6.7344,0
6.5652,0
5.7431,0
6.2789,0
6.6351,0
5.7374,0
6.2437,0
6.3893,0
7.4127,0
5.2519,0
6.7368,0
6.3438,0
6.0576,0
6.388,0
6.5419,0
6.3525,0
5.6387,0
6.3093,0
6.3936,0
5.7008,0
6.7124,0
6.8174,0
6.3516,0
6.0928,0
6.72,0
7.6887,0
5.2477,0
6.4014,0
6.3917,0
6.2106,0
5.8491,0
6.4265,0
6.3201,0
5.7799,0
6.2989,0
6.1904,0
6.5108,0
5.6217,0
6.4198,0
6.3553,0
5.8173,0
6.1638,0
6.2899,0
6.2873,0
6.3139,0
6.6436,0
6.2487,0
5.78,0
6.2814,0
6.2509,0
6.3328,0
5.5838,0
6.6855,0
6.7311,0
5.6246,0
6.2197,0
6.2848,0
6.6416,0
5.9017,0
6.1457,0
6.6561,0
5.7065,0
6.2725,0
6.2382,0
6.2267,0
5.6636,0
6.2273,0
6.271,0
5.9017,0
6.2493,0
6.7328,0
6.2768,0
5.7146,0
6.1533,0
6.3672,0
5.631,0
6.4283,0
6.4936,0
6.3457,0
5.9548,0
6.3436,0
6.3477,0
5.7247,0
6.2788,0
6.2759,0
6.4942,0
5.4291,0
6.948,0
6.7262,0
5.8838,0
6.5741,0
6.3864,0
6.6519,0
5.4935,0
6.1952,0
6.5532,0
5.9653,0
6.6688,0
6.3067,0
6.3821,0
5.5661,0
6.2109,0
6.3045,0
6.069,0
6.4927,0
6.1719,0
6.3635,0
5.5814,0
6.6267,0
6.2794,0
5.6,0
6.4689,0
6.6048,0
6.4292,0
5.6207,0
6.8287,0
6.6354,0
5.6313,0
6.2,0
6.8603,0
6.6417,0
5.796,0
6.7721,0
6.5636,0
6.0036,0
6.1912,0
6.2055,0
6.3909,0
5.5602,0
6.2384,0
6.6968,0
5.4888,0
6.9249,0
7.4055,0
6.6378,0
5.5383,0
6.1938,0
6.259,0
5.764,0
6.2088,0
6.4883,0
6.284,0
5.7993,0
6.3849,0
6.1375,0
5.628,0
6.228,0
6.6968,0
6.884,0
5.4302,0
6.1048,0
6.5283,0
5.8772,0
6.3107,0
6.2326,0
6.3366,0
5.19,0
6.2137,0
6.271,0
6.0045,0
6.0417,0
6.2719,0
6.2644,0
5.3365,0
6.0941,0
6.6511,0
5.4718,0
6.8968,0
6.4122,0
6.2181,0
5.6014,0
6.288,0
6.1484,0
5.5543,0
6.1737,0
6.182,0
6.1415,0
5.6289,0
6.0336,0
6.2702,0
5.7221,0
6.3066,0
6.0397,0
6.0712,0
5.8539,0
6.3842,0
6.3455,0
5.4602,0
6.0173,0
6.2787,0
6.1985,0
5.6649,0
6.4547,0
6.6656,0
5.7023,0
6.3075,0
6.3104,0
6.3138,0
5.7724,0
6.254,0
6.8565,0
5.6443,0
7.0734,0
6.4165,0
6.2852,0
5.7571,0
6.2918,0
6.2947,0
5.9751,0
6.3086,0
6.4484,0
6.5075,0
5.9024,0
6.4906,0
6.4261,0
5.854,0
6.4675,0
7.067,0
6.3359,0
5.6842,0
6.2901,0
6.6242,0
5.5057,0
6.6623,0
6.5039,0
6.6487,0
5.7261,0
6.4616,0
6.3942,0
5.9029,0
6.375,0
6.2067,0
6.6645,0
5.7059,0
6.3411,0
