frame time,Number of lights
7.0572,0
5.6587,0
6.4522,0
6.5826,0
5.887,0
6.4633,0
6.548,0
6.4487,0
6.253,0
6.3535,0
6.5623,0
5.9801,0
6.4486,0
7.1045,0
6.6395,0
5.8149,0
6.4452,0
6.5336,0
6.2928,0
6.5267,0
6.5101,0
6.5316,0
5.9892,0
6.4699,0
7.5893,0
5.6726,0
7.1535,0
6.7541,0
6.4232,0
5.9215,0
6.5259,0
7.6126,0
5.5006,0
6.8491,0
6.5524,0
6.532,0
5.8165,0
6.4554,0
6.5833,0
6.2644,0
6.9854,0
6.9124,0
6.5423,0
5.8198,0
6.8279,0
7.3347,0
5.6225,0
6.4671,0
6.4242,0
7.883,0
5.6723,0
6.472,0
6.6373,0
5.908,0
6.7256,0
7.0027,0
6.5238,0
5.8064,0
6.3947,0
6.6732,0
5.6897,0
6.3863,0
6.9221,0
6.7593,0
5.9077,0
7.0016,0
6.9496,0
6.2959,0
6.6915,0
6.5014,0
6.7938,0
5.7717,0
7.4915,0
6.6506,0
5.9355,0
6.512,0
6.4364,0
6.7406,0
5.6909,0
6.4188,0
6.8123,0
5.888,0
6.4527,0
6.7492,0
6.8016,0
6.4189,0
6.5437,0
6.536,0
6.088,0
6.4338,0
6.6798,0
6.534,0
5.857,0
6.421,0
6.4796,0
5.8835,0
6.4253,0
6.4596,0
7.4867,0
5.8347,0
6.3631,0
6.7338,0
5.933,0
7.0153,0
7.5172,0
6.8932,0
5.8966,0
6.5639,0
7.1384,0
5.7524,0
6.6859,0
6.4182,0
6.9646,0
6.2131,0
6.3701,0
6.5504,0
6.1778,0
6.7971,0
6.9275,0
6.4976,0
5.8407,0
6.805,0
6.9438,0
5.9407,0
6.8503,0
6.4864,0
7.0839,0
5.7737,0
6.8556,0
6.6837,0
5.9172,0
6.7484,0
6.4907,0
6.5231,0
5.9794,0
6.7288,0
6.4732,0
5.7385,0
6.3959,0
7.0362,0
7.0912,0
5.9975,0
6.6797,0
6.8014,0
6.1559,0
6.8104,0
6.5011,0
6.6209,0
5.8116,0
6.6547,0
6.5154,0
5.9034,0
6.5735,0
6.4226,0
6.4657,0
5.8828,0
6.4846,0
7.0926,0
6.2186,0
7.0272,0
6.7398,0
6.518,0
6.1389,0
6.7549,0
6.9871,0
5.9968,0
7.023,0
7.5074,0
6.5631,0
5.8424,0
7.13,0
7.2239,0
6.9509,0
6.7727,0
6.4425,0
6.7844,0
5.7782,0
6.9803,0
6.9784,0
5.8341,0
6.9782,0
6.5267,0
7.2003,0
5.8113,0
6.4468,0
6.5286,0
5.9555,0
6.7813,0
7.1899,0
7.1664,0
5.9074,0
6.3986,0
6.6506,0
5.9584,0
14.2738,0
6.5777,0
6.7967,0
5.7347,0
6.5145,0
6.6425,0
6.0258,0
6.4844,0
7.1724,0
7.1641,0
5.9662,0
6.9062,0
7.0029,0
5.9058,0
6.6604,0
6.7979,0
6.4849,0
5.8566,0
6.6803,0
6.4612,0
6.0797,0
6.4854,0
6.5006,0
6.5327,0
5.8448,0
6.4595,0
6.5424,0
5.947,0
6.8981,0
6.9357,0
6.7969,0
5.9332,0
6.5163,0
6.6658,0
5.824,0
6.754,0
6.6122,0
6.458,0
5.8505,0
6.6911,0
6.6577,0
6.2656,0
6.4854,0
6.5007,0
6.5991,0
5.9045,0
6.9325,0
6.8935,0
5.9555,0
6.5685,0
6.4158,0
6.4624,0
5.9922,0
6.551,0
6.6043,0
5.9511,0
6.4559,0
6.6593,0
6.5719,0
6.322,0
6.4766,0
6.5582,0
6.0078,0
6.4987,0
6.7256,0
6.7268,0
6.4457,0
6.549,0
6.5033,0
5.8743,0
6.4146,0
6.4842,0
7.2125,0
5.6466,0
6.3663,0
6.6312,0
6.0047,0
6.7099,0
6.6284,0
6.5417,0
5.8398,0
6.433,0
6.5187,0
5.8962,0
6.4361,0
6.9296,0
6.8628,0
5.8112,0
6.6032,0
6.6212,0
6.1818,0
6.535,0
6.4433,0
6.5834,0
5.9377,0
7.1398,0
6.5382,0
5.9236,0
6.7881,0
6.5825,0
6.4745,0
6.359,0
6.6927,0
7.3481,0
5.8486,0
6.4468,0
6.6734,0
6.91,0
6.4583,0
6.4966,0
6.5306,0
5.9873,0
6.4778,0
7.0936,0
6.5066,0
5.8283,0
6.451,0
6.5102,0
5.9271,0
6.4493,0
6.4245,0
6.9251,0
5.8226,0
6.5284,0
6.6929,0
6.0898,0
6.7951,0
7.0006,0
6.4899,0
5.9577,0
6.4308,0
6.4822,0
5.7123,0
6.5105,0
6.7992,0
6.8102,0
5.8017,0
6.5711,0
6.6693,0
6.0079,0
6.5046,0
6.5169,0
6.996,0
5.9044,0
6.4566,0
6.6825,0
6.159,0
7.0906,0
6.6811,0
6.5095,0
5.6558,0
6.4491,0
7.1687,0
6.0991,0
6.3475,0
6.3699,0
6.659,0
6.0877,0
7.2952,0
7.08,0
5.7576,0
6.5473,0
6.7984,0
6.6723,0
5.883,0
6.8524,0
6.4795,0
5.8921,0
6.4641,0
6.633,0
7.0532,0
5.8018,0
6.4639,0
6.624,0
5.9164,0
6.6709,0
6.4851,0
6.5358,0
5.8836,0
6.4623,0
6.5909,0
5.8943,0
6.3702,0
6.5528,0
6.524,0
5.8255,0
6.4784,0
6.6124,0
5.9145,0
6.4676,0
6.4744,0
7.0626,0
6.1871,0
6.4306,0
6.4794,0
5.9116,0
7.4171,0
7.1696,0
6.9582,0
6.0457,0
6.4088,0
6.8898,0
5.7549,0
6.5758,0
6.5006,0
6.4899,0
5.8098,0
6.5549,0
6.569,0
6.2337,0
6.3831,0
6.6106,0
6.9958,0
5.7469,0
7.1412,0
7.1895,0
5.6062,0
6.57,0
6.3685,0
6.6786,0
5.9039,0
6.4248,0
6.5417,0
5.896,0
6.4354,0
6.5072,0
6.4915,0
6.3811,0
6.7877,0
6.4984,0
5.937,0
6.6869,0
6.7579,0
6.5564,0
5.8383,0
6.4344,0
6.5238,0
6.0434,0
6.7939,0
6.8965,0
6.8838,0
5.8581,0
6.4583,0
6.7089,0
5.8732,0
