frame time,Number of lights
4.1774,0
4.1798,0
3.7415,0
4.1051,0
3.9315,0
4.2836,0
3.6465,0
3.9289,0
4.1547,0
3.9667,0
4.2491,0
3.8322,0
4.167,0
3.9954,0
4.7853,0
4.0118,0
4.0635,0
4.1386,0
3.9,0
3.8995,0
4.1015,0
4.6216,0
3.4038,0
3.8669,0
4.036,0
3.9314,0
4.1679,0
3.9472,0
4.0354,0
3.9739,0
3.9732,0
3.94,0
3.8875,0
4.0948,0
4.4163,0
3.7309,0
4.0453,0
4.1293,0
4.1918,0
3.6873,0
4.097,0
4.1671,0
3.9067,0
3.8964,0
4.091,0
4.3282,0
3.7305,0
3.9989,0
3.6305,0
4.3269,0
3.9859,0
4.061,0
3.8023,0
4.2124,0
4.7527,0
4.1495,0
4.1417,0
3.8306,0
8.8564,0
1.3474,0
1.4278,0
4.0663,0
4.3625,0
4.0122,0
3.8823,0
3.923,0
4.2401,0
4.2548,0
3.7586,0
4.2094,0
4.0168,0
4.4261,0
3.9124,0
4.3899,0
4.0154,0
4.3996,0
3.7138,0
3.9547,0
4.1576,0
4.1321,0
4.5431,0
3.9784,0
4.4193,0
4.1123,0
4.2162,0
4.3465,0
3.9604,0
3.9314,0
4.7529,0
4.4598,0
4.1167,0
4.0233,0
3.9333,0
4.0272,0
4.4178,0
3.6774,0
4.5193,0
4.8155,0
4.7328,0
3.7863,0
4.1044,0
4.0561,0
4.0311,0
4.2423,0
3.7813,0
4.1326,0
4.1965,0
4.0783,0
3.7251,0
4.149,0
3.9785,0
3.8779,0
4.8406,0
4.1837,0
3.9658,0
4.2696,0
3.6442,0
4.0401,0
4.1023,0
4.0392,0
4.1242,0
3.7999,0
4.0882,0
4.0878,0
4.9041,0
3.9385,0
4.1252,0
4.3864,0
4.3458,0
3.8892,0
4.089,0
4.1893,0
4.089,0
3.7837,0
4.2237,0
3.9953,0
3.7685,0
4.2691,0
3.9911,0
3.8679,0
4.4989,0
3.4086,0
4.0693,0
4.1073,0
4.1032,0
3.9074,0
4.1846,0
4.0504,0
4.5371,0
4.1106,0
3.8486,0
3.9145,0
4.3238,0
3.7893,0
4.1143,0
4.2486,0
4.4041,0
3.616,0
4.2023,0
4.0501,0
4.4297,0
3.9136,0
4.2003,0
4.0863,0
4.2484,0
3.9119,0
3.9534,0
4.0533,0
4.0435,0
4.9616,0
4.2474,0
3.9725,0
4.4143,0
4.0283,0
4.2005,0
4.0996,0
4.3767,0
3.7696,0
3.8163,0
4.2364,0
4.1303,0
4.8813,0
4.0728,0
3.9775,0
4.2563,0
3.8762,0
3.9722,0
3.9578,0
4.0064,0
4.1708,0
3.7431,0
4.0944,0
4.1999,0
3.9391,0
4.0697,0
3.8917,0
4.2001,0
3.8467,0
3.7208,0
4.179,0
4.0333,0
4.1255,0
3.8044,0
4.2214,0
4.0486,0
4.3293,0
3.9235,0
4.3989,0
4.195,0
4.0131,0
3.8294,0
4.1191,0
4.0763,0
4.0546,0
3.858,0
4.1774,0
4.112,0
4.3182,0
3.8586,0
4.5494,0
4.0615,0
4.1916,0
3.7014,0
4.0828,0
3.9212,0
3.8604,0
5.1301,0
4.1356,0
3.8479,0
3.9119,0
3.9288,0
4.0278,0
3.9848,0
3.9782,0
3.9033,0
4.3455,0
3.8756,0
4.1969,0
4.1583,0
4.2357,0
3.9349,0
3.8621,0
4.2144,0
4.0636,0
4.6607,0
4.1041,0
4.0452,0
3.8155,0
4.1923,0
4.0822,0
4.1063,0
3.6467,0
4.0881,0
3.9824,0
4.19,0
3.6264,0
4.0484,0
4.333,0
4.2225,0
3.5253,0
4.2994,0
4.0265,0
4.7411,0
3.8543,0
4.1647,0
4.2797,0
3.9744,0
3.839,0
4.0492,0
3.9741,0
4.0148,0
4.9816,0
4.0716,0
4.1162,0
4.1734,0
3.731,0
3.9948,0
4.0945,0
5.9388,0
1.541,0
4.3478,0
4.0905,0
4.324,0
3.9987,0
4.1315,0
4.3974,0
4.2535,0
3.8849,0
4.239,0
3.9738,0
4.3472,0
4.431,0
3.8991,0
4.1337,0
4.3061,0
3.9796,0
4.011,0
4.1712,0
4.0993,0
4.5288,0
4.1502,0
4.11,0
4.2604,0
4.3764,0
4.0927,0
4.0464,0
4.0493,0
4.1711,0
3.8716,0
4.0161,0
3.8157,0
4.326,0
4.0782,0
4.1277,0
4.5511,0
4.2817,0
4.1191,0
3.7289,0
3.992,0
4.1065,0
4.1347,0
3.9229,0
3.9553,0
4.0123,0
4.0104,0
3.9944,0
4.043,0
4.2695,0
3.7603,0
4.0477,0
4.1671,0
4.092,0
3.8108,0
3.9729,0
3.896,0
4.5324,0
4.2659,0
4.1125,0
3.9674,0
4.4685,0
3.6771,0
4.0511,0
4.1609,0
4.0236,0
3.6618,0
4.3,0
3.9616,0
4.5163,0
4.1196,0
4.0382,0
4.1137,0
4.0199,0
3.8961,0
4.1692,0
3.9617,0
4.0784,0
3.9992,0
3.8817,0
4.1283,0
3.7436,0
4.1049,0
3.7647,0
4.4203,0
4.2503,0
3.9963,0
3.8519,0
4.2409,0
4.0865,0
4.2907,0
4.108,0
4.2368,0
4.0034,0
4.1184,0
3.754,0
4.3183,0
3.7882,0
4.1764,0
3.7171,0
4.0749,0
4.0362,0
3.8366,0
4.8888,0
4.2374,0
4.0496,0
4.2821,0
3.5322,0
4.2639,0
4.0262,0
4.2061,0
3.8852,0
4.2602,0
3.8952,0
4.0484,0
4.0519,0
3.9043,0
4.8526,0
4.1647,0
4.2378,0
3.6652,0
4.1237,0
4.0036,0
4.0027,0
3.8934,0
3.9991,0
3.8919,0
4.345,0
3.6469,0
3.8557,0
4.3099,0
4.1322,0
3.9429,0
4.0849,0
3.8395,0
