frame time,Number of lights
3.8636,0
5.129,0
4.1962,0
4.1314,0
4.0884,0
4.0665,0
3.8145,0
3.8897,0
3.8009,0
4.8747,0
3.7314,0
4.0479,0
4.3866,0
3.8237,0
3.9615,0
3.9931,0
4.3179,0
4.0295,0
3.855,0
4.0875,0
4.0723,0
4.0109,0
3.7462,0
4.2068,0
4.0595,0
4.0479,0
3.6985,0
4.2786,0
3.9016,0
4.1355,0
3.9764,0
4.0282,0
4.2886,0
3.7961,0
3.682,0
3.9443,0
4.1215,0
4.3261,0
3.9155,0
4.0643,0
4.2137,0
3.8296,0
4.3708,0
4.087,0
4.0338,0
4.3303,0
4.1229,0
4.1165,0
3.944,0
4.0311,0
4.3484,0
3.8962,0
3.9188,0
9.1483,0
1.164,0
1.0763,0
4.3945,0
4.0219,0
4.1268,0
4.0319,0
4.0126,0
4.1641,0
4.3936,0
3.7052,0
3.9907,0
4.0399,0
4.2964,0
3.882,0
4.1313,0
4.3492,0
4.3157,0
3.6259,0
4.1027,0
4.2794,0
4.4352,0
3.7809,0
4.5891,0
4.1678,0
4.0794,0
3.7732,0
4.2623,0
4.1028,0
4.3722,0
4.179,0
4.1713,0
4.1695,0
3.8375,0
4.0881,0
4.141,0
4.3224,0
4.3307,0
3.6841,0
4.2846,0
4.262,0
4.0579,0
3.8627,0
4.4727,0
3.9237,0
4.0813,0
4.0779,0
4.3796,0
3.9904,0
4.396,0
3.9576,0
4.0002,0
4.176,0
3.792,0
4.3417,0
4.5129,0
4.0803,0
4.0993,0
4.1982,0
4.2775,0
4.3896,0
4.1336,0
3.893,0
4.0003,0
4.2057,0
4.1542,0
3.8295,0
4.2767,0
4.46,0
4.227,0
4.1858,0
3.9211,0
4.1548,0
3.9699,0
4.6707,0
4.022,0
4.2996,0
4.1569,0
3.8676,0
4.1299,0
4.4802,0
4.347,0
3.8319,0
4.2063,0
4.2767,0
4.6373,0
3.8485,0
4.1403,0
4.6291,0
3.8359,0
3.8801,0
4.4253,0
4.0383,0
4.3465,0
3.802,0
4.2081,0
4.1219,0
3.9437,0
4.2854,0
4.3224,0
4.2297,0
4.2183,0
3.8751,0
4.0641,0
4.1182,0
4.0188,0
4.5265,0
4.1381,0
3.9924,0
4.0176,0
4.5318,0
4.3197,0
4.1359,0
4.3311,0
3.9686,0
4.3226,0
3.9908,0
4.4811,0
4.0447,0
4.2721,0
4.157,0
4.8856,0
3.6994,0
4.1107,0
4.1647,0
3.9969,0
4.0239,0
4.001,0
4.2111,0
4.6409,0
3.9628,0
4.1517,0
4.36,0
4.3757,0
3.9182,0
4.3036,0
4.1122,0
4.1398,0
4.2164,0
4.2815,0
4.1517,0
4.24,0
3.8206,0
4.2338,0
4.0782,0
4.2903,0
3.8935,0
4.3848,0
4.0696,0
4.2419,0
3.8574,0
4.0689,0
4.0512,0
4.1458,0
3.8724,0
4.0863,0
3.9083,0
3.7958,0
4.1039,0
4.3329,0
3.7648,0
4.5134,0
4.0869,0
4.1907,0
4.7309,0
3.7873,0
4.5601,0
4.3423,0
4.1012,0
3.8412,0
4.2915,0
3.591,0
4.1354,0
4.036,0
4.183,0
4.0355,0
3.9953,0
4.1192,0
4.4143,0
4.1509,0
4.0159,0
4.4419,0
3.9529,0
4.0445,0
4.3538,0
4.3447,0
4.3203,0
3.8765,0
4.1558,0
4.1127,0
4.3161,0
4.0767,0
4.2615,0
4.2755,0
4.0549,0
4.0633,0
4.3315,0
4.1776,0
4.3762,0
3.8949,0
4.022,0
4.3196,0
4.4825,0
4.0598,0
3.931,0
4.6714,0
4.903,0
4.1838,0
4.2878,0
4.342,0
3.9674,0
4.1229,0
4.3796,0
3.7766,0
5.2623,0
4.212,0
4.3383,0
3.8408,0
3.9842,0
4.2118,0
4.5428,0
4.2243,0
4.0128,0
4.3176,0
3.803,0
4.0364,0
4.01,0
4.1991,0
