frame time,Number of lights
4.0724,0
3.891,0
4.217,0
3.8786,0
4.1541,0
3.6141,0
4.2826,0
4.0325,0
3.9152,0
3.915,0
4.3157,0
4.4349,0
4.2765,0
3.8222,0
4.189,0
3.9326,0
4.3392,0
3.9015,0
3.7452,0
4.0209,0
4.2932,0
3.6064,0
4.0454,0
3.8181,0
4.1298,0
4.0567,0
4.0017,0
4.1626,0
4.1031,0
4.2306,0
3.8697,0
4.1867,0
4.5583,0
4.4366,0
3.7593,0
4.1606,0
4.1533,0
3.845,0
4.7442,0
4.1543,0
4.2468,0
3.8165,0
4.0923,0
4.0802,0
4.7514,0
4.1576,0
3.8381,0
4.2256,0
4.1838,0
3.7612,0
4.7301,0
4.1634,0
4.102,0
4.1618,0
3.9735,0
4.1029,0
4.6742,0
4.064,0
4.0723,0
4.139,0
4.2769,0
3.8022,0
4.4842,0
4.2921,0
3.9912,0
4.0645,0
4.4524,0
9.0924,0
1.451,0
1.3092,0
4.3553,0
4.1529,0
4.882,0
3.1825,0
3.9447,0
4.1717,0
4.2593,0
3.7795,0
3.9944,0
3.809,0
4.168,0
4.0798,0
3.7609,0
4.0437,0
4.1101,0
4.1857,0
3.7931,0
4.1127,0
4.1215,0
4.0291,0
3.9642,0
4.0207,0
4.0138,0
4.1145,0
3.7984,0
3.9725,0
4.4006,0
3.8283,0
4.0701,0
4.0209,0
3.9775,0
4.712,0
4.2314,0
3.9852,0
4.0716,0
4.1818,0
3.9753,0
3.9166,0
4.5298,0
3.9978,0
4.259,0
3.9844,0
3.8987,0
4.1632,0
4.0525,0
3.8415,0
3.9466,0
4.2945,0
4.1195,0
4.3213,0
4.2828,0
4.0808,0
4.1658,0
3.9752,0
4.0136,0
4.0134,0
4.3256,0
3.7448,0
3.9584,0
4.0674,0
4.4756,0
3.7387,0
4.1336,0
4.2367,0
4.3063,0
3.8529,0
4.1188,0
3.9361,0
4.3751,0
3.7104,0
3.97,0
4.3102,0
4.317,0
3.8303,0
3.9451,0
4.0058,0
4.4644,0
4.0401,0
4.1393,0
3.9327,0
3.788,0
4.6686,0
4.7439,0
4.4281,0
4.1029,0
3.8062,0
3.9776,0
4.6629,0
4.1261,0
3.9012,0
3.9927,0
4.1457,0
4.2231,0
4.6799,0
4.2572,0
3.9036,0
4.1403,0
3.6632,0
4.2234,0
4.0016,0
4.0247,0
4.8391,0
4.2101,0
4.0314,0
4.6106,0
3.7209,0
4.0496,0
4.3578,0
4.214,0
3.7151,0
3.9537,0
4.2549,0
4.1922,0
4.7035,0
3.9953,0
4.1797,0
4.2273,0
3.7639,0
4.0621,0
3.9886,0
4.1481,0
4.0206,0
3.7615,0
4.2599,0
4.1532,0
4.5011,0
4.2529,0
3.9383,0
4.2248,0
3.9757,0
3.842,0
4.1432,0
4.0669,0
4.0413,0
3.945,0
4.2049,0
4.2172,0
4.2313,0
4.0786,0
4.1968,0
4.1224,0
3.9284,0
4.0171,0
4.3091,0
3.8641,0
4.064,0
4.0845,0
3.9252,0
4.2844,0
4.3199,0
4.0062,0
4.1287,0
3.9085,0
4.1972,0
3.721,0
4.2444,0
3.9941,0
4.3651,0
3.7383,0
4.0708,0
4.338,0
3.9126,0
4.1585,0
4.3229,0
3.9445,0
4.3123,0
3.7382,0
3.9927,0
4.2562,0
3.9793,0
4.7972,0
4.0346,0
4.0011,0
4.2358,0
3.9261,0
3.7891,0
4.2254,0
3.9466,0
4.3522,0
3.6117,0
4.2623,0
3.9518,0
4.2878,0
3.807,0
4.0108,0
4.8361,0
3.8658,0
4.3432,0
3.9879,0
4.1009,0
4.5045,0
